<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VPB,20210604,69.3,71.8,68.6,71.7,76583400
VCB,20210604,106.5,106.5,104.1,104.9,2405800
VIB,20210604,74.9,75.9,73.3,74.0,1296600
TPB,20210604,38.0,40.9,37.5,39.0,4796400
TCB,20210604,54.8,55.2,54.0,54.6,13371600
SSB,20210604,43.4,45.5,40.1,45.5,4445100
STB,20210604,32.2,33.0,31.8,32.15,37481900
OCB,20210604,30.9,32.85,30.85,32.3,9274600
LPB,20210604,33.7,34.0,33.0,33.4,13580700
MBB,20210604,41.2,42.7,41.1,41.55,32896100
MSB,20210604,28.9,30.8,28.25,30.4,14704200
EIB,20210604,32.0,33.5,31.8,33.4,1397700
CTG,20210604,53.7,54.9,53.6,54.0,12980000
BID,20210604,48.7,49.5,48.0,49.0,5939600
ACB,20210604,45.0,45.9,45.0,45.3,9488100
CHDB2101,20210604,4.09,4.09,3.84,3.9,31800
CMBB2010,20210604,25.39,26.5,25.04,25.5,37600
CMBB2101,20210604,8.19,8.49,8.19,8.2,484600
CMBB2102,20210604,4.0,4.0,3.82,3.82,137400
CSTB2010,20210604,10.4,10.4,9.98,9.99,99100
CSTB2014,20210604,18.81,20.61,18.81,20.1,56700
CSTB2101,20210604,7.05,7.21,7.05,7.08,93100
CSTB2103,20210604,8.2,8.5,8.1,8.22,486700
CSTB2104,20210604,12.3,12.3,11.8,11.9,51100
CTCB2012,20210604,32.6,33.11,30.06,32.01,84000
CTCB2101,20210604,26.49,26.49,23.4,25.0,111100
CTCB2102,20210604,9.89,9.89,9.0,9.43,244800
CTCB2103,20210604,10.4,10.4,8.39,10.1,184300
CTCB2104,20210604,8.4,8.4,7.51,7.71,61100
CVPB2015,20210604,44.09,45.5,44.0,45.5,77700
CVPB2101,20210604,16.31,17.0,16.2,17.0,108400
CVPB2103,20210604,17.0,17.8,16.8,17.69,182900
CVPB2104,20210604,8.68,8.97,8.68,8.95,113000
HDB,20210604,35.9,36.0,35.0,35.45,9321600
VPB,20210603,70.1,70.8,68.1,70.6,59255200
VIB,20210603,72.0,74.4,72.0,74.0,1101900
VCB,20210603,106.1,108.0,106.0,106.7,2802000
TPB,20210603,37.45,38.3,37.2,38.25,5342100
TCB,20210603,53.3,55.1,52.8,54.8,23735700
SSB,20210603,41.6,43.0,39.05,43.0,2794400
STB,20210603,33.2,33.2,32.2,32.75,30950700
MSB,20210603,28.0,29.4,27.5,28.9,17838400
OCB,20210603,29.0,30.8,29.0,30.8,12317900
LPB,20210603,33.85,33.85,32.5,33.85,20623800
MBB,20210603,40.0,41.15,39.85,41.15,29087000
HDB,20210603,34.55,36.2,34.3,35.8,8524500
CTG,20210603,53.0,54.2,52.0,53.6,17478700
EIB,20210603,31.3,32.25,30.5,32.0,1519500
BID,20210603,47.8,49.5,47.4,48.8,6715400
ACB,20210603,46.3,46.3,44.6,45.9,12265700
CHDB2101,20210603,3.34,4.0,3.34,3.98,45900
CMBB2010,20210603,23.5,25.09,23.3,25.09,103600
CMBB2101,20210603,7.6,8.22,7.1,8.14,625700
CMBB2102,20210603,3.46,3.72,3.46,3.72,157400
CSTB2010,20210603,10.1,10.4,10.0,10.4,208100
CSTB2014,20210603,20.3,21.0,19.7,21.0,112600
CSTB2101,20210603,7.89,7.89,7.15,7.21,72300
CSTB2103,20210603,8.18,8.6,8.18,8.32,256300
CSTB2104,20210603,12.31,12.52,11.9,12.3,91100
CTCB2012,20210603,32.0,33.1,31.0,32.9,83900
CTCB2101,20210603,23.5,25.5,23.5,25.4,146400
CTCB2102,20210603,8.99,9.4,8.7,9.4,387700
CTCB2103,20210603,9.85,10.4,9.85,10.29,325700
CTCB2104,20210603,7.46,7.99,7.46,7.77,76500
CVPB2015,20210603,44.8,44.8,42.0,42.3,64900
CVPB2101,20210603,16.2,16.49,16.0,16.21,33800
