,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2372,20171019,3.5316,3.5357,3.5316,3.5364,3010,1.0252,79.0623,44.1791
2373,20171020,3.5316,3.5357,3.5316,3.5364,2020,1.0244,69.4239,43.8381
2374,20171023,3.5357,3.495,3.495,3.4957,100,1.0124,51.9149,43.8294
2375,20171027,3.5154,3.5154,3.5154,3.5161,30,1.0177,41.1158,43.4008
2376,20171030,3.4544,3.495,3.4544,3.4957,310,1.0112,28.2717,43.5203
2377,20171101,3.2959,3.495,3.2959,3.4957,40,1.0107,18.3418,44.596
2378,20171107,3.2959,3.4869,3.2959,3.4876,20,1.0082,8.4118,45.5948
2379,20171110,3.4666,3.4869,3.4666,3.4876,50,1.0082,5.9207,46.5223
2380,20171114,3.2553,3.4869,3.2553,3.4876,30,1.0077,0.0,48.243
2381,20171115,3.4869,3.4869,3.4828,3.4876,850,1.0076,0.0,49.8408
2382,20171116,3.4869,3.4869,3.4869,3.4876,1630,1.0076,0.0,51.3244
2383,20171120,3.5357,3.5357,3.5357,3.5364,20,1.0216,18.3658,51.7599
2384,20171122,3.3731,3.5235,3.3731,3.5242,8750,1.018,32.1784,52.8248
2385,20171124,3.2796,3.5276,3.2796,3.5283,130,1.0191,48.0203,54.0959
2386,20171127,3.2918,3.5235,3.2918,3.5242,50,1.0178,61.7389,55.2762
2387,20171130,3.5235,3.5235,3.5235,3.5242,20,1.0177,75.4576,56.3722
2388,20171204,3.3325,3.5235,3.3325,3.3535,7830,0.9688,57.0919,57.8772
2389,20171205,3.3731,3.495,3.3731,3.3738,1270,0.9751,46.0394,59.2747
2390,20171206,3.4503,3.4503,3.4503,3.451,10,0.9975,41.7834,60.5724
2391,20171207,3.4707,3.4707,3.4503,3.451,110,0.9975,39.6505,61.3966
2392,20171208,3.3528,3.3528,3.3528,3.3535,40,0.9697,30.244,62.4287
2393,20171211,3.495,3.5844,3.3569,3.3575,60,0.9711,34.9921,60.1818
2394,20171212,3.4788,3.4788,3.3731,3.3738,170,0.9762,38.8041,58.0953
2395,20171213,3.4503,3.5357,3.2512,3.5364,10030,1.0225,47.1848,56.8224
2396,20171218,3.5154,3.556,3.5154,3.5567,34590,1.0279,55.599,55.404
2397,20171219,3.5154,3.5154,3.5154,3.5161,5700,1.0159,68.1122,54.0869
2398,20171220,3.5357,3.5763,3.3731,3.577,100,1.0332,83.364,53.5887
2399,20171221,3.7592,3.7592,3.3731,3.3779,60,0.9758,85.2231,51.2113
2400,20171222,3.5154,3.5154,3.3772,3.5161,30,1.0154,80.5885,49.0037
2401,20171226,3.3325,3.491,3.2918,3.2925,50540,0.9513,67.3509,47.465
2402,20171227,3.495,3.5194,3.2918,3.3006,18120,0.954,55.7766,45.7525
2403,20171228,3.2918,3.5154,3.2918,3.3006,7350,0.9544,39.7037,44.1623
2404,20171229,3.4747,3.4747,3.2918,3.2925,5440,0.9525,34.8284,42.6857
2405,20180103,3.3,3.5763,3.3,3.3128,630,0.9588,24.4562,40.2365
2406,20180104,3.3122,3.4503,3.3,3.4144,17030,0.9883,28.8687,37.9622
2407,20180105,3.4138,3.4138,3.3934,3.3941,330,0.9826,32.3877,35.8504
2408,20180108,3.4503,3.4503,3.1699,3.1706,25010,0.9186,28.4607,35.5343
2409,20180109,3.0968,3.3894,3.0968,3.0974,3240,0.8983,24.9048,35.6392
2410,20180110,3.2918,3.3122,3.2918,3.3128,15710,0.9612,30.222,35.7366
2411,20180111,3.3122,3.5357,3.3122,3.5364,30370,1.0258,36.8826,33.6363
2412,20180112,3.4544,3.617,3.4544,3.5364,72920,1.0256,48.1124,31.3938
2413,20180115,3.5357,3.5357,3.4544,3.4551,2420,1.002,64.5729,29.3114
2414,20180116,3.2471,3.495,3.2471,3.4917,6540,1.0125,82.4265,28.4637
2415,20180117,3.3365,3.491,3.3365,3.4876,1670,1.0111,89.8124,27.6765
2416,20180118,3.4828,3.4828,3.3365,3.4754,10210,1.0073,89.0383,26.9456
2417,20180119,3.3365,3.4341,3.3325,3.3331,1360,0.9663,79.6616,26.2941
2418,20180122,3.304,3.4544,3.304,3.3047,8160,0.9582,72.6639,25.89
2419,20180125,3.4341,3.4341,3.3325,3.3331,1140,0.9662,65.7348,25.5148
2420,20180126,3.4544,3.4544,3.3325,3.3738,1400,0.9776,61.0886,24.9295
2421,20180129,3.3325,3.3325,3.1455,3.2478,12610,0.9411,51.5366,25.6516
2422,20180130,3.1618,3.2471,3.1618,3.2437,21890,0.94,48.2552,26.3221
2423,20180131,3.2431,3.2431,3.1699,3.1706,2280,0.9196,38.7924,26.9447
2424,20180201,3.1293,3.2512,3.1293,3.2519,12380,0.9438,33.8532,27.7777
2425,20180202,3.1699,3.2106,3.0886,3.1706,14170,0.9214,22.559,28.7967
2426,20180205,3.1699,3.1699,3.1699,3.1706,5020,0.9226,17.0465,29.7429
2427,20180206,3.1699,3.1699,2.9505,3.1706,1150,0.9237,11.7017,31.6946
2428,20180207,3.2106,3.2471,3.1699,3.2437,27450,0.9459,20.66,32.5034
2429,20180208,3.2106,3.2106,3.1943,3.2112,5020,0.9374,21.5035,33.2545
2430,20180209,3.2106,3.3284,3.1699,3.3291,5230,0.9725,39.7812,32.5559
2431,20180212,3.3284,3.3731,3.3284,3.3372,2170,0.9751,57.7842,31.4407
2432,20180213,3.3406,3.3406,3.2959,3.2966,90,0.9638,71.7255,30.6411
2433,20180221,3.2512,3.3325,3.2512,3.3331,3950,0.975,82.3725,30.2155
2434,20180222,3.3325,3.3325,3.3,3.3331,5040,0.9754,95.1491,29.8203
2435,20180223,3.3325,3.3325,3.1008,3.2559,60090,0.9534,86.5501,30.6546
2436,20180226,3.2553,3.3284,3.2512,3.3291,7250,0.9753,85.8361,31.4293
2437,20180227,3.2512,3.3325,3.2512,3.3331,5580,0.9769,89.5619,32.0951
2438,20180228,3.2512,3.3731,3.2512,3.3738,9630,0.9889,89.9565,32.1753
2439,20180301,3.4138,3.4138,3.365,3.3738,22030,0.9892,90.351,31.7301
2440,20180302,3.3731,3.3934,3.3731,3.3941,27960,0.9954,98.9501,31.3167
2441,20180305,3.3731,3.3731,3.3731,3.3738,37900,0.9897,96.575,30.9328
2442,20180306,3.3934,3.3934,3.1374,3.3331,75020,0.9781,87.8115,32.0743
2443,20180307,3.2918,3.3731,3.2512,3.3738,25550,0.9904,83.3182,33.1343
2444,20180308,3.3731,3.4138,3.2715,3.3738,16430,0.9908,78.8249,33.5554
