,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1990,20171204,5.59,5.65,5.47,5.61,781490,1.0447,90.1306,36.1404
1991,20171205,5.68,5.85,5.62,5.69,946370,1.0565,88.9464,37.5698
1992,20171206,5.7,5.72,5.51,5.62,334400,1.0406,80.6467,37.8418
1993,20171207,5.62,5.7,5.5,5.65,425180,1.0437,73.4296,38.0017
1994,20171208,5.6,5.64,5.5,5.5,242940,1.0144,56.9306,38.1502
1995,20171211,5.31,5.5,5.31,5.35,290960,0.9851,38.7862,36.605
1996,20171212,5.35,5.38,5.08,5.35,617120,0.9833,20.2152,34.3074
1997,20171213,5.4,5.4,5.2,5.33,135950,0.978,11.0188,32.0504
1998,20171214,5.35,5.4,5.28,5.4,339320,0.9891,3.0955,29.9546
1999,20171215,5.4,5.65,5.4,5.49,266690,1.0037,10.0723,29.042
2000,20171218,5.49,5.68,5.49,5.63,742290,1.0274,22.6798,28.339
2001,20171219,5.69,5.69,5.5,5.53,111400,1.0077,29.8808,27.7364
2002,20171220,5.43,5.59,5.43,5.53,130380,1.0069,37.0819,26.6504
2003,20171221,5.5,5.5,5.43,5.48,323670,0.9975,38.4539,25.642
2004,20171222,5.48,5.5,5.45,5.48,153670,0.9975,35.9446,24.7056
2005,20171225,5.37,5.48,5.36,5.36,280110,0.9762,23.3371,23.114
2006,20171226,5.35,5.51,5.35,5.51,223670,1.0046,23.8591,21.8538
2007,20171227,5.52,5.52,5.47,5.5,142140,1.0047,25.8049,20.7585
2008,20171228,5.5,5.72,5.46,5.67,629690,1.0376,40.0693,21.0289
2009,20171229,5.8,6.06,5.79,6.06,2107910,1.1094,55.6018,22.6861
2010,20180103,6.2,6.26,5.85,5.98,875180,1.0944,72.2163,24.7899
2011,20180104,5.9,6.15,5.89,5.99,1067860,1.0962,81.3124,26.7434
2012,20180105,6.17,6.17,5.9,5.9,928480,1.0805,85.1136,28.6127
2013,20180108,6.0,6.01,5.75,5.79,778410,1.0607,74.9691,29.0859
2014,20180109,5.89,5.9,5.68,5.89,940580,1.0786,66.1763,28.9949
2015,20180110,5.84,6.0,5.75,5.89,916910,1.0784,60.769,29.312
2016,20180111,5.81,5.9,5.81,5.84,626140,1.0689,53.0318,29.6065
2017,20180112,5.89,6.05,5.84,5.9,758930,1.0789,50.9276,30.4473
2018,20180115,5.9,6.2,5.9,6.2,1196670,1.1322,60.2603,31.7049
2019,20180116,6.1,6.24,5.93,6.13,1554290,1.1183,62.0982,32.9902
2020,20180117,6.15,6.16,5.86,5.86,814160,1.0688,50.8909,33.5815
2021,20180118,5.6,5.9,5.6,5.9,942760,1.0757,43.2336,32.2753
2022,20180119,5.9,5.9,5.67,5.8,1029500,1.057,32.3899,31.0624
2023,20180122,5.8,5.95,5.77,5.92,766570,1.0781,18.9339,30.1745
2024,20180125,5.92,6.04,5.87,6.02,1150830,1.0954,13.7855,29.7623
2025,20180126,6.1,6.12,5.9,5.99,529480,1.0892,20.2538,29.7229
2026,20180129,6.12,6.12,5.95,6.0,706430,1.0905,25.6688,29.6863
2027,20180130,6.09,6.42,5.99,6.42,4904020,1.1652,44.8989,30.7478
2028,20180131,6.85,6.85,6.3,6.3,980180,1.1421,53.9557,32.7261
2029,20180201,6.28,6.29,5.98,6.0,604510,1.0869,47.6782,32.6702
2030,20180202,5.92,6.1,5.89,5.94,886010,1.0752,41.21,32.1639
2031,20180205,5.8,6.02,5.8,5.85,1194100,1.0584,34.3704,31.251
2032,20180206,5.5,5.85,5.45,5.5,859500,0.9953,15.1403,29.0951
2033,20180207,5.7,5.8,5.6,5.69,370120,1.0301,5.6143,27.0932
2034,20180208,5.69,5.69,5.5,5.57,232430,1.0089,6.0602,25.6139
2035,20180209,5.2,5.55,5.19,5.5,454910,0.9974,7.0284,25.2571
2036,20180212,5.5,5.7,5.35,5.59,152460,1.0145,9.9842,24.2932
2037,20180213,5.59,5.88,5.56,5.88,277850,1.0675,18.5578,22.7064
2038,20180221,5.9,5.9,5.85,5.89,290040,1.0696,23.3139,21.1581
2039,20180222,5.54,5.88,5.54,5.7,180100,1.0357,26.418,20.7543
2040,20180223,5.7,5.77,5.65,5.71,156040,1.0377,30.8225,20.3794
2041,20180226,5.6,5.75,5.6,5.6,532650,1.0183,31.9084,20.192
2042,20180227,5.6,5.65,5.57,5.62,329600,1.0225,31.5639,20.1173
2043,20180228,5.6,5.67,5.59,5.63,252760,1.0245,32.0425,19.9458
2044,20180301,5.63,5.85,5.6,5.7,389070,1.0373,40.0733,18.9106
2045,20180302,5.7,5.7,5.6,5.62,276100,1.0228,43.8127,17.9493
2046,20180305,5.64,5.7,5.6,5.6,255630,1.0191,46.3739,17.0567
2047,20180306,5.51,5.67,5.51,5.66,221400,1.03,49.0688,16.6404
2048,20180307,5.66,5.88,5.66,5.8,632240,1.0554,59.839,15.707
2049,20180308,5.8,5.82,5.71,5.8,212000,1.0552,66.6391,14.8403
2050,20180309,5.71,5.82,5.71,5.74,195130,1.0442,71.3078,14.0355
2051,20180312,5.62,5.75,5.62,5.62,185230,1.0224,66.8914,13.2697
2052,20180313,5.63,5.69,5.59,5.62,121650,1.0225,58.154,12.7196
2053,20180314,5.65,5.65,5.56,5.56,331810,1.0118,38.154,12.374
2054,20180315,5.56,5.65,5.53,5.53,223430,1.0066,18.154,12.2221
2055,20180316,5.57,5.67,5.5,5.57,253910,1.0139,8.4219,12.2537
2056,20180319,5.67,5.68,5.55,5.55,217310,1.0104,8.6571,12.206
2057,20180320,5.56,5.56,5.5,5.54,259480,1.0085,8.0421,12.4714
2058,20180321,5.6,5.6,5.5,5.51,234520,1.0031,8.0421,12.3822
2059,20180322,5.58,5.58,5.5,5.5,161240,1.0012,8.0421,12.2994
2060,20180323,5.4,5.45,5.12,5.4,167300,0.9825,3.9932,14.1799
2061,20180326,5.4,5.4,5.2,5.21,135970,0.9477,1.5715,15.9261
2062,20180327,5.25,5.35,5.25,5.31,150740,0.9656,5.8191,17.5476
2063,20180328,5.31,5.31,5.21,5.25,170670,0.9542,10.2848,19.2242
2064,20180329,5.26,5.26,5.18,5.2,148260,0.9444,13.9154,20.9097
2065,20180330,5.27,5.27,5.21,5.22,84060,0.9471,19.3228,22.3642
2066,20180402,5.22,5.22,5.1,5.21,253700,0.9442,24.7043,24.1923
2067,20180403,5.21,5.3,5.11,5.19,102900,0.9396,23.1808,25.0247
2068,20180404,5.19,5.22,5.1,5.18,442020,0.9368,22.4467,25.8476
2069,20180405,5.1,5.2,5.1,5.11,136550,0.9233,18.8161,26.6118
2070,20180406,5.15,5.35,5.14,5.33,306250,0.9618,33.4087,25.7668
2071,20180409,5.4,5.49,5.25,5.25,89860,0.9463,43.3749,24.0025
2072,20180410,5.33,5.33,5.13,5.2,68060,0.9362,51.6947,23.0279
2073,20180411,5.13,5.2,5.07,5.12,154290,0.9207,56.4756,22.4904
2074,20180412,5.3,5.3,5.12,5.2,84360,0.934,71.5136,21.2209
2075,20180413,5.29,5.29,5.06,5.08,114540,0.9117,60.4642,20.4293
2076,20180416,5.06,5.1,5.06,5.08,28240,0.9109,54.0671,19.6943
2077,20180417,4.96,5.16,4.96,5.08,96300,0.9102,50.4021,19.6478
2078,20180418,5.14,5.14,4.95,4.95,185060,0.8869,44.5324,19.6657
2079,20180419,4.95,4.95,4.7,4.7,281010,0.843,29.4944,20.9487
2080,20180420,4.9,4.9,4.72,4.85,77130,0.8705,29.579,22.1401
2081,20180423,4.7,4.94,4.7,4.7,72480,0.8444,25.7622,22.8585
2082,20180424,4.7,4.7,4.58,4.63,138260,0.8328,20.3115,24.0731
2083,20180426,4.63,4.63,4.31,4.31,218590,0.7767,17.6687,26.1246
2084,20180427,4.31,4.59,4.3,4.36,110530,0.7872,20.464,28.0583
2085,20180502,4.29,4.4,4.13,4.29,68240,0.7764,12.9526,30.3042
2086,20180503,4.18,4.28,3.99,3.99,367620,0.7242,7.8187,32.6984
2087,20180504,4.0,4.07,4.0,4.04,56990,0.7351,6.6892,34.9216
2088,20180507,4.06,4.06,4.0,4.05,62360,0.739,10.3342,36.986
2089,20180508,4.05,4.05,4.01,4.05,63670,0.741,11.1839,38.9029
2090,20180509,4.05,4.05,3.99,4.0,167510,0.734,12.3014,40.7348
2091,20180510,4.07,4.07,3.9,3.9,53160,0.718,13.1514,42.6606
2092,20180511,3.9,4.03,3.9,4.0,41070,0.7386,19.9283,44.4488
2093,20180514,4.0,4.01,3.9,4.0,59890,0.7409,25.4304,46.1093
2094,20180515,3.93,4.0,3.93,4.0,74020,0.7429,34.3248,47.6512
2095,20180516,3.94,4.0,3.94,3.98,65600,0.7411,45.4531,49.083
2096,20180517,3.98,3.99,3.9,3.9,74220,0.7282,57.4854,50.5372
2097,20180518,3.99,3.99,3.76,3.96,108770,0.7413,68.3383,52.2569
2098,20180521,3.97,3.97,3.82,3.9,29420,0.7321,75.4655,53.8538
2099,20180522,3.83,3.85,3.63,3.63,171000,0.6838,65.9193,55.718
2100,20180523,3.58,3.7,3.39,3.63,152490,0.6864,53.8198,57.7676
2101,20180524,3.63,3.63,3.53,3.55,45340,0.6738,40.9374,59.6708
2102,20180525,3.58,3.58,3.48,3.48,264600,0.6631,20.9374,61.4949
2103,20180528,3.5,3.5,3.24,3.24,85650,0.62,4.6631,63.4091
