,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
761,20171204,8.79,8.87,8.56,8.75,1797060,0.86,78.2415,30.6378
762,20171205,8.71,8.9,8.5,8.5,583720,0.8363,68.5542,30.3594
763,20171206,8.6,9.09,8.33,9.09,3564540,0.8946,64.3109,30.3538
764,20171207,9.6,9.72,9.1,9.72,3280910,0.9569,66.6387,31.0814
765,20171208,9.8,10.1,9.1,9.17,2466910,0.9041,63.6289,32.1276
766,20171211,9.2,9.59,9.0,9.42,909790,0.9306,62.8358,32.8479
767,20171212,9.5,10.05,9.43,10.05,5474780,0.9949,67.5514,33.9575
768,20171213,10.3,10.75,10.3,10.75,4030760,1.0653,75.3248,35.5369
769,20171214,11.1,11.5,10.0,11.5,11368760,1.1397,79.2651,37.4636
770,20171215,11.8,11.85,10.7,10.7,5568370,1.0605,79.4014,39.4365
771,20171218,10.35,10.8,10.15,10.15,2018530,1.0066,72.9102,40.0414
772,20171219,10.05,10.5,9.44,9.44,8527700,0.9376,58.5929,39.2678
773,20171220,9.11,10.1,9.07,10.1,3621150,1.004,43.8845,37.9382
774,20171221,10.5,10.5,9.53,9.6,992580,0.9554,25.2156,37.1093
775,20171222,9.6,10.25,9.44,10.25,3889400,1.0206,19.2953,36.1857
776,20171225,10.1,10.4,9.8,9.83,1748820,0.9804,14.5318,35.4889
777,20171226,9.74,10.2,9.72,9.73,1762610,0.973,14.7276,34.6905
778,20171227,9.73,10.4,9.05,9.07,5292750,0.9107,9.5355,32.7825
779,20171228,9.2,9.3,9.07,9.1,897620,0.9171,8.4123,31.0108
780,20171229,9.29,9.32,9.08,9.08,709370,0.9177,2.8947,29.3954
781,20180103,8.93,9.55,8.93,9.0,2929050,0.9116,1.1904,28.2428
782,20180104,9.0,9.19,8.96,8.96,698720,0.9103,0.2836,27.1726
783,20180105,9.0,9.01,8.71,8.71,1061580,0.888,0.2836,25.6713
784,20180108,8.8,8.9,8.49,8.5,1225380,0.8694,0.0757,23.8517
785,20180109,8.5,9.09,8.29,9.09,4001450,0.9317,9.3033,22.5067
786,20180110,9.2,9.3,8.95,8.95,829970,0.9201,16.6786,20.9576
787,20180111,8.85,9.2,8.85,9.0,1439070,0.9275,24.8536,19.6018
788,20180112,9.0,9.2,8.86,9.03,2042830,0.9328,33.5364,18.3428
789,20180115,9.03,9.19,8.9,8.9,2038980,0.9216,42.1347,17.1738
790,20180116,8.99,9.52,8.93,9.52,9769520,0.9884,52.8314,16.553
791,20180117,9.63,9.63,8.86,8.86,1191460,0.9237,53.2228,16.2087
792,20180118,8.9,8.95,8.24,8.48,3075430,0.8874,46.7767,15.6281
793,20180119,8.48,8.73,7.89,7.9,12659260,0.8299,38.094,15.7279
794,20180122,7.9,8.2,7.9,7.99,578110,0.8426,30.9505,15.8206
795,20180125,8.0,8.0,7.44,7.47,2604780,0.7908,10.9505,16.6722
796,20180126,7.46,7.65,7.4,7.5,459690,0.7973,3.6267,17.5247
797,20180129,7.67,7.67,7.2,7.2,886250,0.7687,1.8978,18.6247
798,20180130,7.02,7.39,7.02,7.26,757350,0.7783,2.7842,19.9113
799,20180131,7.22,7.39,7.15,7.18,541260,0.7728,1.577,21.106
800,20180201,7.18,7.3,6.85,6.89,1132780,0.745,1.577,22.6529
801,20180202,6.89,7.05,6.61,6.76,472510,0.7343,1.1341,24.4036
802,20180205,6.6,6.77,6.29,6.29,1028080,0.6868,1.1341,26.4044
803,20180206,5.85,6.1,5.85,5.85,2194250,0.6424,0.2477,28.6985
804,20180207,6.2,6.25,6.15,6.25,9112700,0.6899,6.1353,30.3193
805,20180208,6.29,6.6,6.2,6.24,6574670,0.6924,13.3679,30.726
806,20180209,5.82,6.15,5.81,5.89,5566330,0.6573,18.9497,31.6002
807,20180212,5.86,6.09,5.83,5.9,1324770,0.6621,24.776,32.4119
808,20180213,5.9,5.98,5.49,5.55,6314750,0.6271,28.0717,33.5689
809,20180221,5.55,5.71,5.55,5.58,1429670,0.6346,26.2769,34.6432
810,20180222,5.58,5.64,5.4,5.51,1689110,0.6306,22.9295,35.8177
811,20180223,5.55,5.57,5.45,5.53,2027850,0.6369,22.1254,36.9083
812,20180226,5.53,5.59,5.2,5.22,2283360,0.6052,16.2992,38.2188
813,20180227,5.22,5.35,5.1,5.22,1977330,0.6092,13.0035,39.5489
814,20180228,5.22,5.28,5.0,5.1,2798320,0.5991,8.663,40.8972
815,20180301,5.17,5.19,4.9,5.13,2693250,0.6066,6.8544,42.2622
816,20180302,5.01,5.14,5.0,5.01,1961550,0.5961,2.0766,43.5297
817,20180305,5.01,5.1,4.89,5.0,2391290,0.5983,2.0766,44.839
818,20180306,4.99,5.05,4.8,4.88,2115750,0.5878,2.0766,46.1615
819,20180307,4.88,5.22,4.88,5.22,3362450,0.6332,22.0766,46.5279
820,20180308,5.55,5.56,5.0,5.07,6619770,0.6192,36.384,45.3851
821,20180309,5.13,5.13,4.92,5.0,2677400,0.6147,51.1034,44.4907
822,20180312,4.9,5.0,4.87,4.9,1883060,0.6067,63.4369,43.7663
823,20180313,4.84,4.89,4.79,4.81,1686690,0.5998,73.6392,43.2658
824,20180314,4.78,4.99,4.76,4.85,1572660,0.6091,66.4815,42.341
825,20180315,4.89,5.04,4.83,4.86,1740070,0.6149,63.6341,41.252
826,20180316,4.93,5.0,4.86,4.93,598660,0.6282,67.4769,40.2408
827,20180319,4.93,5.03,4.92,4.93,1008700,0.6326,73.7056,39.1483
828,20180320,4.95,4.95,4.82,4.82,1519690,0.623,78.3474,38.4407
829,20180321,4.82,4.94,4.8,4.81,712880,0.6263,80.0095,37.8452
830,20180322,4.86,4.86,4.75,4.79,1458580,0.628,80.2583,37.4508
831,20180323,4.72,4.72,4.46,4.5,3001080,0.5938,66.2117,37.8847
832,20180326,4.5,4.6,4.4,4.4,1033290,0.5841,47.6495,38.4311
833,20180327,4.59,4.6,4.48,4.49,1455700,0.5996,42.4651,38.9385
834,20180328,4.49,4.49,4.42,4.44,752430,0.5966,35.6996,39.5637
835,20180329,4.44,4.45,4.35,4.36,658130,0.5896,26.6042,40.3214
836,20180330,4.35,4.4,4.35,4.37,541850,0.5945,27.9739,41.025
837,20180402,4.4,4.42,4.31,4.32,825050,0.5907,31.8045,41.7868
838,20180403,4.32,4.37,4.17,4.17,1243850,0.5729,22.1448,42.8496
839,20180404,4.17,4.2,4.07,4.12,846750,0.5688,14.406,44.0637
840,20180405,4.16,4.24,4.11,4.17,785180,0.5785,15.4429,44.8411
841,20180406,4.18,4.2,4.14,4.15,550270,0.5784,15.703,45.563
842,20180409,4.17,4.2,4.12,4.13,720570,0.5784,17.1919,46.2895
843,20180410,4.13,4.13,4.0,4.0,1320860,0.563,17.1919,47.2848
844,20180411,4.08,4.08,3.86,3.9,766970,0.5516,17.1919,48.5301
845,20180412,3.9,3.92,3.82,3.83,712940,0.5445,11.4649,49.7711
846,20180413,3.86,3.86,3.74,3.76,1016610,0.5369,5.3196,51.0878
847,20180416,3.76,3.76,3.67,3.73,532750,0.5347,0.0,52.4463
848,20180417,3.73,3.84,3.73,3.77,509950,0.5428,6.9805,52.8748
849,20180418,3.82,4.03,3.82,4.03,1239760,0.5828,26.9805,51.5844
850,20180419,4.15,4.3,4.05,4.05,2085000,0.5888,46.9805,48.5964
851,20180420,4.1,4.23,4.05,4.14,730570,0.605,66.9805,45.8218
852,20180423,4.02,4.13,3.86,3.86,977210,0.5672,80.4335,44.0945
853,20180424,3.8,3.89,3.7,3.75,574140,0.5541,84.8475,43.0878
854,20180426,3.72,3.75,3.51,3.51,763040,0.5221,72.4541,42.7533
855,20180427,3.46,3.6,3.46,3.6,537400,0.5395,63.5607,42.5875
856,20180502,3.56,3.64,3.56,3.56,230540,0.538,54.0038,42.157
857,20180503,3.56,3.57,3.4,3.5,581890,0.5341,49.9945,42.2383
858,20180504,3.5,3.58,3.45,3.55,513680,0.5464,50.1602,42.2412
859,20180507,3.55,3.57,3.51,3.55,219380,0.5506,54.114,42.2438
860,20180508,3.58,3.79,3.58,3.79,652760,0.5924,63.0074,40.6886
861,20180509,4.05,4.05,4.0,4.0,2420660,0.6299,72.5643,37.8399
862,20180510,4.0,4.12,3.85,3.9,1217430,0.6186,80.4241,35.8471
863,20180511,3.8,3.98,3.8,3.9,507850,0.6238,86.1673,34.2024
864,20180514,3.98,4.03,3.9,3.98,992010,0.6424,94.4075,32.4068
865,20180515,4.01,4.02,3.92,3.95,226260,0.643,93.2813,30.7394
866,20180516,3.95,3.96,3.9,3.91,379360,0.6423,90.8952,29.29
867,20180517,3.98,3.98,3.89,3.9,294240,0.6472,90.8798,27.8169
868,20180518,3.9,3.97,3.83,3.91,272170,0.6563,91.018,26.772
869,20180521,3.95,3.99,3.88,3.89,312970,0.6614,87.8481,25.6606
870,20180522,3.89,3.9,3.7,3.72,555040,0.6401,79.3928,25.5466
871,20180523,3.72,3.78,3.46,3.78,1271640,0.6576,74.2133,26.3742
872,20180524,3.8,3.8,3.6,3.66,213530,0.6432,64.8451,26.9937
873,20180525,3.62,3.7,3.55,3.55,160700,0.6311,47.4033,27.7514
874,20180528,3.53,3.55,3.31,3.33,1424040,0.5987,30.7728,29.2081
875,20180529,3.33,3.51,3.3,3.47,948130,0.6315,27.2863,30.5887
876,20180530,3.47,3.47,3.36,3.36,254810,0.6188,19.0149,31.8706
877,20180531,3.43,3.44,3.37,3.4,230080,0.6336,17.1839,33.061
878,20180601,3.45,3.63,3.45,3.63,921130,0.6833,33.9288,32.5588
879,20180604,3.79,3.88,3.75,3.88,984140,0.7377,53.9288,30.5013
880,20180605,4.14,4.14,3.91,3.92,1402860,0.7526,66.9968,29.2792
881,20180606,3.86,3.91,3.76,3.76,730260,0.7293,78.563,27.3903
882,20180607,3.87,4.02,3.86,3.99,2712370,0.7814,92.4741,26.1117
883,20180608,3.99,4.0,3.86,3.9,615740,0.771,93.5034,24.9244
884,20180611,3.86,3.98,3.86,3.9,393070,0.7781,91.2776,23.8219
885,20180612,3.86,3.89,3.76,3.85,1040130,0.7763,87.7404,22.2338
886,20180613,3.85,3.86,3.81,3.85,271020,0.7843,88.474,20.7591
887,20180614,3.8,3.88,3.79,3.82,343980,0.7865,84.0752,19.3898
888,20180615,3.77,4.0,3.77,3.8,450360,0.7909,80.3679,18.8043
889,20180618,3.84,3.89,3.75,3.75,495720,0.789,74.8665,18.1239
890,20180619,3.74,3.78,3.56,3.57,822080,0.7606,63.6516,17.3355
891,20180620,3.69,3.69,3.53,3.61,511310,0.7778,49.6383,16.7682
892,20180621,3.6,3.77,3.51,3.61,293730,0.7861,36.4868,15.7213
893,20180622,3.61,3.65,3.58,3.64,304430,0.8,26.8754,14.7492
894,20180625,3.64,3.7,3.6,3.62,267830,0.8034,17.9597,13.8806
895,20180626,3.6,3.63,3.57,3.63,636750,0.8125,16.8123,12.9159
896,20180627,3.65,3.76,3.63,3.63,304780,0.8196,19.4652,12.8182
897,20180628,3.68,3.68,3.51,3.63,307720,0.8263,22.1182,11.9192
898,20180629,3.55,3.65,3.55,3.59,199200,0.824,19.6028,11.0844
899,20180702,3.6,3.6,3.49,3.52,406090,0.8148,16.2458,10.7205
900,20180703,3.57,3.57,3.4,3.4,429470,0.7934,12.1452,10.9551
901,20180704,3.4,3.45,3.34,3.42,367240,0.8044,8.9622,11.5273
902,20180705,3.45,3.45,3.3,3.33,193820,0.7887,3.8597,12.2888
903,20180706,3.3,3.4,3.3,3.34,459980,0.7958,3.1863,12.9959
904,20180709,3.3,3.4,3.3,3.33,446490,0.799,3.8225,13.6525
905,20180710,3.33,3.38,3.3,3.31,295380,0.7998,3.8225,14.2622
906,20180711,3.32,3.32,3.2,3.2,362450,0.7783,1.9029,15.484
907,20180712,3.36,3.41,3.21,3.36,656100,0.8223,16.7536,15.6558
908,20180713,3.42,3.59,3.42,3.59,902480,0.8828,35.4868,14.7837
909,20180716,3.81,3.84,3.71,3.78,1706340,0.9337,54.8507,15.4431
910,20180717,3.78,3.78,3.62,3.67,473570,0.9106,71.5845,15.3796
911,20180718,3.67,3.75,3.65,3.71,474740,0.9247,89.2457,15.3207
912,20180719,3.65,3.79,3.64,3.65,709570,0.9133,90.2895,15.4969
913,20180720,3.63,3.84,3.63,3.78,1160250,0.9493,89.2242,15.9451
914,20180723,3.85,4.04,3.78,3.85,1503840,0.9699,89.2242,17.3264
915,20180724,3.85,3.95,3.78,3.85,641100,0.9731,92.4903,18.609
916,20180725,3.85,4.11,3.85,4.11,4683480,1.0411,94.8292,20.4384
917,20180726,4.2,4.25,3.93,4.0,1582840,1.0158,96.1548,22.596
918,20180727,4.0,4.06,3.92,3.97,681900,1.0106,93.7117,24.505
919,20180730,3.95,3.95,3.7,3.72,2614370,0.9506,84.9715,24.4409
920,20180731,3.7,3.88,3.7,3.8,900520,0.9742,74.3261,24.3814
921,20180801,3.87,3.9,3.8,3.8,804000,0.9772,57.4552,24.4234
922,20180802,3.79,3.8,3.65,3.73,991460,0.9621,40.2351,23.3386
923,20180803,3.72,3.79,3.66,3.69,394440,0.9545,23.7436,22.3313
924,20180806,3.66,3.7,3.63,3.64,549130,0.9445,12.4838,21.1746
925,20180807,3.68,3.68,3.6,3.6,442770,0.9372,3.1292,19.8757
