,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2481,20171204,8.7516,9.1724,8.7516,9.0886,1050930,1.2376,95.4025,34.5404
2482,20171205,9.0882,9.2565,8.8358,8.9624,559070,1.2148,89.9116,36.9013
2483,20171206,9.0041,9.0882,8.7516,8.9624,406050,1.2088,87.5533,38.4639
2484,20171207,8.962,8.962,8.6675,8.8362,381020,1.1867,78.0697,39.3077
2485,20171208,8.8358,8.9199,8.6675,8.6679,513590,1.1597,60.6036,40.0912
2486,20171211,8.5833,8.7516,8.3309,8.5837,449810,1.1448,40.6036,38.682
2487,20171212,8.5833,8.6254,8.2046,8.5416,485330,1.1363,26.0945,36.7333
2488,20171213,8.4992,8.5833,8.3224,8.4996,360360,1.1283,11.5854,34.9238
2489,20171214,8.415,8.8358,8.415,8.8362,627060,1.1701,10.3706,34.1752
2490,20171215,8.7095,8.8358,8.5833,8.8362,404530,1.1666,15.6734,33.4801
2491,20171218,8.7516,8.8358,8.5833,8.752,337720,1.1528,20.6893,32.8346
2492,20171219,8.7516,8.8358,8.5412,8.752,460570,1.1509,25.7052,31.9708
2493,20171220,8.6675,8.8358,8.4992,8.6679,447330,1.1387,27.8067,30.9017
2494,20171221,8.6675,8.7516,8.4992,8.752,358550,1.1483,24.3288,29.9089
2495,20171222,8.7516,8.8358,8.5833,8.8362,397640,1.1572,24.9931,29.3852
2496,20171225,8.7516,9.0882,8.6675,9.0045,848740,1.1763,33.5223,29.8843
2497,20171226,8.962,9.1303,8.8358,9.0886,1208260,1.1845,48.5064,30.4887
2498,20171227,9.0041,9.4669,8.8358,9.4673,1428440,1.2306,66.4049,31.9781
2499,20171228,9.4248,9.509,9.1724,9.3411,672880,1.2108,77.0,33.457
2500,20171229,9.2565,9.3827,9.0882,9.299,541470,1.2019,81.8147,34.2183
2501,20180103,9.1724,9.2565,9.0041,9.0045,571680,1.1609,71.4942,34.3392
2502,20180104,9.0041,9.2565,9.0041,9.1728,503500,1.1794,56.7178,34.4515
2503,20180105,9.0882,9.3407,9.0882,9.1728,477090,1.176,41.9413,34.8396
2504,20180108,9.1724,9.2144,9.0041,9.0886,676380,1.1616,29.0506,34.5752
