,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1964,20171204,8.6729,9.2457,8.5911,9.2461,10083160,1.0232,44.304,10.4436
1965,20171205,9.082,9.8184,9.0411,9.5325,7765980,1.0551,58.1862,13.4442
1966,20171206,9.2866,9.9411,9.2048,9.5734,8246440,1.0596,72.0683,16.4412
1967,20171207,9.3275,9.6548,9.1638,9.4098,5074780,1.0416,81.0064,18.9817
1968,20171208,9.2457,9.4911,9.1229,9.1234,4285040,1.0104,82.8622,21.0918
1969,20171211,9.0002,9.1229,8.9184,9.0007,2994490,0.9974,67.9891,21.8857
1970,20171212,9.0002,9.082,8.5911,8.9598,3351590,0.9935,52.2343,21.1194
1971,20171213,8.9593,9.082,8.8775,8.9598,3230210,0.9941,35.6734,20.4078
1972,20171214,8.9593,9.4093,8.9593,9.328,5446270,1.0352,31.7273,20.7362
1973,20171215,9.2457,9.4911,8.7138,8.7143,22717470,0.968,23.9209,20.0426
1974,20171218,8.7547,9.2866,8.7138,9.2871,8226210,1.0319,27.4892,19.3985
1975,20171219,9.1638,9.3684,9.082,9.1234,4297060,1.0142,29.4126,19.0637
1976,20171220,8.9184,9.0002,8.7547,8.8779,7282740,0.9876,28.6316,17.8922
1977,20171221,8.9184,8.9593,8.6729,8.7143,3223060,0.97,18.0121,17.0767
1978,20171222,8.7547,8.8775,8.6729,8.7552,2847410,0.9754,19.1609,16.3195
1979,20171225,8.7957,8.8775,8.632,8.6734,3009700,0.9673,10.4658,15.7647
1980,20171226,8.7138,8.8366,8.632,8.7552,3260820,0.9775,6.213,15.2495
1981,20171227,8.7547,8.7957,8.5502,8.6734,3853780,0.9693,3.8855,15.0911
1982,20171228,8.6729,8.7547,8.5502,8.6734,4980710,0.9701,3.7258,14.944
1983,20171229,8.6729,8.7547,8.5911,8.6734,5151900,0.9707,2.9076,14.8075
1984,20180103,8.7138,9.082,8.632,8.9188,6782770,0.9984,11.7867,14.4068
1985,20180104,8.8366,9.082,8.8366,9.0416,6287380,1.0123,22.5859,14.0347
1986,20180105,8.9184,9.0002,8.8366,8.8779,4328700,0.9942,31.7338,13.6892
1987,20180108,8.8775,8.9184,8.7138,8.837,3936640,0.9899,39.0639,12.7126
1988,20180109,8.8366,9.2048,8.7547,9.0007,6557520,1.0082,56.5107,13.0527
1989,20180110,8.8775,9.2866,8.8775,9.1234,7446810,1.0218,67.6317,13.6694
1990,20180111,8.9593,9.2048,8.9184,9.0825,6321480,1.0172,72.7932,14.2421
1991,20180112,8.9593,9.5729,8.9593,9.2052,11275550,1.0309,83.3147,15.9506
1992,20180115,9.1638,9.4911,9.1638,9.3689,7351380,1.0491,95.654,17.537
1993,20180116,9.3275,9.4093,9.1638,9.328,4737850,1.0444,96.2045,19.0101
1994,20180117,9.2457,9.3275,8.9184,8.9188,3804990,0.9988,80.3582,18.9071
1995,20180118,8.8775,9.1229,8.7547,9.0825,4493960,1.017,71.5193,17.9992
1996,20180119,9.082,9.2866,9.0411,9.0825,4791330,1.0168,60.557,17.7882
1997,20180122,9.0002,9.1638,8.9593,8.9598,3560910,1.0032,41.6717,17.1953
1998,20180125,8.9184,9.0002,8.7957,8.9598,3261740,1.0032,24.4585,16.0264
1999,20180126,8.9184,9.0002,8.8366,8.9598,4049540,1.0033,21.4195,14.941
2000,20180129,8.8775,9.1229,8.8775,8.9598,5323560,1.0033,13.4965,14.3601
2001,20180130,8.9184,8.9593,8.8366,8.837,4327420,0.9898,4.4588,13.6187
2002,20180131,8.8366,8.9184,8.5911,8.6734,5223250,0.9719,3.3441,13.4471
2003,20180201,8.632,8.6729,8.3866,8.5506,2610140,0.9586,2.2294,14.0228
2004,20180202,8.5502,8.5502,8.3866,8.5097,1779100,0.9545,1.1147,14.5574
2005,20180205,8.5502,8.7138,8.3047,8.3461,3058160,0.9369,0.0,14.2111
2006,20180206,7.7647,8.1002,7.7647,7.7651,3423190,0.8732,0.0,15.5443
2007,20180207,7.9775,8.2638,7.8547,8.0188,1630770,0.9029,6.2292,16.0491
2008,20180208,8.0184,8.0184,7.6911,7.8551,805670,0.8857,10.7586,16.9424
