,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2420,20171106,5.4628,5.4628,5.1294,5.3004,30180,1.0705,19.4967,15.5228
2421,20171107,5.3004,5.3688,5.2576,5.3004,14970,1.0673,24.9895,15.5586
2422,20171108,5.4707,5.4707,5.2399,5.326,15020,1.0692,35.9654,14.9328
2423,20171109,5.2998,5.3169,5.1288,5.2918,17130,1.0592,45.1598,14.9202
2424,20171110,5.2912,5.2912,5.0433,5.0781,13180,1.0142,45.5003,15.311
2425,20171113,5.1294,5.1294,4.8729,5.1294,21600,1.0221,38.3475,16.3804
2426,20171114,5.0433,5.1288,4.8724,5.0439,43830,1.0029,27.4964,17.3753
2427,20171115,5.1294,5.2149,5.0439,5.1294,23910,1.0174,20.8253,17.6677
2428,20171116,5.1294,5.2149,5.0439,5.1978,20890,1.0283,20.4149,17.9392
2429,20171117,5.1294,5.2149,5.0781,5.1038,55640,1.0073,28.9297,18.1913
2430,20171120,5.1294,5.2149,5.1294,5.2149,25260,1.0265,44.8692,18.4254
2431,20171121,5.2149,5.3004,5.1294,5.2577,10290,1.0323,64.7421,17.9219
2432,20171122,5.2918,5.2918,5.1807,5.2662,49710,1.0313,78.841,17.4544
2433,20171123,5.2149,5.2833,5.2149,5.2662,53870,1.0287,88.6202,17.0203
2434,20171124,5.5049,5.5049,5.2998,5.3944,29850,1.0515,99.7649,16.6781
2435,20171127,5.3859,5.4201,5.3004,5.3004,55400,1.0313,94.7003,16.3604
2436,20171128,5.3004,5.4115,5.3004,5.3688,32290,1.042,92.8178,16.0654
2437,20171129,5.4628,5.4628,5.3004,5.3175,70060,1.0295,88.0503,16.1535
2438,20171130,5.3004,5.4714,5.2662,5.2833,99690,1.0205,81.3833,15.9017
2439,20171201,5.3004,5.5569,5.3004,5.5398,143430,1.0669,81.3833,16.272
2440,20171204,5.5569,5.8048,5.4714,5.5825,57900,1.0721,86.683,17.9241
2441,20171205,5.7193,5.7278,5.5569,5.6424,39180,1.0804,88.5655,19.4582
2442,20171206,5.3004,5.6594,5.3004,5.6338,56510,1.0756,92.862,18.7136
2443,20171207,5.5996,5.5996,5.5996,5.5996,50,1.0659,96.3383,18.0222
2444,20171208,5.3852,5.5477,5.3852,5.5483,60,1.0533,88.4167,17.4475
2445,20171211,5.5562,5.5562,5.428,5.5483,22710,1.0502,80.2803,16.8558
2446,20171212,5.3004,5.4714,5.3004,5.4714,88060,1.0328,65.471,16.9988
2447,20171213,5.4707,5.4707,5.2998,5.4457,730,1.0252,48.9955,17.1347
2448,20171214,5.4457,5.8219,5.3175,5.8219,618100,1.0924,52.1862,16.7177
2449,20171215,5.8988,6.2237,5.8988,6.2237,482640,1.1637,60.1078,17.8406
2450,20171218,6.6255,6.6255,6.1553,6.1553,64900,1.1476,65.5541,19.869
2451,20171219,6.0698,6.2408,5.8988,6.1553,120280,1.145,77.6733,20.4664
2452,20171220,5.9843,6.1553,5.8988,5.9758,75120,1.1098,84.2062,21.0211
2453,20171221,5.9843,6.1553,5.8133,5.9758,74980,1.108,73.7925,21.12
2454,20171222,5.8475,6.3861,5.8475,6.3263,161400,1.1702,70.0967,21.8585
2455,20171225,6.1553,6.3177,6.1553,6.2408,62360,1.1517,65.849,22.5443
2456,20171226,6.3263,6.3263,6.1553,6.2408,29240,1.1491,61.6013,23.2056
2457,20171227,6.2408,6.2408,5.8988,6.1724,36700,1.1337,62.3698,22.5132
2458,20171228,6.1382,6.1382,5.8988,5.9843,45320,1.0969,56.4566,21.8702
2459,20171229,6.2237,6.2237,5.7962,6.1211,34290,1.1195,47.0779,20.7827
2460,20180103,5.9758,5.9758,5.8133,5.9758,70240,1.0906,36.3078,19.7729
2461,20180104,6.1118,6.1118,5.8981,5.8988,25500,1.0745,23.2456,19.4025
2462,20180105,5.7449,5.8988,5.7449,5.7535,24730,1.0463,12.8908,18.2929
2463,20180108,5.7528,5.8981,5.7528,5.8988,33160,1.0707,13.0192,17.2625
2464,20180109,5.8981,5.8981,5.7272,5.8988,58340,1.0689,9.8953,16.1736
