,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1831,20171130,3.6744,3.6744,3.6613,3.6682,37420,0.9686,65.0202,19.0305
1832,20171201,3.6613,3.6874,3.6613,3.6682,52160,0.9691,69.2731,18.7758
1833,20171204,3.6613,3.6744,3.6547,3.6682,64870,0.9696,62.1946,18.3954
1834,20171205,3.6547,3.6678,3.6547,3.6551,97180,0.9667,56.3302,18.0422
1835,20171206,3.6482,3.6744,3.6482,3.6682,10750,0.9709,56.7781,17.8368
1836,20171207,3.6744,3.6744,3.6613,3.6617,22470,0.9697,56.536,17.6461
1837,20171208,3.6613,3.7136,3.6613,3.714,1670,0.9841,64.8571,18.1972
1838,20171211,3.7136,3.7136,3.5371,3.6878,3500,0.9776,65.0634,17.6898
1839,20171212,3.609,3.6874,3.609,3.6682,340,0.9729,63.572,17.2187
1840,20171213,3.6678,3.6678,3.6547,3.6617,20520,0.9718,53.9068,16.7812
1841,20171214,3.6678,3.707,3.6547,3.6617,112620,0.9723,46.8318,15.6062
1842,20171215,3.6613,3.6613,3.6547,3.6551,18520,0.9711,29.0987,14.5152
1843,20171218,3.5959,3.6678,3.5959,3.6617,20840,0.9734,22.2336,14.5423
1844,20171219,3.6613,3.6613,3.6613,3.6617,24590,0.9739,21.0304,14.5675
1845,20171220,3.6482,3.6744,3.6482,3.6617,5080,0.9744,21.6888,14.8203
1846,20171221,3.6613,3.6613,3.6613,3.6617,5780,0.9749,22.3471,15.055
1847,20171222,3.6351,3.6547,3.6351,3.6551,10000,0.9737,22.2179,15.7437
1848,20171225,3.6613,3.6744,3.6547,3.6748,75230,0.9794,28.8729,15.8383
1849,20171226,3.6744,3.6744,3.6744,3.6748,28610,0.9802,35.5279,15.9261
1850,20171227,3.7267,3.7267,3.6744,3.6813,4560,0.9826,46.0821,14.8949
1851,20171228,3.6613,3.6678,3.6547,3.6617,23940,0.9778,46.4694,14.1626
1852,20171229,3.6613,3.6678,3.6155,3.6617,11140,0.9782,49.7391,14.2633
1853,20180103,3.6547,3.6678,3.6547,3.6682,12030,0.9803,49.2344,14.3568
1854,20180104,3.6547,3.6678,3.6547,3.6617,14490,0.979,43.4902,14.4437
1855,20180105,3.6613,3.6613,3.6482,3.6617,18890,0.9795,33.8468,14.6642
1856,20180108,3.6613,3.694,3.6547,3.6617,10860,0.98,34.3703,13.932
1857,20180109,3.6547,3.6547,3.6547,3.6551,2000,0.9787,28.9629,13.2521
1858,20180110,3.6547,3.694,3.6547,3.6682,9700,0.9826,32.1747,12.9943
1859,20180111,3.6678,3.779,3.6678,3.7794,45760,1.0125,46.2438,14.2956
