,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
601,20171204,5.4314,5.4314,5.2979,5.3424,340530,0.885,80.1829,37.1434
602,20171205,5.4136,5.4136,5.2534,5.2712,580370,0.8756,71.3294,35.673
603,20171206,5.0842,5.2712,5.0842,5.2712,349920,0.8779,66.7447,35.2877
604,20171207,5.2712,5.2712,5.2534,5.2623,273820,0.8786,61.9235,34.9299
605,20171208,5.2177,5.2712,5.2177,5.2623,151630,0.881,57.1023,34.7903
606,20171211,5.2712,5.2712,5.2623,5.2623,376510,0.8833,55.0233,34.6607
607,20171212,5.2623,5.6006,5.2534,5.565,1719150,0.9362,63.8768,32.6102
608,20171213,5.654,5.9479,5.654,5.9479,511400,1.0021,72.7303,32.382
609,20171214,6.3486,6.3575,6.2328,6.2328,1059860,1.0511,81.8202,33.3833
610,20171215,5.9561,6.1342,5.8315,5.8321,569730,0.9848,81.3437,32.1957
611,20171218,5.6089,5.9383,5.6089,5.8232,308730,0.9841,80.6956,30.1931
612,20171219,5.6718,5.7876,5.4314,5.5383,388150,0.9369,66.0643,28.3703
613,20171220,5.3418,5.6089,5.3418,5.3869,291140,0.9126,49.3064,26.9777
614,20171221,5.3869,5.565,5.3424,5.565,117240,0.9439,35.1578,25.6846
615,20171222,5.565,5.565,5.476,5.5205,162910,0.9378,29.9275,24.4839
616,20171225,5.4314,5.5561,5.4314,5.5205,229080,0.9391,24.8688,23.5425
617,20171226,5.5199,5.5199,5.4308,5.4403,510580,0.927,23.4528,22.6708
618,20171227,5.476,5.5116,5.4403,5.5116,857280,0.9406,25.3657,21.8613
619,20171228,5.5116,5.5116,5.4047,5.4938,146070,0.9389,24.3671,21.2736
620,20171229,5.4938,5.4938,5.3424,5.4938,226040,0.9402,21.086,21.0148
621,20180103,5.4308,5.4308,5.3329,5.4314,241430,0.9309,16.4271,20.8191
622,20180104,5.4308,5.4308,5.3418,5.3958,370200,0.9262,12.4744,20.6374
623,20180105,5.3863,5.3952,5.324,5.3691,165370,0.923,7.3194,20.5633
624,20180108,5.378,5.3869,5.2979,5.2979,294160,0.9122,2.4667,20.6378
625,20180109,5.2979,5.3335,5.2445,5.3335,247070,0.9197,4.4482,20.9988
626,20180110,5.3424,5.4136,5.2801,5.3424,145660,0.9228,8.816,20.6369
627,20180111,5.3424,5.3424,5.2534,5.3424,217060,0.9244,13.7283,20.4637
628,20180112,5.3424,5.3424,5.2801,5.3335,136790,0.9246,18.3884,20.3028
629,20180115,5.3424,5.3424,5.2623,5.3424,218810,0.9278,24.482,20.2734
630,20180116,5.2979,5.3424,5.2801,5.3246,152780,0.9265,24.3502,20.2461
631,20180117,5.3335,5.3335,5.2801,5.3246,118430,0.9278,23.2099,20.2207
632,20180118,5.3246,5.3424,5.289,5.3335,493430,0.9308,24.2918,20.0887
633,20180119,5.3424,5.3513,5.2979,5.3335,293640,0.9323,25.6259,19.8524
634,20180122,5.3335,5.3424,5.2801,5.3335,95810,0.9338,28.317,19.8004
635,20180125,5.3424,5.3424,5.2534,5.3246,752350,0.9337,32.8662,20.0034
636,20180126,5.3068,5.3068,5.2534,5.2979,151520,0.9308,29.0942,20.1919
637,20180129,5.3068,5.3335,4.9684,5.2979,277440,0.9325,23.1001,22.3013
638,20180130,5.2979,5.2979,5.1821,5.2979,49720,0.9343,17.1059,24.26
639,20180131,5.2083,5.2528,5.2083,5.2088,54130,0.9208,8.3211,26.0788
640,20180201,5.2083,5.2083,5.1103,5.1287,132180,0.9089,0.0,28.237
641,20180202,5.1281,5.1281,5.0035,5.1287,135060,0.9109,0.0,30.6563
642,20180205,4.9862,5.1198,4.9862,5.0308,61420,0.8959,0.0,32.9641
643,20180206,4.7904,4.8082,4.6835,4.7904,218700,0.8557,0.0,35.8989
644,20180207,4.9417,5.0753,4.8794,5.0753,236150,0.909,17.2731,35.8708
645,20180208,5.1459,5.1637,4.8967,5.1643,157810,0.9271,37.2731,35.1366
