,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
960,20171204,24.8468,25.3302,24.6534,24.6534,1010470,1.199,20.8021,42.2945
961,20171205,24.8442,24.8442,24.0708,24.0733,2429510,1.1672,20.8021,41.6941
962,20171206,23.88,24.0733,23.6866,24.025,1856030,1.1613,13.7091,40.4076
963,20171207,24.17,24.315,23.7349,24.17,642950,1.1648,7.6119,39.4807
964,20171208,24.2183,24.3634,23.8316,24.17,853010,1.1615,6.1182,38.6743
965,20171211,23.1065,23.9766,23.1065,23.2032,1236890,1.1123,3.0831,36.6012
966,20171212,23.2032,23.5899,21.608,23.2999,2619460,1.1142,4.0518,35.2046
967,20171213,23.2975,23.3941,22.8625,23.1065,2017220,1.1029,4.0518,33.9077
968,20171214,23.0098,23.6866,22.4781,23.6383,1472190,1.1259,7.6352,33.1037
969,20171215,23.3941,23.6358,23.0558,23.4932,642650,1.1168,9.8073,32.3571
970,20171218,23.4932,23.6866,23.3966,23.5416,1023650,1.1171,13.9869,31.5741
971,20171219,23.5416,23.88,23.2999,23.2999,939300,1.1043,14.7451,30.4974
972,20171220,23.2999,23.88,23.2515,23.6866,873610,1.1211,20.893,29.5617
973,20171221,23.6866,23.9766,23.3966,23.3966,1312160,1.1061,18.6626,28.5035
974,20171222,23.1065,23.3966,22.7198,23.0582,1931970,1.0893,14.949,28.4074
975,20171225,23.3941,23.4908,22.9108,23.0098,572480,1.086,10.7694,28.1242
976,20171226,23.0098,23.2999,22.7198,23.2999,1009560,1.0985,14.2438,28.1017
977,20171227,23.4425,23.8292,23.2491,23.5899,1201510,1.1109,18.0543,27.0094
978,20171228,23.5899,24.2667,23.5899,23.9283,1382650,1.1246,35.1596,25.233
979,20171229,24.2183,24.6534,23.9283,24.6534,2593290,1.156,55.1596,23.8805
980,20180103,26.1009,26.1492,25.6176,25.9102,2458110,1.2114,75.1596,24.3379
981,20180104,25.9076,26.7776,25.6659,26.6353,4424190,1.2415,89.9584,25.2796
982,20180105,26.5843,26.6326,26.0526,26.4903,1908830,1.2308,98.6942,26.154
983,20180108,26.7804,27.2638,26.4903,26.9254,2053870,1.2466,98.6852,27.4473
984,20180109,26.9226,27.0193,25.1342,26.4903,4214750,1.222,94.8374,26.5901
985,20180110,26.4903,27.3121,26.3936,26.5387,2817750,1.22,91.1663,26.0622
986,20180111,26.587,26.8287,26.2486,26.6837,1566970,1.2223,88.0427,25.3751
987,20180112,26.297,26.6353,26.2003,26.3453,2484840,1.2025,83.1095,24.6687
988,20180115,26.1492,26.7776,25.8592,26.3936,1787190,1.2006,77.1015,23.5271
989,20180116,26.442,26.9737,26.3453,26.7804,2368450,1.2139,75.9922,22.6964
990,20180117,26.7804,27.1671,26.1036,26.1036,2847680,1.1795,65.847,21.5685
991,20180118,25.7169,26.2003,25.4268,26.2003,1833010,1.18,53.0094,20.4399
992,20180119,26.2942,26.3909,25.7142,26.0069,3553540,1.1676,39.2484,19.1297
993,20180122,26.0069,27.6505,25.9586,27.5055,5040120,1.2301,37.2706,19.0581
994,20180125,28.131,29.3877,27.841,29.3907,7986250,1.3089,42.2277,20.321
995,20180126,31.421,31.421,30.4542,31.421,5677170,1.3924,56.044,22.5001
996,20180129,31.9044,33.5963,31.9044,33.4513,4395390,1.4738,72.0052,25.2408
997,20180130,31.7594,34.8048,31.7594,34.8048,3283230,1.5234,92.0052,28.09
998,20180131,35.965,36.0133,33.0646,33.0646,1755870,1.4391,91.1542,30.9971
999,20180201,33.3546,33.4029,31.8077,32.5812,1894280,1.4102,80.1505,32.4285
1000,20180202,32.1944,33.1612,32.0011,32.5812,1771520,1.4022,69.1468,33.7576
1001,20180205,32.0978,32.2911,30.3092,30.3092,2790640,1.2986,49.1468,33.4702
1002,20180206,28.2306,29.7774,28.2306,28.2306,3316700,1.2052,29.1468,31.746
1003,20180207,30.1642,30.1642,29.004,30.1642,2058050,1.2822,21.551,30.3429
1004,20180208,30.1642,31.711,30.1642,31.131,2043470,1.3169,17.6573,29.77
1005,20180209,29.001,31.9011,28.9527,31.2276,1800170,1.3146,13.9173,28.4576
1006,20180212,31.9011,33.3995,31.4178,33.4029,2363270,1.3983,22.3207,27.9118
1007,20180213,35.1879,35.2846,33.8345,34.2247,2458380,1.4241,31.7503,28.1172
1008,20180221,34.8012,36.5896,34.4145,36.1583,2137010,1.4946,39.7615,28.7321
1009,20180222,35.7679,37.3146,35.5262,35.5782,2856780,1.4612,44.775,29.5238
1010,20180223,35.7716,36.255,34.7081,35.8683,3624350,1.4634,49.9707,29.6995
1011,20180226,36.6417,37.4635,36.1583,36.8351,3516600,1.4924,58.9651,30.2602
1012,20180227,36.8313,37.508,36.3479,36.8834,2216610,1.4839,69.4785,30.7953
1013,20180228,36.6417,38.1886,36.4,37.7052,4521850,1.5056,77.9089,31.517
1014,20180301,37.3146,38.2813,36.2513,36.545,2634150,1.4491,82.4536,32.0688
1015,20180302,35.7679,36.7346,35.6712,36.545,2378830,1.4391,86.6623,32.1129
1016,20180305,36.9801,37.1251,34.0314,34.0314,2589100,1.3324,69.2645,30.9658
1017,20180306,34.8012,36.3963,34.2695,36.4,2525060,1.4157,56.8856,29.9006
1018,20180307,36.7384,36.8351,35.6749,36.255,2053190,1.4008,43.7763,29.1361
1019,20180308,36.255,36.7384,35.7716,35.965,1132070,1.3807,34.6014,28.4262
1020,20180309,36.255,36.7384,35.7716,36.0133,2263330,1.3737,25.5914,27.767
1021,20180312,37.3185,37.7052,36.7384,37.3185,2014660,1.4138,35.5431,27.6941
1022,20180313,37.3185,37.8986,36.7384,37.8986,1980080,1.4259,39.6981,27.7296
1023,20180314,38.4786,38.4786,37.6085,37.7052,1996080,1.409,43.3881,28.0698
1024,20180315,37.7052,40.3156,37.4152,40.3156,3528060,1.4949,55.7108,29.2038
1025,20180316,41.3748,42.0515,40.4081,41.379,2628200,1.5221,70.0601,30.8462
1026,20180319,41.5724,41.6691,39.8322,40.3156,2366180,1.4724,74.1188,31.8281
1027,20180320,39.8322,41.6691,39.6388,41.089,1866550,1.4896,78.3419,32.5565
1028,20180321,42.0558,42.3458,41.1857,42.0558,1606790,1.5128,85.9831,33.4925
1029,20180322,42.0515,43.0182,41.8098,42.8292,2525390,1.5285,88.1162,34.6057
1030,20180323,42.0558,42.1525,40.0255,40.944,3661530,1.4504,73.9673,34.0175
1031,20180326,40.6014,43.4048,40.6014,43.4093,1932890,1.5252,74.037,34.0143
1032,20180327,44.4728,45.0529,42.6359,42.6359,2941390,1.4863,67.0997,34.6133
1033,20180328,42.5348,43.2598,41.9548,43.0709,1672540,1.4895,59.2344,34.6227
1034,20180329,43.0709,43.216,42.3458,42.5392,896470,1.46,40.6603,34.6315
1035,20180330,42.3415,42.4865,41.2298,41.9591,2211040,1.4299,34.8093,33.7476
1036,20180402,42.3458,43.506,41.5241,43.506,2610170,1.4714,27.73,33.3909
1037,20180403,43.796,44.2794,43.216,43.6027,1340170,1.4638,26.1436,33.3849
1038,20180404,43.5982,43.9365,43.3082,43.3126,1511210,1.4433,20.647,33.3793
1039,20180405,43.3126,43.3126,42.2975,42.5392,1744010,1.4077,19.2794,32.5333
1040,20180406,42.7326,43.216,42.3458,42.5392,1469830,1.3983,19.2794,31.7477
1041,20180409,42.8248,43.5015,41.9548,42.9259,2724810,1.4014,14.3849,30.6874
1042,20180410,43.4093,44.8595,43.3126,43.9894,4181500,1.4263,14.5427,30.4433
1043,20180411,45.2462,45.2462,42.5392,43.0226,2384910,1.3859,9.6827,29.5705
1044,20180412,42.8248,43.5015,42.1481,42.9259,1816480,1.3738,9.6827,28.4454
1045,20180413,43.0226,43.3126,40.3156,40.6056,3369270,1.2924,9.6827,26.7133
1046,20180416,39.6388,40.6056,38.672,38.672,2207540,1.2249,7.5763,26.0123
1047,20180417,38.668,40.5047,38.378,40.5089,2516280,1.2762,6.0658,25.5092
1048,20180418,41.2824,41.2824,38.8654,38.8654,1196420,1.2184,7.7631,24.4791
1049,20180419,38.8654,39.0587,36.545,36.7384,2755020,1.1469,7.7631,24.6373
1050,20180420,37.2218,38.2369,35.7716,38.1403,2415490,1.1851,11.5376,25.0945
1051,20180423,38.4786,39.3004,35.4816,35.4816,3210890,1.0984,11.5376,24.7638
1052,20180424,35.7716,37.2218,34.7081,36.7384,2503080,1.1331,8.5755,24.7944
1053,20180426,36.545,37.2218,34.3214,35.2882,2207270,1.0847,7.6696,24.9886
1054,20180427,35.1915,36.8351,34.8048,34.9015,2026830,1.0694,7.8643,25.1689
1055,20180502,32.4845,35.6749,32.4845,32.4845,1868640,0.9929,4.0898,26.2553
1056,20180503,31.131,33.7413,30.2125,32.5812,4169480,0.9933,4.3647,27.9356
1057,20180504,32.9679,33.3546,31.421,31.421,1599340,0.956,1.261,29.4958
1058,20180507,31.8561,33.5963,30.6476,33.5963,3558490,1.0194,9.4832,31.1548
1059,20180508,33.5963,35.7233,33.2579,34.3214,3013460,1.0384,21.0276,31.0821
1060,20180509,33.838,35.0465,33.3546,33.838,1843140,1.0209,31.4855,31.0146
1061,20180510,33.2579,34.4181,31.4693,31.6144,2834040,0.9517,38.3191,31.6104
1062,20180511,31.6144,33.0646,30.4542,32.8712,2116330,0.9869,52.828,32.4715
1063,20180514,33.4478,33.5445,32.5778,33.1612,918220,0.9929,59.9462,32.9128
1064,20180515,33.1612,33.838,32.8712,33.4513,2221560,0.9988,68.2071,33.0999
1065,20180516,32.9679,33.1612,32.0494,32.0978,1856760,0.9559,71.6065,33.566
1066,20180517,32.0978,32.3878,31.6144,31.9044,1502680,0.9477,77.501,34.1494
1067,20180518,31.9044,32.2911,29.9708,31.8561,2937450,0.9438,75.769,35.2091
1068,20180521,31.8561,31.8561,30.4542,30.4542,2405890,0.9004,66.0562,36.1931
1069,20180522,29.9677,30.3544,28.3243,28.3272,3119620,0.8364,46.0562,37.6809
1070,20180523,27.8438,29.4874,27.7955,29.4391,1819230,0.8677,40.3106,39.1866
1071,20180524,29.4844,29.726,28.4693,28.6656,1089040,0.8435,32.6103,40.3663
1072,20180525,28.859,29.1007,26.7804,26.7804,2161610,0.7873,19.8334,41.8669
1073,20180528,26.1976,26.2942,24.9409,24.9434,3902270,0.733,13.4144,43.6205
1074,20180529,25.6202,26.6837,24.9434,26.6837,2874020,0.7833,22.6936,44.9052
1075,20180530,27.0704,27.5538,26.442,26.6837,2144210,0.7825,23.861,45.3473
1076,20180531,26.3936,28.4239,26.3936,28.2789,3412580,0.828,35.8473,45.0514
1077,20180601,28.0372,29.6808,27.8438,28.714,3634920,0.8395,55.2023,43.8445
1078,20180604,28.0372,29.5841,27.4571,29.4874,4878280,0.8607,75.2023,42.8763
1079,20180605,29.291,30.161,28.6143,29.3907,3066250,0.8567,85.6031,41.5533
1080,20180606,29.436,30.7411,28.8077,30.7442,2532640,0.8949,96.324,39.9071
1081,20180607,30.7442,31.131,30.1642,30.1642,3704890,0.8771,97.3292,38.0999
1082,20180608,30.1642,30.6476,29.7774,30.4542,2683390,0.8845,97.2365,36.629
1083,20180611,30.0675,30.8893,29.9708,29.9708,2320290,0.8697,94.9727,35.0756
1084,20180612,29.294,29.4874,27.8922,28.6173,4314510,0.8299,89.0439,34.6757
1085,20180613,28.6143,29.001,28.1793,28.6656,1672030,0.8308,82.9863,34.3044
1086,20180614,28.711,28.9043,27.3576,27.3604,3869180,0.7928,75.0251,34.3268
1087,20180615,27.0704,28.0372,26.877,28.0372,2262000,0.8121,65.7087,34.5526
1088,20180618,28.0343,28.0826,26.2942,26.3936,2873220,0.7645,51.6208,35.0043
1089,20180619,25.9076,26.1009,24.5542,25.9102,5460120,0.7506,37.8696,36.0506
1090,20180620,26.2003,27.0704,25.7652,27.0704,2364060,0.784,31.9042,36.1479
1091,20180621,26.6809,27.0676,25.7142,25.9102,2073850,0.7505,24.686,36.2589
1092,20180622,25.1851,26.732,25.1851,26.587,2281830,0.77,22.3701,36.58
1093,20180625,27.1187,27.6988,26.9737,27.2638,1937980,0.7896,30.721,35.994
1094,20180626,26.5843,27.1643,26.3909,26.877,1283390,0.779,41.4787,35.7262
1095,20180627,26.8743,27.2609,25.9076,25.9102,1931320,0.7522,39.4288,35.7002
1096,20180628,25.5209,25.9076,24.9409,25.0401,3833920,0.7287,38.5181,36.0924
1097,20180629,25.1368,25.8136,24.8468,25.1368,2112720,0.7336,35.1178,36.4959
1098,20180702,24.6534,25.1368,23.5416,23.9283,3542250,0.7002,23.1187,37.3813
1099,20180703,23.9742,24.3125,22.2824,22.2847,4944960,0.654,12.361,38.6163
1100,20180704,22.2824,22.3791,21.2191,22.1397,4641640,0.6518,6.4339,40.065
1101,20180705,21.8013,22.2847,20.5928,20.8829,3044050,0.6165,4.2297,41.5741
1102,20180706,20.6895,22.3331,20.1578,22.3331,5061910,0.6605,9.2993,43.0866
1103,20180709,22.8141,23.5875,22.4758,22.5264,5423120,0.6677,19.7655,43.2038
1104,20180710,22.9108,23.5391,22.6208,22.8648,3612750,0.6794,32.3345,43.3126
1105,20180711,22.043,22.2364,21.2696,21.3663,5441810,0.6367,39.9446,43.8934
1106,20180712,22.2364,22.8165,21.3179,22.2364,2508790,0.6649,52.8783,43.8573
1107,20180713,22.7198,23.2032,22.5264,22.7198,3138160,0.6817,60.6481,43.447
1108,20180716,23.2008,23.5875,22.9108,23.3482,2912010,0.7032,70.1819,42.6924
1109,20180717,22.8141,24.3125,22.8141,24.0733,3991770,0.7276,77.6129,41.3135
1110,20180718,24.1675,25.3275,24.0708,25.2818,4012340,0.7666,90.0028,39.1759
1111,20180719,25.1342,25.3275,24.6509,24.9434,3344910,0.759,95.9105,37.191
1112,20180720,24.5542,25.0375,23.9742,24.5567,4279270,0.7501,96.3477,35.7906
1113,20180723,23.9742,25.3275,23.9742,23.9766,3124370,0.7354,91.8838,34.2276
1114,20180724,23.8775,24.6509,23.2008,23.9766,2591310,0.7383,87.4199,33.2829
