,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2717,20171201,13.1409,13.6431,13.0572,13.2253,22380,0.9235,69.4487,21.9778
2718,20171204,13.2246,13.5594,12.8898,13.309,27910,0.9312,65.2859,21.3761
2719,20171205,13.2665,13.2665,12.8061,13.2253,53470,0.9269,69.1146,20.9973
2720,20171206,12.9735,13.2246,12.3039,12.723,74560,0.8934,59.0106,21.5954
2721,20171207,12.7224,12.8898,12.555,12.5556,7990,0.8833,47.7125,22.1508
2722,20171208,12.3876,12.6806,12.3039,12.5138,16510,0.882,34.1653,23.091
2723,20171211,13.0572,13.0572,12.3876,12.5138,1980,0.8836,18.3281,22.8076
2724,20171212,12.6387,12.8061,11.6762,12.4719,15920,0.8818,4.328,23.6753
2725,20171213,12.4713,12.555,12.3039,12.4719,5770,0.8834,0.0,24.481
2726,20171214,12.555,12.555,12.0528,12.3882,11360,0.8792,0.0,25.5739
2727,20171215,12.1365,12.4295,12.0528,12.4301,24170,0.8838,2.1442,26.5887
2728,20171218,12.4295,12.8898,12.4295,12.8068,95760,0.912,21.4166,26.1708
2729,20171219,12.8061,12.8061,12.3039,12.7649,15320,0.9103,39.3749,26.0007
2730,20171220,12.555,12.7224,12.3039,12.723,9430,0.9083,55.9718,25.8427
2731,20171221,12.555,12.6387,12.2202,12.6393,17230,0.9035,69.8141,25.8533
2732,20171222,12.6387,12.6387,12.3458,12.5556,7680,0.8991,79.2052,25.8631
2733,20171225,12.555,12.555,12.3876,12.5556,5260,0.9004,71.4682,25.8722
2734,20171226,12.3876,12.555,12.3876,12.4719,10990,0.896,62.0469,25.8807
2735,20171227,12.4713,12.555,12.1365,12.5556,20990,0.9034,59.0159,26.4405
2736,20171228,12.555,12.555,12.4295,12.5556,2340,0.9047,58.7395,26.9603
2737,20171229,12.555,12.555,12.4713,12.5556,4420,0.906,60.7701,27.443
2738,20180103,12.555,13.3083,12.555,13.1416,76780,0.9492,69.2347,25.7602
