,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2724,20171201,28.7844,28.8278,28.2209,28.2217,26960,1.101,9.9631,19.4983
2725,20171204,27.744,28.611,27.6573,28.2217,129110,1.0993,10.7373,18.774
2726,20171205,28.2642,30.1716,28.2642,29.9124,290970,1.1626,19.4291,19.5017
2727,20171206,29.9115,31.6455,28.1342,31.0396,118500,1.203,28.5623,21.0923
2728,20171207,31.212,31.3854,30.345,30.4326,57110,1.1766,37.6481,22.5693
2729,20171208,30.4317,30.4317,29.7381,30.4326,55580,1.1738,50.1864,23.138
2730,20171211,29.478,30.4317,29.478,29.5656,54890,1.138,53.6574,23.337
2731,20171212,29.9115,29.9115,28.0908,29.5656,45120,1.1356,48.4758,22.0056
2732,20171213,29.5647,29.6514,29.3913,29.4789,26820,1.1301,38.4403,20.7693
2733,20171214,29.0445,29.478,28.2209,29.3922,27040,1.1245,27.4872,20.0092
2734,20171215,30.2583,30.2583,28.8711,29.4789,16020,1.1257,15.9135,18.5825
2735,20171218,28.7411,30.3017,28.7411,29.9124,19780,1.14,17.4389,17.369
2736,20171219,30.3017,31.212,30.3017,31.1263,166650,1.1836,28.3906,16.8082
2737,20171220,31.1253,31.1253,30.345,31.0396,50690,1.1779,39.0382,16.2875
2738,20171221,29.5647,31.9923,29.5647,31.0396,37500,1.1756,50.6508,16.5007
2739,20171222,31.1687,31.212,30.0849,31.213,3150,1.1797,64.0395,16.6987
2740,20171225,31.212,31.212,30.345,31.0396,23640,1.1709,70.3991,16.8825
2741,20171226,31.0386,31.0386,30.9519,30.9528,13870,1.1654,69.2067,17.0532
2742,20171227,30.3884,31.212,30.345,31.213,10740,1.1728,72.6134,16.4267
2743,20171228,31.6589,31.8819,31.213,31.5704,32080,1.1836,78.6412,16.4917
2744,20171229,30.7671,31.6589,30.7671,31.6596,29350,1.1843,83.5136,15.9981
2745,20180103,31.6143,31.6143,30.7225,31.4812,14350,1.1751,87.0679,15.4845
2746,20180104,31.5697,32.0602,30.7671,32.0609,55160,1.194,93.0634,15.4682
2747,20180105,31.8373,32.1048,31.6589,31.9271,72450,1.1864,92.5843,15.4989
2748,20180108,31.971,32.1048,31.213,31.7488,51910,1.1772,83.1052,14.9042
2749,20180109,31.7481,32.1048,30.5887,31.7488,41730,1.1743,67.5683,14.1075
2750,20180110,31.7481,31.7481,30.5887,31.6596,88670,1.1684,51.8838,13.3677
2751,20180111,31.6589,31.6589,30.4996,30.5002,70640,1.1233,31.8838,12.7948
2752,20180112,30.4996,31.3914,30.1428,30.7678,47460,1.1309,17.6383,12.7143
2753,20180115,30.3212,30.4996,30.1428,30.5002,16210,1.119,7.1175,12.6396
2754,20180116,30.6779,31.1238,29.8753,31.1245,101410,1.1396,8.5611,11.855
2755,20180117,31.1238,31.213,29.9645,31.0799,120040,1.1356,13.9827,11.2531
2756,20180118,31.0792,31.0792,29.9645,30.9015,30500,1.1268,17.4164,10.6942
2757,20180119,30.3212,31.8373,30.3212,31.8379,119990,1.1581,26.1645,11.2162
2758,20180122,32.0156,32.0156,31.213,31.7488,25330,1.1521,36.5336,11.9165
2759,20180125,31.7481,31.7481,29.9645,29.9651,93080,1.0855,30.6269,11.4422
2760,20180126,31.1684,31.1684,27.9133,29.5192,202470,1.0677,25.2053,12.8807
2761,20180129,29.5186,31.5697,29.5186,31.2137,39860,1.1266,32.2354,13.6969
2762,20180130,30.232,31.213,30.232,30.6786,57290,1.1052,28.3528,14.4548
2763,20180131,30.3212,30.6779,30.0537,30.3664,150180,1.0919,24.2181,15.3083
2764,20180201,30.3658,31.0346,29.6078,30.9907,46080,1.1122,35.5289,16.4657
2765,20180202,30.1428,31.1684,29.8753,30.9461,38880,1.1082,46.5243,17.3344
2766,20180205,29.8753,29.8753,28.8051,28.8058,94510,1.0302,36.0605,18.9512
2767,20180206,26.7986,28.8051,26.7986,26.7992,128600,0.9578,28.5406,21.4942
2768,20180207,28.5376,28.5376,25.8622,26.8438,345130,0.959,22.5252,24.2088
2769,20180208,26.3081,28.5376,26.3081,28.5382,263000,1.0182,18.8861,26.7295
2770,20180209,28.5376,28.5376,26.5756,28.3153,28690,1.0091,14.924,29.0702
2771,20180212,28.3147,29.1619,27.0215,29.1625,72740,1.0377,25.6398,30.2972
2772,20180213,29.8307,29.8307,28.5376,28.5382,217060,1.0142,36.881,30.5229
2773,20180221,28.5376,30.4996,27.5566,28.3153,81060,1.005,46.9851,31.3094
2774,20180222,27.6458,28.493,27.6458,28.4936,58380,1.0101,50.6573,32.0397
2775,20180223,28.493,28.493,27.6904,28.4936,27080,1.0089,55.7795,32.7179
2776,20180226,28.4484,28.7606,27.9579,28.7612,47730,1.0171,59.0222,32.9461
2777,20180227,28.0917,28.7606,28.0917,28.7612,36710,1.0159,61.7395,33.158
2778,20180228,28.7606,29.2956,28.0917,29.2963,72310,1.0334,69.409,32.5362
2779,20180301,28.9835,28.9835,28.5376,28.5382,19090,1.0055,72.7659,31.9588
2780,20180302,28.3592,29.8753,28.3592,29.8759,57650,1.051,80.6104,30.1767
2781,20180305,30.1874,30.4104,30.0091,30.0989,137740,1.0569,86.6519,28.1553
2782,20180306,30.0983,30.0983,28.5376,29.8759,72190,1.0472,90.2761,27.4465
2783,20180307,29.8753,30.3212,29.8753,29.8759,28270,1.0452,89.8665,26.5249
2784,20180308,29.8753,30.2766,29.8753,30.2773,23230,1.0572,95.1657,25.6691
2785,20180309,30.2766,30.3212,29.1173,30.2773,66980,1.0552,95.1657,25.5432
2786,20180312,30.0091,30.2766,29.1619,30.0097,47870,1.0439,91.5993,25.4263
2787,20180313,29.3848,30.1428,28.5376,28.5382,171540,0.9913,74.0164,25.8327
2788,20180314,28.6268,29.4294,27.6458,29.3854,107890,1.019,66.1123,26.8359
2789,20180315,29.3402,29.3402,28.1809,28.1815,52770,0.9759,46.1123,27.7674
2790,20180316,28.8051,28.8943,27.8688,28.8058,72570,0.996,32.3771,28.8432
2791,20180319,28.8051,28.8051,27.9133,28.1815,130830,0.9732,17.2254,29.8422
2792,20180320,28.5376,28.5376,27.6458,28.1815,79850,0.972,18.5073,30.9598
