,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2828,20171201,75.3065,76.337,74.9102,75.7838,756110,1.2176,57.9607,50.6633
2829,20171204,76.1785,77.8431,76.1785,77.1314,475010,1.2378,56.397,52.4102
2830,20171205,76.8919,77.0504,72.5321,72.5336,1134620,1.1631,44.4331,51.3689
2831,20171206,72.9284,74.0382,71.343,73.0885,714710,1.1701,29.3018,49.717
2832,20171207,74.276,74.276,73.0869,73.8813,271560,1.1807,23.4911,48.2587
2833,20171208,72.7699,73.1662,70.5503,70.5518,678960,1.1255,16.5269,45.5654
2834,20171211,68.9649,70.471,68.1722,68.1737,522890,1.0855,4.3256,42.5654
2835,20171212,70.5503,70.5503,66.5868,69.2835,669810,1.1015,6.1435,40.3582
2836,20171213,69.7576,70.154,69.2027,70.1555,182680,1.1144,8.1003,38.3086
2837,20171214,70.5503,71.8979,70.471,71.3446,314970,1.132,10.1053,35.6336
2838,20171215,71.7394,72.4528,71.0259,71.0275,1196640,1.1255,14.6178,33.2583
2839,20171218,71.9772,71.9772,70.471,70.6311,435580,1.118,18.4065,30.9571
2840,20171219,70.7881,70.7881,67.538,67.6188,733030,1.0693,16.5886,29.9498
2841,20171220,67.6173,68.8856,65.7941,65.9541,570010,1.0424,13.3722,29.5657
2842,20171221,66.7453,67.6966,66.1905,66.4297,294970,1.0489,9.179,29.209
2843,20171222,66.9832,66.9832,65.5563,65.9541,311550,1.0406,5.0704,29.0807
2844,20171225,65.9526,66.5868,64.9221,64.9236,271710,1.0235,1.2817,29.1638
2845,20171226,65.0014,65.5563,63.416,63.8137,508440,1.0054,1.2817,29.6927
2846,20171227,63.4953,63.8124,62.3855,62.6247,644000,0.9862,1.2817,30.4676
2847,20171228,62.6233,66.9832,62.6233,66.9846,677960,1.0538,14.4213,29.4619
2848,20171229,67.3795,68.3307,67.3795,67.8566,598150,1.0664,30.3249,27.9218
2849,20180103,69.7576,69.7576,68.0137,68.1737,426510,1.0703,47.4766,25.9547
2850,20180104,68.0929,68.4893,66.9832,67.9359,441320,1.0657,63.9594,24.4774
2851,20180105,67.9344,67.9344,65.3978,65.7955,467740,1.0318,75.2619,23.6834
2852,20180108,65.0014,67.3795,64.2087,66.5883,320740,1.0438,75.9783,23.3453
2853,20180109,65.7941,67.7759,65.7148,66.509,395140,1.0422,74.8715,22.8391
2854,20180110,66.5075,67.7759,65.7941,66.2712,570540,1.038,72.1178,22.369
2855,20180111,66.2697,66.2697,65.5563,66.1919,414380,1.0362,69.7505,22.0252
2856,20180112,66.1905,66.4283,65.3185,65.637,505220,1.027,70.5265,21.8027
2857,20180115,65.7148,66.6661,65.3978,65.7955,313240,1.0289,68.6431,21.4485
2858,20180116,65.7941,68.1722,65.7941,67.5395,883620,1.0552,73.4425,20.2351
2859,20180117,68.0929,68.0929,66.1905,66.5883,417140,1.0393,75.2158,19.1084
2860,20180118,65.6356,66.349,65.3978,66.1919,315890,1.032,68.254,18.4768
2861,20180119,66.1905,68.1722,65.7941,66.7468,608670,1.0392,69.4007,17.454
2862,20180122,67.3795,71.343,66.8246,70.314,1378590,1.0927,76.5502,17.8515
2863,20180125,71.2637,72.9284,69.7576,70.4726,955470,1.093,76.5502,18.7474
2864,20180126,70.471,70.5503,68.5686,68.9664,613910,1.0677,73.3626,18.9104
2865,20180129,68.9649,69.3613,67.3795,67.4602,507740,1.0428,73.0262,18.441
2866,20180130,67.4588,69.8369,66.6661,68.4908,518000,1.0567,70.5677,17.6494
2867,20180131,68.1722,68.4893,67.3795,67.381,431950,1.0379,56.9161,16.9143
2868,20180201,67.7759,67.9344,67.221,67.6981,568610,1.0409,44.5563,16.1451
2869,20180202,67.7759,68.2515,67.4588,68.253,300000,1.0473,41.5031,15.5901
2870,20180205,68.2515,68.2515,63.6538,63.6552,275130,0.9754,34.6859,15.6965
2871,20180206,63.416,64.2087,59.2147,63.4174,990780,0.9711,23.9191,17.1449
2872,20180207,65.6356,66.1112,64.6051,65.637,415910,1.004,24.4414,17.5656
2873,20180208,65.7148,65.7148,64.2087,65.1614,243850,0.9959,22.533,18.0712
2874,20180209,62.6233,64.2087,61.1172,64.2101,368430,0.9806,16.084,19.3446
2875,20180212,65.0014,67.3795,65.0014,67.381,413090,1.0281,28.3278,19.1524
2876,20180213,72.0564,72.0564,70.7088,72.058,1374880,1.098,48.3278,18.125
2877,20180221,73.5626,74.9894,72.8491,72.93,554580,1.1093,61.4571,17.9215
2878,20180222,71.9772,72.9284,70.5503,70.7897,290760,1.0753,70.8731,17.031
2879,20180223,70.7881,75.3065,70.7881,74.0398,921660,1.1224,87.1418,16.7895
2880,20180226,74.9102,75.3065,72.3735,72.7715,643560,1.101,91.9408,16.5653
2881,20180227,72.9284,74.3553,72.5321,72.93,576270,1.1011,89.2142,16.3571
2882,20180228,72.9284,76.0199,72.9284,74.3569,1065780,1.1202,88.5603,16.5983
2883,20180301,74.3553,74.5138,72.1357,72.1373,618470,1.0848,87.8566,16.524
2884,20180302,71.343,72.1357,70.0747,70.7104,759550,1.0618,79.691,15.7209
2885,20180305,72.1357,72.9284,69.8369,69.8384,480180,1.0473,70.7184,15.2155
2886,20180306,69.8369,70.9467,68.41,69.0457,415790,1.0339,59.714,14.2461
2887,20180307,68.6478,69.6783,66.6661,68.8079,402370,1.0289,46.0839,13.6787
2888,20180308,68.9649,70.0747,67.7759,68.1737,260030,1.018,31.6398,13.0093
2889,20180309,68.1722,68.1722,64.2087,65.5577,790790,0.9779,20.0552,13.4401
2890,20180312,62.227,66.5075,61.9891,62.2283,1073940,0.9277,11.985,14.381
2891,20180313,62.227,62.227,59.4525,59.9294,674170,0.8932,5.7161,15.7958
2892,20180314,60.2452,62.7818,58.3427,62.5454,852040,0.9319,4.7315,17.3276
2893,20180315,61.8306,62.3855,60.2452,60.96,341440,0.9083,7.914,18.75
2894,20180316,59.4525,60.8794,59.4525,59.4538,605690,0.8859,9.6458,20.2366
2895,20180319,59.3732,59.3732,58.1842,58.6611,510060,0.8742,10.6355,21.8758
2896,20180320,58.6598,60.8001,58.1049,60.2465,512260,0.8977,15.5888,22.7055
2897,20180321,60.5623,61.5135,60.5623,61.5149,473200,0.9166,19.9022,23.1406
2898,20180322,61.5135,61.5135,59.6903,59.6916,234960,0.8897,23.399,23.7697
2899,20180323,57.8671,59.0562,57.8671,58.5025,357310,0.8721,26.8086,24.7942
2900,20180326,58.5013,59.8489,58.3427,58.344,179420,0.8701,30.8219,25.3441
2901,20180327,58.6598,59.0562,57.55,57.8684,355170,0.8632,30.3034,26.0572
2902,20180328,58.1842,58.1842,57.4708,57.472,210310,0.8576,26.7839,26.7401
2903,20180329,57.1537,57.3915,55.0927,55.4902,445360,0.8284,20.1046,27.9581
2904,20180330,54.3,55.4097,53.9036,54.539,235460,0.8147,14.9632,29.346
2905,20180402,55.4097,56.9951,54.6963,56.2829,183830,0.8409,20.6143,29.7489
2906,20180403,57.0744,57.9464,56.7573,57.1549,284650,0.854,31.8059,29.6257
2907,20180404,57.7878,57.7878,55.489,55.4902,256490,0.8295,36.4397,29.8658
2908,20180405,55.489,56.6781,54.6963,56.2829,222110,0.8415,51.1983,30.301
2909,20180406,56.2817,56.7573,55.9646,56.2037,208400,0.8408,65.6735,30.659
2910,20180409,56.2817,56.2817,55.8854,56.2037,207680,0.8413,69.4946,31.0149
2911,20180410,56.2024,56.9159,55.3305,56.2037,314250,0.8418,72.3946,30.9381
2912,20180411,55.7268,57.1537,55.489,55.4902,373960,0.832,76.8995,30.7119
2913,20180412,55.1719,57.0744,55.0927,56.5207,362540,0.8486,82.1409,30.6519
2914,20180413,56.9951,56.9951,55.0927,55.0939,195210,0.829,81.0164,30.5962
2915,20180416,55.0927,55.0927,54.3792,54.3804,178770,0.8201,76.8133,30.8313
