,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1340,20161025,8.7146,8.7146,8.2043,8.7149,2410,1.0056,26.9086,26.9345
1341,20161027,8.7146,9.3034,8.7146,9.3037,100,1.0721,25.5992,26.5705
1342,20161101,9.6175,9.6175,9.6175,9.6178,80,1.1071,42.1226,25.6179
1343,20161102,9.6175,9.6175,9.6175,9.6178,70,1.1056,47.5524,24.7334
1344,20161107,8.9501,8.9501,8.9501,8.9504,40,1.0282,51.7136,24.8307
1345,20161108,8.9501,8.9501,8.9501,8.9504,3600,1.0283,55.8748,24.921
1346,20161109,9.0287,9.0287,8.4006,8.4008,2520,0.9651,44.17,25.6594
1347,20161110,8.9501,8.9501,7.8196,8.9504,16970,1.0269,36.5909,26.9171
1348,20161111,8.6361,9.3427,8.4398,8.4401,1020,0.9678,22.9163,27.2398
1349,20161115,9.0287,9.0287,8.008,8.0083,3530,0.9186,17.3546,27.9759
1350,20161116,8.165,8.165,8.165,8.1653,10,0.9367,14.418,28.6594
1351,20161117,8.5576,8.7146,8.4791,8.7149,3360,0.9989,25.5731,28.152
1352,20161121,8.7931,8.7931,8.7931,8.7934,10,1.0068,28.9334,27.5283
1353,20161122,8.6361,8.6361,8.6361,8.6364,20,0.9877,36.1921,27.159
1354,20161123,9.0287,9.2249,8.6361,9.2252,16040,1.0535,54.9079,25.6943
1355,20161124,9.2249,9.2249,9.2249,9.2252,10,1.0515,70.9986,24.3343
1356,20161128,8.6361,8.6361,8.6361,8.6364,1040,0.9836,69.8459,23.9353
1357,20161129,8.6361,8.6361,8.6361,8.6364,810,0.9827,68.2299,23.5648
1358,20161205,8.0865,8.0865,8.0865,8.0868,10,0.92,61.0222,23.9346
1359,20161206,8.6361,8.6361,8.6361,8.6364,10,0.9816,54.6241,23.2024
1360,20161207,9.2249,9.2249,8.0865,9.1859,6110,1.0423,55.9083,21.5569
1361,20161209,9.539,9.539,9.539,9.5392,10,1.0809,65.9059,20.4628
1362,20161212,8.8716,8.8716,8.8716,8.8719,20,1.0046,67.2253,19.5241
1363,20161215,8.8716,8.8716,8.8716,8.8719,3100,1.0035,75.321,18.6525
1364,20161220,9.3034,9.4212,8.3221,8.3223,3010,0.9409,67.1987,17.6302
1365,20161222,8.6361,8.6361,8.6361,8.6364,2250,0.9762,55.7788,16.6809
1366,20161223,9.2249,9.2249,8.165,9.2252,6030,1.0413,51.7522,16.6122
1367,20161226,9.853,9.853,9.853,9.8533,60,1.1099,59.7442,17.2721
1368,20161228,9.4212,9.4212,9.4212,9.4215,10,1.0596,63.6425,17.1502
1369,20170103,9.7745,9.7745,9.7745,9.7748,10,1.0968,77.6264,17.4422
1370,20170104,9.7352,9.7352,9.7352,9.7355,10,1.0899,86.7383,17.6442
1371,20170106,9.0679,9.0679,9.0679,9.0682,700,1.0138,80.6837,16.7374
1372,20170110,8.4398,8.4398,8.4398,8.4401,10,0.9428,60.7466,16.0456
1373,20170111,9.0287,9.0287,9.0287,9.0289,1320,1.0075,53.5979,15.1873
1374,20170112,9.0287,9.0287,9.0287,9.0289,260,1.0064,43.1636,14.3903
1375,20170113,9.4212,9.4212,9.4212,9.4215,5000,1.0486,38.1848,14.1581
1376,20170117,8.7931,8.7931,8.7931,8.7934,1210,0.9779,32.8416,13.25
1377,20170120,9.0287,9.0287,9.0287,9.0289,2090,1.0033,40.4361,12.5173
1378,20170123,9.0287,9.0287,9.0287,9.0289,3010,1.0023,40.3095,11.837
1379,20170202,9.4212,9.4212,9.4212,9.4215,1070,1.0442,45.4738,11.7452
