,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1655,20171204,3.4116,3.5014,3.3757,3.376,156250,0.8511,86.2432,16.1305
1656,20171205,3.4116,3.4116,3.3219,3.3221,189230,0.8403,71.2797,15.0921
1657,20171206,3.277,3.5463,3.277,3.5466,791580,0.8989,73.6746,15.0424
1658,20171207,3.5912,3.7887,3.5912,3.789,967650,0.9609,75.7285,16.4254
1659,20171208,3.9054,4.0491,3.7887,4.0494,767450,1.0276,78.1741,18.7069
1660,20171211,4.2107,4.3094,4.085,4.3097,574200,1.0946,83.6876,21.513
1661,20171212,4.0491,4.489,4.0401,4.2738,1055010,1.0855,98.8111,24.4837
1662,20171213,4.3005,4.3005,3.9773,3.9775,626980,1.0106,88.8838,26.7318
1663,20171214,3.7797,3.9773,3.6989,3.7172,506500,0.9458,72.8715,26.8925
1664,20171215,3.7169,3.9413,3.7169,3.8608,152110,0.9826,59.4808,27.0418
1665,20171218,3.8336,3.9503,3.6989,3.6992,222790,0.9419,42.6149,27.0624
1666,20171219,3.7708,3.8426,3.5104,3.6902,583970,0.9398,26.7467,25.934
1667,20171220,3.7438,3.9413,3.6181,3.9416,427910,1.0034,24.3481,25.3072
1668,20171221,3.9683,3.9683,3.8157,3.8608,97810,0.9834,26.1772,24.8387
1669,20171222,3.8605,3.8605,3.681,3.7351,233560,0.9528,22.5939,23.6108
1670,20171225,3.8157,3.8157,3.6989,3.7351,152450,0.955,19.5573,22.4706
1671,20171226,3.654,3.8157,3.654,3.771,168950,0.9671,17.6453,21.1437
1672,20171227,3.7797,3.8067,3.6989,3.6992,74730,0.9526,9.9711,19.9116
1673,20171228,3.6989,3.7618,3.6989,3.7172,77620,0.9602,4.6547,18.7675
1674,20171229,3.7708,3.7708,3.4655,3.6004,119570,0.9325,1.6286,18.519
1675,20180103,3.5284,3.7169,3.5284,3.6274,71670,0.9421,2.964,18.2882
1676,20180104,3.6271,3.6989,3.5732,3.5735,161650,0.9315,1.9331,18.0739
1677,20180105,3.654,3.681,3.5732,3.5915,255540,0.9395,3.2121,17.8749
1678,20180108,3.6002,3.7169,3.6002,3.6812,176510,0.9659,10.3096,17.3872
1679,20180109,3.681,3.7079,3.6271,3.6274,214850,0.954,14.1852,16.9343
1680,20180110,3.6271,3.654,3.5732,3.5915,198410,0.9473,14.1384,16.8963
1681,20180111,3.5912,3.7438,3.5463,3.6812,209410,0.9726,24.5191,16.0504
1682,20180112,3.681,3.8875,3.681,3.8788,474530,1.0262,43.24,15.6223
1683,20180115,3.8875,4.0581,3.8875,3.9147,382420,1.0371,55.6423,16.2228
1684,20180116,3.8875,3.9324,3.7438,3.771,245500,1.0004,61.9922,15.6862
1685,20180117,3.7348,3.7708,3.681,3.7441,254230,0.9948,69.1095,14.7614
1686,20180118,3.5194,3.7259,3.5194,3.7261,279530,0.9916,66.0356,14.4809
1687,20180119,3.6002,3.7169,3.5912,3.5915,179420,0.9578,46.0356,14.2205
1688,20180122,3.8426,3.8426,3.8426,3.8429,131820,1.0263,40.1964,13.2739
1689,20180125,4.1029,4.1029,3.7887,3.789,820400,1.0137,40.9543,13.7525
1690,20180126,3.7977,4.0491,3.7977,3.9057,490030,1.0464,49.2123,14.1969
1691,20180129,4.0401,4.0401,3.8067,3.8608,114070,1.0368,55.8635,14.6095
1692,20180130,3.7348,3.7618,3.6451,3.7351,214210,1.0052,62.4092,13.8826
1693,20180131,3.6092,3.7259,3.6092,3.7261,173010,1.0055,54.2791,12.9834
1694,20180201,3.6092,3.69,3.5912,3.5915,225770,0.9721,43.2957,12.0791
1695,20180202,3.5912,3.7259,3.5912,3.6363,75420,0.9868,29.2111,11.4309
1696,20180205,3.5912,3.6361,3.4565,3.4568,113540,0.941,15.2532,11.2693
1697,20180206,3.5912,3.69,3.2231,3.5915,190840,0.98,15.6434,12.2915
1698,20180207,3.5912,3.681,3.5014,3.5196,60210,0.9628,13.6304,13.2407
1699,20180208,3.5284,3.5553,3.4565,3.4747,21440,0.9527,15.8524,14.3281
1700,20180209,3.4565,3.7169,3.2321,3.7082,451870,1.0193,26.572,16.2196
1701,20180212,3.7169,3.7169,3.4924,3.5915,18040,0.9904,35.0406,17.9759
1702,20180213,3.5643,3.681,3.5643,3.5915,53290,0.9931,36.5732,19.6068
1703,20180221,3.5912,3.8426,3.5912,3.8339,168080,1.0621,51.2078,19.7699
1704,20180222,3.8336,3.8605,3.663,3.771,27550,1.0475,65.8871,19.784
1705,20180223,3.7708,3.8157,3.654,3.8069,52800,1.0597,70.939,19.8455
1706,20180226,3.8067,3.8067,3.681,3.771,86080,1.0522,79.0164,19.9026
1707,20180227,3.7528,3.7708,3.681,3.7441,65460,1.0472,85.6319,19.9556
1708,20180228,3.7438,3.9952,3.7259,3.9147,328560,1.096,86.9796,18.854
1709,20180301,3.9234,3.9234,3.8157,3.8429,190530,1.0766,86.5193,17.8311
1710,20180302,3.8426,3.9234,3.7797,3.789,189560,1.0614,81.192,16.6022
1711,20180305,3.8246,3.8336,3.7348,3.771,95240,1.0556,76.7805,15.7152
1712,20180306,3.8246,3.8246,3.7259,3.762,105620,1.0524,73.3117,14.9607
1713,20180307,3.8157,3.9593,3.681,3.9237,149360,1.0971,72.9592,14.5859
1714,20180308,3.7708,3.9144,3.7708,3.9057,175800,1.0915,74.4646,14.2378
1715,20180309,3.9054,4.1748,3.8785,4.1751,1535790,1.1644,81.3436,15.4667
1716,20180312,4.3543,4.4621,4.3094,4.3546,477950,1.2107,89.2092,17.6968
1717,20180313,4.3543,4.5339,4.1299,4.3816,622150,1.2147,97.5939,18.4039
1718,20180314,4.2017,4.3813,4.085,4.0943,330010,1.1325,84.1621,18.7518
1719,20180315,3.9144,4.085,3.9144,3.9686,151960,1.0958,67.5843,18.003
1720,20180316,4.1029,4.1658,3.9324,4.1032,237530,1.1313,53.1569,17.6907
1721,20180319,4.1209,4.1299,3.9952,4.0404,187050,1.1121,36.2942,17.4007
1722,20180320,4.0042,4.2646,4.0042,4.211,262470,1.1565,24.5272,17.7579
1723,20180321,4.2107,4.2107,4.1119,4.1212,139640,1.1303,22.9953,18.0896
1724,20180322,4.1299,4.2466,4.0401,4.2469,850190,1.162,29.9631,17.8812
1725,20180323,4.0581,4.2107,4.0311,4.0404,257580,1.1039,25.082,17.6226
1726,20180326,4.1119,4.1299,3.9503,3.9506,178360,1.0783,21.9447,16.8026
1727,20180327,3.9503,3.9503,3.8157,3.9326,61710,1.0722,13.7117,16.0207
1728,20180328,3.9503,3.9503,3.8605,3.9506,31680,1.0759,9.6075,15.2947
1729,20180329,3.9952,4.0042,3.8426,3.9237,72990,1.0673,1.271,14.2434
1730,20180330,3.8426,3.9503,3.7708,3.771,112450,1.0248,0.5794,13.7414
1731,20180402,3.9054,3.9503,3.7708,3.78,67460,1.026,1.0502,13.2753
