,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2879,20171204,34.9,35.2,34.6,35.0,2173130,1.0508,88.6163,20.0713
2880,20171205,35.0,35.0,33.6,34.0,1083040,1.0219,83.554,20.3584
2881,20171206,33.8,33.95,33.1,33.3,1320350,1.0021,74.11,19.9139
2882,20171207,33.7,34.4,33.5,34.0,1350560,1.0234,68.5036,19.9436
2883,20171208,34.3,34.35,33.7,34.0,691050,1.0238,58.9593,19.9712
2884,20171211,34.0,34.15,33.4,33.95,1024250,1.0224,49.0256,19.5428
2885,20171212,33.95,34.0,32.7,34.0,1484340,1.0237,47.902,18.1909
2886,20171213,34.5,34.5,33.6,33.65,485300,1.0131,48.7924,17.5226
2887,20171214,33.9,34.0,33.7,34.0,476550,1.0232,43.2484,16.902
2888,20171215,34.05,34.85,33.9,34.75,1628990,1.0451,44.5494,17.2386
2889,20171218,34.8,35.9,34.8,35.5,1875250,1.0667,51.9732,18.4312
2890,20171219,35.8,35.8,34.8,35.5,965420,1.0657,59.0827,19.5386
2891,20171220,35.3,35.9,34.75,35.0,1014890,1.0501,62.089,20.6475
2892,20171221,35.0,35.8,35.0,35.7,1172170,1.0702,73.2251,21.6772
2893,20171222,35.5,35.6,33.5,35.05,653980,1.0502,70.2335,20.4249
2894,20171225,35.2,35.2,34.2,34.2,439700,1.0244,52.7435,19.2621
2895,20171226,34.5,34.95,34.3,34.85,367170,1.0435,41.2872,18.1823
2896,20171227,34.85,35.0,34.65,34.7,432150,1.0388,35.1913,17.2443
2897,20171228,34.7,34.9,34.6,34.85,304470,1.0429,24.9285,16.2978
2898,20171229,34.85,35.75,34.65,35.1,849410,1.0506,24.3717,16.4858
2899,20180103,37.0,37.7,36.8,37.05,2026630,1.1084,44.3717,18.2682
2900,20180104,37.0,37.8,36.8,37.8,1436710,1.1303,58.3379,19.9865
2901,20180105,37.6,37.8,37.1,37.6,2484720,1.1241,72.085,21.582
2902,20180108,37.5,38.2,37.3,38.2,1495740,1.1415,86.2999,23.3333
2903,20180109,38.0,38.2,37.5,38.2,1156640,1.1406,98.0917,24.9595
2904,20180110,38.2,39.5,37.8,39.0,2502760,1.1631,98.0917,27.2316
2905,20180111,39.0,39.0,38.1,38.45,450150,1.1457,93.3233,29.3414
2906,20180112,38.2,38.45,37.1,38.0,1348990,1.1313,86.8142,29.6199
2907,20180115,38.4,38.4,37.65,38.3,1195830,1.1391,79.6638,29.8785
2908,20180116,38.3,38.3,37.25,38.0,1140870,1.1287,68.5079,29.4992
2909,20180117,37.9,38.0,36.4,36.4,1192430,1.0805,48.5079,27.9934
2910,20180118,36.4,37.1,36.0,37.1,1140670,1.1005,36.8081,26.1177
2911,20180119,37.1,37.6,37.1,37.5,997880,1.1112,30.6434,24.9139
2912,20180122,37.9,37.9,37.25,37.35,1849570,1.1058,22.2582,24.1018
2913,20180125,37.3,37.8,37.3,37.8,2961570,1.1182,20.0876,23.3477
2914,20180126,37.6,38.5,37.45,38.4,1542240,1.1347,29.5027,23.3467
2915,20180129,38.4,39.0,38.25,38.8,2187740,1.1449,37.0987,23.7845
2916,20180130,39.0,39.25,38.2,39.0,952490,1.1488,43.656,24.3994
2917,20180131,38.8,39.0,37.5,37.5,1399210,1.1032,41.0223,23.9218
2918,20180201,37.4,38.3,36.75,37.0,1206050,1.087,34.3488,22.5247
2919,20180202,37.1,37.7,37.1,37.6,1390470,1.103,29.4331,21.2274
2920,20180205,37.7,37.7,35.95,37.0,1013490,1.084,18.3053,20.6508
2921,20180206,34.45,36.5,34.45,34.45,5693020,1.0087,6.3301,21.2989
2922,20180207,35.5,35.5,34.4,34.45,1398410,1.008,4.4995,21.9348
2923,20180208,34.45,34.65,33.95,34.0,740570,0.9943,4.4995,22.8337
2924,20180209,33.0,34.4,32.0,34.1,1361410,0.9966,0.5049,24.716
2925,20180212,34.8,35.4,34.1,34.1,1492510,0.9958,1.0099,25.2908
2926,20180213,35.0,35.2,34.4,34.65,529990,1.0112,4.4763,25.8245
2927,20180221,35.4,37.05,35.0,37.05,1415200,1.08,17.6988,24.5082
2928,20180222,37.0,37.3,36.0,36.4,1158750,1.0599,28.4768,23.0784
2929,20180223,36.7,37.2,36.5,36.5,609970,1.0615,39.1044,21.7508
2930,20180226,36.8,37.0,36.25,36.55,547890,1.0617,55.7222,20.7255
2931,20180227,36.7,36.7,35.7,35.7,492280,1.0359,64.298,20.2181
2932,20180228,35.8,36.0,34.9,35.7,1029460,1.0346,63.1176,20.3348
2933,20180301,34.95,35.3,34.8,35.0,581820,1.0135,60.3734,20.5139
2934,20180302,34.5,34.9,34.4,34.45,519040,0.9967,54.3793,20.9653
2935,20180305,34.5,35.45,34.3,34.3,769020,0.9915,41.6171,20.7399
2936,20180306,34.2,34.9,34.2,34.5,493020,0.9963,35.5753,20.6112
2937,20180307,34.95,35.2,34.4,34.5,537170,0.9957,28.9776,20.1306
2938,20180308,34.5,35.3,34.5,35.1,383320,1.0122,31.6647,19.5621
2939,20180309,35.4,35.4,34.0,34.3,1042190,0.9888,28.6284,19.5039
2940,20180312,34.2,34.6,34.0,34.2,875390,0.9858,25.6043,19.4498
2941,20180313,34.2,34.25,33.1,33.15,1271980,0.9558,19.6039,20.184
2942,20180314,33.15,33.5,32.4,33.0,1118820,0.9518,14.1594,21.3762
2943,20180315,33.0,33.75,32.7,33.75,538830,0.9735,10.9208,22.1153
2944,20180316,32.5,33.95,32.5,32.5,1233350,0.9382,9.4856,22.8016
2945,20180319,33.3,33.4,32.9,33.0,573920,0.9532,15.1248,23.4388
2946,20180320,32.5,32.8,32.1,32.25,721090,0.9322,16.786,24.6683
2947,20180321,32.25,32.75,31.4,31.5,1147590,0.9111,16.786,26.275
2948,20180322,31.7,32.2,31.6,31.9,447340,0.9231,14.0184,27.767
2949,20180323,30.9,31.75,30.0,31.75,1198820,0.9193,17.1024,30.0027
