,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1943,20171204,26.759,27.2803,26.4984,27.1067,346440,1.6545,83.1701,67.7884
1944,20171205,27.1066,28.6704,26.3246,27.628,672070,1.673,88.9538,68.7724
1945,20171206,27.6278,29.5392,27.4541,29.0181,543450,1.7412,93.6847,69.8097
1946,20171207,29.5392,31.0162,29.5392,31.0164,588400,1.8423,97.2704,70.948
1947,20171208,32.58,33.1447,32.1456,33.1449,509360,1.9461,100.0,72.1938
1948,20171211,33.0144,35.447,31.9718,34.7522,589240,2.0156,100.0,73.4979
1949,20171212,35.6208,37.1846,35.5339,37.1849,686540,2.1275,100.0,74.7949
1950,20171213,39.3566,39.7476,39.2698,39.7479,514940,2.241,100.0,76.0988
1951,20171214,42.3106,42.5278,41.7024,42.528,433820,2.3597,100.0,77.3906
1952,20171215,45.0907,45.4382,39.5738,39.5741,641630,2.1654,80.8015,78.6546
1953,20171218,36.8371,36.8371,36.8371,36.8374,14720,1.9913,60.8015,77.9337
1954,20171219,34.2742,34.2742,34.2742,34.2744,23020,1.8332,40.8015,75.8124
1955,20171220,31.885,32.58,31.885,31.8852,856730,1.6898,20.8015,72.6992
1956,20171221,29.6695,29.6695,29.6695,29.6697,274910,1.56,0.8015,68.889
1957,20171222,27.6278,27.6278,27.6278,27.628,76620,1.4428,0.0,64.5999
1958,20171225,25.7165,29.5392,25.7165,29.5394,1021340,1.5308,1.7524,61.1483
1959,20171226,30.8424,31.5374,27.4975,27.4977,606660,1.4156,1.8157,58.4462
1960,20171227,25.5862,25.5862,25.5862,25.5863,220000,1.3099,1.8157,55.2348
1961,20171228,23.892,25.8902,23.8051,24.1528,967120,1.2305,1.8157,51.6522
1962,20171229,24.3264,25.6296,23.892,25.1954,463890,1.2768,2.7804,48.3255
1963,20180103,24.587,26.2812,24.587,25.7166,659940,1.2958,2.477,45.4431
1964,20180104,25.7165,26.4115,25.2821,25.9773,283880,1.3014,4.1142,42.8094
1965,20180105,25.6296,25.8468,25.1083,25.1085,216670,1.2511,5.5023,40.2919
1966,20180108,24.587,25.0649,24.0658,24.3266,423910,1.206,6.2703,37.5197
1967,20180109,24.5002,25.0214,24.3264,24.5003,341750,1.2083,6.869,34.9455
1968,20180110,24.6739,24.6739,24.1526,24.3266,314570,1.1935,7.1077,32.4768
1969,20180111,24.3264,24.9346,23.9789,24.8044,261050,1.2103,11.2701,30.3066
1970,20180112,24.8042,25.9771,24.8042,25.0216,283960,1.2146,17.301,28.773
1971,20180115,25.0214,25.6296,24.6739,25.0216,122790,1.2085,23.9518,27.2775
1972,20180116,25.0214,25.0214,24.4133,24.4134,154750,1.1733,28.7675,25.7394
1973,20180117,24.4133,24.587,23.9354,23.9356,246700,1.1448,29.0759,24.0325
1974,20180118,23.4576,24.0658,23.4576,24.0659,144260,1.1455,27.806,22.4622
1975,20180119,24.1961,24.4133,23.197,23.3709,165770,1.1075,20.3871,20.9233
1976,20180122,21.8069,22.5888,21.7634,21.7636,730890,1.0278,12.9682,20.1874
1977,20180125,23.2838,23.2838,23.2838,23.284,104580,1.095,20.4044,19.059
1978,20180126,24.8911,24.8911,24.5002,24.8913,560450,1.1649,38.4083,18.3014
1979,20180129,25.2821,25.369,24.8477,24.9347,248510,1.1612,53.8152,17.8458
1980,20180130,25.1952,26.6722,24.9346,26.6723,361420,1.2354,73.8152,18.0528
1981,20180131,26.9328,28.1491,26.064,26.0642,512700,1.2011,91.4803,18.8616
1982,20180201,26.4984,26.9328,25.8902,25.8904,129700,1.1871,94.6525,19.4868
1983,20180202,25.369,25.8034,24.8477,24.8478,76660,1.1341,87.6667,19.3305
1984,20180205,24.1526,24.7608,23.4576,23.4577,540210,1.0664,75.9729,18.3139
1985,20180206,24.3264,25.0649,22.1544,24.3266,626880,1.101,67.9211,17.3551
1986,20180207,24.3264,25.1952,24.3264,24.6741,59260,1.1116,63.6314,16.3889
1987,20180208,24.6739,24.6739,22.9798,23.284,82650,1.0449,55.1924,16.1876
1988,20180209,22.415,23.3707,22.2413,22.7627,90580,1.0179,49.0523,16.3492
1989,20180212,22.8494,24.2395,22.8494,23.8922,30270,1.064,52.6046,15.9345
1990,20180213,23.9789,24.7608,23.8486,24.3266,66770,1.0787,51.0247,15.2229
1991,20180221,24.3264,24.3264,23.197,23.8053,269000,1.0514,44.9937,14.9163
1992,20180222,23.8051,23.8051,22.9798,23.2405,80410,1.0228,40.5727,14.7498
1993,20180223,23.2404,23.5445,22.8494,22.8496,75560,1.0022,35.6205,14.6693
1994,20180226,22.8494,23.2838,21.72,22.5889,262360,0.9874,24.2838,15.2094
1995,20180227,22.5888,22.5888,22.0675,22.5455,45360,0.9822,14.1344,15.7109
1996,20180228,22.1544,22.7626,22.1544,22.5889,66130,0.9806,7.8917,16.024
1997,20180301,22.1978,22.5019,22.111,22.1545,63350,0.9586,3.7643,16.3415
1998,20180302,22.1544,22.1544,21.5897,21.6767,130600,0.9352,1.8423,16.9604
1999,20180305,21.72,22.5888,21.72,22.5021,78000,0.9675,11.929,17.1002
2000,20180306,21.8503,22.5019,21.5462,21.9808,69690,0.9422,17.6986,17.3491
2001,20180307,22.2413,22.2413,21.5897,21.9373,72140,0.9374,22.1963,17.5802
2002,20180308,21.9372,21.9806,21.5897,21.6767,43990,0.9235,25.3771,17.7948
2003,20180309,21.7634,21.9372,21.5462,21.5464,79620,0.9153,27.3188,18.0303
2004,20180312,21.1118,21.5462,20.0693,21.112,179450,0.8944,16.7104,19.3157
2005,20180313,20.8512,22.1544,20.5037,21.9808,223090,0.9284,29.3557,19.7569
2006,20180314,20.8512,22.8494,20.8512,22.6758,124880,0.9545,43.7563,19.3867
2007,20180315,22.7191,22.7191,21.8069,21.807,74500,0.9152,52.2269,19.043
2008,20180316,22.415,22.5019,21.7634,22.4152,169340,0.9378,68.8844,18.7621
2009,20180319,22.6757,23.5879,22.6757,23.2405,170120,0.9692,88.8844,17.5297
2010,20180320,23.2838,24.8477,23.2404,24.8478,221600,1.0325,90.2505,17.4603
2011,20180321,25.6296,25.7165,24.8477,25.1085,214770,1.0394,90.2505,18.0033
2012,20180322,25.1083,25.1083,24.3698,24.761,98450,1.0211,96.6999,17.9989
2013,20180323,23.5445,24.3264,23.5445,24.2397,92830,0.996,93.4299,17.1882
2014,20180326,24.2395,24.2395,23.4576,23.5446,77480,0.9644,85.3131,16.3536
2015,20180327,23.5445,24.5002,23.5445,24.3266,97260,0.993,80.5615,15.8049
2016,20180328,24.587,25.0214,24.3264,24.9347,122840,1.0141,78.2062,15.7347
2017,20180329,24.978,26.064,24.978,26.0642,198540,1.0558,80.1055,16.4404
2018,20180330,26.064,27.845,26.064,27.4543,288110,1.107,84.7763,18.1
2019,20180402,27.8016,27.8016,26.5853,27.4108,125110,1.1003,92.6458,19.641
2020,20180403,27.0197,27.3672,26.8459,26.933,120620,1.0769,94.389,21.072
2021,20180404,26.9328,27.8016,26.9328,27.2805,209710,1.0866,94.4409,22.6354
2022,20180405,27.2803,27.3238,26.2378,26.8026,122020,1.0636,87.4735,23.2113
2023,20180406,26.9328,27.3672,26.4984,27.1936,135750,1.0753,82.4927,23.7745
2024,20180409,27.1934,27.2803,26.4115,26.7592,155500,1.0549,73.9237,24.1831
2025,20180410,26.759,26.8459,24.8911,24.8913,397100,0.9794,56.9321,22.832
2026,20180411,24.0658,26.0206,23.4576,23.8487,133850,0.9374,39.2355,22.0252
2027,20180412,23.7182,24.7174,23.1101,24.1528,42820,0.9477,27.6555,21.5288
2028,20180413,23.8486,24.5436,23.4576,24.1528,25970,0.9466,14.0888,21.0679
2029,20180416,24.1526,25.8034,24.1526,25.6298,112450,1.0028,11.0781,19.6698
2030,20180417,25.8902,25.8902,25.1952,25.5863,42110,0.9994,19.0409,18.4459
2031,20180418,25.8468,25.8468,23.8051,24.1528,23920,0.9422,20.6548,18.0766
2032,20180419,24.1526,25.1952,23.6314,24.3266,89330,0.9476,21.6694,17.8597
2033,20180420,24.3264,25.1952,24.0658,24.0659,19350,0.9367,21.6846,17.6582
2034,20180423,25.1083,25.1083,23.892,24.2397,59740,0.9428,15.9927,17.611
2035,20180424,24.2395,24.2395,23.4576,24.1528,58510,0.9387,10.2363,17.9135
2036,20180426,25.1083,25.1952,22.5019,23.8922,123820,0.928,9.2741,18.1944
2037,20180427,23.8051,24.1526,23.4576,24.1528,24920,0.9376,9.9142,18.4552
2038,20180502,22.5019,23.8051,22.5019,22.5021,182070,0.8742,8.4464,19.4695
2039,20180503,22.5019,22.5019,20.9381,20.9382,162040,0.8149,5.9653,21.3539
2040,20180504,20.0693,20.8512,19.8955,20.8513,104850,0.813,3.7588,23.5808
2041,20180507,21.2856,21.4594,20.4168,21.4595,56100,0.8381,7.2522,24.8651
2042,20180508,21.5462,21.72,20.8512,21.2857,95140,0.8328,7.6446,25.7329
2043,20180509,21.2856,21.72,21.1987,21.5898,113930,0.8465,13.3415,26.5387
2044,20180510,21.72,21.9806,21.6331,21.7201,35650,0.8536,22.8084,26.9355
2045,20180511,21.1118,21.6766,21.1118,21.4595,29850,0.8459,30.561,27.6523
2046,20180514,21.4594,21.6766,21.4594,21.6767,11160,0.8576,36.7686,28.3179
2047,20180515,21.2856,21.8503,21.1987,21.8505,36940,0.8684,45.6367,29.1159
2048,20180516,21.8503,22.2413,21.72,22.1111,82790,0.8832,55.4645,29.2525
2049,20180517,22.111,22.111,21.6331,21.6333,7410,0.8695,57.4614,29.4499
2050,20180518,22.0675,22.0675,20.8512,21.5464,24300,0.8724,60.446,30.2246
2051,20180521,21.2856,21.5462,20.8512,21.2857,27730,0.8693,61.0754,30.9439
2052,20180522,21.2856,21.2856,19.8086,20.8513,49780,0.8581,55.1552,32.2878
2053,20180523,19.6349,20.8512,19.4177,19.9825,86840,0.8281,39.6304,33.7515
2054,20180524,19.9824,20.7209,19.7218,19.9825,26050,0.833,28.1666,35.1107
2055,20180525,19.9824,19.9824,18.5923,18.5924,69100,0.7794,17.4294,36.9385
2056,20180528,18.5923,18.5923,17.3326,17.3327,119620,0.7304,6.4475,39.1065
2057,20180529,16.7678,18.5054,16.7244,18.5056,102860,0.7828,9.8568,41.307
2058,20180530,18.7661,18.7661,17.9842,18.2449,22260,0.7755,18.8171,42.9171
2059,20180531,18.2448,18.2448,17.8104,18.158,56510,0.7749,27.4697,44.4767
2060,20180601,18.2448,18.2448,17.7235,18.158,91960,0.7773,36.1223,45.9583
2061,20180604,18.1579,19.2874,18.1579,18.8531,80880,0.8089,50.7155,45.606
2062,20180605,18.5923,19.3742,18.5923,18.8096,45580,0.8093,57.5433,45.1484
2063,20180606,18.4186,20.1127,18.2448,20.1128,58500,0.8674,68.583,43.6682
2064,20180607,20.1127,20.1127,19.1136,19.9391,40920,0.8622,79.0888,42.2938
2065,20180608,19.939,20.3299,19.3742,19.9825,23100,0.866,89.8479,40.7071
2066,20180611,18.853,19.9824,18.853,19.4612,56570,0.8452,92.0274,39.7064
2067,20180612,19.2874,19.2874,18.1145,18.4187,103570,0.802,87.6226,39.3645
2068,20180613,18.1579,19.3742,17.7235,19.3744,51160,0.8455,85.5801,39.3265
2069,20180614,19.3742,19.4611,18.853,19.3744,13850,0.8475,84.3792,39.1506
2070,20180615,18.6792,19.2005,18.6792,18.6793,7430,0.8193,76.9554,39.1209
2071,20180618,18.4186,19.0267,18.1579,18.2449,45820,0.8027,69.4104,39.4758
2072,20180619,18.1579,18.1579,17.6366,18.158,39340,0.801,65.8063,40.1489
2073,20180620,18.6792,18.6792,17.5498,18.2449,15030,0.8069,57.484,39.8722
2074,20180621,18.6792,18.6792,17.5498,17.5499,28020,0.7784,39.5265,39.6152
2075,20180622,17.8973,18.6792,17.4194,18.6793,38450,0.8302,42.9591,39.4859
2076,20180625,17.5498,19.548,17.5498,17.8105,34610,0.793,41.448,37.9195
2077,20180626,18.2448,18.5923,17.8104,18.5924,7930,0.8296,50.7224,36.465
2078,20180627,18.5923,18.7661,18.3317,18.6793,14000,0.8357,60.0739,34.8376
2079,20180628,18.3317,18.6792,18.071,18.4187,15950,0.8265,77.1961,33.6382
2080,20180629,18.2448,18.5054,17.8104,18.5056,22740,0.8334,80.1254,32.8266
2081,20180702,17.7235,18.5054,17.5498,18.0712,35620,0.8168,85.7312,32.3653
2082,20180703,18.2448,18.7226,17.2891,17.2892,51310,0.7845,73.011,32.2193
2083,20180704,17.2891,17.376,16.1597,16.4204,39830,0.748,54.0243,33.0807
2084,20180705,16.4203,17.2891,15.5515,16.2467,61750,0.7425,36.9021,34.2948
2085,20180706,15.899,17.0285,15.899,16.8548,18740,0.7729,26.8961,35.4222
2086,20180709,16.8547,17.2022,16.5072,16.9417,32350,0.7797,23.0763,36.1118
2087,20180710,17.2891,17.2891,16.2466,17.1155,22720,0.7899,29.7462,36.9526
2088,20180711,16.5072,17.2022,16.3334,17.0286,24690,0.788,40.8027,37.7333
2089,20180712,17.0285,17.0719,16.5072,16.8983,2130,0.7845,50.548,38.4583
2090,20180713,16.5072,17.0285,16.5072,17.0286,19940,0.7932,54.0536,39.1315
2091,20180716,17.2891,17.2891,17.0285,17.2023,13950,0.8038,59.2503,39.0774
2092,20180717,17.2022,17.9842,17.1154,17.9843,49110,0.8424,67.3507,37.4862
2093,20180718,18.071,19.1136,17.8104,19.1137,106690,0.8969,76.2941,35.3967
2094,20180719,19.1136,19.2005,18.853,18.8531,20900,0.8862,84.6932,33.5708
2095,20180720,18.2448,19.1136,17.8973,18.5056,13090,0.8715,88.5821,31.8141
2096,20180723,18.2448,18.6792,17.8104,18.2449,16600,0.861,87.8691,30.2901
2097,20180724,17.8104,18.071,17.4629,18.0712,21250,0.8545,80.691,29.2991
2098,20180725,18.071,18.2448,17.9842,18.0712,9300,0.8559,71.5515,28.0921
2099,20180726,17.8104,18.071,17.5498,17.9843,8770,0.8536,63.0555,27.5028
2100,20180727,17.6801,17.9842,17.5498,17.9843,11800,0.8552,56.8794,26.9556
2101,20180730,17.9842,18.2448,17.5498,17.6368,21260,0.8404,48.8365,25.9698
2102,20180731,17.7235,18.4186,17.5498,18.4187,60140,0.8791,50.3302,24.7429
2103,20180801,18.2882,18.3751,17.8104,17.8105,11510,0.8516,46.825,23.6037
2104,20180802,17.4194,18.5923,17.4194,17.8105,5480,0.8529,43.0415,23.1411
2105,20180803,17.8538,18.1579,17.7235,18.158,16940,0.8711,41.999,22.7115
2106,20180806,17.8973,17.9842,17.6366,17.8974,10680,0.8606,40.7073,22.4488
2107,20180807,17.7235,18.071,17.6366,18.0712,19600,0.8705,35.3206,21.9995
2108,20180808,18.071,18.2014,17.6366,18.0277,18790,0.8703,39.1366,21.2703
2109,20180809,18.1579,19.1136,17.8973,18.6793,104930,0.9037,53.2717,20.6715
2110,20180810,18.7226,19.2005,18.5923,19.2006,81560,0.9315,64.7522,20.2533
2111,20180813,19.4611,19.9824,19.1136,19.9825,74660,0.9718,80.1002,20.94
2112,20180814,20.243,20.243,19.7218,19.8956,44010,0.9699,90.1189,21.8764
2113,20180815,19.8955,19.8955,19.3308,19.6784,57310,0.9615,95.2343,21.9044
2114,20180816,19.3742,19.548,18.6792,19.4612,26990,0.9527,88.9074,20.7405
2115,20180817,19.7218,19.7218,19.157,19.4612,17570,0.955,81.8211,19.9137
2116,20180820,19.3742,19.5914,19.1136,19.5916,21010,0.9639,75.9901,19.0678
2117,20180821,19.5914,20.1562,19.2874,20.1563,49800,0.9946,76.1738,19.0913
2118,20180822,20.1562,21.2422,19.9824,21.2423,116760,1.0514,79.8871,20.2834
2119,20180823,21.6331,22.2413,21.2856,22.2414,58660,1.1037,86.2139,22.1592
2120,20180824,22.5888,22.7626,21.8069,22.3717,90590,1.1127,93.3002,24.2297
2121,20180827,22.3716,22.415,21.8938,22.4152,51840,1.1176,99.1313,26.1523
2122,20180828,22.415,22.5888,21.8069,22.5889,63560,1.1286,100.0,28.05
2123,20180829,22.8494,22.8494,21.8938,22.2414,43240,1.114,94.2703,29.9791
2124,20180830,21.8938,22.2413,21.72,21.7201,93240,1.0906,80.789,31.3906
2125,20180831,22.1544,22.1544,21.3725,21.7201,64350,1.0924,67.3077,31.9658
2126,20180904,21.6766,21.6766,20.8946,21.1989,42170,1.0676,47.3077,31.5793
2127,20180905,21.5462,21.5462,20.4168,21.1989,45630,1.0692,27.3077,30.4022
2128,20180906,21.3725,21.3725,21.025,21.1554,11300,1.0686,13.0373,29.3092
2129,20180907,21.2856,21.4594,20.7643,21.4595,26050,1.0862,9.3535,27.8489
2130,20180910,21.4594,21.6331,21.1118,21.4595,46040,1.0885,5.6696,26.7365
2131,20180911,21.6331,21.6766,21.025,21.6767,28240,1.1009,10.5686,25.5452
2132,20180912,21.5028,21.5897,21.025,21.2857,37030,1.0827,10.5686,24.439
2133,20180913,21.1118,21.4594,20.8512,21.4595,24730,1.093,12.3013,23.0673
2134,20180914,21.4594,22.5888,21.1118,22.0677,76560,1.1252,16.5552,23.3824
2135,20180917,23.1336,23.5176,22.1737,23.3256,84900,1.1899,28.5835,24.5665
2136,20180918,23.5176,23.5176,22.4617,23.4216,46420,1.1951,43.6845,25.666
