,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1666,20171115,3.2754,3.2754,2.9538,3.2755,3010,0.9315,56.378,28.6433
1667,20171116,3.4773,3.4773,3.1408,3.2605,4150,0.927,49.0148,27.2211
1668,20171117,3.1782,3.3651,3.1782,3.3652,9670,0.9561,50.5245,25.9005
1669,20171120,3.3651,3.5147,3.3651,3.44,1490,0.9768,56.4658,24.1634
1670,20171121,3.5969,3.5969,3.4399,3.5148,14590,0.997,66.8213,22.9239
1671,20171122,3.5894,3.5894,3.2754,3.5148,520,0.9959,72.2386,21.584
1672,20171123,3.2978,3.2978,3.2978,3.2979,8010,0.9342,68.3014,20.3398
1673,20171124,3.0884,3.5147,3.0884,3.5148,5610,0.9948,69.0389,19.5999
1674,20171127,3.5147,3.5147,3.3651,3.3652,3790,0.952,63.0731,18.9128
1675,20171128,3.3651,3.5147,3.3651,3.5148,3110,0.9933,62.0423,18.2748
1676,20171129,3.4399,3.4399,3.3651,3.44,120,0.9711,60.1066,17.6824
1677,20171130,3.3651,3.4773,3.3651,3.4774,39000,0.9808,69.4095,17.3286
1678,20171201,3.5147,3.5296,3.4399,3.5297,23640,0.9943,73.8184,17.2741
1679,20171204,3.5147,3.739,3.5147,3.7391,3560,1.0514,84.8307,18.1732
1680,20171205,3.5521,3.739,3.5521,3.7391,32260,1.0491,89.2828,19.0081
1681,20171206,3.8138,3.8138,3.5894,3.5896,4710,1.0055,85.3877,20.0936
1682,20171207,3.5894,3.5894,3.5147,3.5896,20320,1.0042,79.9267,20.503
1683,20171208,3.4399,3.5894,3.3651,3.5522,5640,0.9925,69.8875,19.8164
1684,20171212,3.3651,3.4997,3.3202,3.4998,21940,0.9763,54.9592,18.8862
1685,20171213,3.3277,3.3651,3.2604,3.3652,3010,0.9381,34.9592,17.6386
1686,20171214,3.3277,3.3651,3.3277,3.3652,4550,0.938,24.2113,16.4801
1687,20171215,3.3651,3.3651,3.3128,3.3129,7000,0.9241,13.4634,15.3054
