,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
677,20171205,25.079,26.3479,25.079,25.6022,117270,0.9951,31.8504,35.6519
678,20171206,26.124,26.1986,25.6015,26.1993,76100,1.0178,48.1606,33.3607
679,20171207,26.1986,27.4675,26.1986,27.0951,173070,1.0515,64.4708,33.2315
680,20171208,27.3929,27.3929,26.7584,27.0204,125750,1.0475,79.8412,33.1115
681,20171211,26.4972,28.7364,26.4972,28.364,188560,1.0979,98.5144,34.4376
682,20171212,28.3632,28.6618,27.0197,28.252,66110,1.0923,98.0713,35.669
683,20171213,27.99,28.3632,27.99,28.2893,49470,1.0928,97.1773,36.8124
684,20171214,28.3632,29.7067,27.99,29.6329,168280,1.1435,97.1773,38.8012
685,20171215,30.0799,30.4158,29.7067,30.0061,154540,1.1564,98.1171,40.9823
686,20171218,30.0053,30.6024,29.856,30.23,72010,1.1636,98.1171,43.0868
687,20171219,30.2292,30.2292,29.1096,29.1104,68600,1.1193,92.1429,43.3996
688,20171220,29.2216,29.2589,28.3632,29.1104,129420,1.1178,86.0737,42.3546
689,20171221,29.1096,29.1842,28.3632,29.1104,27200,1.1164,79.1105,41.3842
690,20171222,28.7364,29.1096,28.0273,28.14,78330,1.0782,63.8993,39.9122
691,20171225,28.0646,28.2139,27.5422,27.5429,125400,1.0545,43.8993,37.7859
692,20171226,27.6168,28.1393,27.6168,27.9908,28600,1.0706,33.1348,35.8115
693,20171227,27.8407,28.9603,27.8407,28.5879,30220,1.0922,25.0739,34.9238
694,20171228,28.3632,28.7364,27.9527,28.252,15520,1.078,15.0672,34.0995
695,20171229,27.8407,28.6618,27.7661,28.2147,52730,1.0753,13.0908,33.0046
696,20180102,28.2139,28.2139,27.6168,27.7668,61460,1.0572,13.3338,31.7231
697,20180103,27.6168,28.1766,27.6168,27.8788,30140,1.0605,11.9219,30.5332
698,20180104,27.6168,28.2886,27.6168,28.2893,86680,1.075,10.0051,29.5886
699,20180105,28.3632,29.2589,28.1393,29.2597,87920,1.1102,14.3399,29.88
700,20180108,29.4828,29.4828,28.6618,29.185,61220,1.1056,24.877,30.3726
701,20180109,29.1842,29.1842,28.6618,28.8865,38690,1.0926,34.1696,30.83
702,20180110,28.6618,29.4828,28.6618,29.409,170600,1.1102,47.2543,31.5599
703,20180111,29.4828,29.7067,29.0723,29.1104,70640,1.0972,58.3535,32.4555
704,20180112,29.1096,29.5574,28.8484,28.8491,49680,1.0857,60.619,32.7439
705,20180115,28.8484,29.1096,28.3632,29.1104,71720,1.0936,60.1394,31.9424
706,20180116,29.0723,29.4082,28.7364,29.1104,46860,1.0916,63.4738,31.578
707,20180117,29.4082,29.4082,28.6618,29.1104,23130,1.0896,62.3987,31.0774
708,20180118,27.6914,28.9976,27.6914,28.252,10590,1.0557,48.2404,28.8869
709,20180119,28.3632,28.4378,27.8407,27.8415,81470,1.0388,38.6099,26.8528
710,20180122,27.8407,28.3259,27.6168,28.3266,85930,1.0552,31.4466,25.3263
711,20180125,28.5871,29.856,28.5871,28.9611,74350,1.077,30.7258,25.1798
712,20180126,28.4378,29.7067,28.4378,28.9611,15420,1.075,30.005,24.7985
713,20180129,29.3335,29.3335,28.4378,28.8491,46030,1.069,40.9321,24.4444
714,20180130,28.3632,28.5871,28.3632,28.5133,36750,1.0552,47.6435,23.9797
715,20180131,28.4378,28.811,28.4378,28.7372,79130,1.0622,51.298,23.8344
716,20180201,28.7364,29.7067,28.7364,29.2597,87360,1.0799,57.7031,24.6684
717,20180202,29.2589,30.0053,29.1842,29.8568,120110,1.1001,65.5539,25.7134
718,20180205,30.2292,30.677,29.4828,29.4836,183580,1.0848,69.668,27.2238
719,20180206,28.4378,29.4828,27.7661,28.4386,71370,1.0453,66.6225,25.9482
720,20180207,28.9603,29.4082,28.5125,29.0731,52290,1.0674,66.9229,24.7637
721,20180208,28.811,28.811,28.2886,28.364,104260,1.0404,51.5237,23.3734
722,20180209,27.6168,28.6618,27.6168,28.364,35540,1.0394,34.6786,22.1321
723,20180212,28.6618,29.4082,28.3632,29.409,34080,1.0763,30.6399,20.9842
724,20180213,29.4082,29.7814,28.7364,29.7822,52730,1.0885,41.3195,20.3055
725,20180221,29.7814,31.834,29.7814,31.8348,315080,1.1612,51.6578,21.2859
726,20180222,31.834,33.2148,31.834,32.432,133010,1.1804,68.5029,22.9304
727,20180223,32.767,32.767,31.722,32.432,117170,1.1779,85.348,24.319
728,20180226,32.4311,34.633,31.7966,33.1411,185880,1.2009,94.3455,26.4076
729,20180227,33.3641,33.7373,32.6177,33.1411,144590,1.1981,100.0,28.347
730,20180228,32.9162,33.0655,32.6177,32.7678,129740,1.1821,97.0314,30.1479
731,20180301,32.4311,32.8416,32.0952,32.0961,137420,1.1555,89.1329,31.1228
732,20180302,31.1995,32.4684,31.1995,31.8721,65080,1.1451,79.6833,30.9491
733,20180305,31.9459,31.9459,31.0502,31.0511,105340,1.1136,64.9902,30.6177
734,20180306,30.9756,31.9459,30.6024,31.5736,79980,1.1301,52.7806,29.8011
735,20180307,31.7966,32.0952,31.0502,31.5736,36330,1.128,43.5396,29.1574
736,20180308,31.5727,32.0206,31.5727,31.9468,68190,1.139,37.2676,28.5597
737,20180309,31.9459,32.2445,31.4234,31.9468,61370,1.1368,32.5467,28.1935
738,20180312,31.7966,32.2445,31.722,31.7975,37390,1.1294,31.501,27.8535
739,20180313,31.7966,32.0952,31.3488,32.0961,30610,1.1378,30.1849,27.0034
740,20180314,32.0952,32.0952,31.722,31.7229,39530,1.1225,24.8021,26.214
741,20180315,31.722,33.1402,31.722,33.1411,123920,1.17,30.7413,26.4683
742,20180316,32.8416,33.588,32.6923,32.8425,56570,1.1567,33.6021,27.0582
743,20180319,32.8416,32.8416,32.0952,32.3946,80410,1.1384,34.697,26.7209
744,20180320,32.3938,32.4684,31.9086,31.9095,50880,1.1195,28.2227,26.1453
745,20180321,31.9086,31.9086,31.1249,31.1257,92400,1.0904,25.815,24.5975
746,20180322,31.3488,32.0952,30.7517,31.4616,70130,1.1004,16.9675,22.952
747,20180323,30.7517,31.4608,30.7517,31.275,64440,1.0921,9.5521,21.424
748,20180326,31.2742,31.3488,30.8636,31.3123,37220,1.0917,5.8258,20.0052
749,20180327,31.3488,31.722,30.789,31.2004,24760,1.086,6.366,18.953
750,20180328,31.1995,31.1995,30.6024,30.9764,12300,1.0766,6.366,17.713
751,20180329,31.3488,31.3488,30.6024,30.7525,25380,1.0674,3.4449,16.7672
752,20180330,30.5278,30.901,29.856,29.9315,125280,1.0377,2.17,16.2655
753,20180402,29.9306,30.5651,29.9306,30.1181,81970,1.0428,2.047,15.7996
754,20180403,30.1172,30.2292,29.1096,29.5582,136570,1.0223,1.5068,16.3205
755,20180404,29.7814,29.856,29.4082,29.6329,89710,1.0237,2.1754,16.8042
756,20180405,29.4828,30.2292,29.1096,30.23,86300,1.0429,9.0298,16.6174
757,20180406,30.3785,30.8263,29.9306,30.1554,75360,1.0389,16.8586,15.54
758,20180409,30.1546,30.5651,30.1546,30.1554,82450,1.0375,25.1501,14.5396
759,20180410,30.1546,30.1546,29.1469,29.1477,98690,1.0018,25.1501,14.8643
760,20180411,29.2589,29.5574,29.1096,29.3343,78160,1.0071,27.7153,15.2065
761,20180412,29.1096,29.2589,28.7364,29.2597,81020,1.0034,23.296,15.9297
762,20180413,29.4455,29.4455,28.7364,29.1104,66700,0.9972,16.319,16.2732
763,20180416,28.5125,29.1096,28.4005,28.9611,67840,0.991,6.5207,16.9677
764,20180417,28.9603,29.035,28.3632,28.364,54330,0.9698,6.5207,17.6542
765,20180418,28.6618,29.2589,28.4378,29.1104,60100,0.9943,17.9937,17.854
766,20180419,29.1096,29.1096,28.4005,28.8865,73060,0.9856,27.6284,18.0884
767,20180420,28.5871,29.4082,28.3632,29.409,55420,1.0022,46.7767,17.7082
768,20180423,29.9306,29.9306,28.5125,28.5133,72060,0.9707,57.0255,16.4594
769,20180424,28.3632,29.035,28.102,29.0357,40860,0.9872,75.0583,15.9035
770,20180426,28.9603,28.9603,28.1393,28.6625,48410,0.9735,74.4877,15.3874
771,20180427,28.5125,28.6244,28.102,28.364,61920,0.9623,73.5749,14.9686
772,20180502,28.2886,28.6618,27.6914,28.2893,54310,0.9588,63.9814,15.2198
773,20180503,28.2886,28.2886,27.5048,28.1774,94770,0.9541,62.9709,15.7223
774,20180504,28.2139,28.3632,28.0273,28.2147,49550,0.9544,54.8683,16.0185
775,20180507,27.8407,28.3632,27.7661,28.2893,44250,0.956,52.1164,16.6858
776,20180508,28.6618,28.6618,28.2886,28.6625,52370,0.9675,59.4218,16.6086
777,20180509,29.035,29.035,28.2886,28.5879,43650,0.964,66.4161,15.754
778,20180510,28.811,29.1096,28.0646,29.0357,98530,0.9782,77.1778,15.3538
779,20180511,28.4005,28.811,28.2139,28.8118,44110,0.9701,82.9262,14.9821
780,20180514,28.811,28.811,28.2139,28.2147,38390,0.9496,76.9543,14.637
781,20180515,28.5871,28.5871,28.0646,28.5879,72900,0.9621,72.1705,14.6109
782,20180516,28.5871,28.5871,27.99,28.5133,37440,0.9595,67.1356,14.7342
783,20180517,28.5125,28.7364,28.0273,28.364,115730,0.9544,56.8171,14.4386
784,20180518,28.3632,28.3632,27.7661,27.9908,25360,0.9424,44.4464,14.7074
785,20180521,28.3632,28.3632,27.7661,28.2147,42910,0.9505,47.9324,14.957
