,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1905,20171205,206.8786,206.8786,203.265,203.2804,122850,1.0569,3.0723,25.503
1906,20171206,203.265,203.265,199.6514,201.0217,81780,1.0443,0.1348,23.8806
1907,20171207,199.6514,202.3616,195.8571,195.9623,164900,1.0173,0.1348,22.8791
1908,20171208,195.4054,195.4054,192.0628,193.4326,222790,1.0034,0.0,22.7026
1909,20171211,193.4179,198.3866,192.4242,194.2457,145820,1.0065,1.2684,21.7638
1910,20171212,195.1344,197.3929,192.2435,197.0465,139360,1.0198,6.7191,20.9299
1911,20171213,202.1809,202.1809,196.9412,197.1368,107600,1.019,12.3019,19.8386
1912,20171214,197.1219,201.4582,196.0378,200.6603,91810,1.0358,24.8705,18.6122
1913,20171215,199.7417,208.5951,199.6514,204.1839,181670,1.0524,43.3959,18.8198
1914,20171218,204.1684,206.4269,204.1684,204.6356,102360,1.0534,61.293,19.0126
1915,20171219,204.6201,205.5235,198.748,202.2866,139530,1.0403,71.8467,17.9267
1916,20171220,202.2713,203.265,195.1344,196.9561,99600,1.0123,74.6668,17.0764
1917,20171221,197.8446,199.1997,195.1344,196.9561,129470,1.0117,70.501,16.2868
1918,20171222,196.9412,196.9412,192.5145,193.6133,183160,0.994,56.197,16.0488
1919,20171225,196.9412,197.8446,194.231,197.8596,20110,1.0151,48.6851,15.6127
1920,20171226,196.9412,198.8383,195.1344,197.8596,33150,1.0145,44.3343,14.9673
1921,20171227,200.4645,200.4645,197.0315,197.8596,76910,1.014,47.585,13.9783
1922,20171228,198.748,201.4582,197.3929,201.4734,49220,1.0316,56.7595,13.1352
1923,20171229,201.4582,205.0718,201.4582,204.6356,105020,1.0467,72.5382,13.1433
1924,20180102,204.6201,206.8786,204.6201,205.5391,38450,1.0502,80.8846,13.5068
1925,20180103,206.4269,206.4269,203.536,205.0873,97590,1.0468,88.3329,13.542
1926,20180104,205.4332,207.782,194.231,207.7977,221850,1.0593,96.6793,13.599
1927,20180105,207.782,210.5825,205.5235,205.5391,162170,1.0468,95.1065,13.0429
1928,20180108,205.5235,206.8786,202.3616,203.2804,149570,1.0343,87.4343,13.0858
1929,20180109,204.1684,205.0718,201.5485,204.1839,157460,1.0379,81.0749,13.2645
1930,20180110,203.265,204.9815,199.6514,202.3769,107780,1.0278,72.6695,13.7531
1931,20180111,200.7355,200.8258,196.9412,196.9561,124130,0.9997,55.9749,14.6409
1932,20180112,193.3276,200.1031,193.3276,199.6665,245920,1.0127,45.0722,15.9845
1933,20180115,200.1031,200.1031,197.2122,199.5762,68800,1.0117,37.7013,17.2321
1934,20180116,198.748,199.5611,195.3151,195.3299,191710,0.9899,24.0607,18.6595
1935,20180117,198.748,198.748,192.8759,193.3422,224840,0.9797,13.3643,20.3107
1936,20180118,193.3276,193.3276,189.443,189.7284,268370,0.9613,10.0589,22.2564
1937,20180119,189.714,194.1407,187.7265,190.6318,269350,0.9658,6.3478,24.253
1938,20180122,190.6174,190.6174,186.1004,186.1145,184460,0.943,1.3909,26.2819
1939,20180125,186.1004,186.1004,178.7829,179.7902,392050,0.9113,1.3909,28.8167
1940,20180126,179.7766,179.7766,171.646,172.5625,474940,0.8754,1.3909,31.6296
1941,20180129,171.646,173.4528,162.4313,173.4659,1147700,0.8807,2.4883,34.6721
1942,20180130,173.8142,185.5584,170.6523,185.5724,694490,0.9423,13.8911,34.8662
1943,20180131,185.197,185.197,177.9698,181.5971,111000,0.9224,25.8792,35.0465
1944,20180201,177.0664,180.68,170.6523,175.2729,397100,0.8909,35.9159,35.7912
1945,20180202,175.2596,175.3499,168.0324,168.0451,230470,0.8551,42.4895,36.6673
1946,20180205,168.0324,174.8079,165.6836,169.9424,174120,0.8656,49.9773,37.6432
1947,20180206,158.095,165.3222,158.095,158.107,572360,0.8068,41.6956,39.0183
1948,20180207,163.9671,167.129,160.8052,162.9857,166860,0.8329,39.8395,39.9279
1949,20180208,162.612,162.9734,157.1916,159.9139,138700,0.8185,38.3874,40.9998
1950,20180209,155.3848,164.4188,154.4814,163.5278,141470,0.8381,44.4652,42.1579
1951,20180212,166.2256,172.3687,166.2256,169.4907,115060,0.8696,54.6714,41.6865
1952,20180213,172.4591,172.5494,169.8392,171.0266,76230,0.8783,70.1595,41.2162
1953,20180221,172.5494,172.5494,166.2256,167.1417,151210,0.8593,77.3601,41.0924
1954,20180222,167.129,167.129,160.8052,162.534,246000,0.8368,82.6569,41.4023
1955,20180223,162.612,164.8705,159.9018,163.5278,198380,0.843,84.1958,41.7576
1956,20180226,163.5154,167.5807,162.612,162.6243,115120,0.8395,78.8071,41.533
1957,20180227,165.0512,166.2256,162.612,166.2382,136080,0.8591,77.5476,41.3244
1958,20180228,164.4188,164.5091,162.612,163.5278,117430,0.8462,76.2982,41.1307
1959,20180301,162.612,163.3347,158.8177,158.8297,242330,0.8231,74.2196,41.323
1960,20180302,158.095,158.9984,155.4751,157.0228,174650,0.8149,70.2749,41.8006
1961,20180305,158.095,165.3222,157.6433,161.2691,181170,0.8381,72.7561,40.8505
1962,20180306,164.4188,164.4188,161.2569,163.5278,151880,0.8508,74.0155,39.9683
1963,20180307,162.612,163.0637,159.4501,160.8174,195350,0.8377,72.2007,39.3628
1964,20180308,160.8052,164.4188,157.1916,164.4312,415160,0.8574,80.398,39.0616
1965,20180309,164.4188,166.6773,161.7086,161.8112,499200,0.8446,85.4385,38.2576
1966,20180312,158.8177,162.612,158.8177,158.8297,222020,0.8303,79.7182,37.8702
1967,20180313,158.5467,159.4501,154.9331,155.3062,391200,0.8132,64.2183,37.9498
1968,20180314,155.2945,157.1013,150.9581,150.9696,515790,0.792,49.9499,38.4232
1969,20180315,150.9581,150.9581,145.4474,149.0723,769010,0.7838,29.9499,39.3393
1970,20180316,145.8991,149.061,144.9957,145.9101,405550,0.769,14.6637,40.2266
1971,20180319,145.8991,148.6093,145.4474,146.0005,319070,0.7714,4.698,41.0505
1972,20180320,145.9894,151.7712,145.9894,149.9758,417690,0.7942,8.9118,40.963
1973,20180321,150.8678,157.1916,150.8678,155.2159,369730,0.8236,27.4008,39.6155
1974,20180322,155.2041,155.2945,152.6746,153.1379,230840,0.814,43.1838,38.3643
1975,20180323,146.5315,153.1263,146.5315,149.524,253450,0.7965,54.5123,37.9973
1976,20180326,149.5127,149.5127,145.8991,146.0005,279880,0.7796,61.665,37.7308
1977,20180327,145.9894,148.1576,142.7372,142.748,449840,0.7641,56.9079,37.847
1978,20180328,142.7372,142.7372,137.3168,137.4175,405280,0.7378,38.4189,38.4967
1979,20180329,136.8651,137.3168,134.1549,134.7071,413740,0.7258,22.6359,39.376
1980,20180330,134.6066,142.6469,134.6066,142.6577,214050,0.7709,25.2574,38.9343
1981,20180402,143.6406,145.7184,139.1236,141.8445,261970,0.769,31.0551,37.8811
1982,20180403,141.0207,141.2918,137.3168,138.2307,193880,0.7521,36.7499,37.1255
1983,20180404,137.7685,138.2202,132.7998,132.8099,446830,0.7254,41.725,36.9408
1984,20180405,134.3356,138.9429,134.1549,137.3272,269580,0.7532,54.192,36.6072
1985,20180406,137.3168,141.1111,137.3168,140.0376,193680,0.7712,56.8933,35.8093
1986,20180409,140.4787,141.3821,137.3168,137.4175,219330,0.7599,57.7167,35.0065
1987,20180410,139.1236,141.0207,137.4071,141.0314,284650,0.7828,68.065,34.2611
1988,20180411,142.1952,146.8025,141.3821,144.7356,580470,0.8062,83.0899,32.2703
1989,20180412,144.7247,145.4474,142.5565,142.748,189430,0.7983,88.6686,30.4217
1990,20180413,142.7372,144.544,138.2202,138.2307,190610,0.7764,85.8939,29.4583
1991,20180416,137.3168,137.4071,133.8839,135.5203,221990,0.7645,83.4869,29.2057
1992,20180417,136.4134,138.2202,135.6907,136.6044,179740,0.7739,76.4969,28.7788
