,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1853,20171205,25.4923,25.4923,25.1748,25.4039,318960,0.9681,24.5583,11.407
1854,20171206,25.1294,25.4016,25.0387,25.3131,122120,0.9647,22.9547,11.0224
1855,20171207,25.3109,25.9459,25.3109,25.9482,367500,0.9887,36.8536,11.2611
1856,20171208,25.8552,26.1274,25.6738,26.039,242360,0.9923,53.4289,11.8778
1857,20171211,26.0366,26.0366,25.583,25.7668,207080,0.982,62.7728,12.1625
1858,20171212,25.5377,26.3088,25.3109,26.3112,400350,1.0028,76.9177,13.0154
1859,20171213,26.3088,26.3088,25.9459,26.3112,314500,1.0027,93.0821,13.8074
1860,20171214,26.581,26.9438,26.1274,26.9463,443960,1.0266,93.0821,15.6784
1861,20171215,26.9438,27.0346,26.6717,26.9916,428920,1.0281,93.0821,17.5496
1862,20171218,26.9438,27.3067,26.9438,27.2184,231210,1.0366,100.0,19.6675
1863,20171219,27.1253,27.1253,26.1274,26.7648,257620,1.0195,92.4634,19.2328
1864,20171220,26.6717,26.9438,26.3995,26.6741,191430,1.0161,83.5405,18.8291
1865,20171221,26.581,26.7624,25.8552,26.3112,240930,1.0025,69.3815,17.7318
1866,20171222,26.1274,26.4902,26.1274,26.4926,161070,1.0098,57.2684,16.7128
1867,20171225,26.3995,26.4902,26.0366,26.4926,205090,1.0102,45.1552,15.9612
1868,20171226,26.3995,26.4902,26.0366,26.4926,217390,1.0106,35.8989,15.2633
1869,20171227,26.1274,26.581,25.6738,26.5833,160140,1.0144,29.693,15.3901
1870,20171228,26.581,27.1253,26.2181,27.037,164980,1.0322,36.1688,14.3898
1871,20171229,26.7624,27.6696,26.6717,27.6721,246300,1.0565,48.2819,14.4821
1872,20180102,27.4882,28.2139,27.4882,28.035,219590,1.0702,60.395,15.381
1873,20180103,27.9418,28.9397,27.9418,28.7608,257310,1.0975,77.188,17.0618
1874,20180104,28.3954,29.3026,28.0325,29.2145,245140,1.1141,92.3168,18.9735
1875,20180105,28.6675,29.8469,28.5768,29.8496,228540,1.1375,100.0,21.2099
1876,20180108,29.3933,30.2098,29.1211,30.0764,301840,1.1454,100.0,23.5574
1877,20180109,29.8469,30.119,29.5747,29.6681,197810,1.1291,95.07,25.7372
1878,20180110,29.6654,29.6654,29.0304,29.6681,164690,1.1282,90.1401,26.4725
1879,20180111,29.6654,29.8469,29.2118,29.4866,236770,1.1202,82.3799,27.3397
1880,20180112,29.2118,30.0283,29.0304,29.9403,191540,1.136,76.6844,28.1449
1881,20180115,29.6654,30.0283,29.5747,29.8496,192640,1.1314,69.776,28.8926
1882,20180116,29.8469,31.9334,29.5747,31.3012,481740,1.1842,72.8972,31.1041
1883,20180117,31.3891,33.2035,30.9355,32.8436,550820,1.2396,77.8271,33.7282
1884,20180118,32.4778,33.7478,32.2963,33.2065,962340,1.2502,85.5873,36.3581
1885,20180119,33.2035,33.5664,32.8406,33.5694,684520,1.2605,91.2828,38.8002
1886,20180122,33.0221,33.6571,32.9314,33.2972,377500,1.2471,92.7703,41.1015
1887,20180125,33.2942,33.6571,33.1582,33.4787,387630,1.2506,89.8751,43.2384
1888,20180126,33.6571,33.8386,33.385,33.4787,171620,1.2474,85.171,45.2967
1889,20180129,33.9293,34.5643,33.2942,33.3879,416890,1.2409,78.4015,47.4746
1890,20180130,33.5664,33.7478,33.2035,33.5694,307760,1.2443,72.5288,49.2752
1891,20180131,34.9272,35.0179,33.2942,34.6128,465360,1.2792,76.4299,51.3575
1892,20180201,34.4736,34.7004,34.1107,34.2952,141240,1.2638,72.7625,53.2911
1893,20180202,34.2014,34.2014,33.7478,34.023,972120,1.25,62.1913,54.2563
1894,20180205,33.9293,35.3808,33.5664,35.384,974300,1.2955,61.0163,55.5928
1895,20180206,34.9272,37.8302,33.385,34.9303,455220,1.2747,46.8891,57.4004
1896,20180207,32.5231,34.4736,32.5231,33.3879,551140,1.2153,28.4089,57.7859
1897,20180208,33.2942,33.385,31.2984,31.7548,252660,1.1538,16.7803,56.5998
1898,20180209,29.5294,29.9376,29.5294,29.532,278260,1.0723,12.0556,53.772
1899,20180212,29.0304,29.5294,27.5789,29.532,261620,1.0715,0.0,50.128
1900,20180213,29.5747,29.7562,29.5294,29.7588,119690,1.0789,0.6486,46.5923
1901,20180221,29.7562,31.2984,29.7562,30.9383,749980,1.1203,4.4005,44.1662
1902,20180222,30.7994,31.117,30.5726,30.8022,594380,1.114,7.8543,41.9134
1903,20180223,30.7994,31.752,30.618,31.6187,757640,1.1419,13.2934,40.1909
1904,20180226,31.6159,31.7974,31.0262,31.2558,541260,1.1273,17.858,38.618
1905,20180227,31.1623,31.4345,30.8902,31.3012,664500,1.1277,22.3364,37.0357
1906,20180228,31.117,32.387,31.117,31.6641,705880,1.1393,24.7506,36.1518
1907,20180301,31.4345,31.7066,30.8448,31.3012,675250,1.1249,26.3696,35.0701
1908,20180302,31.1623,31.2077,30.4819,31.029,667630,1.1136,25.8463,33.7166
1909,20180305,31.0262,31.2077,30.3005,30.3939,663440,1.0895,26.1259,32.2834
1910,20180306,30.1644,31.6159,30.1644,31.6187,1123020,1.1312,40.9989,31.2549
1911,20180307,31.5706,31.752,30.9355,31.2105,756030,1.1145,51.0249,30.4014
1912,20180308,31.2077,31.752,31.2077,31.7548,1256830,1.1315,65.9521,29.6088
1913,20180309,32.0242,32.7046,32.0242,32.5714,1156570,1.1577,81.0363,29.5826
1914,20180312,32.387,32.886,32.387,32.3899,1128000,1.1482,94.2779,29.6827
1915,20180313,32.1149,32.2056,31.3438,31.5734,938640,1.1166,84.207,28.5374
1916,20180314,31.2984,31.8427,29.983,31.7548,963760,1.1202,79.6298,26.7968
1917,20180315,31.7066,31.7066,30.9355,31.2558,801690,1.1003,66.3814,25.1805
1918,20180316,32.1602,32.4778,31.253,32.1631,947620,1.1293,61.6089,23.7792
1919,20180319,32.1149,32.2056,31.752,31.7548,617430,1.1122,54.679,22.478
1920,20180320,32.0242,32.0242,31.6613,31.7548,600240,1.1094,55.9058,21.1749
1921,20180321,31.752,32.1602,31.752,31.9363,835340,1.1129,57.2889,20.1011
1922,20180322,31.9788,32.4324,31.9334,32.2992,1061610,1.1225,67.1947,19.3799
1923,20180323,31.9334,31.9788,31.4798,31.9363,469020,1.107,60.3908,18.1698
1924,20180326,31.752,32.0695,31.2077,31.7548,550640,1.0979,54.4248,17.0091
1925,20180327,31.752,32.0695,31.3891,31.4827,479390,1.0859,43.6059,15.9313
1926,20180328,31.3438,31.3891,30.7541,30.7568,532390,1.0586,30.6079,15.6538
1927,20180329,30.6634,31.0716,30.3912,30.3939,269860,1.0441,13.9506,15.7715
1928,20180330,30.3458,31.752,28.3046,31.2558,1707310,1.0714,15.9024,17.476
1929,20180402,31.2984,32.6592,31.0262,32.3446,1117180,1.1058,30.7125,17.9391
