,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1896,20171204,30.4619,32.4342,30.4619,31.1198,45200,1.4356,63.6804,26.3736
1897,20171205,31.1193,31.5576,30.2427,30.9007,15250,1.4165,78.58,27.5016
1898,20171206,31.0755,31.0755,30.2427,30.7692,8480,1.4017,84.9279,28.549
1899,20171207,30.2865,30.681,30.0674,30.6815,19730,1.3889,81.1846,29.2873
1900,20171208,30.2427,30.681,30.0674,30.6815,21970,1.3799,76.0792,29.9729
1901,20171211,30.2427,30.4619,30.2427,30.2432,45510,1.3517,63.1949,30.6095
1902,20171212,30.4619,30.4619,29.0155,30.1994,2740,1.3414,52.6107,29.5354
1903,20171213,29.3661,29.3661,28.9716,29.0598,35500,1.2834,38.213,28.485
1904,20171214,30.4619,30.6372,27.1746,28.2708,61870,1.242,25.0921,27.2015
1905,20171215,28.2704,29.8044,28.2704,29.8049,47750,1.3017,19.3853,26.0097
1906,20171218,28.9278,29.8044,28.9278,29.7172,54290,1.2902,19.9767,24.903
1907,20171219,30.0236,30.0236,28.0512,28.9283,56960,1.249,16.9515,24.633
1908,20171220,29.147,29.147,27.6129,28.49,31830,1.2237,17.4002,24.7203
1909,20171221,29.1031,29.1031,27.6129,28.49,17620,1.2174,17.8488,24.8014
1910,20171222,27.5691,28.4895,27.5691,28.49,2160,1.2111,10.9219,24.9133
1911,20171225,27.8321,28.0512,27.8321,28.0517,13910,1.1866,4.0071,25.0172
1912,20171226,27.8321,28.4457,27.1746,28.4461,6360,1.1972,4.0208,25.6781
1913,20171227,27.6129,28.0512,27.1746,28.0517,12580,1.1748,3.855,26.2918
1914,20171228,28.1389,28.2704,27.6567,28.0517,1700,1.1692,3.7569,26.4795
1915,20171229,28.0512,28.0512,28.0512,28.0517,10,1.1635,3.6289,26.6538
1916,20180102,26.298,27.8321,26.298,27.8325,340,1.149,3.6289,28.1857
1917,20180103,27.6129,28.4895,27.3938,28.49,11130,1.1703,10.2844,28.5687
1918,20180104,27.6129,28.4018,27.6129,28.2708,8030,1.1557,16.4417,28.9244
1919,20180105,27.8321,28.095,27.3938,28.0955,16840,1.143,20.462,29.4284
1920,20180108,28.2704,28.358,27.7006,28.2708,52970,1.1448,32.623,29.4577
1921,20180109,28.0512,28.095,27.3938,28.0517,10060,1.1306,40.6463,29.754
1922,20180110,28.1827,28.2265,28.0512,28.0517,25750,1.1255,39.3779,29.7983
1923,20180111,27.9635,28.4018,27.9635,28.4023,9810,1.1341,52.9377,29.527
1924,20180112,28.358,28.358,26.7363,26.7367,2750,1.0633,48.5668,30.3422
1925,20180115,26.9555,28.4895,26.9555,28.4461,92470,1.1259,56.0467,30.87
1926,20180116,28.4457,28.4895,28.0512,28.4461,39490,1.1207,68.0234,31.3601
1927,20180117,28.0512,28.4895,28.0512,28.4461,40110,1.1153,80.0,31.8152
1928,20180118,29.8044,29.8044,28.5333,29.3666,25760,1.1456,80.0,30.0597
1929,20180119,29.8044,30.4619,29.4538,30.0679,64180,1.1671,100.0,28.2115
1930,20180122,30.2427,31.0755,29.8044,30.2432,20770,1.1684,100.0,27.1571
1931,20180125,29.8044,30.681,29.8044,30.6815,52080,1.1793,100.0,26.1781
1932,20180126,30.2427,30.681,29.5853,30.2432,10930,1.1573,97.0134,24.957
1933,20180129,30.155,30.155,29.8044,29.8049,21460,1.1361,91.2291,23.8231
1934,20180130,29.8044,29.8044,29.8044,29.8049,14320,1.1323,85.4447,22.7702
1935,20180131,29.8044,30.0236,29.8044,29.8487,7340,1.1298,79.8848,22.0906
1936,20180201,29.8044,29.8482,29.8044,29.8487,6780,1.1253,74.3248,21.4595
1937,20180202,29.8044,30.2427,29.8044,30.1555,21130,1.1327,73.453,21.4153
1938,20180205,29.8044,30.1989,29.3661,30.1994,3270,1.1301,71.8231,20.5567
1939,20180206,29.147,30.1989,28.9278,29.1474,55310,1.087,57.6075,19.1405
1940,20180207,29.8044,30.8125,29.5853,30.813,9130,1.1449,58.0032,18.6023
1941,20180208,30.5933,30.5933,30.5933,30.5938,20,1.133,55.9519,18.1025
1942,20180209,29.3661,30.6372,29.3661,30.6377,9030,1.1307,52.5455,17.7439
1943,20180212,29.8044,30.9002,29.8044,30.5062,9200,1.1221,51.0903,17.0186
1944,20180213,29.8044,31.1193,29.8044,31.1198,14490,1.1404,67.2794,16.0242
1945,20180221,30.0236,31.2946,30.0236,30.2432,12820,1.1046,59.9657,14.9142
1946,20180222,30.0674,30.681,30.0674,30.4624,63080,1.1091,57.4778,13.8835
1947,20180223,30.2427,30.5495,29.8482,30.2432,10350,1.0983,51.6486,13.2014
1948,20180226,30.2427,30.4619,30.0236,30.4624,29610,1.1039,50.0049,12.5681
1949,20180227,30.0674,30.5933,30.0236,30.024,10300,1.0855,37.1541,11.7396
1950,20180228,30.5495,30.5495,30.0236,30.024,2870,1.083,32.9703,10.9702
1951,20180301,29.8921,30.155,29.7606,30.1555,1580,1.0849,28.2412,10.7486
1952,20180302,29.7167,30.3742,29.7167,29.8049,20310,1.07,21.3351,10.0894
1953,20180305,29.5853,29.8044,29.4538,29.5857,36540,1.0603,11.8483,9.9742
1954,20180306,29.5853,29.5853,27.5252,27.5257,680,0.9855,8.51,12.2089
1955,20180307,27.8321,29.3661,27.8321,29.3666,42230,1.05,15.4111,14.284
1956,20180308,28.9278,30.4619,28.9278,30.2432,20460,1.0792,24.1037,14.2841
1957,20180309,31.5138,31.5138,29.4099,29.6296,9000,1.055,35.3816,13.5893
1958,20180312,29.9797,30.1989,29.1908,29.9802,22800,1.0644,51.8439,12.6778
1959,20180313,29.8044,30.6372,29.8044,30.287,9580,1.072,69.9271,12.3368
1960,20180314,29.5853,30.1112,29.5853,30.1117,11760,1.0632,76.9029,11.7351
1961,20180315,29.5853,29.8044,29.0155,29.5857,24700,1.0423,77.0613,11.3141
1962,20180316,30.1989,30.1989,29.4099,30.1994,37810,1.0616,85.0748,10.5832
1963,20180319,29.8044,30.2865,29.8044,30.287,12620,1.0621,88.4575,10.0133
1964,20180320,30.0674,30.418,29.7606,30.2432,17980,1.0581,89.8853,9.6532
1965,20180321,29.8044,30.6372,29.8044,30.5938,39160,1.0676,92.6701,9.6024
1966,20180322,30.2427,32.6972,29.3661,30.6815,61920,1.0678,98.6474,11.4884
1967,20180323,30.2427,32.4342,29.8044,32.4347,13230,1.1256,99.356,13.2397
1968,20180326,32.478,33.2231,31.0755,31.9964,27270,1.1075,95.2578,15.3989
1969,20180327,32.4342,32.9602,31.1631,32.1718,32760,1.1108,92.3736,17.4039
1970,20180328,31.7768,32.3904,31.207,32.3471,32440,1.1139,90.0714,19.2657
1971,20180329,31.7768,32.8287,31.5576,32.8292,44060,1.1273,90.0714,21.2968
1972,20180330,32.6534,34.0997,32.6534,34.1003,38360,1.1672,90.0714,23.8907
1973,20180402,33.7929,34.5819,32.8725,34.1003,54720,1.1634,94.3248,26.5168
1974,20180403,33.3108,34.1436,33.3108,34.0565,33760,1.158,97.2904,28.9554
1975,20180404,34.1874,34.1874,32.9163,33.7497,47170,1.1442,95.5821,30.4873
1976,20180405,32.9163,34.0997,32.9163,33.3552,16680,1.128,87.1298,31.9098
1977,20180406,33.3108,35.5023,32.4342,35.5029,100800,1.1975,87.1298,33.9688
1978,20180409,35.1517,35.9406,34.6257,35.8535,38430,1.2058,87.1298,36.0645
1979,20180410,34.6257,35.8529,34.4066,35.8535,13810,1.2021,87.5372,37.6131
1980,20180411,34.8449,36.0721,34.6695,34.8454,62180,1.1653,75.9177,39.1579
1981,20180412,34.1874,35.0202,33.7491,34.4071,51300,1.1479,64.3699,39.0225
1982,20180413,33.9683,34.7572,33.9683,34.7578,13670,1.1565,47.0556,38.8968
1983,20180416,34.7572,34.7572,33.3108,34.4071,61360,1.142,27.0556,37.774
1984,20180417,33.7491,34.6257,33.7053,34.188,20430,1.1319,7.0556,36.7314
1985,20180418,33.7929,34.4066,33.7929,34.188,12820,1.1292,2.6857,35.7633
1986,20180419,34.1874,34.3627,33.7929,34.188,24680,1.1266,2.6857,34.8644
1987,20180420,33.3546,35.0202,33.3108,34.6263,42500,1.1381,3.6453,34.6952
1988,20180423,33.7491,34.6257,33.7491,34.1003,9760,1.1187,3.6453,34.538
1989,20180424,34.1874,34.1874,33.7491,33.7497,2510,1.1056,3.6453,34.3921
1990,20180426,33.7491,33.7491,33.0917,33.0922,32510,1.0822,3.6453,33.0118
1991,20180427,33.0917,33.7491,32.6534,33.6182,25330,1.0973,6.8051,31.0208
1992,20180502,33.6176,34.5819,33.3108,34.5824,35740,1.1263,11.2282,30.1889
1993,20180503,33.7491,34.4942,33.3108,33.3113,14820,1.0834,12.8623,29.4164
1994,20180504,33.3108,34.4504,33.3108,34.3633,45280,1.1162,22.9626,28.6991
1995,20180507,33.7491,34.3189,33.7491,33.7497,7600,1.0953,27.8842,28.0331
1996,20180508,33.7491,34.2751,33.7491,33.7497,12110,1.0943,30.3158,27.4146
1997,20180509,33.3108,33.53,33.0917,33.3113,32560,1.0793,23.5958,25.5914
1998,20180510,32.8725,33.3108,32.4342,33.1799,33030,1.0742,22.0449,24.6201
1999,20180511,32.6534,33.9683,31.9959,33.9688,17640,1.0986,20.0223,23.0285
2000,20180514,33.9683,34.4066,32.4342,34.4071,5880,1.1114,27.19,22.1375
2001,20180515,33.3108,34.4066,32.8725,33.5305,44640,1.0819,25.4154,21.3102
2002,20180516,34.4066,34.5819,33.3546,33.7497,22760,1.0878,30.591,20.7819
2003,20180517,33.7491,34.4504,32.0397,33.3113,25580,1.0722,31.5309,20.1977
2004,20180518,32.1712,34.4066,32.1712,33.3113,9900,1.0704,24.3763,19.6552
2005,20180521,34.6257,34.6257,32.8725,32.873,35380,1.0553,12.287,18.8052
2006,20180522,32.0397,34.0121,32.0397,32.4347,23520,1.0403,8.4701,19.003
2007,20180523,32.4342,32.5657,31.7768,32.5662,51540,1.0433,3.6802,19.4582
2008,20180524,32.0397,32.4342,31.9959,32.4347,18800,1.0378,3.0478,19.8809
2009,20180525,32.4342,32.6534,31.9082,32.6539,19970,1.0434,5.654,19.8725
2010,20180528,32.4342,32.4342,31.7768,32.2156,7440,1.0282,5.654,20.0257
2011,20180529,31.9959,32.3465,31.9959,32.3032,5710,1.0296,6.9249,20.1679
2012,20180530,31.7768,32.3027,31.7768,32.3032,6300,1.0283,6.4618,20.5869
2013,20180531,31.5576,32.3027,31.1631,32.3032,6510,1.0269,7.3421,21.6866
2014,20180601,31.9959,32.3904,31.5576,32.3909,17150,1.0283,7.9815,22.5108
2015,20180604,31.9959,31.9959,30.681,31.339,56010,0.9939,7.9815,24.1307
2016,20180605,31.3385,31.3823,29.5853,31.339,73110,0.9928,6.7106,26.3957
2017,20180606,31.3385,31.3385,30.681,31.2951,39210,0.9905,5.4396,28.4989
2018,20180607,31.2946,31.2946,30.2427,31.076,53650,0.9827,4.1687,30.7127
2019,20180608,30.2427,30.8563,30.2427,30.8568,50730,0.9749,0.0,32.7684
2020,20180611,30.7687,30.7687,30.2427,30.7253,2260,0.97,0.0,34.6773
2021,20180612,30.7248,30.7248,30.1112,30.1117,13930,0.95,0.0,36.5368
2022,20180613,30.5057,30.5057,29.3661,30.0679,36800,0.948,0.0,38.6984
2023,20180614,29.147,30.1989,29.147,30.024,82300,0.9462,0.0,40.8165
2024,20180615,29.4538,29.9797,29.147,29.9802,67220,0.9438,0.0,42.7833
2025,20180618,29.8044,30.4619,29.8044,30.4624,44180,0.9584,10.1849,43.3269
2026,20180619,31.144,32.06,30.7318,31.1506,3050,0.9792,30.1849,40.8695
2027,20180620,30.686,31.373,29.8158,31.1506,15620,0.9784,50.1849,39.5339
2028,20180621,30.7318,31.144,30.228,31.1506,24940,0.9778,70.1849,38.2937
2029,20180622,30.228,31.0066,30.228,31.0132,79800,0.9732,88.4688,37.1421
2030,20180625,30.915,30.915,30.0448,30.6925,61560,0.963,92.7822,36.2676
2031,20180626,30.686,30.7318,30.228,30.326,31770,0.9516,83.4437,35.4556
2032,20180627,30.6402,30.6402,29.8158,30.4635,17810,0.9559,76.5799,35.1512
2033,20180628,30.228,30.5028,30.228,30.4635,22660,0.9557,69.7161,34.8686
2034,20180629,30.228,31.4188,29.8158,31.4255,34190,0.9854,71.4322,32.9414
2035,20180702,31.4188,31.4188,29.999,31.288,31860,0.9806,75.613,31.1519
2036,20180703,31.2814,31.2814,30.228,30.6925,9200,0.9617,78.517,29.4902
2037,20180704,30.228,30.6402,29.77,29.7763,26410,0.9331,73.0317,28.6042
2038,20180705,29.77,29.8158,29.3578,29.364,30830,0.9204,59.8955,28.3041
2039,20180706,29.4494,30.2738,29.312,29.4556,41260,0.9232,41.2219,27.1768
2040,20180709,29.5868,29.5868,29.312,29.4556,62130,0.9236,23.8692,26.13
2041,20180710,29.312,30.1364,29.312,30.1428,86880,0.9453,21.2949,24.3121
2042,20180711,29.312,29.6784,29.1288,29.3182,44350,0.9198,17.7772,22.8176
2043,20180712,29.312,29.7242,28.9456,29.7305,75830,0.9329,26.9037,21.7177
2044,20180713,29.6326,29.9532,29.312,29.9595,76120,0.9405,37.332,20.2884
2045,20180716,29.8616,30.0448,29.6784,30.0054,64600,0.942,48.297,18.8799
2046,20180717,29.541,29.999,29.541,30.0054,53400,0.9421,49.5971,17.7414
2047,20180718,29.77,30.1822,29.77,30.1886,65610,0.9479,60.1107,16.615
2048,20180719,30.1822,30.1822,29.6784,29.6847,56380,0.9323,61.3202,15.4699
2049,20180720,29.6784,29.9074,29.6784,29.9137,23180,0.9395,66.523,14.4066
2050,20180723,29.77,29.9074,29.541,29.7763,30800,0.9353,69.207,13.7158
2051,20180724,29.77,29.77,28.8998,29.7305,37160,0.934,71.2105,14.2548
2052,20180725,29.1288,30.228,29.083,30.2344,61250,0.9497,76.5637,13.7355
2053,20180726,29.4494,29.7242,29.4494,29.5473,9350,0.9281,76.9334,13.2533
2054,20180727,29.312,31.144,29.312,30.9215,23380,0.9702,79.976,14.0804
2055,20180730,29.8158,30.9608,29.8158,30.9674,47650,0.9712,85.0006,14.8484
2056,20180731,30.686,31.602,30.686,31.5629,50480,0.9894,90.7057,16.2852
2057,20180801,31.0066,31.5104,30.9608,30.9674,44960,0.9704,84.1837,17.6193
2058,20180802,30.9608,31.1898,30.9608,31.1964,9260,0.9772,88.8545,18.8581
2059,20180803,31.0524,31.0982,30.3196,30.326,22350,0.9499,75.8445,18.6195
2060,20180806,30.228,30.457,30.228,30.4635,16200,0.9541,64.0939,18.219
