,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1825,20171205,8.6329,8.6329,8.4987,8.5166,446610,0.8542,81.1115,27.1494
1826,20171206,8.5693,8.5693,8.3189,8.445,140330,0.8491,73.9983,26.722
1827,20171207,8.4083,8.4709,8.3636,8.3645,299890,0.8431,64.0979,26.3252
1828,20171208,8.3367,8.3636,8.301,8.3287,258090,0.8417,52.224,26.2223
1829,20171211,8.2831,8.3189,8.1757,8.1945,272250,0.8303,35.671,26.6218
1830,20171212,8.2026,8.2026,8.0147,8.1766,520820,0.8307,21.8673,27.5443
1831,20171213,8.1766,8.1856,8.0603,8.1051,249670,0.8258,12.5034,28.4009
1832,20171214,8.1042,8.2473,8.1042,8.2303,242070,0.8409,12.766,28.7187
1833,20171215,8.2383,8.5693,8.2383,8.3824,629090,0.8588,21.5014,27.0006
1834,20171218,8.4083,8.6409,8.4083,8.6418,937580,0.8877,40.8186,25.1002
1835,20171219,8.6597,8.6776,8.4182,8.5166,302190,0.8773,56.6761,23.5205
1836,20171220,8.4978,8.5156,8.3994,8.4092,448630,0.8685,69.4129,21.9497
1837,20171221,8.6687,8.6687,8.284,8.3019,211350,0.8597,72.3772,21.2669
1838,20171222,8.2741,8.4083,8.1847,8.1945,218510,0.8509,65.3116,20.0586
1839,20171225,8.2473,8.3189,8.1847,8.1945,140270,0.8533,52.209,18.9366
1840,20171226,8.1936,8.2831,8.1936,8.2124,163800,0.8575,43.8753,17.8948
1841,20171227,8.2205,8.2741,8.1936,8.2124,201670,0.8597,38.7588,16.9274
1842,20171228,8.2303,8.2661,8.2124,8.2572,187630,0.8666,38.6527,16.0291
1843,20171229,8.3189,8.3189,7.7374,8.2303,376660,0.8661,40.4215,17.0436
1844,20180102,8.3099,8.3189,8.1668,8.2124,169370,0.8665,41.535,17.9856
1845,20180103,8.2026,8.2383,8.14,8.1766,322470,0.8652,35.3229,18.9661
1846,20180104,8.1945,8.3019,8.1409,8.2751,364250,0.8779,35.3237,19.3925
1847,20180105,8.292,8.301,8.2026,8.2124,118100,0.8735,29.4959,19.7884
1848,20180108,8.2205,8.2294,8.1489,8.1498,182650,0.8692,21.0268,20.4133
1849,20180109,8.2303,8.3198,8.1409,8.2214,616680,0.8792,25.8609,20.259
1850,20180110,8.2482,8.3198,8.2214,8.3198,489660,0.892,44.4527,20.1157
1851,20180111,8.3189,8.8556,8.3189,8.8565,1859450,0.9514,56.8316,20.3721
1852,20180112,8.946,9.3038,8.8565,9.2144,1459900,0.9915,73.0422,21.9302
1853,20180115,9.0355,9.2144,8.946,9.0355,607070,0.9742,88.5046,23.377
1854,20180116,9.0355,9.0355,8.7313,8.7492,664340,0.9455,85.535,23.5159
1855,20180117,8.7492,8.7671,8.4092,8.454,590280,0.916,70.6652,22.2054
