,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2210,20171204,23.0265,23.6554,22.833,23.6578,314890,1.0607,91.7412,24.4035
2211,20171205,23.6578,24.2868,22.7386,22.7386,268040,1.0181,85.0042,26.7698
2212,20171206,22.7386,23.8997,22.6418,23.3192,100790,1.0424,85.2047,28.7237
2213,20171207,23.7062,23.7062,22.9321,23.2224,124380,1.037,83.408,30.538
2214,20171208,23.22,23.22,22.833,23.1256,108750,1.0316,77.5185,31.947
2215,20171211,22.3516,23.0773,22.2548,22.7386,66380,1.0131,66.8928,31.7958
2216,20171212,22.0613,22.7386,21.771,22.2548,67250,0.9905,59.464,30.6432
2217,20171213,22.2548,22.787,22.1097,22.787,63880,1.0135,53.0406,29.6429
2218,20171214,22.7363,23.0749,22.5428,22.9321,48640,1.0199,43.825,29.1267
2219,20171215,22.9298,23.3651,22.9298,23.3675,129800,1.0387,38.4782,29.0351
2220,20171218,23.3651,24.0908,23.3651,23.8997,636460,1.0619,41.3322,29.7671
2221,20171219,24.19,24.19,23.3192,23.7062,319690,1.0535,45.4688,30.5458
2222,20171220,24.0908,24.0908,23.0265,23.4159,632920,1.0408,43.18,30.5899
2223,20171221,23.0289,23.2708,22.2548,22.7386,524420,1.0111,37.6366,29.1227
2224,20171222,22.2548,23.1256,22.2548,22.7386,420690,1.0112,28.873,27.7603
2225,20171225,23.0289,23.0289,22.5451,23.0289,73230,1.0239,20.7961,26.4952
2226,20171226,23.0289,23.0773,22.4483,23.0289,85810,1.0243,14.9767,25.1271
2227,20171227,22.7363,22.7846,22.1558,22.158,162240,0.9867,8.3028,23.3761
2228,20171228,22.158,22.2548,21.4807,21.771,66990,0.9708,8.3028,22.8546
2229,20171229,21.7226,22.3516,21.7226,22.2548,100120,0.9934,12.8293,22.1758
2230,20180102,22.2548,22.2548,21.771,22.2548,53420,0.9946,13.2044,21.5455
2231,20180103,21.8678,22.2548,21.771,22.0613,86350,0.9871,11.9492,20.9602
2232,20180104,22.059,23.1233,22.059,23.1256,191900,1.035,23.8282,20.1947
2233,20180105,23.1256,23.1256,22.3032,22.3032,34030,0.9988,29.1348,19.4876
2234,20180108,22.3032,22.7386,22.2548,22.3516,82340,1.0011,30.9749,18.7265
2235,20180109,22.3493,23.0749,22.3493,22.9321,121350,1.0269,40.0971,18.6079
2236,20180110,22.9298,23.1233,22.446,22.6418,47350,1.0139,50.2073,18.5795
2237,20180111,22.5935,22.7386,22.0613,22.5451,75400,1.0098,50.0174,17.6609
2238,20180112,22.3493,22.7363,21.9623,22.4483,132300,1.0057,55.0332,16.5931
2239,20180115,22.0613,22.6418,22.0613,22.4967,21220,1.0086,59.7279,15.6015
2240,20180116,22.5935,22.5935,22.1097,22.2548,90290,0.9988,53.4626,14.6808
2241,20180117,22.2525,22.6395,22.1558,22.158,303990,0.9956,46.3722,13.9387
2242,20180118,22.158,22.2548,21.9645,22.2548,57820,1.0007,38.4015,13.1417
2243,20180119,22.1558,22.5428,22.1558,22.4483,101750,1.0099,36.4854,12.7316
2244,20180122,22.446,22.446,21.7688,21.9645,88020,0.9885,25.4241,12.2554
2245,20180125,21.9645,21.9645,21.4323,21.771,218440,0.9803,18.0408,12.5182
2246,20180126,21.4807,21.8678,21.4807,21.5291,81120,0.9702,12.1247,12.7622
2247,20180129,21.771,21.771,21.0937,21.1421,122650,0.9537,8.4063,13.7268
2248,20180130,20.0273,21.5753,20.0273,21.4807,140280,0.9699,5.7308,16.0301
2249,20180131,21.4785,21.7688,21.1883,21.4323,68720,0.9686,11.8656,17.6514
2250,20180201,21.4301,21.7688,21.3818,21.4807,103020,0.9715,19.4905,19.1569
2251,20180202,21.4785,21.4785,21.0915,21.1904,39210,0.9592,22.7067,20.9027
2252,20180205,21.0937,21.771,20.3196,20.3196,53350,0.9209,22.7067,23.2709
2253,20180206,19.352,20.4164,18.9166,19.352,217040,0.8784,16.9759,26.3438
2254,20180207,19.4488,20.6583,19.4488,20.3196,21660,0.9234,21.15,28.6376
2255,20180208,20.3196,20.3196,19.6907,19.8358,37280,0.9027,21.3072,30.7675
2256,20180209,18.8682,19.8358,18.7714,19.8358,25580,0.904,25.8732,33.2555
2257,20180212,19.8358,20.5131,19.8358,19.8842,158460,0.9074,36.5889,34.1457
2258,20180213,20.4143,20.7045,19.8821,20.7066,27470,0.9458,56.5889,34.6055
2259,20180221,21.1399,21.1399,19.35,20.7066,14260,0.9468,66.2799,35.4376
2260,20180222,20.3175,20.3175,19.35,20.2228,158280,0.9258,74.3605,36.2102
2261,20180223,20.2228,20.2228,19.6907,19.9326,30410,0.9138,80.1574,36.9276
2262,20180226,19.9326,20.1261,19.5455,19.8358,48690,0.9105,82.2627,37.7148
2263,20180227,19.8358,19.8358,19.352,19.8358,58440,0.9111,75.0837,38.6066
2264,20180228,19.9326,19.9326,19.352,19.8358,76910,0.9117,67.9047,39.1903
2265,20180301,19.7854,19.7854,19.1565,19.739,105090,0.9082,63.9582,39.9118
2266,20180302,19.739,19.739,18.3844,19.6907,125570,0.907,61.8272,41.1873
