,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
675,20171205,10.5601,10.6834,10.3547,10.3964,909230,0.9464,72.6758,20.5006
676,20171206,10.3958,10.4369,10.2314,10.2731,1231440,0.9358,59.2013,19.2611
677,20171207,10.3958,10.3958,10.2725,10.2731,793600,0.9366,47.9135,18.1101
678,20171208,10.2725,10.478,10.2725,10.3142,940400,0.941,41.9715,17.5226
679,20171211,10.3136,10.4369,10.2314,10.2731,968090,0.9379,30.8304,16.6937
680,20171212,10.3136,10.3547,9.9438,10.1909,1354640,0.9311,20.7329,16.6967
681,20171213,10.2314,10.2314,10.1081,10.232,559880,0.9356,16.6533,16.6995
682,20171214,10.2725,10.2725,10.1081,10.1909,545520,0.9329,13.3258,16.4166
683,20171215,10.1903,10.3958,10.1492,10.3142,668740,0.945,15.3538,15.352
684,20171218,10.3547,10.519,10.3547,10.4375,626950,0.957,25.788,14.8492
685,20171219,10.4369,10.478,10.3136,10.3553,422850,0.9502,39.0748,14.1224
686,20171220,10.3136,10.3958,10.2725,10.2731,465300,0.9437,44.4547,13.1863
687,20171221,10.2725,10.971,10.2725,10.9717,3941050,1.0084,63.9701,14.7553
688,20171222,11.3819,11.4641,10.8889,10.9306,2787520,1.0052,74.8003,17.3308
689,20171225,10.9299,11.0121,10.7656,10.8073,743430,0.9948,75.3298,19.0646
690,20171226,10.7656,11.2587,10.7656,11.1771,2900440,1.0296,81.5807,21.1594
691,20171227,11.2176,11.2998,11.0532,11.1771,1513480,1.0299,93.7548,23.1799
692,20171228,11.2176,11.423,11.1765,11.3004,2072660,1.0412,93.7548,25.2795
693,20171229,11.3408,11.423,11.1765,11.1771,641000,1.0299,91.6494,27.2291
694,20180102,11.2587,11.2998,11.0943,11.136,1318700,1.0263,92.1,28.5414
695,20180103,11.1765,11.2587,11.0943,11.136,1465370,1.0266,87.5684,29.76
696,20180104,11.2176,11.3819,11.1354,11.3004,2508810,1.0418,85.3773,31.1775
697,20180105,11.3819,11.875,11.2587,11.7524,4733220,1.0834,85.3773,33.3606
698,20180108,11.7928,11.9161,11.5874,11.7935,2070370,1.0868,88.7458,35.4456
699,20180109,11.7107,11.8339,11.5052,11.6291,2147460,1.0715,88.8356,36.8756
700,20180110,11.6696,11.7928,11.423,11.5059,3048750,1.06,78.9004,37.7056
701,20180111,11.5463,11.5463,11.0532,11.2593,3032640,1.0373,61.0914,36.5835
702,20180112,11.1765,11.3408,11.0943,11.136,2888740,1.026,41.0914,35.5416
703,20180115,11.1354,11.5052,11.1354,11.5059,1877840,1.0599,28.1796,35.0435
704,20180116,11.5052,11.7517,11.423,11.5469,2242600,1.0633,20.4032,35.192
705,20180117,11.5052,11.5463,11.2176,11.2182,2112020,1.033,14.87,34.3795
706,20180118,11.1354,11.2587,10.9299,11.1771,1803420,1.0292,14.87,32.4958
707,20180119,11.1765,11.3819,11.1354,11.2182,1715760,1.0329,15.7015,31.112
708,20180122,11.2587,11.2998,11.0943,11.2182,1198820,1.0328,9.4449,29.6688
709,20180125,11.2176,11.2587,11.0121,11.0127,3059280,1.0139,1.663,28.008
710,20180126,11.1765,11.6285,11.0532,11.588,2759950,1.0664,10.7599,27.5618
711,20180129,11.7107,11.9572,11.5052,11.5059,3240130,1.0586,18.3274,27.9056
712,20180130,11.423,11.6696,11.2587,11.5469,2164830,1.062,28.0358,27.2912
713,20180131,11.4641,11.5874,11.0532,11.0538,3211750,1.0167,27.2043,26.0268
714,20180201,11.0121,11.1354,10.7656,10.7662,2101570,0.9905,27.2043,24.3385
715,20180202,10.7656,10.971,10.6834,10.684,1013900,0.9833,18.1074,22.9977
716,20180205,10.6012,10.6834,10.026,10.0676,1462220,0.9274,10.5399,23.2297
717,20180206,9.5329,9.8616,9.3685,9.5334,5123560,0.8796,0.0,24.4505
718,20180207,9.9438,10.1903,9.9027,10.1909,1377980,0.9411,7.8727,24.6502
719,20180208,10.026,10.2725,9.8616,9.9033,272780,0.9156,13.873,24.6132
720,20180209,9.6562,10.2314,9.5329,9.8622,902000,0.9131,19.6104,25.0956
721,20180212,9.8616,10.1903,9.8616,10.1909,463880,0.9446,28.8976,25.5435
722,20180213,10.3547,10.4369,10.2725,10.3553,465450,0.9607,39.8405,25.2405
723,20180221,10.6423,10.6423,10.3547,10.3553,774720,0.9616,42.9107,24.402
724,20180222,10.2725,10.6012,10.2725,10.3964,1285040,0.9662,48.7818,23.79
725,20180223,10.5601,10.5601,10.3958,10.4375,519010,0.9707,55.4084,23.2217
726,20180226,10.519,10.5601,10.3547,10.3553,1452640,0.9638,64.0766,22.7866
727,20180227,10.3547,10.3547,10.1081,10.1087,1138560,0.9419,67.6383,22.9182
728,20180228,10.1081,10.2314,9.8616,9.9443,2287810,0.9277,68.6917,23.5182
729,20180301,9.9438,10.2725,9.9438,10.0676,951930,0.9402,71.6999,23.9282
730,20180302,10.0671,10.1903,9.8616,10.1498,819530,0.9488,76.1284,24.4741
731,20180305,10.1903,10.6012,10.1492,10.3964,1531690,0.9725,78.1729,23.5749
732,20180306,10.3958,11.0532,10.2725,10.8484,2258900,1.0151,83.6683,22.2453
733,20180307,10.9299,11.1354,10.8478,11.0127,2682690,1.0308,91.6721,21.2051
734,20180308,10.971,11.0121,10.8067,10.8484,473450,1.0161,93.4268,20.1224
735,20180309,10.9299,10.9299,10.519,10.6018,846870,0.9938,88.5847,19.0313
736,20180312,10.3547,10.6012,10.3547,10.3553,522400,0.9717,76.3157,18.4221
737,20180313,10.3547,10.5601,10.3547,10.5196,444680,0.9878,67.0461,17.8564
738,20180314,10.4369,10.7245,10.4369,10.7251,876090,1.0076,61.3126,16.8219
739,20180315,10.7656,10.9299,10.519,10.9306,752800,1.0271,62.227,15.9692
740,20180316,10.8478,10.8478,10.6012,10.8484,593120,1.0198,66.1662,15.1774
741,20180319,10.8478,10.8478,10.6012,10.6018,394240,0.9973,69.5825,14.4421
742,20180320,10.6012,10.6423,10.4369,10.6018,378920,0.9979,68.5894,13.6153
743,20180321,10.6012,10.6012,10.4369,10.4375,645720,0.9831,58.7928,12.8476
744,20180322,10.4369,10.6012,10.3958,10.4375,337400,0.9837,41.7134,12.2803
745,20180323,10.2314,10.2725,10.1081,10.2731,1241400,0.969,25.8239,12.6815
746,20180326,10.1903,10.3547,10.1903,10.2731,418950,0.9697,14.6766,12.7143
747,20180327,10.2725,10.4369,10.1492,10.1498,401150,0.9587,4.9393,12.4083
748,20180328,10.2725,10.2725,10.1081,10.1087,418580,0.9554,0.4695,12.2676
749,20180329,10.1081,10.1903,10.1081,10.1498,165240,0.9599,1.5413,12.137
750,20180330,10.1081,10.1903,10.026,10.0676,406640,0.9523,1.5413,12.3249
751,20180402,10.1492,10.3547,10.0671,10.1909,653590,0.9639,6.2236,11.7255
