,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
586,20171205,17.9117,18.0856,17.477,17.9988,439200,1.1748,69.798,34.9106
587,20171206,17.9987,18.4334,17.6509,17.7814,517400,1.1575,53.2494,34.1081
588,20171207,17.8248,17.8248,17.6074,17.7814,244530,1.1545,38.1064,33.2667
589,20171208,17.8248,17.9117,17.6074,17.8249,345650,1.1543,24.8586,32.6124
590,20171211,17.6509,17.6509,17.2161,17.3032,302380,1.1179,17.4624,31.1191
591,20171212,17.3031,17.39,16.2597,17.3032,367760,1.1154,10.813,29.7217
592,20171213,17.3031,17.3031,16.7814,16.9554,233080,1.0905,7.3616,28.4241
593,20171214,16.9553,17.0857,16.6944,17.0424,255270,1.0936,4.7986,27.355
594,20171215,17.0422,17.3031,16.8683,17.1293,209380,1.0965,2.6771,25.9191
595,20171218,17.1292,17.5639,17.1292,17.5206,331910,1.1186,8.1652,24.0802
596,20171219,17.5639,17.9117,17.5204,17.7814,428910,1.1322,16.2358,22.9671
597,20171220,17.8248,17.8248,17.477,17.651,352160,1.121,23.304,21.8444
598,20171221,17.6509,17.7378,17.477,17.4771,245270,1.107,31.5651,20.8019
599,20171222,17.477,17.7378,17.3031,17.651,270390,1.115,42.0932,19.4452
600,20171225,17.6509,18.3465,17.6509,18.1727,315170,1.1445,56.6051,19.3113
601,20171226,18.1726,18.2595,17.7378,17.9988,261560,1.1306,64.8656,19.187
602,20171227,17.9987,18.2595,17.7378,18.0858,391030,1.1333,75.4167,19.0715
603,20171228,18.0856,18.2595,17.9117,18.0858,223370,1.1307,83.8865,18.9643
604,20171229,18.0856,18.6073,17.9117,18.3901,519620,1.1467,91.5696,19.5113
605,20180102,18.4334,18.4334,17.9987,18.2162,163020,1.1331,87.8061,20.0193
606,20180103,18.2595,18.7812,18.216,18.4336,289820,1.1437,90.5751,21.0831
607,20180104,18.4334,18.5204,18.1726,18.2597,339820,1.1305,87.5067,21.9268
608,20180105,18.1726,18.2595,17.9117,17.9988,209180,1.112,73.5056,21.8723
609,20180108,17.9987,18.2595,17.7378,17.9988,256070,1.1097,57.1237,21.306
610,20180109,17.9987,18.6943,17.7378,18.6944,422420,1.1497,60.8872,21.63
611,20180110,18.6943,18.6943,17.9117,17.9554,151420,1.1016,41.7871,21.9309
612,20180111,17.9117,17.9117,17.39,17.7814,301480,1.0885,27.2362,20.7599
613,20180112,17.7813,17.9987,17.4335,17.8249,232340,1.0886,24.4802,19.8626
614,20180115,17.9117,18.2595,17.8248,18.0858,202970,1.1018,26.805,19.5759
615,20180116,18.0856,18.4334,18.0856,18.1727,237950,1.1042,14.388,19.649
616,20180117,18.2595,18.6508,18.1291,18.651,824410,1.13,30.1514,20.1176
617,20180118,18.6943,18.8682,18.4769,18.7814,421780,1.1347,47.9117,20.9254
618,20180119,18.8682,19.8681,18.8682,19.7378,925050,1.1887,67.0497,22.9459
619,20180122,19.7377,20.2594,19.4768,19.9552,538170,1.1979,81.1067,25.1795
620,20180125,19.8246,20.6506,19.4768,19.5639,919760,1.1708,87.7534,27.5673
621,20180126,19.5638,20.3463,19.4768,20.0856,413010,1.1975,89.6725,29.7845
622,20180129,20.0855,20.6072,20.0855,20.4335,509020,1.2135,91.6063,32.0475
623,20180130,20.4333,20.4333,19.9985,20.39,337790,1.2063,90.6606,33.8698
624,20180131,20.3898,20.4333,20.0855,20.2595,347840,1.1941,87.7367,35.5619
625,20180201,20.2594,20.6941,19.7377,19.9987,665470,1.1744,86.7378,35.9977
626,20180202,19.9985,20.1724,19.6507,19.8248,223790,1.1601,79.5637,36.1347
627,20180205,19.8246,19.9116,19.5638,19.8248,219950,1.156,68.4897,35.9893
628,20180206,18.4769,19.3899,18.4769,18.4771,392430,1.0745,49.4355,33.5839
629,20180207,18.6073,19.0421,18.2595,18.2597,270540,1.0594,32.3594,31.7359
630,20180208,17.8248,18.7812,17.8248,18.3466,407790,1.062,19.8918,30.7209
631,20180209,17.8248,18.7812,17.6509,18.7814,230860,1.0845,13.7799,30.0364
632,20180212,17.9987,19.3029,17.9987,19.0422,347100,1.0967,11.5474,28.3281
633,20180213,19.0421,19.129,18.7812,19.1292,269480,1.0986,18.6773,26.7418
634,20180221,19.129,19.6507,19.129,19.3031,350970,1.1055,27.1509,25.3474
635,20180222,19.3029,19.8246,19.129,19.6509,357660,1.1222,37.3949,24.3388
