,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1970,20171205,25.8997,26.0576,25.7734,25.7734,222730,1.2754,56.2749,38.716
1971,20171206,24.6363,26.2156,24.6363,26.2156,111290,1.2915,55.7235,37.0752
1972,20171207,26.2156,26.5314,25.9629,26.5314,127900,1.3011,55.9736,35.9185
1973,20171208,26.5314,26.5314,26.1524,26.1524,87430,1.2769,49.7857,34.8444
1974,20171211,25.0785,26.1524,24.9522,26.1524,91440,1.2714,44.5227,32.6928
1975,20171212,25.8365,26.2156,25.7102,25.805,102560,1.2495,36.0264,30.6061
1976,20171213,25.8997,26.5314,25.1417,25.1417,40200,1.2127,25.0956,29.3794
1977,20171214,26.2156,26.2156,25.0153,25.8997,50470,1.2441,17.0207,28.3894
1978,20171215,26.2114,26.464,25.7693,26.0892,56680,1.248,18.0635,27.0697
1979,20171218,25.5839,26.0892,25.1417,26.0261,62900,1.24,18.3056,26.5947
1980,20171219,26.2156,26.5314,25.8997,26.5314,46510,1.2593,28.3806,25.4544
1981,20171220,27.1631,28.3633,26.026,26.5314,184720,1.2541,38.4556,24.9803
1982,20171221,26.5314,27.6685,26.5314,27.2895,37130,1.2845,48.7255,24.54
1983,20171222,26.6577,27.479,26.5314,27.479,22350,1.2872,57.0595,24.1312
1984,20171225,27.479,28.4265,27.1631,28.3002,229930,1.3188,69.9541,24.6024
1985,20171226,28.7424,30.2584,26.4051,29.6899,272670,1.3757,79.879,26.1978
1986,20171227,30.8901,30.8901,29.3741,29.5952,26480,1.3636,88.8008,27.9822
1987,20171228,30.2584,30.2584,28.8371,29.6899,89990,1.3602,93.3543,28.9027
1988,20171229,29.1845,29.5004,29.1214,29.1214,32680,1.3268,90.8101,29.7574
1989,20180102,29.0536,29.4326,29.0536,29.2477,70490,1.3254,84.9664,30.4516
1990,20180103,29.2477,29.3741,28.4897,29.0582,71950,1.3098,73.713,30.2857
