,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2723,20171205,100.1266,100.1266,96.6614,96.6676,233980,0.9892,84.4659,19.079
2724,20171206,96.6614,97.1174,94.9288,97.1236,163490,0.9949,76.2993,18.1159
2725,20171207,98.0293,98.3028,96.935,97.5796,70730,1.0006,65.4306,17.6325
2726,20171208,98.394,98.394,96.6614,97.5796,59460,1.0016,49.9853,17.065
2727,20171211,97.5733,97.5733,95.9319,96.85,198880,0.9947,29.9853,16.2162
2728,20171212,96.8438,98.9412,96.2966,98.218,483750,1.0093,28.9183,15.9468
2729,20171213,99.3059,103.2271,99.3059,102.5954,661520,1.0544,39.6275,16.9811
2730,20171214,103.9566,104.0478,102.5888,102.5954,268140,1.0548,51.1513,18.1434
2731,20171215,102.5888,103.0447,100.765,103.0514,189200,1.0597,67.0075,18.3792
2732,20171218,103.0447,105.1421,102.5888,104.8753,307070,1.0785,87.0075,19.1531
2733,20171219,105.598,106.7835,104.4126,106.2432,431270,1.0924,100.0,20.2607
2734,20171220,106.2364,106.3275,103.1359,103.9633,211740,1.0691,91.0454,20.7068
2735,20171221,103.9566,105.2333,103.5007,103.5073,165980,1.0645,80.4165,21.1211
2736,20171222,103.5007,104.8685,101.6769,104.8753,320810,1.0784,72.733,20.682
2737,20171225,103.9566,106.054,103.9566,103.9633,169230,1.0689,61.551,20.6386
2738,20171226,105.1421,105.1421,103.5007,104.2369,132270,1.0714,51.018,20.3904
2739,20171227,104.4126,104.4126,102.4064,102.413,170630,1.0523,42.5199,19.6664
2740,20171228,103.1519,107.4961,103.0595,107.5013,688850,1.1035,46.8581,19.9671
2741,20171229,107.681,108.975,105.8324,106.2997,280000,1.0902,42.6502,20.6416
2742,20180102,104.9081,106.7567,104.4459,106.2997,371870,1.0894,41.9409,20.6359
2743,20180103,105.8324,106.7567,105.7399,105.7451,445800,1.0834,38.282,20.6306
2744,20180104,105.3702,105.8324,104.4459,105.098,373480,1.0764,38.8317,20.0322
2745,20180105,105.0005,105.0005,100.7487,100.8461,512310,1.0329,25.1225,19.1289
2746,20180108,100.2866,100.6563,97.7909,99.2747,429150,1.0169,17.0138,19.1566
2747,20180109,98.9925,102.1352,98.9925,100.1066,477610,1.0254,10.8863,18.6199
2748,20180110,101.673,103.7989,100.2866,101.2158,427590,1.0366,9.6433,17.5321
2749,20180111,101.673,101.673,99.8244,101.2158,139270,1.0364,11.1113,16.6713
2750,20180112,100.2866,101.026,99.8244,100.1066,180410,1.0249,13.1184,15.8719
2751,20180115,99.8244,101.673,99.4547,101.678,195130,1.0407,19.07,14.874
2752,20180116,101.026,102.5973,99.732,100.6612,222240,1.0302,20.6058,14.0369
2753,20180117,100.7487,100.7487,97.5137,97.9806,322600,1.0029,16.0408,13.6464
2754,20180118,94.4635,97.7909,94.371,95.3,332450,0.9759,11.4757,14.2489
2755,20180119,95.3878,97.5137,95.3878,96.4092,291080,0.9875,12.0226,14.8084
2756,20180122,94.1862,95.6651,94.0013,94.2832,402700,0.9661,6.071,15.7192
2757,20180125,93.4467,93.8165,91.5057,91.695,1018840,0.9403,2.5539,17.1855
2758,20180126,93.3543,95.1105,92.8922,94.0983,223730,0.9653,9.9841,17.9362
2759,20180129,95.1105,95.5726,93.9089,94.0983,260500,0.9654,17.4143,18.4183
2760,20180130,94.0937,94.1862,91.6906,91.8799,457830,0.9429,18.25,19.4503
2761,20180131,91.8754,92.7073,91.5981,91.9723,318060,0.9442,21.9445,20.4318
2762,20180201,91.8754,92.0603,89.6571,89.9388,340830,0.9239,22.1243,21.8149
2763,20180202,90.1193,90.1193,87.7161,87.9977,295390,0.9047,14.6941,23.5129
2764,20180205,87.8085,88.7328,83.187,83.1911,197820,0.8565,7.2639,25.8463
2765,20180206,80.5065,83.187,77.3639,80.5105,308790,0.8304,3.8743,28.6776
2766,20180207,85.0356,86.0523,83.2794,86.0565,126920,0.889,14.6605,30.1112
2767,20180208,86.8842,91.9679,86.4221,87.8128,194600,0.9084,34.4808,29.4919
2768,20180209,87.8085,90.1193,84.3886,89.6615,112100,0.9285,54.4808,29.2739
2769,20180212,90.8587,90.8587,88.7328,90.8631,88320,0.9417,74.4808,28.8519
2770,20180213,91.2284,95.2029,90.9511,95.2076,189680,0.987,94.4808,27.2852
2771,20180221,96.2196,98.438,96.1272,97.7957,147660,1.0137,100.0,25.5798
2772,20180222,97.9758,97.9758,95.2029,96.1319,147210,0.9968,98.2753,23.783
