,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2071,20171205,17.4888,17.4888,16.656,16.6576,4032090,1.2674,76.2661,40.7356
2072,20171206,16.656,16.7393,16.198,16.3661,4775000,1.2414,62.652,40.3816
2073,20171207,16.3229,17.0724,16.3229,16.9907,1637630,1.2841,57.6342,40.3353
2074,20171208,17.239,17.7386,17.1557,17.4904,4867660,1.3166,51.1036,40.7963
2075,20171211,17.0724,18.4049,16.9891,17.5737,3878540,1.317,42.1168,41.65
2076,20171212,17.7803,17.8219,16.656,17.4904,4193710,1.305,39.4731,41.8224
2077,20171213,17.6137,18.155,17.4888,17.7819,1647010,1.3211,41.1033,42.213
2078,20171214,17.8219,17.9885,17.697,17.7819,936520,1.3156,39.9744,42.5757
2079,20171215,17.8636,18.155,17.697,17.8236,1687610,1.3132,38.6084,43.0343
2080,20171218,17.9468,17.9468,17.4888,17.4904,2151270,1.2837,33.2939,43.0157
2081,20171219,17.4055,17.4472,16.656,17.074,8058870,1.2487,27.0763,41.4433
2082,20171220,17.1973,17.7386,17.0308,17.4904,1658860,1.2741,22.9483,40.2899
2083,20171221,17.4888,17.9468,17.4055,17.9485,1251510,1.3021,22.6324,39.433
2084,20171222,17.7386,17.7803,17.3639,17.4071,1311520,1.2581,14.3368,38.5588
2085,20171225,17.3222,17.6554,16.9891,16.9907,1708180,1.2241,11.5884,37.0503
2086,20171226,16.9891,17.114,16.8226,16.8658,1222600,1.2121,11.5884,35.3526
2087,20171227,16.8642,17.0724,16.8226,16.8658,948420,1.2089,7.7002,33.7762
2088,20171228,16.8642,17.114,16.6144,16.9907,2305980,1.214,1.5011,31.9173
2089,20171229,17.0724,17.3639,16.9475,17.1573,1724040,1.222,5.0137,30.5823
2090,20180102,17.2806,17.3639,17.1557,17.3239,883360,1.2298,10.5216,29.3427
2091,20180103,17.3639,18.155,17.3222,17.9902,3305720,1.2731,23.0366,29.3008
2092,20180104,18.1967,19.2377,18.1134,18.9896,3965060,1.3381,43.0366,30.3239
2093,20180105,19.2793,19.6957,18.738,18.9896,2875060,1.3324,61.5354,31.6236
2094,20180108,18.9878,19.4875,18.8213,19.1562,4018670,1.3381,78.0228,32.8304
2095,20180109,19.5708,19.9039,18.9878,19.8225,3299510,1.3779,92.515,34.2594
2096,20180110,19.9872,20.237,19.5292,19.8225,2945650,1.3712,100.0,35.8134
2097,20180111,19.6124,19.9039,19.5292,19.7392,2411000,1.3588,98.699,37.2564
2098,20180112,19.9872,20.4036,19.1544,19.3228,3958000,1.3238,91.1736,38.926
2099,20180115,19.321,19.8206,19.2377,19.5726,3059400,1.3345,85.2693,40.4763
2100,20180116,19.6541,19.9039,19.1544,19.5726,2008940,1.3281,79.365,41.9159
2101,20180117,19.5708,19.5708,18.8213,18.823,3315830,1.2721,62.2117,42.3308
2102,20180118,18.5714,19.0295,18.1134,18.8647,5618870,1.2698,45.2189,41.0772
2103,20180119,19.1544,19.2793,18.738,18.7398,2534480,1.2563,32.7443,40.2126
2104,20180122,18.9462,18.9462,18.5298,18.7814,1803420,1.2539,19.1287,38.9708
2105,20180125,18.7796,19.5708,18.738,19.1562,5055770,1.2736,9.6792,38.553
2106,20180126,19.3626,19.5708,18.9878,18.9896,3233700,1.2574,8.7393,38.1651
2107,20180129,18.9878,19.1544,18.6964,18.9896,2060140,1.2522,8.9399,37.1648
2108,20180130,18.4882,20.2787,18.4882,20.2806,6763820,1.3307,22.7385,37.4199
