,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1861,20171205,3.952,3.9806,3.8092,3.9048,3142520,1.0632,100.0,41.287
1862,20171206,3.8286,3.9048,3.7715,3.7906,2148070,1.0339,96.0314,42.3906
1863,20171207,3.7906,3.8001,3.5715,3.6096,3192470,0.9871,87.0125,41.5384
1864,20171208,3.6664,3.7616,3.5806,3.6667,3329590,1.0048,78.8791,40.747
1865,20171211,3.6187,3.6854,3.5235,3.581,1423580,0.9833,68.3886,39.5221
1866,20171212,3.581,3.6763,3.3334,3.4477,2995460,0.9481,54.5886,36.984
1867,20171213,3.4477,3.5525,3.3715,3.4001,995710,0.9369,38.5572,34.6272
1868,20171214,3.3616,3.5521,3.3521,3.5429,1819970,0.9785,31.3545,32.3018
1869,20171215,3.5426,3.6283,3.514,3.5429,1904350,0.9805,23.2664,30.6484
1870,20171218,3.6191,3.6191,3.5429,3.5525,1366050,0.9854,17.7923,29.1131
1871,20171219,3.5616,3.5711,3.4283,3.4286,1178680,0.9527,11.7016,27.2531
1872,20171220,3.4378,3.514,3.4092,3.4286,2308840,0.9542,11.8109,25.6624
1873,20171221,3.4568,3.4759,3.4092,3.4286,1462270,0.9553,8.1418,24.1853
1874,20171222,3.4382,3.4477,3.3334,3.4096,1129280,0.9513,4.3634,23.3782
1875,20171225,3.4092,3.4092,3.3235,3.3429,949230,0.9342,0.328,22.7007
1876,20171226,3.3429,3.3905,3.3429,3.362,885760,0.9414,1.5979,22.0716
1877,20171227,3.3905,3.4001,3.2477,3.3334,985530,0.9351,1.4885,22.19
1878,20171228,3.3334,3.5239,3.3144,3.5239,1703710,0.9897,17.8292,21.0811
1879,20171229,3.6092,3.6092,3.5045,3.5429,1203630,0.9962,37.8292,19.8065
1880,20180102,3.4763,3.5715,3.4763,3.562,2030290,1.0026,57.8292,18.3965
1881,20180103,3.562,3.6191,3.4858,3.4858,1209740,0.9825,68.7836,17.4705
1882,20180104,3.4854,3.6378,3.4283,3.6191,2018860,1.0211,88.7836,16.337
1883,20180105,3.6664,3.8568,3.6187,3.7715,4594760,1.0647,92.3335,16.6151
1884,20180108,3.8382,3.8382,3.7239,3.762,1347840,1.062,91.7183,16.8733
1885,20180109,3.8096,3.8286,3.7144,3.7144,1430130,1.0494,87.9822,17.0212
1886,20180110,3.7425,3.8949,3.7425,3.8572,3990350,1.0899,95.6487,17.5893
1887,20180111,3.9048,4.1239,3.8763,4.0477,6551930,1.1432,95.6487,19.2784
1888,20180112,4.1711,4.1711,3.8282,3.8286,2480850,1.0814,86.7711,20.3754
1889,20180115,3.8282,3.8949,3.8187,3.8191,1707820,1.0789,78.1685,21.2993
1890,20180116,3.8191,3.8191,3.6667,3.8096,2552100,1.0763,72.326,20.7764
1891,20180117,3.7429,3.8763,3.6382,3.6382,1373650,1.0287,52.326,20.6319
1892,20180118,3.6667,3.6667,3.5715,3.6382,1601280,1.0297,32.326,19.945
1893,20180119,3.6378,3.6854,3.6092,3.6286,2143450,1.0279,21.2035,19.4298
1894,20180122,3.6286,3.6477,3.5334,3.6096,2120240,1.0235,10.4215,18.3259
1895,20180125,3.5711,3.6187,3.4759,3.5905,2901930,1.019,0.0,17.1762
1896,20180126,3.5902,3.6664,3.5235,3.5334,1833470,1.004,0.0,16.1596
1897,20180129,3.5334,3.581,3.4477,3.4477,2284800,0.981,0.0,15.3812
1898,20180130,3.4949,3.5426,3.3807,3.5429,1626650,1.0092,3.6722,15.1356
1899,20180131,3.5711,3.6568,3.4568,3.4572,2748420,0.986,4.7594,14.1179
1900,20180201,3.4759,3.4759,3.3807,3.381,2104770,0.9655,4.7594,13.5938
1901,20180202,3.362,3.4763,3.3048,3.3239,1425930,0.9506,4.7594,13.6097
1902,20180205,3.3334,3.3334,3.0953,3.0953,3079420,0.8873,4.7594,14.7524
1903,20180206,2.8858,3.0001,2.8858,2.8858,3464430,0.8296,1.0872,16.6422
1904,20180207,3.0382,3.0858,3.0286,3.0858,2554600,0.8891,8.4923,17.7143
1905,20180208,3.0477,3.1048,3.0001,3.0001,1524210,0.8668,15.2359,18.8253
1906,20180209,2.8572,3.0001,2.8382,3.0001,818930,0.8693,22.1032,20.4599
1907,20180212,2.9997,3.1426,2.9997,3.1143,484780,0.9047,34.0902,20.8941
1908,20180213,3.1143,3.2858,3.1143,3.2858,487320,0.9563,53.1145,20.3588
1909,20180221,3.3239,3.3239,3.1905,3.2858,452730,0.9581,64.6222,19.6277
1910,20180222,3.2378,3.2759,3.1902,3.2572,380950,0.9515,76.875,18.9504
1911,20180223,3.2473,3.2664,3.1712,3.2191,591250,0.9422,87.6445,18.427
1912,20180226,3.2191,3.2191,3.1239,3.1239,987520,0.9163,90.0418,18.2073
1913,20180227,3.1235,3.1712,3.1045,3.1524,451880,0.9266,86.7667,18.1139
1914,20180228,3.1426,3.3045,3.1426,3.2286,1038830,0.9507,86.0843,17.0316
1915,20180301,3.2283,3.2283,3.095,3.181,737560,0.9385,84.5683,16.3305
1916,20180302,3.1807,3.2473,3.114,3.2286,2045490,0.9539,86.694,15.5378
1917,20180305,3.2378,3.3902,3.1902,3.1905,1985180,0.9442,89.3171,15.0336
1918,20180306,3.2378,3.2569,3.1997,3.2286,1812880,0.9569,93.568,14.5654
1919,20180307,3.2286,3.4477,3.2286,3.3334,3501260,0.989,94.2503,15.2282
1920,20180308,3.3334,3.4001,3.3239,3.362,1552970,0.9983,96.7698,15.8437
1921,20180309,3.3715,3.4001,3.2953,3.3239,1326160,0.988,93.694,16.1644
1922,20180312,3.2569,3.3426,3.2378,3.2572,1739000,0.9692,87.8041,15.9649
1923,20180313,3.2473,3.2473,3.1712,3.181,1140920,0.9475,73.0658,15.2346
1924,20180314,3.1807,3.2473,3.1807,3.2191,1501080,0.9595,61.8335,14.5565
1925,20180315,3.2188,3.3045,3.2188,3.2191,1369830,0.9604,50.6012,14.3498
1926,20180316,3.2477,3.2667,3.2191,3.2477,1008130,0.97,44.4198,14.1579
1927,20180319,3.2477,3.2667,3.2001,3.2382,1369600,0.9682,40.7263,13.7912
1928,20180320,3.2382,3.2382,3.1905,3.2001,1086850,0.9578,37.9468,13.3519
1929,20180321,3.1997,3.2283,3.1712,3.1905,722460,0.9558,30.3162,12.7383
1930,20180322,3.2188,3.2188,3.1426,3.1429,563220,0.9424,21.5485,11.8621
1931,20180323,2.9905,3.1143,2.9905,3.0382,814280,0.9118,11.0432,12.3443
1932,20180326,3.0096,3.1143,3.0096,3.0382,892140,0.9123,3.6193,12.792
1933,20180327,3.0378,3.1235,3.0378,3.0572,2332180,0.9183,3.1449,13.0964
1934,20180328,3.0572,3.0858,3.0096,3.0477,1109180,0.9158,3.5771,13.6255
1935,20180329,3.0474,3.0664,2.9997,3.0286,327950,0.9103,3.688,14.2047
1936,20180330,3.0096,3.0382,2.962,3.0001,607350,0.9019,3.688,15.0764
1937,20180402,3.0382,3.0382,2.962,2.962,754140,0.8906,3.688,15.8858
1938,20180403,2.9617,2.9617,2.895,2.9048,1116850,0.8732,1.6801,17.2134
1939,20180404,2.9045,2.9617,2.9045,2.9143,1851200,0.876,1.3313,18.4462
1940,20180405,2.9143,3.0572,2.9143,3.0477,2027170,0.9158,17.4518,18.1178
1941,20180406,3.0477,3.0858,3.0096,3.0382,1444230,0.9129,35.2629,17.4296
1942,20180409,3.0382,3.0763,3.0001,3.0096,1656510,0.9044,51.162,16.8989
1943,20180410,2.9905,3.0477,2.8858,2.8858,1631450,0.8676,57.7546,17.543
1944,20180411,2.8855,2.9521,2.8188,2.8191,1505230,0.8479,58.8867,18.6725
1945,20180412,2.8572,2.8858,2.7334,2.8096,1221970,0.8454,44.4272,20.298
1946,20180413,3.0001,3.0001,2.9524,3.0001,2271220,0.9024,46.6162,20.3056
1947,20180416,3.1048,3.1715,3.0191,3.1334,2124290,0.9418,50.7171,19.0627
1948,20180417,3.1429,3.1524,3.0477,3.0763,793490,0.9245,61.354,17.9086
1949,20180418,3.0763,3.0763,2.9905,3.0001,574070,0.9015,72.8255,16.9343
1950,20180419,3.0283,3.0283,2.9617,3.0191,3589050,0.9071,85.8039,16.2786
1951,20180420,3.0191,3.0572,2.9715,3.0096,420510,0.9042,80.1082,15.3783
1952,20180423,3.0001,3.0477,2.8096,2.8096,1128780,0.8446,65.8956,15.8218
1953,20180424,2.8569,2.9045,2.8283,2.9048,810430,0.8734,59.4115,16.2336
1954,20180426,2.9048,2.9048,2.7715,2.7715,948730,0.8344,51.714,17.01
1955,20180427,2.7715,2.8953,2.7715,2.8858,463740,0.8703,48.521,17.731
1956,20180502,2.8382,2.8953,2.8096,2.8382,322760,0.8574,44.1059,18.4005
1957,20180503,2.7715,2.8382,2.7429,2.8001,822890,0.8478,46.8872,19.5091
1958,20180504,2.8001,2.8191,2.762,2.8001,331440,0.8498,44.7104,20.5385
1959,20180507,2.8096,2.8762,2.7905,2.8572,403250,0.8691,46.791,20.6816
1960,20180508,2.8569,2.8664,2.8188,2.8286,534470,0.8631,41.7944,20.8145
1961,20180509,2.8572,2.8953,2.8001,2.8953,812250,0.8862,46.2898,20.5221
1962,20180510,2.8474,2.9045,2.8188,2.8191,295590,0.8654,48.9179,20.117
1963,20180511,2.8474,2.8569,2.7998,2.8286,352250,0.8704,52.7326,19.9502
1964,20180514,2.8286,2.8477,2.7905,2.8477,486010,0.8785,60.232,19.8999
1965,20180515,2.8286,2.9524,2.8286,2.8953,685490,0.8951,73.6713,18.6169
1966,20180516,2.8953,2.9048,2.8286,2.8858,474370,0.8937,78.1326,17.4255
1967,20180517,2.8759,2.8855,2.8283,2.8286,327900,0.8776,78.9533,16.3149
1968,20180518,2.8569,2.8569,2.7902,2.8191,499220,0.8766,73.959,15.5588
1969,20180521,2.8379,2.8379,2.7902,2.7905,343230,0.8697,60.9091,14.8567
