,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2641,20170908,101.8037,102.8415,100.9545,102.8461,740,0.9556,21.1631,47.1536
2642,20170911,100.011,101.898,96.7088,100.9591,7680,0.9366,6.5418,48.9811
2643,20170912,101.898,102.3698,101.0489,101.9026,3270,0.9437,12.4711,50.4608
2644,20170913,101.898,102.0867,98.5958,101.0534,1810,0.9343,16.7427,52.029
2645,20170914,101.898,101.898,100.9545,101.6195,860,0.9378,23.7169,53.4852
2646,20170915,101.615,101.898,100.9545,101.8082,7450,0.9378,26.6313,54.8374
2647,20170918,98.7845,101.898,98.7845,100.9591,16500,0.9286,30.9999,56.2707
2648,20170919,100.9545,102.2754,100.9545,102.28,140,0.9394,37.5828,57.3941
2649,20170920,102.2754,102.7472,100.9545,101.9026,3650,0.9344,44.798,58.1685
2650,20170921,101.8037,101.898,100.011,101.9026,1700,0.933,49.5148,58.9897
2651,20170922,100.1054,101.898,100.1054,100.9591,2740,0.9231,55.662,59.7522
2652,20170925,100.4828,100.9545,100.4828,100.9591,3940,0.9217,63.7844,60.4602
2653,20170926,100.011,101.8037,100.011,101.8082,1730,0.928,71.2722,60.5342
2654,20170927,101.7093,101.7093,100.9545,101.0534,1420,0.9203,75.6933,60.6029
2655,20170928,100.9545,100.9545,100.8602,100.9591,1600,0.9184,79.3969,60.6836
2656,20170929,99.0675,101.5206,99.0675,101.5252,1060,0.9225,85.3497,61.0648
2657,20171003,100.9545,101.3319,100.011,101.3365,1620,0.9195,89.8684,61.4187
2658,20171004,100.4828,101.4263,100.4828,101.4308,110,0.9192,89.6602,61.6668
2659,20171010,103.785,103.785,98.124,98.1284,2670,0.8888,73.7523,62.2848
2660,20171011,98.124,99.8223,98.124,99.8268,90,0.904,76.5584,62.8587
2661,20171012,96.3314,99.5393,96.237,99.072,8590,0.897,70.5144,63.6575
2662,20171013,96.5201,100.7658,96.5201,100.7704,4300,0.9121,71.9485,63.3959
2663,20171016,98.5014,103.785,98.5014,103.6953,570,0.9379,72.1567,61.1386
2664,20171017,102.7472,104.2568,100.6715,100.676,5430,0.9106,85.0075,58.7713
2665,20171018,100.9545,105.672,100.6715,104.7332,1880,0.9473,86.8068,55.7948
2666,20171019,105.672,106.6155,104.5398,106.6203,4180,0.9645,92.8509,52.5491
2667,20171020,104.7285,106.6155,104.7285,106.1485,3760,0.9604,91.9545,49.5352
2668,20171023,105.5777,105.5777,100.011,105.5824,50,0.9548,89.9605,48.3399
2669,20171024,104.7285,104.7285,98.5958,104.6389,3210,0.9461,93.3001,47.5892
2670,20171025,98.6901,104.4455,98.6901,99.2607,240,0.8978,81.4063,46.8921
2671,20171026,99.0675,102.8415,99.0675,102.8461,620,0.9304,75.0264,46.2448
