,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2511,20171205,17.0822,17.161,16.9248,17.0049,496360,0.9656,100.0,26.2292
2512,20171206,17.0429,17.0429,16.6493,16.8081,406870,0.9553,92.4357,24.9659
2513,20171207,16.8067,16.8461,16.5312,16.6112,302990,0.945,78.2836,23.3118
2514,20171208,16.6099,16.8067,16.6099,16.7687,265320,0.9548,69.573,21.7759
2515,20171211,16.7674,16.7674,16.5312,16.6112,318170,0.9466,51.4206,20.424
2516,20171212,16.6886,16.728,16.3738,16.5325,327000,0.943,31.4206,19.7911
2517,20171213,16.6099,16.8461,16.5312,16.7687,865280,0.9572,29.1022,18.6648
2518,20171214,16.7674,16.8854,16.728,16.7687,295190,0.9581,33.3716,17.4433
2519,20171215,16.9642,17.3184,16.8461,16.8868,3920520,0.9656,37.0624,17.6752
2520,20171218,17.2397,17.4758,17.0822,17.3198,822850,0.9909,55.2148,18.338
2521,20171219,17.4758,17.8301,17.3578,17.7134,1257610,1.0137,75.2148,19.7921
2522,20171220,17.6333,17.6726,17.3184,17.3591,1451560,0.9941,77.3932,20.9552
2523,20171221,17.7311,17.7311,17.3187,17.4837,1181160,1.0017,81.1797,22.1691
2524,20171222,17.7311,17.9372,17.3187,17.36,728520,0.9951,77.589,23.7398
2525,20171225,17.1538,17.2362,16.7826,16.9064,794400,0.9698,61.0971,22.9437
2526,20171226,16.9064,17.195,16.7414,16.8652,695200,0.9684,43.9713,22.0613
2527,20171227,16.9064,17.195,16.8651,16.9889,423340,0.9762,36.6044,21.2419
2528,20171228,17.0713,17.5249,17.0713,17.4837,915120,1.005,34.5887,21.3869
2529,20171229,17.4836,17.9372,17.4012,17.7311,1605410,1.0195,37.9199,22.4002
2530,20180102,17.7311,17.8548,17.5661,17.8548,610980,1.0267,49.8038,23.3411
2531,20180103,17.8135,18.3083,17.8135,18.3084,1381300,1.0527,66.9296,24.9961
2532,20180104,18.4733,18.4733,18.1022,18.3497,890430,1.055,82.0007,26.7712
2533,20180105,18.3908,18.3908,17.9785,17.9786,864980,1.034,82.3092,27.9063
2534,20180108,18.0609,18.0609,17.8135,17.9373,723200,1.0319,78.9755,28.3038
2535,20180109,17.7723,18.3083,17.7723,18.061,932250,1.0392,76.5612,29.1207
2536,20180110,18.0609,18.4733,18.0609,18.3909,1034910,1.0582,73.413,30.1521
2537,20180111,18.3908,18.3908,18.1022,18.226,834970,1.0488,66.7703,31.1098
2538,20180112,18.1434,18.2259,17.9372,17.9373,955630,1.0324,62.3248,31.2968
2539,20180115,17.9785,18.3083,17.9785,18.3084,1215700,1.0537,63.3912,31.6386
2540,20180116,18.5145,19.1743,18.4733,19.0507,2839600,1.096,69.9156,33.2653
2541,20180117,19.133,19.133,18.7207,18.7208,1101730,1.0767,63.0935,34.7758
2542,20180118,18.7207,19.0506,18.432,19.0507,1362280,1.0951,64.5333,35.0776
2543,20180119,18.9681,19.2567,18.6795,18.8857,1590490,1.0851,67.1035,35.6683
2544,20180122,18.8856,20.2052,18.6795,19.0507,1357250,1.0942,67.4775,37.273
2545,20180125,19.0506,20.2052,19.0506,20.2053,4522270,1.1593,67.9754,38.7631
2546,20180126,20.3701,21.3597,19.9577,21.1124,3278230,1.2095,77.9458,40.9519
2547,20180129,21.1123,21.937,21.1123,21.4423,2095370,1.2262,83.1486,43.2611
2548,20180130,20.8237,21.5659,20.6175,21.5248,3080120,1.2286,92.8272,44.1101
2549,20180131,21.1948,21.3597,20.0402,20.1228,2985590,1.1473,83.7102,43.6106
2550,20180201,19.6279,20.0402,18.9681,19.7517,1828260,1.1251,64.1229,41.2997
2551,20180202,19.7516,20.535,19.2155,20.5351,988890,1.1679,49.1051,39.6971
2552,20180205,20.4526,20.4526,19.133,19.2981,1305140,1.0967,29.1051,38.0803
2553,20180206,19.298,19.5454,17.9785,19.2981,2095200,1.0959,9.1051,35.6962
2554,20180207,19.3805,19.834,19.2567,19.3806,1069990,1.0997,5.848,33.167
2555,20180208,19.3392,19.3392,18.5145,18.5558,446110,1.0526,5.4353,31.6128
2556,20180209,17.3187,18.3083,17.3187,17.8961,1165030,1.0152,0.4531,31.2346
2557,20180212,18.2259,18.2259,17.5249,18.1023,1040250,1.0269,1.4146,30.8834
2558,20180213,18.2671,18.2671,17.8548,17.8961,703930,1.0153,1.648,30.497
2559,20180221,18.1434,18.9681,17.9785,18.9682,931250,1.0755,6.1072,29.1608
2560,20180222,18.9681,19.7516,18.9681,19.628,2009820,1.1119,13.3815,27.1622
2561,20180223,19.7928,19.9577,19.298,19.6692,803040,1.113,20.7986,25.531
2562,20180226,19.7103,19.999,19.4629,19.463,1253330,1.1004,31.6827,24.0629
2563,20180227,19.4629,19.7928,19.3392,19.7104,684320,1.1133,45.0382,22.5383
2564,20180228,19.6279,19.7928,19.3392,19.3806,1101100,1.0938,50.8588,21.1226
2565,20180301,19.1743,19.4217,18.597,18.5971,1016680,1.0492,50.4884,20.3756
2566,20180302,18.3083,18.7207,17.9785,18.6383,1668240,1.0511,50.4871,20.3499
2567,20180305,18.6382,18.8032,18.3083,18.3084,508910,1.0323,42.4677,20.1991
2568,20180306,18.3083,19.3805,18.0609,18.8033,988260,1.0597,39.1234,19.2109
2569,20180307,18.9681,19.3392,18.7207,18.8033,967980,1.0591,38.6351,18.2933
2570,20180308,18.8032,19.3392,18.8032,19.1744,947800,1.0793,46.5771,17.4412
2571,20180309,19.3392,19.3392,18.6795,18.8033,732340,1.0578,49.0136,16.825
2572,20180312,18.5558,18.9681,18.5145,18.5558,487000,1.0435,49.2185,16.4888
2573,20180313,18.5558,18.597,18.3908,18.5971,520840,1.0454,43.7584,16.3551
2574,20180314,18.597,19.4217,18.5558,19.3393,1374920,1.0861,50.7461,15.5304
2575,20180315,19.3392,19.3392,18.9681,19.0919,649730,1.0713,48.8141,14.7646
2576,20180316,19.133,19.5454,18.8444,19.1331,1017740,1.0727,52.5637,14.372
2577,20180319,19.298,19.298,18.8032,18.8033,982740,1.0533,57.4446,13.9296
2578,20180320,18.8032,18.8856,18.5145,18.5558,733370,1.0388,56.6635,12.9776
2579,20180321,18.6382,18.8856,18.432,18.8033,659150,1.0518,49.0301,12.1592
2580,20180322,18.8856,19.0506,18.8032,18.8445,554870,1.0531,46.656,11.4973
2581,20180323,18.5558,18.8444,18.432,18.8445,699710,1.0522,41.2264,11.1697
2582,20180326,18.8032,18.8032,18.4733,18.4734,359470,1.0306,32.3144,10.8655
2583,20180327,18.4733,18.8032,18.1846,18.226,893100,1.016,28.3111,11.1092
2584,20180328,18.2259,18.3908,18.1434,18.1435,247390,1.0107,18.7122,11.4091
2585,20180329,18.3908,18.3908,17.7723,18.1023,1048030,1.0077,8.1723,12.319
2586,20180330,18.1022,18.1434,17.896,18.1435,243630,1.0092,1.0678,13.164
2587,20180402,18.2259,18.3908,17.9372,17.9373,803710,0.9969,1.0678,13.2863
2588,20180403,17.896,17.9372,17.5661,17.6074,1322130,0.9779,1.0678,14.0545
2589,20180404,17.7311,17.7723,17.5249,17.5662,473830,0.9749,1.0678,14.8367
2590,20180405,17.5249,17.6486,17.5249,17.5662,415520,0.974,1.0678,15.5631
2591,20180406,17.6486,17.6486,17.4836,17.525,505550,0.9708,0.0,16.3156
2592,20180409,17.5249,17.6073,17.5249,17.5662,557760,0.9723,1.3438,17.0143
2593,20180410,17.5661,18.1434,17.5661,17.8961,1321190,0.9897,12.7696,16.0439
2594,20180411,17.896,17.896,17.5249,17.5662,569600,0.9707,17.8073,15.2439
2595,20180412,17.5661,17.7723,17.5661,17.6487,292830,0.9746,28.3859,14.5011
2596,20180413,17.6486,17.6486,17.1538,17.2363,1007390,0.9512,28.7685,14.7997
2597,20180416,17.2362,17.3599,17.0713,17.0714,515740,0.9417,27.4247,15.2534
2598,20180417,17.0713,17.1538,16.8651,16.9064,538280,0.9325,15.9988,16.1005
2599,20180418,16.9064,17.1538,16.6177,16.6178,445210,0.9165,10.9611,17.3503
2600,20180419,16.7414,16.8239,16.4528,16.4529,891290,0.9075,0.3826,18.7956
2601,20180420,16.4115,16.7414,16.4115,16.5766,335430,0.9142,3.8196,20.2087
2602,20180423,16.5765,16.6589,15.6693,15.6694,600860,0.8647,3.8196,22.555
2603,20180424,15.5044,16.2054,15.5044,15.7931,373410,0.8719,6.5013,24.9127
2604,20180426,15.8342,16.0404,15.6281,15.7519,748970,0.87,8.8815,27.102
2605,20180427,15.7518,15.793,15.5456,15.7519,782950,0.8704,11.2617,29.2303
2606,20180502,15.3394,15.8342,15.3394,15.3395,905520,0.8482,7.4421,31.4369
2607,20180503,15.257,15.2982,14.8446,14.9684,1021150,0.8285,7.4421,33.9474
2608,20180504,14.9683,15.1745,14.9683,15.0921,988760,0.8362,7.7228,36.2786
2609,20180507,15.1745,15.257,15.092,15.257,283730,0.8461,14.5654,38.0818
2610,20180508,15.257,15.257,15.1745,15.257,521020,0.8469,22.6962,39.7562
2611,20180509,15.257,15.5456,15.1332,15.422,438000,0.8569,41.9769,40.045
2612,20180510,15.5044,15.9992,15.3394,15.7519,1028590,0.8757,61.9769,38.7043
2613,20180511,15.5868,15.9167,15.4219,15.8343,408580,0.8807,79.0146,37.4594
2614,20180514,15.7518,15.9992,15.6281,15.9993,517520,0.8902,89.7917,36.0263
2615,20180515,16.0404,16.6177,15.8342,16.4116,1173780,0.9133,99.2807,33.9313
2616,20180516,16.4115,16.4115,15.9167,15.9168,502980,0.886,95.2656,31.986
2617,20180517,15.9167,16.1641,15.8755,15.9168,634490,0.8864,90.5313,30.0607
