,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2440,20171205,31.9293,31.9293,31.1106,31.1131,56390,0.9885,2.5905,26.3439
2441,20171206,30.7831,31.2334,30.6194,31.1131,35000,0.9907,1.9969,24.7514
2442,20171207,31.8065,32.0112,30.9878,32.0137,38180,1.0214,9.8358,24.024
2443,20171208,31.8474,32.4205,31.52,32.4231,40470,1.0364,26.7181,23.7055
2444,20171211,32.0112,32.5024,31.52,32.0956,91430,1.0275,38.839,23.4812
2445,20171212,32.3387,32.3387,31.1106,31.195,77340,1.0001,39.1661,22.7321
2446,20171213,32.2568,32.2568,30.865,30.9084,9430,0.993,39.1661,21.7218
2447,20171214,30.9059,31.7656,30.9059,31.2769,53510,1.0068,36.1198,20.7837
2448,20171215,31.2743,31.6837,30.7013,31.6044,24410,1.0191,27.7726,19.631
2449,20171218,32.093,32.093,31.4381,31.7681,28330,1.0262,26.7957,19.0547
2450,20171219,31.9293,31.9293,31.52,31.9319,49600,1.0327,40.7096,18.5196
2451,20171220,31.6018,31.9293,31.4381,31.4406,27300,1.0174,47.5027,17.8908
2452,20171221,31.52,31.9293,30.9469,31.9319,54160,1.034,56.6311,16.6759
2453,20171222,32.1749,33.1574,31.9293,32.6688,166480,1.0582,66.912,16.9091
2454,20171225,32.748,34.2217,32.748,33.8969,173300,1.0976,74.955,18.0493
2455,20171226,34.1398,34.2217,33.7304,34.2244,137260,1.1075,80.714,19.1081
2456,20171227,34.3035,34.3854,33.7304,33.815,85460,1.0937,90.3443,20.2255
2457,20171228,33.8123,33.9761,31.9293,32.2184,117110,1.0417,81.5345,18.8649
2458,20171229,32.2158,33.1574,32.2158,33.16,80850,1.0718,71.6523,17.6015
2459,20180102,34.2217,34.2217,31.6837,32.9144,18630,1.0636,60.2267,17.4579
2460,20180103,32.0112,32.748,32.0112,32.505,109310,1.0505,44.0556,17.3245
2461,20180104,32.5024,32.5024,31.9293,32.0956,40440,1.0374,27.671,17.0946
2462,20180105,32.093,33.5667,32.093,32.3822,33410,1.0466,24.7538,17.8162
2463,20180108,32.748,33.8942,32.748,33.815,141830,1.0923,26.0706,18.7363
2464,20180109,33.8123,34.1398,33.5667,33.815,58260,1.0915,28.9308,19.7757
2465,20180110,33.8942,33.9761,33.403,33.815,63770,1.0909,36.5198,20.4921
2466,20180111,33.5667,34.631,32.748,34.6338,136950,1.1162,52.775,20.219
2467,20180112,34.631,36.2684,34.631,36.1894,123290,1.1646,70.5811,21.2398
2468,20180115,36.0228,36.1047,35.3678,35.9438,33430,1.155,77.1796,22.1877
2469,20180116,36.0228,36.0228,34.5082,34.511,64630,1.1079,73.6994,21.9599
2470,20180117,34.5082,34.5082,32.9936,33.5285,141020,1.0752,64.6349,20.5604
2471,20180118,31.5276,34.7568,31.5276,32.72,42780,1.0479,48.341,20.3602
2472,20180119,33.1422,33.3122,32.4624,32.4651,75330,1.039,28.341,20.1743
2473,20180122,32.2074,33.2272,30.7628,31.0203,80780,0.9928,10.3079,21.0291
2474,20180125,31.0177,31.1027,29.828,29.8305,139390,0.9549,2.3535,22.2778
2475,20180126,29.828,30.4228,29.828,30.0854,83810,0.963,0.9454,23.4373
2476,20180129,30.4228,30.4228,29.1481,29.2356,60440,0.9361,0.9454,24.8363
2477,20180130,29.2331,30.1679,28.9782,29.4905,101890,0.9445,1.9055,26.2141
2478,20180131,30.0404,30.0404,29.2331,29.4905,53950,0.9447,2.8657,27.4935
2479,20180201,29.3181,29.913,28.9782,28.9806,56730,0.9288,2.8657,28.8116
2480,20180202,29.573,29.913,28.8932,29.1506,19230,0.9346,2.6559,30.0802
2481,20180205,28.7657,29.573,28.2134,28.4282,33150,0.912,2.6559,31.604
2482,20180206,27.3636,29.743,26.6412,27.3658,84040,0.8787,1.6957,33.658
2483,20180207,28.8932,29.2756,27.3636,27.7058,49100,0.8904,3.1501,35.5653
2484,20180208,29.0632,29.0632,27.1936,27.2809,64570,0.8776,4.5229,37.4003
2485,20180209,25.494,28.4683,25.494,27.2384,28000,0.8772,5.0873,39.6452
2486,20180212,28.0434,28.8082,27.6185,28.0457,22310,0.9039,19.6379,41.2425
2487,20180213,27.831,29.3181,27.831,28.4707,9210,0.9181,39.6379,42.0167
2488,20180221,29.1481,29.2331,28.7232,29.1081,30150,0.9391,57.2234,42.7356
2489,20180222,29.1057,29.7005,29.1057,29.3206,18350,0.9463,75.8506,42.7388
