,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2720,20171205,20.1748,21.4196,20.1318,21.4219,2255580,1.0783,31.1641,30.4303
2721,20171206,21.4625,22.879,21.4625,22.0229,1701560,1.1098,48.5352,32.2763
2722,20171207,21.8059,22.321,21.5913,21.6365,511710,1.0919,63.5618,33.9905
2723,20171208,21.5484,21.5484,20.604,21.2072,1075100,1.0717,71.8855,33.8942
2724,20171211,20.7757,21.4625,20.2606,20.7779,613160,1.051,68.8518,33.2968
2725,20171212,20.7757,21.205,19.4021,20.8638,677440,1.0561,55.6055,31.6112
2726,20171213,20.8616,21.0762,20.2606,20.3486,244350,1.0314,35.6521,30.046
2727,20171214,20.3465,21.205,20.1748,21.0355,534310,1.0671,26.1924,28.7311
2728,20171215,21.0762,21.3767,20.6899,20.8209,408610,1.0573,19.5822,27.6989
2729,20171218,20.8186,21.162,20.7757,20.7779,460040,1.0561,17.3063,26.7404
2730,20171219,20.7757,21.1191,20.6469,20.8209,579140,1.0593,14.7559,25.6434
2731,20171220,20.8616,22.1064,20.6899,21.3789,1104300,1.0881,22.622,25.7204
2732,20171221,21.5484,21.8918,21.3767,21.3789,721960,1.0882,24.9679,25.7919
2733,20171222,21.3767,21.4625,21.1191,21.1643,311210,1.0775,26.6905,25.4078
2734,20171225,21.0333,21.1191,20.6899,20.6921,465060,1.054,23.932,24.346
2735,20171226,20.6469,20.7757,20.1748,20.4345,653170,1.0419,20.7869,22.6105
2736,20171227,20.4323,20.9045,20.4323,20.7779,328930,1.0603,18.2802,21.1717
2737,20171228,20.8616,20.8616,20.4752,20.5633,290860,1.0501,12.2475,19.8357
2738,20171229,20.604,20.8616,20.5182,20.7779,408670,1.0616,13.2098,18.5951
2739,20180102,20.7757,21.7201,20.7757,21.5507,562640,1.1011,31.7891,18.6493
2740,20180103,21.8059,22.1493,21.7201,21.8941,1029470,1.1186,51.7891,19.1908
2741,20180104,22.2352,22.6644,21.9776,21.98,1115040,1.1229,66.383,20.2166
2742,20180105,22.0635,23.2654,21.4625,22.9244,1368240,1.1707,84.503,21.6955
2743,20180108,22.8361,24.038,22.8361,23.6971,777290,1.209,98.5793,23.6304
2744,20180109,23.6088,24.038,23.0937,23.9977,1032400,1.2231,100.0,25.4271
