,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1808,20171205,17.9993,19.1242,17.8743,18.7493,690960,0.9536,90.4403,27.0743
1809,20171206,18.747,19.2469,18.497,19.0409,630580,0.9705,93.2433,27.0056
1810,20171207,18.9136,19.1636,18.6637,18.6659,713330,0.9536,92.5945,26.9418
1811,20171208,18.6637,18.9136,18.5804,18.9159,596330,0.9685,94.4019,26.6926
1812,20171211,18.3326,18.9576,18.3326,18.5826,433320,0.9535,89.5721,25.9033
1813,20171212,18.4993,18.6659,17.291,17.916,404390,0.9215,79.4611,24.7747
1814,20171213,17.8743,17.8743,17.0827,17.4993,107500,0.9024,62.333,24.0205
1815,20171214,17.791,17.916,17.166,17.4993,210730,0.9045,45.7846,23.2405
1816,20171215,17.3326,17.4993,17.166,17.166,152910,0.8894,27.7858,22.5162
1817,20171218,17.416,17.916,17.0827,17.166,467410,0.8915,12.7608,21.0222
1818,20171219,17.1639,17.4972,16.914,17.2493,247650,0.8979,3.9089,19.9333
1819,20171220,17.3326,17.416,16.8327,16.8327,308400,0.8789,1.037,19.0672
1820,20171221,17.2493,17.2493,16.4993,16.916,177060,0.8859,2.0203,18.8354
1821,20171222,16.666,16.916,16.4993,16.8327,253150,0.8843,2.316,18.6202
1822,20171225,16.666,16.9993,15.9994,15.9994,296520,0.8435,2.316,19.2099
1823,20171226,15.9994,16.416,15.8327,16.3327,290320,0.8638,4.7358,19.9927
1824,20171227,15.9974,16.414,15.8308,16.041,235530,0.851,6.5338,20.7224
1825,20171228,15.5808,16.0391,15.5808,16.041,200780,0.8535,7.6661,21.7619
1826,20171229,15.8725,16.1641,15.7891,16.041,438890,0.8559,10.4134,22.3636
1827,20180102,15.9994,16.1244,15.5827,15.9994,299260,0.8567,13.784,23.235
1828,20180103,15.8327,15.9994,15.666,15.8327,209230,0.8506,11.2559,24.0442
1829,20180104,15.4161,16.0827,15.1661,15.8327,324290,0.8533,10.5557,25.4955
1830,20180105,15.916,16.1244,15.4994,15.4994,270640,0.838,8.4403,26.7063
1831,20180108,15.4161,16.0827,15.4161,16.0827,526680,0.8719,21.3795,27.9448
1832,20180109,16.1641,16.2474,15.9141,16.166,519130,0.8787,38.0089,28.5205
1833,20180110,16.2494,16.7493,15.8327,16.5827,589120,0.9034,57.0803,27.551
1834,20180111,16.5807,16.7473,16.3307,16.416,512590,0.8965,73.6206,26.6508
1835,20180112,16.414,16.6223,15.6642,16.166,493600,0.8853,87.8804,26.9846
1836,20180115,15.8327,16.1244,15.6244,15.7494,327930,0.8649,81.1563,27.3545
1837,20180116,15.7494,15.916,15.4994,15.7494,205740,0.8675,70.4144,27.8905
1838,20180117,15.666,15.8327,15.2494,15.2494,159230,0.8425,54.3291,28.7549
1839,20180118,15.0827,15.4994,14.3328,15.1661,279550,0.8405,39.7962,30.5748
1840,20180119,15.1661,15.2911,14.1661,14.1661,222990,0.788,25.5363,32.4099
1841,20180122,13.7495,15.1244,13.7495,15.1244,524120,0.8439,28.5341,34.4475
1842,20180125,16.166,16.166,15.4994,15.4994,434850,0.8673,35.3748,33.7725
1843,20180126,15.4994,15.7494,15.0827,15.1661,205350,0.8511,45.07,33.6159
1844,20180129,14.9976,15.1642,14.1644,14.2494,131010,0.8024,49.85,34.313
1845,20180130,14.1661,14.4161,13.8328,14.1661,133950,0.8008,57.2762,35.2144
1846,20180131,13.9994,14.1661,13.7078,13.7078,297430,0.7782,50.0029,36.1457
1847,20180201,13.7061,14.4977,13.7061,14.2494,471430,0.812,45.7972,36.308
1848,20180202,14.3744,14.4994,14.1661,14.4161,272830,0.8245,47.6226,36.4551
1849,20180205,14.4161,14.4161,13.9994,14.1661,235400,0.8132,53.1536,36.7555
1850,20180206,13.4995,13.9161,13.2078,13.4995,438570,0.778,54.3126,37.7123
1851,20180207,13.7495,14.1244,13.2495,13.5828,245320,0.786,59.0534,38.1358
1852,20180208,13.5828,13.7495,13.2495,13.4995,482820,0.7844,56.2709,38.529
1853,20180209,12.6662,13.3328,12.6662,13.3328,204730,0.7779,48.6951,39.391
1854,20180212,13.3312,13.4978,12.9563,13.1661,86940,0.7713,35.8855,39.8016
1855,20180213,13.0828,14.0828,12.9995,14.0828,79470,0.8278,46.6507,38.9229
1856,20180221,14.0828,14.7494,14.0828,14.1661,200990,0.8356,56.9273,36.925
1857,20180222,13.8744,14.3744,13.8744,14.1661,82430,0.8382,67.8167,35.3361
1858,20180223,14.1644,14.1644,13.7478,14.0411,194280,0.8335,78.0675,34.0232
1859,20180226,14.1644,14.1644,13.8728,13.8744,43550,0.8263,93.0435,32.8041
1860,20180227,13.6645,14.7476,13.6645,14.7494,276610,0.8807,93.6931,30.6305
1861,20180228,14.8327,15.7494,14.7494,15.7494,617440,0.9424,93.6931,29.6435
1862,20180301,16.2077,16.8327,16.2077,16.8327,902140,1.0086,93.6931,29.7915
1863,20180302,17.3306,17.8305,16.8306,17.5826,785990,1.0546,95.5828,30.6649
1864,20180305,17.3306,17.5805,16.6223,16.6243,819620,0.9986,95.0944,31.143
1865,20180306,16.666,17.0827,15.8327,17.0827,362680,1.0274,91.4376,30.4281
1866,20180307,17.0806,17.0806,16.2891,16.416,435310,0.9889,84.785,29.7643
1867,20180308,16.1641,16.539,15.9558,16.416,174810,0.9903,78.1324,28.6749
1868,20180309,16.416,16.8327,15.8327,15.8327,359860,0.9563,65.8432,27.9645
1869,20180312,15.4161,16.2494,15.1661,15.4161,276260,0.9323,56.2473,26.3925
1870,20180313,15.3327,16.2494,15.3327,15.8744,1032990,0.9614,47.7002,24.9328
1871,20180314,15.8725,16.1224,15.4559,15.4577,577950,0.9386,39.9086,23.5774
1872,20180315,15.4142,15.7058,15.3309,15.5827,438860,0.9486,32.7824,22.1328
1873,20180316,15.3309,15.6642,15.3309,15.3327,411440,0.9357,25.0716,20.7914
1874,20180319,15.2494,15.4994,14.7494,15.4161,722240,0.9423,20.2279,19.931
1875,20180320,15.4142,15.7058,15.3309,15.3327,490430,0.939,12.4319,18.7994
1876,20180321,15.3725,16.3724,15.3725,16.3743,1850610,1.0033,14.5834,18.1285
1877,20180322,16.5827,16.916,16.2077,16.3327,971210,1.0018,19.1974,18.1671
1878,20180323,15.9994,15.9994,15.2494,15.6244,444030,0.9596,21.258,16.9137
1879,20180326,15.6244,15.7077,15.2494,15.4994,620820,0.9534,21.6299,15.7498
1880,20180327,15.666,16.416,15.4994,15.8327,1365240,0.9752,29.0493,15.4595
1881,20180328,15.8327,16.2077,15.2911,15.2911,1191310,0.9435,21.342,14.8925
1882,20180329,15.5808,15.8308,15.2892,15.5827,868060,0.9631,15.8258,14.3632
1883,20180330,15.6642,15.8308,15.4142,15.5827,760260,0.9646,19.0843,13.8717
1884,20180402,15.6244,15.9577,15.5827,15.8327,1420090,0.9813,28.1409,13.5975
1885,20180403,15.8327,15.9577,15.4994,15.7494,359980,0.9769,29.0344,13.1926
1886,20180404,15.7891,15.8308,15.4975,15.666,915340,0.9731,35.5063,12.813
1887,20180405,15.8308,16.539,15.7891,16.4993,1810860,1.0257,50.1873,13.504
1888,20180406,16.664,16.664,16.2474,16.291,691050,1.0136,60.5034,14.3076
1889,20180409,16.666,16.666,15.9994,16.2494,663290,1.0115,65.1647,14.5295
1890,20180410,16.0827,16.0827,15.2911,15.2911,622150,0.953,56.8517,13.533
1891,20180411,15.2911,15.541,14.3744,14.4161,563730,0.9003,50.3798,13.8575
1892,20180412,14.2494,14.9994,14.2078,14.4161,259500,0.9019,30.3798,14.3537
1893,20180413,14.4161,14.7911,14.2078,14.5828,362230,0.9139,16.7277,14.8144
1894,20180416,14.9143,14.9976,14.581,14.7077,138090,0.9233,5.474,14.8481
1895,20180417,14.831,15.0393,14.6643,14.7077,453310,0.9247,8.965,14.7984
1896,20180418,14.9143,14.9559,14.581,14.7077,717410,0.926,12.4559,14.8793
1897,20180419,14.4161,14.7911,14.0828,14.1661,289680,0.8933,12.4559,15.6615
1898,20180420,14.1661,14.3744,13.9161,14.3328,199900,0.9049,12.7166,16.6035
1899,20180423,14.1661,14.4578,13.4995,13.4995,146830,0.8538,9.2257,17.98
1900,20180424,13.4978,13.7061,13.1229,13.4161,182140,0.8501,5.7347,19.6598
1901,20180426,13.4145,13.7061,13.0812,13.6661,335920,0.8677,5.3658,21.2629
1902,20180427,13.5812,14.0394,13.3729,14.0411,179750,0.8935,13.0151,21.9213
1903,20180502,13.9978,14.1227,13.7895,13.9994,150420,0.8931,23.6185,22.3319
