,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1725,20171129,43.4297,43.4297,42.8388,42.8392,6140,1.0497,54.3428,38.6665
1726,20171130,42.8388,43.1342,42.8388,43.0608,5750,1.0543,45.4894,38.6868
1727,20171201,43.2081,43.2081,42.7649,42.8392,16070,1.0481,31.0682,38.7056
1728,20171204,42.8388,42.9865,42.7649,42.9869,20890,1.0509,19.9743,38.7231
1729,20171205,43.0604,43.5774,42.9127,43.5778,12870,1.0644,13.7689,39.662
1730,20171206,43.5774,44.316,43.5774,44.2426,17160,1.0795,28.5331,41.296
1731,20171207,44.2421,44.5376,44.1683,44.2426,8430,1.0783,40.3605,42.9922
1732,20171208,44.1683,44.1683,43.5774,44.0948,1070,1.0735,54.6454,42.6688
1733,20171211,44.0944,44.4637,44.0944,44.3903,7270,1.0796,70.1374,42.7192
1734,20171212,44.316,44.6114,43.799,44.1687,8760,1.073,75.3223,41.9557
1735,20171213,44.0206,44.2421,44.0206,44.1687,11540,1.0718,74.5979,41.2468
1736,20171214,44.1683,44.3899,43.5774,44.1687,4940,1.0706,73.8735,39.4473
1737,20171215,44.4637,44.4637,43.7251,44.1687,410,1.0695,73.6283,37.9037
1738,20171218,44.1683,44.316,43.7251,43.7255,3380,1.0577,57.6655,36.4704
1739,20171219,44.316,45.5716,44.316,45.3505,28140,1.0955,63.6257,36.8726
1740,20171220,45.35,45.6455,45.0546,45.3505,13260,1.094,69.586,37.3221
1741,20171221,45.4239,45.6455,45.35,45.6459,15220,1.0994,75.5463,37.7395
1742,20171222,45.7193,46.4579,45.4239,46.0152,14280,1.1066,81.5065,38.8976
1743,20171225,46.0148,46.9011,46.0148,46.9015,24180,1.1258,100.0,40.3029
1744,20171226,46.9011,47.6397,46.9011,47.6401,23960,1.1414,100.0,42.0593
1745,20171227,48.009,48.3783,48.009,48.3049,23500,1.1549,100.0,44.0442
1746,20171228,48.3783,48.3783,47.8613,48.231,28650,1.1507,99.1677,45.5295
1747,20171229,48.3044,48.3044,47.4181,47.7879,19000,1.138,93.4777,45.8841
1748,20180102,47.2704,48.009,47.2704,47.7879,16670,1.1357,87.7877,45.8878
1749,20180103,47.7874,47.9351,47.5658,47.714,12600,1.1319,81.2499,45.8912
1750,20180104,47.8613,47.8613,45.7932,47.4186,17860,1.1228,71.3494,42.8033
1751,20180105,47.2704,47.4181,46.8272,47.3447,28540,1.119,61.4474,39.936
1752,20180108,48.515,48.515,47.0283,47.5814,12430,1.1225,49.3084,38.4935
1753,20180109,47.576,47.576,47.3413,47.3466,9320,1.1148,34.9985,37.154
1754,20180110,47.0283,47.0283,46.1675,46.564,18260,1.0946,21.5363,34.6196
1755,20180111,45.698,46.637,45.385,45.7814,12970,1.0746,11.4368,33.0653
