,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1881,20171204,55.3432,56.6808,55.176,56.3514,3790,0.9916,43.5105,25.4198
1882,20171205,54.5908,56.1792,54.5908,56.1841,170,0.9886,34.6461,26.1329
1883,20171206,56.6808,56.6808,56.012,56.0169,120,0.9857,29.3488,26.189
1884,20171207,55.0088,56.5136,54.9252,56.1841,1290,0.9887,25.4574,26.907
1885,20171208,55.0088,55.8448,55.0088,55.8497,40,0.9837,15.576,27.5737
1886,20171211,56.3464,57.5168,55.8448,56.6858,260,0.9985,22.7395,26.3885
1887,20171212,55.594,55.594,53.2532,55.5153,3220,0.9784,18.6106,26.7907
1888,20171213,55.5104,56.2628,53.086,55.9333,2410,0.9862,22.4324,26.583
1889,20171214,55.9284,55.9284,55.9284,55.9333,3710,0.9863,27.2172,26.3901
1890,20171215,56.3464,56.3464,53.504,53.6759,1810,0.947,27.2172,27.3299
1891,20171218,53.504,55.0088,52.8352,53.2579,5270,0.9401,13.6257,28.4514
1892,20171219,54.1728,54.1728,53.0024,53.5087,2200,0.9451,15.8938,29.4927
1893,20171220,54.1728,54.1728,53.3368,53.5087,1020,0.9455,12.5335,30.4597
1894,20171221,53.504,53.504,53.0024,53.0071,1640,0.9371,4.5362,31.4989
1895,20171222,53.8384,53.8384,52.9188,52.9235,1170,0.9361,4.5362,32.0905
1896,20171225,53.504,53.504,52.668,52.6726,1970,0.9323,4.5362,32.7615
1897,20171226,53.3368,53.3368,52.668,53.3415,20550,0.9447,8.7838,33.3846
1898,20171227,53.2532,53.8384,53.2532,53.5087,420,0.9485,14.5577,33.3407
1899,20171228,53.504,53.504,52.7516,53.5087,960,0.9497,22.5998,33.5987
1900,20171229,52.7516,53.4204,52.668,53.4251,1460,0.9488,32.6734,33.888
1901,20180102,54.1728,54.2564,52.668,53.5087,2340,0.9507,43.9607,33.1118
1902,20180103,53.4204,53.922,53.4204,53.9267,430,0.9586,54.6303,32.391
1903,20180104,53.086,54.1728,53.086,54.1776,2450,0.964,66.5882,31.98
1904,20180105,54.34,56.43,53.504,53.5087,340,0.9529,71.8415,30.0959
1905,20180108,54.6744,54.6744,53.1696,54.2612,140,0.9671,81.7678,28.0519
1906,20180109,54.5908,54.5908,54.4236,54.4284,2520,0.9708,90.4805,26.1539
1907,20180110,53.504,54.34,53.504,53.5087,2690,0.9549,85.9806,24.9825
1908,20180111,53.086,53.086,51.832,52.6726,8890,0.9408,73.4058,25.0431
1909,20180112,53.0024,53.086,52.25,53.0907,960,0.9488,71.4833,25.0994
1910,20180115,54.5908,54.5908,51.9156,53.3415,2090,0.9537,61.6759,23.7424
1911,20180116,53.7548,53.7548,51.832,53.5087,14970,0.9571,54.0177,22.5447
1912,20180117,53.504,53.504,52.1664,53.3415,2830,0.9547,51.656,21.4325
1913,20180118,52.668,52.668,52.25,52.6726,510,0.9435,47.0788,20.3998
1914,20180119,51.832,52.25,50.996,52.0038,5510,0.9322,35.706,20.4262
1915,20180122,51.9992,51.9992,50.996,51.753,4460,0.9286,25.5134,20.4507
