,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1981,20171205,14.6097,14.8532,14.1227,14.1245,6693410,1.0875,84.1636,22.8281
1982,20171206,13.9836,14.1923,13.7053,13.9853,4668740,1.0742,76.0372,23.0883
1983,20171207,13.9836,14.1575,13.6357,13.9157,3165640,1.0663,71.666,23.1232
1984,20171208,13.914,14.1923,13.7401,13.881,3045840,1.0614,62.0047,23.2221
1985,20171211,13.7401,14.0879,13.6357,13.6374,3856870,1.0407,46.6932,22.9773
1986,20171212,13.6705,13.8096,12.6965,13.3591,6927220,1.0175,34.1011,22.2176
1987,20171213,13.3574,13.3574,12.8705,13.0808,4148650,0.9947,23.4594,21.5122
1988,20171214,13.0096,13.5662,13.0096,13.5678,2422900,1.0304,19.9081,20.3381
1989,20171215,13.5662,13.7401,13.4618,13.707,2022640,1.0397,18.4561,18.9346
1990,20171218,13.7749,13.9836,13.7053,13.707,2941410,1.0384,21.4408,18.1731
1991,20171219,13.7053,14.0531,13.6357,13.8462,4862660,1.048,30.8042,17.2884
1992,20171220,14.0531,14.2966,13.9488,14.2636,4666220,1.0781,44.7821,17.0029
1993,20171221,14.401,14.6793,14.1923,14.1941,6302180,1.0715,51.5663,17.4736
1994,20171222,14.1923,14.1923,13.8444,13.9505,3035880,1.052,56.9272,16.9909
1995,20171225,14.0184,14.0531,13.8096,13.8114,1933010,1.0407,59.3436,16.4549
1996,20171226,13.7749,14.2966,13.7053,14.2984,2536330,1.0764,68.2889,16.4562
1997,20171227,14.3314,14.5401,14.2966,14.4376,4466360,1.0855,74.311,16.9153
1998,20171228,14.4706,14.4706,14.3314,14.3332,2947520,1.0758,79.0373,17.3416
1999,20171229,14.3314,15.2358,14.3314,14.9942,11402970,1.1231,86.0032,18.9413
2000,20180102,15.3054,15.4098,15.1663,15.4117,5968230,1.1515,95.9135,20.6454
2001,20180103,15.4098,15.5489,15.1315,15.3769,4493570,1.1462,96.8696,22.399
2002,20180104,15.4445,15.8967,15.4098,15.5508,5395680,1.1563,96.8696,24.4243
2003,20180105,15.3054,15.5489,15.0619,15.1334,8393430,1.1234,90.4178,25.2446
2004,20180108,15.1663,16.175,14.9923,16.177,5311910,1.1977,90.4178,26.74
2005,20180109,16.3142,16.6968,15.7924,16.4206,5174950,1.2125,90.4178,28.612
2006,20180110,16.4185,16.8707,16.2794,16.6989,6545720,1.2295,91.1531,30.4954
2007,20180111,16.5577,17.0447,16.2794,17.0468,5958890,1.2508,91.1531,32.3872
2008,20180112,17.0447,17.2186,16.6272,16.8033,3841190,1.2291,96.4098,34.2842
2009,20180115,16.8012,17.9491,16.7664,17.9513,5228390,1.3081,96.4098,36.5478
2010,20180116,17.7056,18.5404,17.7056,18.0905,5401340,1.3136,96.4098,38.9654
2011,20180117,18.2969,18.3317,17.1142,17.3947,5471640,1.2597,86.0804,39.7167
2012,20180118,17.149,18.0882,16.8707,18.0905,7917320,1.3056,78.0797,39.8633
2013,20180119,18.0882,19.3057,17.9491,19.1341,7336480,1.3755,79.2545,40.9039
2014,20180122,19.1318,19.3752,18.7839,19.2733,4942720,1.3798,77.4916,41.9131
2015,20180125,19.41,20.4188,18.923,20.1778,7180320,1.4379,77.4916,43.4149
2016,20180126,20.1753,20.384,19.6187,19.9691,3570290,1.4166,84.7923,44.8095
2017,20180129,19.9666,20.2101,19.6883,19.8299,3175750,1.4005,85.2229,46.1044
2018,20180130,19.6187,21.1841,19.3752,21.1867,6332110,1.4884,87.6383,47.7571
2019,20180131,21.5319,22.332,21.2189,21.2215,2840980,1.4828,89.4013,49.6818
2020,20180201,21.2189,21.6363,20.1753,20.5257,3042040,1.4265,75.5652,49.6211
2021,20180202,20.5232,20.6971,20.0362,20.6997,2018170,1.4311,65.9832,49.3434
2022,20180205,20.2449,20.2449,19.2709,19.2733,4335850,1.3271,53.5533,47.9427
2023,20180206,18.5752,19.2709,17.9491,18.5775,6611920,1.2745,33.5533,45.0707
