,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1677,20171201,15.85,16.0,15.5,15.55,100620,0.8868,26.6298,18.5114
1678,20171204,15.5,15.55,14.95,15.0,178920,0.8583,25.4497,17.5994
1679,20171205,15.0,15.1,14.3,15.0,118040,0.8611,24.3724,17.6055
1680,20171206,15.0,15.1,14.75,15.0,86090,0.8639,20.7648,17.6112
1681,20171207,15.05,15.1,14.9,15.0,131450,0.8668,13.9157,17.6165
1682,20171208,14.9,15.1,14.8,14.9,82860,0.864,8.5591,17.7612
1683,20171211,15.0,15.0,14.75,14.9,97070,0.8671,8.1059,17.968
1684,20171212,15.0,15.0,14.5,14.9,62770,0.8702,7.5497,18.5211
1685,20171213,15.0,15.0,14.5,14.7,77950,0.8616,5.4644,19.0347
1686,20171214,14.5,15.0,14.5,14.7,89910,0.8648,3.3792,19.5116
1687,20171215,15.1,15.1,14.5,14.8,63660,0.8737,5.639,19.6775
1688,20171218,14.8,15.8,14.8,15.8,248840,0.9355,24.5126,18.3541
1689,20171219,16.9,16.9,16.1,16.9,107860,1.0025,43.3862,18.8339
1690,20171220,17.5,17.55,16.5,16.8,80640,0.9985,62.2744,19.9937
1691,20171221,16.2,16.6,15.65,15.85,57590,0.9443,72.1231,19.5443
1692,20171222,15.9,15.9,15.3,15.4,75390,0.9198,75.1634,18.5946
1693,20171225,15.4,15.7,14.55,15.55,106420,0.9312,62.7373,17.8173
1694,20171226,15.1,15.65,15.1,15.4,77340,0.9246,49.1408,17.0955
1695,20171227,15.5,15.5,15.1,15.3,62310,0.921,35.8606,16.4253
1696,20171228,15.1,15.4,14.5,14.6,106960,0.8811,26.5958,16.568
1697,20171229,14.6,15.0,13.7,13.7,136750,0.8293,20.1693,17.5328
1698,20180102,13.7,14.5,13.7,14.0,72250,0.8498,14.8344,18.4287
1699,20180103,14.0,14.3,14.0,14.0,78460,0.8523,10.67,19.2606
1700,20180104,14.0,14.5,14.0,14.35,73530,0.876,9.9589,19.6364
1701,20180105,14.6,14.9,14.3,14.5,98250,0.8875,15.3759,19.2363
1702,20180108,14.5,14.7,14.3,14.4,69160,0.884,20.7891,18.8648
1703,20180109,14.05,14.6,14.05,14.4,78800,0.8868,24.2218,18.8731
1704,20180110,14.4,14.4,14.2,14.25,74580,0.8804,29.6063,18.8808
1705,20180111,14.4,14.4,14.0,14.3,65960,0.8862,34.7324,19.1812
1706,20180112,14.4,14.6,14.3,14.4,64590,0.8951,40.7178,19.0052
1707,20180115,14.5,14.5,14.15,14.3,60880,0.8916,46.8718,19.0804
1708,20180116,14.5,14.5,13.9,14.2,89470,0.8882,51.8052,19.5338
1709,20180117,14.2,14.4,13.8,14.3,128900,0.8971,62.3857,20.1046
1710,20180118,14.0,14.3,13.8,14.2,118250,0.8934,67.7345,20.6346
1711,20180119,14.2,14.4,14.0,14.0,101130,0.8836,59.5716,20.8391
1712,20180122,13.6,14.2,13.6,13.9,132320,0.8802,48.0044,21.6834
1713,20180125,13.95,14.85,13.95,14.6,156310,0.9273,57.3992,20.8255
1714,20180126,14.6,15.3,14.2,14.75,203610,0.9395,59.1952,19.5432
1715,20180129,14.9,14.9,14.15,14.15,112750,0.9042,52.4346,18.2533
1716,20180130,14.5,14.55,14.05,14.2,142760,0.9104,58.2945,17.0483
1717,20180131,14.1,14.2,13.9,13.9,114990,0.8943,62.9015,16.237
1718,20180201,14.2,14.2,13.7,13.9,67620,0.8973,47.5085,15.8811
1719,20180202,14.0,14.3,13.9,14.2,70440,0.9194,39.1648,15.3059
1720,20180205,14.2,14.3,13.9,13.9,85060,0.9029,36.7747,14.7718
1721,20180206,13.5,13.6,12.95,13.5,31610,0.8799,27.0913,15.9436
1722,20180207,13.9,14.0,13.4,13.5,114720,0.8827,22.4843,16.0663
