,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1339,20171205,19.1764,19.1764,18.51,18.5102,1316540,1.0945,87.2129,15.822
1340,20171206,18.3619,18.6581,18.1398,18.5102,955410,1.0949,78.5726,15.0417
1341,20171207,18.8062,18.8062,18.2879,18.4732,523330,1.0924,67.9247,14.5746
1342,20171208,18.51,18.6951,18.2138,18.5102,560630,1.0942,57.6717,13.9858
1343,20171211,18.2509,18.436,17.9177,17.9179,605700,1.0593,40.2164,13.1368
1344,20171212,17.8807,18.436,17.6215,18.2881,1009150,1.0807,35.8986,12.8988
1345,20171213,18.436,18.584,18.1398,18.14,379690,1.0717,28.4666,12.3591
1346,20171214,18.1398,18.584,17.9917,18.5842,399280,1.0977,26.7036,12.1416
1347,20171215,18.584,18.8062,18.51,18.5472,493710,1.0955,23.9826,11.444
1348,20171218,18.6581,19.1393,18.6581,18.9914,1216650,1.1213,34.3644,11.1365
1349,20171219,19.2134,19.3244,18.7321,18.7693,1172590,1.1079,36.981,11.2005
1350,20171220,18.8062,19.1393,18.7321,18.7323,605370,1.1052,42.1257,11.2599
1351,20171221,18.7321,18.9542,18.3619,18.3621,802920,1.0827,36.6679,10.4677
1352,20171222,18.2509,18.3619,18.1028,18.103,705840,1.0673,29.642,10.273
1353,20171225,17.9177,18.2138,17.9177,17.9549,444610,1.0584,17.9394,10.4556
1354,20171226,18.1028,18.2879,17.9177,18.177,319820,1.0711,13.9725,10.438
1355,20171227,18.2879,18.3249,18.0658,18.0659,452420,1.0635,8.5212,10.3246
1356,20171228,17.9917,18.1398,17.8066,18.0289,475370,1.0605,7.84,10.7735
1357,20171229,18.0658,18.2879,17.9177,17.9919,505860,1.0576,8.5438,10.7758
1358,20180102,17.9917,18.547,17.8807,18.5472,862510,1.0891,20.3243,10.0993
1359,20180103,18.584,18.6211,18.1398,18.214,1097300,1.0685,21.0068,9.4708
1360,20180104,18.1768,18.584,18.1768,18.2881,682050,1.0721,25.1762,8.8872
1361,20180105,18.2879,18.436,18.0658,18.0659,846580,1.0588,25.5928,8.469
1362,20180108,18.0658,18.0658,16.8811,17.6957,1521010,1.0367,24.8889,10.3639
1363,20180109,17.6956,17.6956,17.3254,17.3996,1701900,1.0192,13.1084,12.1234
1364,20180110,17.3254,17.6585,17.3254,17.3996,1171300,1.0185,8.1959,13.7572
1365,20180111,17.3994,17.5105,17.2513,17.3255,1765490,1.013,1.8665,15.3909
1366,20180112,18.5004,18.5004,18.2435,18.5016,1736790,1.0796,20.0,14.3184
1367,20180115,18.7145,18.7145,18.2435,18.5016,639290,1.0775,40.0,13.6861
1368,20180116,18.2435,18.4576,17.8152,17.9877,969990,1.0461,51.9382,13.1574
1369,20180117,17.9865,18.0722,17.4298,17.4309,770210,1.0125,56.7658,13.3188
1370,20180118,17.387,17.8152,17.3441,17.8164,598660,1.0338,67.2327,13.6065
1371,20180119,18.2006,19.0143,17.8152,19.0155,827270,1.1014,67.2327,13.5392
1372,20180122,18.9287,18.9287,18.3291,18.6729,596600,1.0796,63.5582,13.4767
1373,20180125,18.6717,18.843,18.1578,18.3731,1190610,1.0607,64.9013,13.0916
1374,20180126,18.4576,19.2713,18.115,18.8442,1152600,1.0858,77.3365,13.3817
1375,20180129,18.843,20.0421,18.6717,19.9578,1982720,1.1471,86.8695,14.6009
1376,20180130,19.9565,20.5132,19.3569,20.2147,1359700,1.1586,86.8695,16.2077
1377,20180131,20.0421,20.4704,19.6139,20.3004,988090,1.1602,90.5441,17.6998
1378,20180201,19.7852,20.1278,19.5282,19.7008,1654320,1.1229,92.3307,18.8918
1379,20180202,19.4426,19.9565,19.3569,19.8721,820780,1.1296,90.2858,19.607
1380,20180205,19.5282,19.6139,18.5004,18.5016,439020,1.0498,74.7737,18.6125
1381,20180206,17.9865,17.9865,17.2157,17.9877,1537100,1.0194,56.1243,18.5785
1382,20180207,18.5861,18.843,18.1578,18.159,301430,1.0279,38.7428,17.3716
1383,20180208,17.9865,18.4148,17.5583,17.6022,181830,0.9956,23.6748,16.9181
1384,20180209,16.9587,17.5583,16.6161,17.5166,426800,0.9899,8.4569,17.3775
1385,20180212,17.5583,17.9865,17.5583,17.7307,254650,1.0009,5.6735,17.2446
1386,20180213,17.9865,18.2435,17.9865,18.0305,228720,1.0172,8.3695,16.7959
1387,20180221,18.0293,18.1578,17.7296,17.7307,460400,0.9997,7.8428,16.6382
