,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1534,20171205,5.42,5.4815,5.2663,5.2669,18074430,0.9493,84.8299,25.83
1535,20171206,5.3047,5.4124,5.1433,5.2285,32767400,0.943,73.3208,24.6212
1536,20171207,5.2285,5.29,5.2208,5.2439,7566360,0.9469,61.4121,23.4987
1537,20171208,5.2509,5.3124,5.2355,5.29,5788880,0.9558,47.1184,22.5858
1538,20171211,5.2278,5.3278,5.1817,5.3054,22234690,0.9591,36.1485,21.3513
1539,20171212,5.297,5.3432,5.1125,5.3284,24676250,0.9635,31.415,19.9247
1540,20171213,5.3124,5.3739,5.2663,5.3515,7354910,0.9679,29.4214,18.616
1541,20171214,5.3201,5.5507,5.297,5.536,19492200,1.0018,37.1309,18.4855
1542,20171215,5.5507,5.6968,5.4892,5.6129,29679500,1.0159,50.5328,19.082
1543,20171218,5.6122,5.7968,5.5354,5.536,65831910,1.0022,60.2953,20.063
1544,20171219,5.5361,5.5822,5.3746,5.3823,22661630,0.9746,59.2431,19.7977
1545,20171220,5.3816,5.4277,5.3047,5.4053,8183090,0.979,58.1056,19.0954
1546,20171221,5.4047,5.42,5.3432,5.3438,5592630,0.9681,44.0642,18.4433
1547,20171222,5.3823,5.4746,5.3439,5.3823,7419980,0.9753,29.0711,18.1422
1548,20171225,5.4054,5.4746,5.3823,5.3823,5664480,0.9756,19.4894,17.8627
1549,20171226,5.3816,5.4124,5.3432,5.3438,5390800,0.9691,15.9471,17.2944
1550,20171227,5.3662,5.4047,5.3355,5.3515,14206600,0.971,11.1933,16.7042
1551,20171228,5.3816,5.397,5.3432,5.3592,6342680,0.9728,10.6816,16.1562
1552,20171229,5.3585,5.4047,5.3432,5.3669,14617380,0.9744,8.4929,15.7068
1553,20180102,5.3662,5.397,5.3278,5.3284,6081800,0.9677,4.3778,15.1378
1554,20180103,5.3432,5.3816,5.2202,5.2285,15867110,0.9501,3.7802,14.4804
1555,20180104,5.2285,5.2747,5.2208,5.2516,11573160,0.9547,4.7648,13.8699
1556,20180105,5.2586,5.2663,5.2048,5.2285,7928010,0.951,3.8782,13.447
1557,20180108,5.2278,5.2509,5.2125,5.2208,7192860,0.95,1.9519,13.0543
1558,20180109,5.2278,5.3355,5.2125,5.3054,14057250,0.9657,14.499,12.4493
1559,20180110,5.4508,5.4892,5.3893,5.4053,12770280,0.984,34.499,13.1491
1560,20180111,5.4585,5.5584,5.4047,5.4899,16797010,0.9994,52.9084,14.2564
1561,20180112,5.543,5.543,5.4815,5.4976,12216580,1.0013,72.5471,15.2846
1562,20180115,5.5046,5.52,5.4124,5.413,8480700,0.9872,85.3611,15.4392
1563,20180116,5.3977,5.4592,5.3746,5.4592,10728300,0.9977,88.6512,15.1734
1564,20180117,5.513,5.513,5.3823,5.3823,11881620,0.9867,78.4138,15.3654
1565,20180118,5.3592,5.4207,5.3439,5.3823,7272000,0.9888,68.1763,15.1162
