,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2708,20171205,19.3208,19.3601,18.2213,18.5372,417560,1.1963,57.0943,42.0588
2709,20171206,18.5354,18.6925,18.0642,18.3015,305050,1.1771,57.9151,42.138
2710,20171207,18.2998,19.2423,18.2998,18.8513,353710,1.2079,54.1936,42.7746
2711,20171208,19.1638,19.1638,18.614,18.8513,310930,1.2034,47.6925,43.3657
2712,20171211,18.5354,18.6925,17.8286,18.1444,173450,1.1547,27.6925,41.8986
2713,20171212,18.0642,18.2606,17.2788,17.9088,368170,1.1364,20.7128,39.453
2714,20171213,18.1427,18.3784,17.593,17.9873,142140,1.1381,18.0368,37.3648
2715,20171214,17.9857,18.2213,17.6715,18.1444,304340,1.1446,11.7141,35.4257
2716,20171215,18.1427,18.4176,17.8286,17.8302,310270,1.1216,3.0763,33.951
2717,20171218,17.9857,17.9857,17.6715,17.8302,172720,1.1185,3.0763,32.2377
2718,20171219,17.8286,17.9857,17.7108,17.8302,149240,1.1154,3.0763,30.6467
2719,20171220,17.75,18.0249,17.6715,17.791,178230,1.1101,2.3151,29.0749
2720,20171221,17.8286,18.2213,17.75,17.8695,205830,1.1127,0.9807,28.0121
2721,20171222,17.9071,18.1427,17.9071,17.9873,209660,1.1175,5.2666,27.0252
2722,20171225,17.9071,18.0642,17.8679,17.9088,100300,1.1101,7.6025,25.9956
2723,20171226,17.9071,18.0249,17.7893,17.791,109820,1.1005,7.6025,24.8055
2724,20171227,17.9857,17.9857,17.5144,17.791,141770,1.0981,7.6025,23.1382
2725,20171228,17.9071,17.9464,17.6715,17.791,108260,1.0959,6.6218,21.59
2726,20171229,17.9464,17.9464,17.6715,17.9088,179460,1.1008,12.0502,20.1523
2727,20180102,17.9071,18.4569,17.9071,18.4193,310190,1.1294,29.7143,19.959
2728,20180103,18.6533,18.6533,18.3784,18.3801,185400,1.1243,48.109,20.2022
2729,20180104,18.5354,18.7711,18.3784,18.4586,337880,1.1263,68.109,20.6703
2730,20180105,18.7711,18.8496,18.4569,18.6943,673920,1.1378,88.109,21.266
2731,20180108,18.8103,19.5957,18.7318,19.2834,699150,1.1703,98.3946,23.0339
2732,20180109,19.635,19.7921,19.3208,19.5975,502280,1.1858,98.3946,24.9208
2733,20180110,19.635,19.7135,19.0852,19.3619,604180,1.1683,95.4885,25.8624
2734,20180111,20.6953,20.6953,20.3419,20.6972,1578250,1.2442,95.4885,27.8603
2735,20180112,21.1273,21.1273,20.1455,20.1474,598880,1.2071,88.8708,30.0699
2736,20180115,20.3419,20.656,20.1848,20.4223,341560,1.2191,83.5773,32.1217
2737,20180116,20.4204,20.7346,20.2633,20.6579,410250,1.2286,79.3683,34.0922
2738,20180117,20.8916,20.8916,20.4989,20.5008,356160,1.2147,77.8107,36.053
2739,20180118,20.4989,20.4989,19.9492,20.3437,413710,1.201,69.1815,36.183
2740,20180119,20.4204,20.656,20.1848,20.4223,159860,1.2013,64.3268,36.4952
2741,20180122,20.4989,20.7346,20.3419,20.3437,214610,1.1924,56.6084,36.8816
2742,20180125,20.0277,20.4204,19.7921,19.951,753530,1.1656,40.8174,35.7591
2743,20180126,20.2633,20.2633,19.8706,20.2259,206650,1.1777,29.9627,34.7167
2744,20180129,20.3419,20.4204,20.1062,20.1474,153810,1.1694,20.2502,34.0089
2745,20180130,20.1062,20.3419,20.0277,20.3437,222600,1.1772,15.6425,33.1354
2746,20180131,20.4204,20.7346,20.2633,20.5794,473500,1.187,15.1513,32.97
2747,20180201,20.4989,21.1273,20.4989,20.8936,474350,1.201,24.7974,33.3634
