,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2732,20171205,35.574,35.8765,34.6665,34.6696,3558740,1.1417,15.3438,49.275
2733,20171206,34.485,34.6665,33.88,34.367,3522030,1.1295,2.2713,47.308
2734,20171207,34.364,34.7875,33.759,33.9435,1655580,1.1133,2.2713,45.4815
2735,20171208,33.88,34.1825,33.3355,33.5805,1924190,1.0993,2.2713,43.1799
2736,20171211,32.9725,33.396,32.3675,32.3703,2736380,1.058,0.0,40.3325
2737,20171212,32.7305,33.0935,30.734,32.4914,3113980,1.0602,0.6593,39.1393
2738,20171213,32.8515,33.154,32.4885,33.0964,1625860,1.078,4.4689,37.958
2739,20171214,32.9725,33.8195,32.9725,33.8225,1276430,1.0997,11.5656,36.0763
2740,20171215,33.88,34.364,33.5775,34.1855,1611640,1.1095,20.2521,33.7455
2741,20171218,34.485,34.606,33.9405,34.0645,1793760,1.1037,28.3287,31.3391
2742,20171219,34.0615,34.3035,33.2145,33.3989,2483570,1.0804,33.4413,29.801
2743,20171220,33.396,34.485,33.396,34.0645,1960650,1.1002,38.8902,28.1701
2744,20171221,34.364,34.727,33.9405,34.125,1845520,1.1004,41.3562,26.3822
2745,20171222,34.122,34.727,34.001,34.5485,1738070,1.1123,50.7438,24.722
2746,20171225,34.6665,35.1505,34.6665,34.8511,2393910,1.1202,62.6672,23.2308
2747,20171226,35.09,35.09,34.5455,34.5485,1246050,1.1087,73.8021,21.6947
2748,20171227,34.7875,34.7875,34.243,34.3065,1703070,1.0991,79.0285,20.4003
2749,20171228,34.3035,34.848,34.1825,34.609,1916250,1.1067,86.489,19.2748
2750,20171229,34.606,34.848,34.485,34.5485,1559860,1.1028,84.5481,18.2297
2751,20180102,34.6665,36.179,34.606,36.1822,5022160,1.1524,84.5481,18.245
2752,20180103,36.6025,36.7235,35.9975,36.1822,2829930,1.1498,87.6413,18.7753
2753,20180104,36.3,36.905,36.2395,36.9082,2784800,1.1699,93.1563,19.4314
2754,20180105,36.905,36.9655,36.2395,36.3032,2851450,1.148,90.2559,20.0969
2755,20180108,36.058,36.8445,35.8765,36.8477,2529030,1.1622,90.9196,20.1076
2756,20180109,36.905,37.6915,36.4815,37.5738,4010010,1.1818,90.8519,20.9283
