,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1385,20171204,71.8074,72.5955,71.1068,71.2825,792790,1.2047,10.3765,54.5554
1386,20171205,71.1068,74.1718,71.1068,72.4209,1289420,1.2199,18.0067,54.9013
1387,20171206,72.6831,73.4712,71.6323,72.9464,699210,1.2244,27.1756,55.2225
1388,20171207,72.7707,75.2226,72.7707,74.4351,887140,1.245,40.2723,55.9502
1389,20171208,74.8724,75.7481,73.8215,75.0481,720080,1.2506,48.4787,56.7388
1390,20171211,73.9967,75.1351,72.6831,72.8588,829330,1.2097,45.1735,56.3227
1391,20171212,73.5588,76.1859,71.5447,76.1865,1353460,1.2597,50.4071,54.9237
1392,20171213,76.6238,77.4119,75.6605,75.8362,972050,1.2489,51.5645,54.0686
1393,20171214,75.8356,75.8356,74.8724,75.1356,940650,1.2327,43.7162,52.6243
1394,20171215,75.1351,76.2735,75.1351,76.1865,334350,1.2449,38.141,51.4566
1395,20171218,77.0616,81.0023,77.0616,81.0029,938560,1.3175,57.4086,51.7341
1396,20171219,80.2141,81.4401,79.1633,79.1639,775800,1.2822,53.9937,52.0841
1397,20171220,79.1633,83.1915,79.1633,80.6526,833650,1.3008,56.152,52.7528
1398,20171221,81.0023,83.0164,80.652,80.9153,665130,1.2995,64.0011,53.3737
1399,20171222,81.0898,82.1407,80.1266,81.5283,358360,1.3036,69.5925,53.5217
1400,20171225,81.5277,82.8412,81.4401,82.5791,313930,1.3144,66.5992,53.8203
1401,20171226,83.5418,85.3808,83.1039,85.3814,607330,1.3524,77.1503,54.5965
1402,20171227,87.57,87.57,85.8186,86.5198,669700,1.3636,84.6658,55.6525
1403,20171228,86.5192,86.8694,84.6802,86.4323,543780,1.3553,91.08,55.7949
1404,20171229,86.7819,86.7819,85.2056,85.2938,721960,1.3308,88.2917,55.9272
1405,20180103,83.1915,85.6435,83.1915,85.2938,755420,1.324,83.0582,54.6485
1406,20180104,85.8186,89.3214,85.8186,89.3221,977010,1.3787,82.8203,54.3316
1407,20180105,89.8468,90.635,87.57,87.921,829840,1.3495,72.1178,54.2874
1408,20180108,87.57,89.2338,86.6943,87.921,730170,1.3424,61.106,53.7187
1409,20180109,89.3214,90.5474,87.9203,89.3221,778170,1.356,61.7567,53.4668
1410,20180110,91.0728,91.9485,90.022,90.1978,904540,1.3614,63.1639,53.5048
1411,20180111,90.635,91.0728,88.5333,90.3729,697400,1.3562,56.8537,52.6556
1412,20180112,90.2847,90.7225,87.57,88.0085,1049410,1.3136,47.5562,51.3303
1413,20180115,88.0079,89.4965,86.344,89.4972,968320,1.3283,43.3396,49.4502
1414,20180116,90.022,90.9852,89.1463,90.6356,1138380,1.3376,38.2193,48.1406
1415,20180117,90.1971,91.2479,87.4824,87.4831,1016930,1.2844,25.0389,46.0885
1416,20180118,86.6943,87.6576,84.7678,87.6582,1015250,1.2806,11.9766,43.0266
1417,20180119,87.4824,88.4457,86.6943,86.695,724530,1.2604,11.9766,40.4645
1418,20180122,86.6943,92.7366,85.8186,92.7373,1812130,1.3406,17.8119,39.3622
1419,20180125,98.5163,99.2168,97.2027,99.2176,1156390,1.4248,27.1763,39.6156
1420,20180126,104.0332,105.084,98.0784,101.9323,2222720,1.4538,47.1763,40.6202
1421,20180129,104.1207,104.1207,100.7055,101.4944,929870,1.438,65.5719,41.553
