,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1830,20171128,35.6854,35.8749,35.6854,35.8795,6730,0.985,20.8263,39.3078
1831,20171129,35.6854,35.8117,35.6854,35.8164,4550,0.9833,29.41,40.27
1832,20171130,36.9251,36.9251,35.3538,36.3412,5930,0.9975,42.9663,38.8167
1833,20171201,36.3359,36.3359,35.8121,35.9483,8110,0.9865,49.8875,37.4672
1834,20171204,36.3359,36.3359,35.6812,36.3412,81860,0.9971,63.6537,36.3771
1835,20171205,36.0085,36.0085,35.6812,36.0138,6850,0.988,72.7224,35.3648
1836,20171206,35.3538,36.3359,35.3538,36.1447,5990,0.9915,83.015,33.7586
1837,20171207,36.0085,36.2049,35.6812,36.1447,4920,0.9914,88.3349,32.2671
1838,20171208,36.0085,36.0085,35.6812,36.0138,710,0.9877,92.9061,30.8822
1839,20171211,35.7466,36.0085,34.0444,35.0316,46470,0.9609,83.8093,31.6047
1840,20171212,35.0265,35.0265,34.3718,34.7042,32810,0.9521,75.561,32.2756
1841,20171213,34.6991,34.6991,34.6991,34.7042,710,0.9522,56.6849,32.8986
1842,20171214,34.6991,34.6991,34.0444,34.5078,5990,0.9474,37.8087,34.0623
1843,20171215,34.6336,34.6336,33.3897,33.3946,18700,0.9177,20.0824,35.615
1844,20171218,33.1278,33.3897,32.4077,33.3946,14620,0.9186,9.1792,37.605
1845,20171219,33.3242,33.3242,32.6041,32.7398,2770,0.9013,0.0,39.4528
1846,20171220,32.735,32.735,32.0803,32.085,10800,0.8838,0.0,41.4217
1847,20171221,32.0803,32.0803,30.8364,31.1028,13950,0.8577,0.0,43.7182
1848,20171222,31.0983,32.4077,31.0983,31.1028,38970,0.8587,0.0,45.1895
1849,20171225,31.2947,31.5565,30.7709,31.5612,2740,0.8724,5.0907,46.6941
1850,20171226,31.4256,31.622,31.2292,31.4302,8180,0.87,9.8263,47.9539
1851,20171227,31.4256,31.5565,30.8364,30.8409,7410,0.8549,13.261,49.3008
1852,20171228,31.3929,31.3929,29.4615,30.8082,22170,0.8552,18.3698,51.0437
1853,20171229,30.7709,30.7709,29.0687,30.7754,3100,0.8555,24.1032,52.7749
1854,20180103,30.7709,30.7709,30.1489,30.7427,2030,0.8558,24.5812,54.3824
1855,20180104,30.7382,30.7382,30.1162,30.7099,7090,0.8561,25.7918,55.8853
1856,20180105,30.2144,30.7054,30.2144,30.6772,1480,0.8563,32.8093,57.2808
1857,20180108,30.5418,30.6727,30.4436,30.5135,1860,0.8529,36.2606,58.5766
1858,20180109,30.509,32.0803,30.509,32.085,6240,0.8974,50.5272,56.8157
1859,20180110,32.0803,32.4077,31.753,32.085,6010,0.8981,64.9584,54.6454
1860,20180111,32.0803,32.0803,31.7857,32.085,4940,0.8989,79.0124,52.6301
1861,20180112,32.0148,32.0148,31.753,31.7576,18820,0.8906,86.3962,50.7926
1862,20180115,31.4256,33.3897,31.4256,32.7398,78120,0.9188,97.8361,47.2889
1863,20180116,32.735,32.735,32.0803,32.7398,13110,0.9195,97.8361,44.0354
1864,20180117,32.2112,32.6695,32.2112,32.6743,1510,0.9184,97.3986,41.0143
1865,20180118,30.9346,32.6695,30.7709,31.4302,34310,0.8842,90.213,39.6173
1866,20180119,31.4256,31.4256,30.64,30.7754,23460,0.8667,82.6073,38.4425
1867,20180122,30.7709,30.7709,30.4436,30.7754,24230,0.8677,72.8378,37.5386
1868,20180125,31.0983,31.622,29.7889,30.7754,98160,0.8687,63.0682,35.4667
1869,20180126,30.4436,32.735,30.4436,31.7576,15130,0.8972,60.4975,33.5791
1870,20180129,31.753,32.0148,30.8364,31.7576,24980,0.8981,64.6749,31.8263
1871,20180130,31.4256,31.753,31.4256,31.4302,10080,0.8896,64.7929,30.1987
1872,20180131,31.7857,33.5861,31.4256,33.3946,4270,0.9455,74.5624,30.3107
1873,20180201,33.6516,33.6516,32.6041,32.6743,4460,0.9257,79.4629,30.4611
1874,20180202,32.6695,32.6695,32.0803,32.4779,130,0.9208,76.3602,29.8839
1875,20180205,31.4911,32.4404,30.7709,31.4302,3870,0.8921,67.349,27.8665
1876,20180206,31.3601,31.8839,29.4288,31.3647,7000,0.8912,64.6447,26.9029
1877,20180207,30.2471,32.9969,30.2471,32.7398,43170,0.931,60.1487,25.0002
1878,20180208,31.8184,32.735,31.8184,32.4124,18680,0.9224,58.6621,23.2334
1879,20180209,31.8839,32.4077,31.8184,32.0195,3030,0.9125,56.2448,21.5928
1880,20180212,32.0148,32.0148,31.753,32.0195,840,0.9138,59.736,20.1333
1881,20180213,32.0148,34.1753,32.0148,33.722,7300,0.9632,72.0469,20.3608
1882,20180221,33.3897,33.7171,32.735,33.722,150,0.9641,76.4745,20.5721
1883,20180222,33.3897,33.3897,32.735,33.3946,50,0.9557,79.5354,20.7683
1884,20180223,32.9314,33.3242,32.735,33.1982,1490,0.9511,82.8365,20.9505
1885,20180226,33.1933,33.1933,32.4077,32.4124,2030,0.9298,78.1784,20.7057
1886,20180227,32.6695,32.6695,32.4077,32.4124,2360,0.9309,65.0618,20.4784
1887,20180228,32.4077,32.4077,32.0803,32.4124,1280,0.9322,51.9689,19.8334
1888,20180301,32.4077,32.4077,31.753,32.4124,2700,0.9334,42.1021,18.8148
1889,20180302,32.4077,32.4077,31.753,32.085,8400,0.9254,30.5627,17.8689
1890,20180305,32.0803,32.0803,31.5565,32.085,27020,0.9268,23.749,16.7236
1891,20180306,30.9018,32.0803,30.9018,32.085,1310,0.9282,16.9105,16.218
1892,20180307,32.0803,32.0803,31.4911,32.0195,350,0.9276,10.0719,15.7485
1893,20180308,32.0148,32.1458,31.4256,32.085,170,0.9308,4.406,15.3126
1894,20180309,32.0476,32.0476,31.9494,31.9541,1490,0.9285,1.1726,14.9078
1895,20180312,31.8839,31.8839,31.0983,31.8886,4220,0.9284,1.1726,15.5946
1896,20180313,31.8839,32.0148,31.2292,31.9868,1000,0.933,3.4791,15.9962
1897,20180314,32.0803,32.0803,31.4256,32.0195,2070,0.9357,7.0436,16.247
1898,20180315,31.4256,31.9821,31.4256,31.7576,5730,0.9298,5.871,16.4799
1899,20180316,31.622,31.6875,31.4256,31.6267,1230,0.9277,5.871,16.6962
1900,20180319,31.622,31.8184,31.4256,31.8231,7320,0.9351,14.3848,16.6067
1901,20180320,31.753,31.753,31.622,31.6267,460,0.9311,14.0151,16.5236
1902,20180321,31.622,31.622,31.4256,31.6267,2270,0.9328,13.3614,16.7839
1903,20180322,31.622,31.8184,31.4256,31.6267,8560,0.9345,16.2722,16.5384
1904,20180323,31.2947,31.3929,30.9346,31.2338,580,0.9247,16.2722,17.1309
1905,20180326,31.2292,31.2292,30.9346,30.9391,2080,0.9177,7.7584,17.681
1906,20180327,30.9346,30.9346,28.7741,30.9391,19880,0.9196,5.8215,20.3582
1907,20180328,30.1162,30.7709,30.1162,30.7754,1350,0.9165,2.9108,22.8442
1908,20180329,30.6072,30.7709,30.1162,30.7754,9630,0.9184,0.0,25.1526
1909,20180330,30.7709,30.7709,30.1162,30.448,8770,0.9105,0.0,27.2961
1910,20180402,30.0835,30.4436,29.9198,30.3171,5740,0.9087,0.0,29.4371
1911,20180403,29.9853,30.2471,29.7889,29.7932,26680,0.8951,0.0,31.5248
1912,20180404,29.8543,29.8543,29.4615,29.8587,62200,0.8993,1.5393,33.702
1913,20180405,29.8543,31.9166,29.8543,31.4302,61600,0.9485,21.5393,31.6259
1914,20180406,31.4256,31.4256,30.4436,31.1028,420,0.9405,38.9006,29.6981
1915,20180409,30.1162,31.0983,30.1162,30.9719,6840,0.9385,55.2461,28.3249
1916,20180410,30.9673,30.9673,30.4436,30.7754,4650,0.9346,70.0795,27.0498
1917,20180411,30.509,30.509,29.4615,29.9242,18850,0.9109,77.9127,26.9884
1918,20180412,29.9198,29.9198,29.4615,29.9242,3450,0.913,67.2852,26.9314
1919,20180413,29.9198,31.2292,29.9198,30.7754,43820,0.941,66.897,25.0614
1920,20180416,30.7709,31.0983,29.9853,30.448,25210,0.9331,65.368,23.325
1921,20180417,31.0328,31.0328,30.3126,30.448,1000,0.935,65.3511,21.7126
1922,20180418,30.4436,32.0803,30.4436,31.4302,22180,0.9669,75.9786,21.4618
1923,20180420,30.7709,31.3601,30.4436,31.3647,5370,0.9666,86.1536,21.2289
1924,20180423,31.4256,31.4256,30.4436,30.448,32260,0.9404,83.1477,21.0862
1925,20180424,31.3601,31.3601,30.4436,30.579,4930,0.9464,82.8604,20.9537
1926,20180426,30.5745,31.0328,29.9198,30.6445,14260,0.9503,79.7979,19.9402
1927,20180427,30.64,32.735,30.018,32.6743,29250,1.014,79.7979,20.7831
1928,20180502,32.0148,32.4077,31.4256,32.0195,170,0.9948,75.7663,21.5658
1929,20180503,31.753,31.753,30.7054,31.2993,2990,0.9738,73.02,21.1993
1930,20180504,31.2292,31.2947,30.64,31.2338,3210,0.9732,69.3385,20.7656
1931,20180507,31.2292,31.2292,30.7054,31.2338,1240,0.9745,68.4322,20.3629
1932,20180508,31.4256,31.4256,31.0983,31.1028,14860,0.972,54.2663,20.2172
1933,20180509,31.0983,31.2947,31.0983,31.1028,70650,0.9735,44.5843,20.0819
1934,20180510,31.0983,31.2292,30.8364,30.8409,12230,0.967,36.6418,19.4912
1935,20180511,30.8364,30.8364,30.7054,30.8409,7400,0.9686,28.3286,18.7128
1936,20180514,30.8364,31.0983,30.8364,31.1028,9090,0.9783,23.1278,18.371
1937,20180515,31.0983,31.2947,31.0983,31.2993,14150,0.986,25.2157,18.3304
1938,20180516,31.2951,32.1151,31.2268,32.1179,14230,1.013,35.1931,19.2814
1939,20180517,31.7735,31.7735,31.4318,31.7763,1420,1.0033,42.6758,20.1644
1940,20180518,31.2951,31.7735,31.2951,31.7763,1480,1.0042,50.7738,20.688
1941,20180521,31.7051,31.7051,31.0902,31.4346,5760,0.9945,52.4256,20.7334
1942,20180522,31.7735,31.7735,29.3819,30.7512,23750,0.974,44.5036,20.3549
1943,20180523,31.4318,31.4318,31.0902,31.0929,1240,0.9855,33.6559,20.0034
1944,20180524,31.3635,31.3635,31.0902,31.2979,600,0.9927,30.7233,19.677
1945,20180525,31.0902,31.261,29.3819,30.6829,19400,0.9738,20.0908,21.0321
1946,20180528,31.0902,31.0902,29.7236,30.0679,3250,0.9549,12.7922,22.2904
1947,20180529,30.0652,31.3635,30.031,31.2637,1540,0.9928,24.2542,22.9789
1948,20180530,32.4226,32.4226,30.3385,31.3663,2740,0.996,31.5928,22.0328
1949,20180531,31.9101,32.1151,31.4318,32.1179,9550,1.0197,41.7919,21.1543
1950,20180601,32.1151,32.4568,32.1151,32.3913,1510,1.0281,61.7012,19.8743
1951,20180604,32.3884,32.5251,32.1151,32.3913,2320,1.0276,81.6105,18.5929
1952,20180605,32.2518,32.2518,32.1151,32.2546,3360,1.0228,88.6332,17.4031
1953,20180606,32.1834,32.2518,32.0468,32.2546,3000,1.0223,94.8155,16.3991
1954,20180607,32.1151,32.2518,31.9784,32.1863,4070,1.0196,94.4296,15.5723
1955,20180608,32.1834,32.2518,32.1493,32.1521,12250,1.0181,91.7175,14.8045
1956,20180611,31.4318,32.3884,30.7485,30.7512,104480,0.9737,74.5403,15.9019
1957,20180612,32.0809,32.0809,30.8168,32.0838,10270,1.0154,70.6706,16.9209
1958,20180613,31.5001,32.1834,31.5001,32.1863,2180,1.0186,67.5671,17.6617
1959,20180614,33.8972,33.8972,33.0704,33.0743,16810,1.0464,69.9255,17.0389
1960,20180615,33.1456,33.1456,32.9952,32.9992,2030,1.0437,71.9325,16.3573
1961,20180618,33.0704,33.0704,32.7698,32.9616,600,1.0421,87.9835,15.4089
1962,20180619,32.6946,32.6946,32.1685,32.1723,11690,1.0174,83.9203,14.8655
1963,20180620,32.2061,34.3481,32.0933,34.3522,5550,1.0857,88.5391,15.0803
1964,20180621,33.822,33.822,32.2061,33.826,920,1.0687,84.7343,15.2798
1965,20180625,32.7322,33.4462,32.7322,33.2998,7400,1.0515,78.1626,15.465
1966,20180626,32.6946,32.6946,32.3188,32.6985,2870,1.0319,68.2384,15.0542
1967,20180627,33.0704,33.2959,32.394,33.2998,5320,1.05,69.6642,15.3036
1968,20180628,32.6946,33.0704,32.4691,33.0367,1720,1.041,59.9575,15.5352
1969,20180629,32.8449,33.0704,32.6946,32.6985,1700,1.03,51.9085,15.7502
1970,20180702,32.3188,32.394,31.5672,32.3978,9590,1.0203,39.276,14.8787
1971,20180703,31.943,32.657,31.5672,32.6233,6620,1.027,32.4957,13.8933
1972,20180704,32.6194,32.6194,31.943,32.3226,1900,1.0179,20.5181,12.9782
1973,20180705,32.6194,32.6194,31.5672,32.3978,11140,1.0204,10.9628,12.4721
1974,20180706,32.394,32.4315,31.5672,32.3978,9880,1.0204,3.5545,12.0022
1975,20180709,31.6048,32.4691,31.5672,32.4354,370,1.0213,4.7124,11.5058
1976,20180710,32.0182,32.5819,32.0182,32.5857,890,1.0256,5.5347,10.857
1977,20180711,32.9201,32.9201,32.3188,32.3226,23890,1.0174,5.5347,10.4553
1978,20180712,32.6194,32.6946,32.3188,32.6233,220,1.0268,12.1908,10.0823
1979,20180713,32.0182,32.6946,32.0182,32.6609,13220,1.0278,20.6158,9.5261
1980,20180716,32.3564,32.6194,32.3564,32.6233,210,1.0264,27.4398,9.0096
1981,20180717,32.6194,32.6946,32.3188,32.6985,8360,1.0291,38.4428,8.3814
