,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
3787,20171204,18.942,19.0502,18.8879,18.8893,39370,1.0174,99.7487,24.311
3788,20171205,18.8879,18.9961,18.6714,18.8352,7190,1.0169,99.1418,24.8454
3789,20171206,18.8338,18.8338,17.9137,18.7811,33220,1.0161,96.6309,23.3043
3790,20171207,18.1843,18.7255,18.049,18.7269,4990,1.0155,92.3085,21.8733
3791,20171208,18.7255,18.7255,18.4008,18.4022,3060,1.0002,79.6898,20.5445
3792,20171211,18.5632,18.5632,18.1302,18.1316,8380,0.9875,59.6898,19.4928
3793,20171212,18.1302,18.6714,17.9678,18.3481,11210,1.0014,44.57,18.8784
3794,20171213,18.3467,18.4008,18.1302,18.2939,8130,1.0005,29.8083,18.3079
3795,20171214,17.8596,18.4008,17.8596,18.4022,8150,1.0086,18.9344,18.3779
3796,20171215,18.509,18.6714,18.022,18.6728,6030,1.0254,21.1674,17.6579
3797,20171218,18.6173,18.942,18.6173,18.9434,16990,1.0423,34.9802,16.5021
3798,20171219,19.0232,19.0502,18.6714,18.9434,20530,1.0435,44.7711,15.6922
3799,20171220,18.482,19.375,18.4008,19.2682,59060,1.0621,60.492,15.671
3800,20171221,19.4832,19.7538,19.375,19.4847,40580,1.0748,75.6883,16.3726
3801,20171222,19.4832,19.5914,18.6714,19.3764,14640,1.0695,82.9308,15.2966
3802,20171225,19.375,19.375,19.3208,19.3764,6070,1.0699,85.9748,14.2974
3803,20171226,18.6714,19.2126,18.6714,18.8081,7590,1.0393,74.3448,14.4202
3804,20171227,18.8338,19.2126,18.6985,18.7269,15570,1.0355,56.3269,14.5342
3805,20171228,19.2126,19.2126,18.4008,18.9164,3460,1.0465,40.1824,15.1401
3806,20171229,18.9149,18.942,18.4279,18.9434,12030,1.0486,27.3204,15.7027
3807,20180103,18.8879,19.375,18.8879,19.2141,41750,1.0638,19.1968,15.142
3808,20180104,19.2126,19.6456,19.0502,19.5929,44950,1.0848,31.2961,14.0896
3809,20180105,19.6997,19.7538,19.2667,19.2682,26090,1.0668,37.1706,13.3395
3810,20180108,18.9961,19.5373,18.942,19.5388,15230,1.0812,43.5618,12.8225
3811,20180109,19.4832,19.7538,19.375,19.7553,35050,1.0925,52.6823,11.9478
