,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2612,20171113,20.1898,20.1898,19.1455,19.4955,2620,0.9625,34.1228,22.7907
2613,20171114,19.2151,19.4936,19.2151,19.4955,4640,0.9627,25.8634,23.5247
2614,20171115,19.4936,19.4936,19.0063,19.4955,120,0.9628,12.2498,24.4255
2615,20171116,18.7974,19.4936,18.7974,19.4955,21660,0.9629,3.9845,25.4767
2616,20171117,19.1455,19.3544,19.1455,19.3562,1010,0.9562,0.0,26.4528
2617,20171121,19.3544,19.3544,19.3544,19.3562,60,0.9563,0.0,27.3592
2618,20171123,19.9113,19.9113,18.8322,19.391,4730,0.9583,1.2206,26.8539
2619,20171124,19.9113,19.9113,18.7974,19.8088,9010,0.9791,16.1401,26.4362
2620,20171127,19.1455,19.424,19.1455,19.4259,1500,0.9603,21.9772,26.0483
2621,20171128,20.4683,20.4683,20.4683,20.4703,180,1.0118,41.9772,24.7555
2622,20171130,19.7721,20.3987,19.1455,19.9829,630,0.9878,54.2638,24.317
2623,20171201,19.1803,19.4936,19.1803,19.4955,1900,0.9638,58.6905,23.9098
2624,20171204,19.2151,19.424,19.1455,19.2866,1930,0.9541,46.7984,23.575
2625,20171205,19.2847,19.2847,19.2847,19.2866,1720,0.9542,43.9888,23.2641
2626,20171206,19.2151,19.2847,19.0759,19.2866,800,0.9543,27.0162,23.2599
2627,20171207,19.2151,19.3544,19.2151,19.3562,1040,0.958,19.074,23.1027
2628,20171211,19.6328,19.6328,19.6328,19.6347,10,0.9718,22.9249,22.3541
2629,20171212,19.3892,19.3892,19.3892,19.391,10,0.9599,25.3867,22.0436
2630,20171214,19.3544,19.3544,19.3544,19.3562,4520,0.9585,27.2783,21.8103
2631,20171215,19.3196,19.3196,18.7974,19.3214,4520,0.957,27.9216,22.4019
2632,20171218,19.2499,19.424,19.0759,19.3562,1040,0.959,26.0211,22.6971
2633,20171219,18.867,19.3892,18.867,19.2866,640,0.9559,17.3755,23.2633
2634,20171220,18.7974,19.4588,18.7974,19.4259,7270,0.963,16.7527,23.7891
2635,20171221,19.4588,19.8069,19.4588,19.8088,3520,0.982,31.8336,23.3711
2636,20171222,19.1455,19.7025,19.0759,19.4955,540,0.9665,37.4131,23.5878
2637,20171225,18.2056,19.4936,18.2056,19.391,130,0.9615,40.8659,24.8489
2638,20171226,18.2753,19.7721,18.2753,19.774,1500,0.9806,58.7762,25.3645
