,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
3881,20171204,31.5966,32.4763,31.5966,32.149,1169550,1.0538,94.1065,24.0477
3882,20171205,32.2564,32.4763,31.2301,31.2326,910660,1.0235,83.0812,23.6358
3883,20171206,31.3767,31.7066,30.7902,31.3059,557770,1.0256,71.7862,22.529
3884,20171207,31.3767,31.4133,31.0834,31.1959,511980,1.0218,59.7849,21.5013
3885,20171208,31.2301,31.5966,31.1568,31.2326,530740,1.0228,50.8204,20.808
3886,20171211,31.1568,31.1568,30.277,30.2795,652430,0.9915,30.8204,19.8413
3887,20171212,30.3503,30.4237,28.5909,29.473,1183190,0.9647,23.0582,20.6682
3888,20171213,29.5439,29.8372,28.5176,29.0331,642170,0.9503,14.5658,21.495
3889,20171214,29.1041,29.6906,29.1041,29.6929,447790,0.9718,12.2417,22.2627
3890,20171215,29.8372,29.9105,29.6172,29.8029,397560,0.9752,10.2504,22.5957
3891,20171218,29.8372,30.4237,29.8372,30.2795,540030,0.9906,18.9167,22.0727
3892,20171219,30.277,30.497,29.5439,29.583,556720,0.9678,23.7062,21.9107
3893,20171220,29.8372,29.8372,29.324,29.5096,615590,0.9656,28.109,21.9974
3894,20171221,29.4706,29.6906,29.324,29.3263,463490,0.9596,26.7678,22.0779
3895,20171222,29.324,29.324,28.9575,29.0331,519330,0.9502,23.9904,22.5594
3896,20171225,28.9575,29.0308,28.2977,28.6665,1116700,0.9388,15.3241,23.645
3897,20171226,28.9575,29.6172,28.7742,29.5096,679480,0.9667,20.4457,23.5972
3898,20171227,29.3973,29.5073,29.1041,29.1064,434310,0.954,22.531,23.5529
3899,20171228,29.1407,29.3973,29.1041,29.253,365850,0.959,31.2579,23.5117
3900,20171229,29.2507,29.5073,29.1041,29.4363,580650,0.965,43.7886,23.258
3901,20180103,30.4237,31.6699,30.4237,31.0859,1762650,1.0185,63.7886,23.0994
3902,20180104,31.3034,31.4866,30.8269,31.0859,1082300,1.0179,73.8776,22.9522
3903,20180105,31.0101,31.4133,30.7902,31.2326,1046650,1.0222,87.3894,22.7577
3904,20180108,31.3767,32.513,31.2301,32.259,1810290,1.055,95.2536,23.5877
3905,20180109,32.623,32.8429,31.8899,32.6989,1402210,1.0686,100.0,24.6125
3906,20180110,32.6963,33.3194,32.3297,32.9921,1485000,1.0771,100.0,25.9088
3907,20180111,32.9895,33.9425,32.3664,33.7986,1775630,1.102,100.0,27.5159
3908,20180112,34.0892,34.0892,33.2827,33.3587,1827630,1.0862,97.3732,29.0982
3909,20180115,33.3561,33.576,32.8429,33.3221,861110,1.0838,94.5278,29.7865
3910,20180116,33.4294,34.1625,32.9162,33.3221,2004840,1.0825,91.1511,30.8412
3911,20180117,33.3561,33.576,31.8899,31.8924,1324840,1.0353,78.551,30.2534
3912,20180118,31.3767,32.1831,30.7902,32.1857,946820,1.0445,66.6968,28.4023
3913,20180119,32.2564,32.4763,31.6699,32.4789,706300,1.0536,58.1097,26.9638
3914,20180122,32.4763,32.9895,31.8899,32.4056,695700,1.0507,44.3542,26.0986
3915,20180125,32.4763,32.7696,31.8899,32.039,1292720,1.0386,27.7309,25.2952
3916,20180126,32.3664,32.403,31.1568,31.5258,694100,1.0219,20.331,23.6771
3917,20180129,31.8899,31.8899,30.6436,30.646,1158650,0.9936,12.1852,22.3412
3918,20180130,30.6436,32.2564,30.4237,32.259,811820,1.0455,11.1817,20.7949
3919,20180131,32.2564,33.1728,31.6699,32.1857,1871530,1.0428,15.2057,20.2593
3920,20180201,32.2564,32.403,31.1568,31.3059,732920,1.0139,18.5653,19.1866
3921,20180202,31.5233,31.5233,30.7902,30.866,897050,0.9993,20.3919,17.8315
3922,20180205,30.8635,31.7432,30.277,30.4261,1180690,0.985,20.3919,17.0901
3923,20180206,28.5909,29.324,28.2977,28.5932,2086620,0.9263,12.6093,17.9318
3924,20180207,29.6906,29.9105,28.9941,29.2897,699780,0.9492,9.4842,18.0802
3925,20180208,29.324,29.324,28.2244,28.4466,481440,0.9225,7.4758,18.7242
3926,20180209,27.8578,29.324,27.4913,28.5932,872640,0.9279,7.9108,19.756
3927,20180212,28.5909,30.0571,28.5909,29.2897,507750,0.9509,14.5686,19.931
3928,20180213,29.324,30.497,29.324,30.0595,637240,0.9761,26.9074,19.6526
3929,20180221,30.5336,30.7902,30.0571,30.756,407430,0.9987,38.9178,19.104
3930,20180222,30.6436,31.1934,30.0571,30.0595,846990,0.9762,50.1342,18.2006
3931,20180223,30.4237,31.3767,30.277,31.3792,1237420,1.0189,67.3347,17.1826
3932,20180226,32.9895,32.9895,31.8165,31.8924,3058040,1.0358,80.677,17.0278
3933,20180227,31.9632,32.1098,31.3767,31.5991,1138670,1.0263,86.752,16.4663
3934,20180228,31.2301,31.5966,30.497,30.4994,2057200,0.9909,83.3822,15.4052
3935,20180301,31.0101,31.8899,30.7902,31.1592,1955670,1.0126,86.8497,14.4382
3936,20180302,31.2301,32.2564,31.1568,32.259,2095170,1.0485,87.3875,13.849
3937,20180305,32.9895,32.9895,31.6699,31.6725,2292950,1.0296,84.2969,13.8825
3938,20180306,31.8899,32.1098,31.7066,31.8924,1217030,1.0368,83.7706,13.9136
3939,20180307,31.8899,32.4763,31.2301,31.3792,1633850,1.0202,85.6898,13.4418
3940,20180308,31.5233,31.6699,30.9368,31.1592,2768230,1.0133,81.2045,12.7044
3941,20180309,32.0601,32.0601,29.1701,29.8032,2248430,0.97,61.2045,13.0631
3942,20180312,29.3508,29.9829,27.9961,29.3516,2254840,0.9562,44.295,14.1389
3943,20180313,29.3508,29.3508,28.0864,28.4485,1105500,0.9279,26.4074,15.1379
3944,20180314,28.4477,28.9895,28.3122,28.9904,1429430,0.9467,15.1776,16.0655
3945,20180315,28.9895,29.0798,28.4477,28.4485,1150380,0.9301,4.8577,16.8171
3946,20180316,28.0864,29.3508,28.0413,28.0873,1567350,0.9194,4.8577,17.8031
3947,20180319,28.0864,28.4928,27.093,27.5454,1510780,0.9032,4.8577,19.3199
3948,20180320,27.3639,27.4091,26.9124,27.3648,1313720,0.8986,4.8577,20.834
