,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
793,20171204,15.55,15.55,15.25,15.4,783830,0.9437,64.2785,34.4867
794,20171205,15.4,15.7,15.3,15.7,1283020,0.9629,73.7133,34.374
795,20171206,15.7,16.5,15.7,15.95,1604590,0.9788,79.7403,32.9917
796,20171207,16.0,16.1,15.8,16.0,803210,0.9823,83.2643,31.7081
797,20171208,16.05,16.05,15.7,15.9,645120,0.9768,84.0593,30.108
798,20171211,15.9,15.9,15.3,15.3,777430,0.9406,81.6705,28.669
799,20171212,15.4,15.6,15.15,15.45,972360,0.9501,70.0723,27.7603
800,20171213,15.45,15.55,15.4,15.5,514600,0.9536,58.1451,26.9165
801,20171214,15.5,15.6,15.4,15.5,549450,0.9541,46.2179,25.9255
802,20171215,15.5,15.5,15.35,15.5,670660,0.9546,37.0196,25.1684
803,20171218,15.5,15.65,15.35,15.6,761510,0.9612,44.2651,23.821
804,20171219,15.65,15.65,15.3,15.5,461670,0.9557,44.5407,22.7526
805,20171220,15.55,15.55,15.3,15.5,458770,0.9562,45.1453,21.7606
806,20171221,15.5,15.5,15.35,15.5,225720,0.9566,45.7499,20.8394
807,20171222,15.45,15.5,15.2,15.3,404180,0.9449,38.271,20.5884
808,20171225,15.35,15.35,15.1,15.3,267860,0.9456,27.22,20.7244
809,20171226,15.3,15.45,15.1,15.1,395200,0.9341,18.5426,20.299
810,20171227,15.15,15.25,14.85,15.0,608540,0.9289,9.8652,20.7875
811,20171228,14.95,15.3,14.85,15.25,405580,0.945,14.5795,20.9658
812,20171229,15.3,16.2,15.15,16.2,1125210,1.0038,33.9855,21.0642
813,20180103,15.55,15.55,15.25,15.3,445110,0.9486,42.2969,21.1556
814,20180104,15.35,15.4,15.15,15.3,444940,0.9493,51.2021,20.8427
815,20180105,15.35,15.35,15.1,15.3,486920,0.9499,60.1074,20.3525
816,20180108,15.3,15.85,15.3,15.7,746030,0.9752,60.2817,21.1561
