,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2233,20171204,7.64,7.69,7.48,7.51,3448690,0.9053,75.4784,12.8244
2234,20171205,7.51,7.71,7.49,7.54,3914180,0.9107,57.7252,12.2713
2235,20171206,7.54,7.71,7.52,7.7,3087050,0.9316,55.4568,11.7577
2236,20171207,7.8,7.96,7.79,7.83,3624120,0.9488,58.5651,11.874
2237,20171208,7.83,7.83,7.7,7.73,1702740,0.9382,58.8141,11.4654
2238,20171211,7.66,7.69,7.52,7.52,1728470,0.9144,50.2699,11.1228
2239,20171212,7.52,7.62,7.2,7.31,3821560,0.8906,48.0232,12.0568
2240,20171213,7.31,7.42,7.3,7.32,3014180,0.8937,34.8573,12.9241
2241,20171214,7.33,7.41,7.31,7.38,1451220,0.9029,18.2577,13.7294
2242,20171215,7.38,7.41,7.36,7.36,2074320,0.9023,7.5559,14.4772
2243,20171218,7.8,7.8,7.65,7.72,5846790,0.9482,24.7515,13.8031
2244,20171219,7.74,7.74,7.5,7.5,3739470,0.9233,34.5776,13.1238
2245,20171220,7.5,7.61,7.5,7.51,2288590,0.9268,44.3285,12.493
2246,20171221,7.51,7.51,7.3,7.35,4754350,0.9092,45.47,12.733
2247,20171222,7.33,7.46,7.31,7.41,1937940,0.9186,49.9712,12.9559
2248,20171225,7.37,7.4,7.3,7.3,2227860,0.9071,35.0237,13.2047
2249,20171226,7.3,7.41,7.3,7.4,4743140,0.9215,32.9946,13.3739
2250,20171227,7.43,7.48,7.38,7.4,5461050,0.9234,31.3297,13.0928
2251,20171228,7.35,7.45,7.35,7.45,3403920,0.9315,37.9653,12.9865
2252,20171229,7.45,7.46,7.33,7.35,2334550,0.9208,37.3344,12.9943
2253,20180103,7.25,7.37,7.25,7.31,2259350,0.9175,38.3697,13.4223
2254,20180104,7.37,7.58,7.33,7.46,3159020,0.938,42.484,12.4739
2255,20180105,7.5,7.86,7.47,7.7,9814550,0.9697,53.9246,12.9311
2256,20180108,7.72,7.83,7.61,7.67,6126900,0.9674,61.1686,13.3556
