,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
687,20171204,15.7836,16.0091,15.6333,15.635,168940,0.9379,6.6796,25.1783
688,20171205,15.9339,16.0467,15.7836,16.0485,150920,0.963,18.6688,25.0989
689,20171206,16.1218,16.1218,15.746,15.7854,103690,0.9477,26.0294,24.7285
690,20171207,15.8212,15.9339,15.7084,15.8981,71790,0.9548,41.6999,24.486
691,20171208,15.746,15.7836,15.5957,15.7478,38580,0.9463,52.9002,24.565
692,20171211,15.6333,15.6333,15.483,15.4847,60000,0.9311,59.2425,24.9311
693,20171212,15.483,15.5581,14.8817,15.1089,91180,0.9093,47.2534,26.4783
694,20171213,14.9944,15.1072,14.8065,15.0337,22910,0.9056,36.6436,28.0346
695,20171214,15.032,15.1072,14.9944,15.0337,16420,0.9064,19.3689,29.4798
696,20171215,15.032,15.7836,14.9944,15.4095,62460,0.9296,21.1316,28.2111
697,20171218,15.4078,15.4078,15.032,15.184,35610,0.9167,24.8141,27.033
698,20171219,15.7084,15.746,15.032,15.3719,158080,0.9289,41.3786,25.2631
699,20171220,15.3702,15.4078,15.032,15.4095,120470,0.9322,59.2303,23.6196
700,20171221,15.2575,15.3326,15.032,15.2968,194020,0.9265,74.3492,22.0935
701,20171222,15.032,15.1823,14.9568,15.0337,49870,0.9118,68.8265,20.5995
702,20171225,15.032,15.4078,14.6562,14.6578,87150,0.8903,61.4307,20.1035
703,20171226,14.6562,14.9944,14.581,14.6954,14250,0.8938,49.1317,19.8458
704,20171227,14.6562,14.9568,14.6562,14.6954,63960,0.895,35.5453,19.6065
705,20171228,14.6938,15.032,14.6938,14.8458,24620,0.9051,31.6873,19.0785
706,20171229,14.9568,15.2199,14.9568,15.0337,68220,0.9175,41.7813,17.8669
707,20180103,15.1823,15.3702,14.9568,15.3719,113260,0.9388,59.1523,16.9643
708,20180104,15.4078,16.1594,15.4078,15.7854,301480,0.9645,74.8869,18.0837
709,20180105,15.7836,15.7836,15.032,15.0337,171640,0.9194,80.8573,17.8996
710,20180108,15.032,15.1072,14.8065,15.0337,511960,0.9203,79.8323,17.0932
711,20180109,15.032,15.032,14.8817,14.9585,207920,0.9166,69.8546,16.3444
712,20180110,14.9568,15.032,14.8817,15.0337,96670,0.9221,60.4157,15.6491
713,20180111,15.032,15.1072,14.6562,15.0337,169250,0.9229,50.9769,14.7275
714,20180112,15.032,15.1072,14.8817,15.0337,52530,0.9238,51.3021,13.8717
715,20180115,15.032,15.032,14.8817,15.0337,63690,0.9247,51.6273,13.077
716,20180116,15.032,15.032,14.8817,14.9585,45480,0.921,51.1967,12.3391
717,20180117,14.9568,14.9944,14.8065,14.9585,23310,0.9218,49.5879,11.917
718,20180118,14.8817,14.8817,14.6562,14.8834,33510,0.9182,44.0264,12.0288
719,20180119,14.8817,14.9568,14.1301,14.8834,121180,0.919,33.5302,13.5
720,20180122,14.8817,14.8817,14.2804,14.3572,26480,0.8877,22.9691,14.8661
721,20180125,14.6562,14.6938,13.5288,14.1317,291340,0.875,14.0169,17.4256
722,20180126,14.2804,14.2804,13.9046,14.0189,4280,0.8694,5.0646,19.8023
723,20180129,13.9046,14.1301,13.4536,13.5303,98400,0.8407,0.065,22.5632
724,20180130,13.5288,13.7543,13.2282,13.2672,43920,0.826,0.0,25.3586
725,20180131,13.5288,13.9046,13.4912,13.4927,568950,0.8417,5.5212,27.3412
726,20180201,13.5288,13.867,13.3409,13.3424,74120,0.834,9.8337,29.3633
727,20180202,13.6791,13.6791,13.153,13.3048,54530,0.8332,13.844,31.4559
728,20180205,13.3033,13.4912,12.4014,12.4028,282530,0.7787,13.844,34.067
729,20180206,12.2887,12.3262,11.5371,12.29,336330,0.7737,13.844,36.9916
730,20180207,12.2887,12.7772,12.0256,12.027,256730,0.7593,8.3229,38.3384
731,20180208,12.2511,12.4014,12.0256,12.3652,405370,0.7826,10.9401,39.589
732,20180209,12.0256,12.4014,11.9129,12.1773,103200,0.7729,12.7442,40.8473
733,20180212,12.2511,12.2511,11.8001,12.1773,71400,0.7749,22.1949,42.1138
734,20180213,12.1759,12.7772,12.1759,12.478,78910,0.7961,42.1949,41.7175
735,20180221,12.4766,12.7772,12.4766,12.7786,58720,0.8173,62.1949,41.3495
736,20180222,12.702,13.4536,12.6269,13.4552,172510,0.8623,75.2651,39.335
737,20180223,13.4536,13.9046,13.4536,13.6807,119150,0.8785,89.4507,36.5783
738,20180226,13.6791,14.0549,13.3033,13.9437,265320,0.8969,100.0,34.0185
