,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2475,20171204,18.6041,19.1138,18.6041,18.9375,126200,0.954,52.4268,20.0552
2476,20171205,19.4705,20.2606,19.2667,20.2629,458560,1.0221,52.4268,19.2077
2477,20171206,20.5409,21.3564,20.439,20.5942,215010,1.0399,54.2349,19.9196
2478,20171207,20.7448,20.8212,20.2351,20.3903,107400,1.03,63.6748,20.1766
2479,20171208,20.1332,20.388,19.9802,20.0335,76820,1.0118,76.366,19.924
2480,20171211,20.0312,20.0312,19.4705,19.5747,93130,0.988,78.7913,18.7975
2481,20171212,19.4196,19.6235,18.9608,19.1669,154660,0.9671,63.2682,17.9273
2482,20171213,19.1647,19.8783,19.1647,19.2689,43930,0.9722,48.8344,16.7178
2483,20171214,19.2667,19.5725,19.1647,19.3708,36000,0.9772,38.136,15.5947
2484,20171215,19.5215,19.5215,19.0118,19.065,101800,0.9618,28.7642,14.8021
2485,20171218,19.0628,19.5725,19.0118,19.5237,75050,0.9847,29.1579,13.9724
2486,20171219,19.5215,19.7254,19.2157,19.4728,92150,0.9825,32.8565,13.0339
2487,20171220,19.1647,19.3686,19.0628,19.065,80620,0.9626,31.4522,12.3334
2488,20171221,19.3686,19.3686,18.9608,19.1159,72560,0.9662,27.6996,11.8772
2489,20171222,19.1138,19.3176,18.8589,19.0395,77000,0.9633,24.2768,11.6508
2490,20171225,19.0373,19.0628,18.757,18.7591,87820,0.9501,15.5764,11.6404
2491,20171226,18.757,19.0883,18.6041,18.963,123580,0.9612,10.7568,11.929
2492,20171227,18.9608,19.2667,18.8589,19.1159,86850,0.969,14.506,11.7345
2493,20171228,19.1138,19.1647,18.8589,18.963,106710,0.961,19.565,11.5539
2494,20171229,18.9608,19.1138,18.6805,18.6826,79780,0.9469,19.3834,11.7815
2495,20180103,18.8589,18.9099,18.706,18.7846,208970,0.952,23.465,11.9928
2496,20180104,18.8589,19.0373,18.7315,18.912,80010,0.9583,29.1299,11.7952
2497,20180105,18.9099,19.0118,18.655,18.8356,59830,0.9543,27.792,11.8071
2498,20180108,18.9099,19.6744,18.9099,19.4728,224350,0.9862,39.8063,11.8642
2499,20180109,19.5215,19.7764,19.2667,19.4982,214550,0.9871,59.6756,12.1364
2500,20180110,19.5215,19.5215,19.0628,19.2943,178020,0.9765,70.5373,11.8086
2501,20180111,20.0312,20.6174,19.6235,20.6197,722640,1.0427,81.5166,13.4134
2502,20180112,21.9171,22.0445,21.4074,21.6647,839690,1.094,94.9433,16.2578
2503,20180115,21.7897,21.7897,20.6429,20.9001,236550,1.0547,88.5802,17.3374
2504,20180116,20.6429,21.3564,20.2351,21.155,320300,1.0669,83.3037,17.629
2505,20180117,21.1016,21.1016,20.2861,20.2884,182550,1.023,77.0953,17.8998
2506,20180118,19.8783,20.439,19.6235,20.4413,194220,1.0301,66.5974,17.0679
2507,20180119,20.1841,20.439,19.7764,19.8806,207530,1.0016,52.6761,16.2954
2508,20180122,19.7254,20.0822,19.7254,19.8806,160030,1.0015,44.2744,15.4944
2509,20180125,19.8783,19.8783,19.3686,19.4218,153910,0.9784,31.2467,14.6005
2510,20180126,19.4196,20.388,19.4196,20.3903,179880,1.0267,30.139,14.1212
2511,20180129,20.388,20.9487,20.388,20.7981,228220,1.0465,29.4086,14.4074
2512,20180130,20.7958,21.2035,20.5409,20.9001,295310,1.0509,32.6657,14.9749
2513,20180131,21.1526,21.1526,20.1332,20.6452,243840,1.0375,34.7221,14.7884
2514,20180201,20.7448,20.8467,20.439,20.5433,80780,1.0318,39.4952,14.6152
2515,20180202,20.6429,20.8467,20.5409,20.6452,247930,1.0363,39.0292,14.4544
2516,20180205,20.388,20.388,19.2667,19.6257,144460,0.985,30.2575,14.4785
2517,20180206,18.6041,19.5725,18.3492,18.6062,283660,0.9347,20.9217,15.4614
2518,20180207,18.6041,19.4196,18.6041,19.3708,74980,0.9738,20.6198,16.3741
2519,20180208,19.3686,19.3686,18.757,18.7591,25420,0.944,17.1077,17.2216
2520,20180209,17.5847,19.3176,17.5847,19.2689,121670,0.9704,17.2137,19.0398
2521,20180212,19.3686,19.8783,19.3686,19.8806,13640,1.0016,29.1658,19.7712
2522,20180213,19.8783,20.1332,19.3686,19.8296,28150,0.9997,40.7279,20.0445
2523,20180221,20.1332,20.1332,19.4451,19.4473,44760,0.9809,42.366,20.2983
2524,20180222,19.6235,19.8783,19.2667,19.3708,44280,0.9777,47.4504,20.722
2525,20180223,19.3686,19.5215,19.1647,19.1669,22160,0.9681,46.622,21.2248
2526,20180226,19.1647,19.5215,19.0628,19.5237,45430,0.9866,45.951,21.8045
2527,20180227,19.7509,19.7764,19.3686,19.6257,59580,0.9918,46.8834,21.8291
2528,20180228,19.8783,20.0312,19.6744,19.7276,61140,0.9972,51.89,21.3592
2529,20180301,19.8783,19.9293,19.6235,19.8806,20110,1.005,63.8487,20.9955
2530,20180302,19.8783,19.9548,19.8018,19.8806,117070,1.005,77.4099,20.6043
2531,20180305,19.8783,19.8783,19.547,19.5747,27960,0.9898,79.4939,20.6319
