,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2718,20171204,30.7814,30.8429,30.1056,30.1087,1845200,0.8675,71.483,34.65
2719,20171205,30.72,31.3344,30.4742,30.4774,1568380,0.8794,66.4387,34.0211
2720,20171206,30.8429,30.8429,30.2285,30.6925,1699190,0.8868,67.4752,33.6089
2721,20171207,30.8429,31.9488,30.8429,31.8907,3712540,0.9224,76.1262,31.9821
2722,20171208,32.0102,32.5632,31.5802,31.5835,1544330,0.9143,79.1407,29.8767
2723,20171211,30.72,31.1501,30.4742,30.4774,1031150,0.8833,80.4872,28.8071
2724,20171212,30.7814,30.7814,28.3853,30.0473,2806670,0.872,74.4847,29.0629
2725,20171213,30.1056,30.1056,28.8768,29.4943,1220880,0.8574,57.4121,29.3004
2726,20171214,29.184,30.2899,29.184,30.2931,768530,0.882,46.3667,29.3262
2727,20171215,29.9827,30.2899,29.8598,30.1087,2814180,0.878,35.9255,29.3501
2728,20171218,30.72,30.72,30.3514,30.416,686770,0.8882,35.9568,28.8834
2729,20171219,30.5357,30.6278,29.8598,29.863,1264410,0.8731,33.5312,28.7864
2730,20171220,29.9827,30.0442,29.4912,29.6786,1092130,0.8688,37.7017,28.9394
2731,20171221,29.6755,29.8598,29.0611,29.0642,1388950,0.8519,28.7472,29.3564
2732,20171222,29.0611,29.3683,28.9997,29.3714,1052350,0.8622,25.2665,29.7832
2733,20171225,29.3683,29.3683,28.8768,28.8798,792080,0.8491,14.3597,30.2625
2734,20171226,29.184,29.184,28.7539,28.7569,1138880,0.8468,8.3524,30.7938
2735,20171227,28.6925,28.7539,27.0336,27.0364,5272430,0.7976,3.9456,32.2776
2736,20171228,27.0336,28.0166,27.0336,27.528,1581650,0.8134,9.3923,33.6554
2737,20171229,27.648,27.8938,27.2179,27.2822,1181320,0.8074,9.5547,34.9348
2738,20180103,27.0336,28.1702,26.9107,28.081,3359620,0.8322,22.2185,36.2865
2739,20180104,28.5696,28.5696,28.0781,28.2654,1548440,0.8391,36.7534,36.859
2740,20180105,28.2624,28.2624,27.5558,27.7738,1331200,0.826,47.951,37.7106
2741,20180108,27.648,28.0781,27.3715,27.4973,1734680,0.8193,51.8816,38.6099
2742,20180109,27.648,27.9859,27.4637,27.6202,1401380,0.8243,61.2098,39.445
2743,20180110,27.7709,28.9997,27.648,28.5726,3059920,0.8539,68.546,38.5123
2744,20180111,28.631,29.7984,28.2931,29.6479,2202100,0.8869,74.0111,36.5725
2745,20180112,29.6755,29.9827,29.3069,29.6479,2319550,0.8878,82.8135,34.5429
2746,20180115,29.4912,29.6755,29.1226,29.6479,1522520,0.8887,93.4362,32.855
2747,20180116,29.5526,29.6448,29.184,29.4943,1873870,0.8851,98.9538,31.2877
2748,20180117,29.6141,29.6141,28.5082,28.5111,1588440,0.8567,91.8478,30.5521
2749,20180118,28.3238,28.5696,27.8323,28.5111,1250480,0.858,83.6349,30.4819
2750,20180119,28.5082,29.4912,28.5082,28.7569,1562310,0.8671,77.5184,29.1439
2751,20180122,28.8768,28.9997,28.2931,28.3268,1626400,0.8559,66.0108,28.1121
2752,20180125,28.5082,28.8768,28.5082,28.5419,2505640,0.8641,57.983,27.154
2753,20180126,28.5389,28.5389,27.7094,27.8045,3077930,0.8438,49.6278,27.0308
