,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2136,20171204,22.006,22.5187,21.9632,22.4781,465080,1.2503,85.1741,52.6829
2137,20171205,22.476,22.8606,22.4333,22.5635,666180,1.2517,90.294,54.5263
2138,20171206,22.4333,23.9715,22.2196,23.8028,610050,1.3158,93.5243,56.5892
2139,20171207,23.5015,23.6297,22.5614,22.9054,368050,1.2625,80.955,58.5047
2140,20171208,22.9033,23.6297,21.7923,23.4609,556960,1.2887,70.7344,58.252
2141,20171211,22.6469,23.5015,22.6469,22.7345,229180,1.2453,51.5577,58.0174
2142,20171212,22.7324,23.1597,21.365,22.5208,930520,1.2301,32.1588,55.2468
2143,20171213,22.6469,22.6469,22.006,22.1362,230750,1.2063,12.1588,52.6741
2144,20171214,22.006,22.5614,22.006,22.5208,466380,1.2243,9.3816,50.2852
2145,20171215,22.5187,23.0315,22.1769,22.5635,406930,1.2237,4.3386,48.6181
2146,20171218,22.6469,23.6724,22.6469,23.5037,310690,1.2711,11.174,47.712
2147,20171219,23.9288,24.1425,23.2879,23.29,294920,1.2564,16.0552,47.2759
2148,20171220,23.2879,24.2279,23.2879,24.0592,226000,1.2941,24.2719,46.942
2149,20171221,24.3134,24.7834,24.057,24.743,268810,1.3263,32.9418,47.0689
2150,20171222,24.7407,24.7407,24.2706,24.2729,132380,1.297,37.1897,47.1868
2151,20171225,24.3561,24.3988,23.9288,23.9738,144130,1.2774,34.3449,46.5454
2152,20171226,23.9715,25.2107,23.9715,25.213,200420,1.3388,44.4612,46.6257
2153,20171227,24.9543,25.638,24.9543,25.4267,237420,1.3452,52.469,46.9988
2154,20171228,25.638,25.8517,25.3389,25.7686,277890,1.3575,61.744,47.487
2155,20171229,25.8517,26.2362,25.4244,25.6831,282300,1.3472,73.7439,48.1844
2156,20180103,25.4244,26.4926,25.4244,26.4951,298780,1.3835,89.7533,48.986
2157,20180104,26.2362,27.3472,26.2362,26.9651,290370,1.4013,94.7558,50.175
2158,20180105,27.0908,27.0908,26.279,26.3241,161750,1.362,88.7015,51.279
2159,20180108,26.4499,26.7917,26.3217,26.666,335960,1.3733,79.6333,52.3042
2160,20180109,27.1351,27.3939,26.6174,26.6656,244660,1.3666,72.0266,53.5481
2161,20180110,26.6605,27.1351,26.3585,26.4498,282000,1.3492,58.8566,54.0705
2162,20180111,26.4448,26.7468,25.6683,26.4498,601830,1.3428,45.6866,53.0586
2163,20180112,26.3154,26.7468,25.9271,26.1047,294650,1.3185,35.5163,52.119
2164,20180115,26.0566,27.0488,25.884,27.0539,347130,1.359,33.3603,51.5127
2165,20180116,26.9625,27.1351,26.4017,26.7087,247890,1.3348,24.7872,51.0251
2166,20180117,26.7468,26.8331,25.6683,25.6732,283530,1.277,17.9573,49.0602
2167,20180118,25.4526,26.3154,25.28,26.3204,709500,1.303,15.0644,46.5563
2168,20180119,26.3154,27.1782,26.3154,27.1834,497520,1.3385,23.4951,45.1869
2169,20180122,27.6096,28.645,27.6096,28.6072,477210,1.4001,28.9264,45.0653
2170,20180125,28.7312,30.2843,28.645,30.29,831230,1.4725,45.7215,45.8027
2171,20180126,30.6294,32.3981,30.0686,32.4043,1156770,1.5635,65.7215,47.2085
2172,20180129,32.7001,34.6414,32.6138,34.648,358490,1.6576,81.7844,49.0205
2173,20180130,34.9003,37.0573,34.21,35.813,829620,1.6978,93.3537,51.0801
2174,20180131,35.9788,36.065,34.8571,34.8637,355990,1.6388,94.8251,52.9926
2175,20180201,34.7277,36.0219,34.5983,35.3815,575000,1.6484,91.9369,54.4718
2176,20180202,35.7631,35.7631,34.6414,35.3815,203070,1.6338,88.1953,55.8453
2177,20180205,34.7277,34.7277,32.9158,33.3104,765180,1.5261,75.67,55.2229
2178,20180206,31.4922,33.2178,30.9745,31.4982,1044810,1.4334,57.1719,53.0019
2179,20180207,33.4335,33.6923,32.7864,33.6987,515890,1.5222,47.1565,51.1537
2180,20180208,31.9667,34.0806,31.9667,33.181,371280,1.4886,33.7169,48.8156
2181,20180209,31.0608,35.0728,31.0608,34.95,481760,1.5559,23.5033,47.1221
2182,20180212,34.9434,35.8062,34.9434,35.6404,260570,1.5741,23.2113,45.8773
2183,20180213,35.6336,35.8925,33.6492,34.4323,299780,1.5097,24.8998,43.7554
2184,20180221,34.512,35.1591,34.21,34.3028,377440,1.4932,22.0082,41.7851
2185,20180222,33.4335,34.512,33.3904,34.0871,164260,1.4732,21.2286,39.3653
2186,20180223,34.1669,34.5551,33.908,34.5185,158350,1.481,18.1868,37.1447
2187,20180226,35.5474,35.9356,34.512,34.5617,794440,1.4722,14.8939,35.8792
2188,20180227,34.7277,34.9865,33.6492,33.9145,294940,1.4344,12.4481,34.0589
2189,20180228,33.5629,34.512,33.5198,34.5185,531210,1.4496,12.398,32.2734
2190,20180301,34.512,36.0219,34.0806,34.6048,1563010,1.4429,17.0374,31.4709
2191,20180302,34.2963,34.4689,33.7355,34.4754,373930,1.4273,19.1227,30.4542
2192,20180305,34.9003,34.9434,32.0962,32.1022,656280,1.3209,15.2329,28.3513
2193,20180306,32.355,34.0806,31.7942,33.6556,585280,1.3756,21.0636,26.4466
2194,20180307,33.8218,33.8218,31.9236,32.1885,538850,1.3078,18.6696,24.678
2195,20180308,32.1824,32.5707,31.9667,32.5337,204890,1.3139,13.7686,23.0357
2196,20180309,33.0452,33.0452,32.1824,32.1885,298750,1.2927,9.111,21.6318
2197,20180312,30.802,32.5276,30.7588,30.8078,355610,1.2311,9.111,20.8691
2198,20180313,30.802,32.5707,30.802,32.4906,343260,1.2911,10.1008,20.1252
2199,20180314,33.1747,33.5629,33.0021,33.1378,255430,1.3091,19.9325,18.7329
2200,20180315,33.1315,33.1315,32.355,32.9221,136740,1.2932,27.3414,17.823
2201,20180316,33.9512,34.4689,32.959,33.9576,580150,1.3259,41.0112,17.0896
2202,20180319,34.0806,34.9434,33.9512,34.0439,481780,1.3213,55.4722,16.7161
2203,20180320,34.0806,34.2963,33.6492,34.0871,142930,1.315,62.5603,16.1222
2204,20180321,34.0806,35.116,34.0806,34.5617,644360,1.3251,69.9833,16.1132
2205,20180322,34.9434,35.1591,34.0806,34.4323,400960,1.3118,79.7978,16.1329
2206,20180323,34.0806,34.0806,33.2178,34.0439,376300,1.2885,81.6422,15.3902
2207,20180326,34.0375,34.512,33.3472,34.0871,249770,1.2819,83.4085,15.0169
2208,20180327,34.6846,34.8571,33.2178,33.2241,399370,1.2421,78.1516,14.9198
2209,20180328,33.2178,33.6492,33.0452,33.1378,336460,1.2315,69.3066,14.6631
2210,20180329,32.959,34.2963,32.959,34.0439,298070,1.2573,65.7319,14.9093
2211,20180330,34.0806,34.4689,33.4766,34.4754,226800,1.2652,66.8596,15.2637
2212,20180402,34.9003,36.8416,34.7277,36.8485,1408520,1.3426,70.6322,16.9748
2213,20180403,37.9632,38.6103,37.3592,38.6176,779630,1.3961,81.2361,19.2686
2214,20180404,38.3946,38.7829,38.1789,38.4882,336990,1.3805,91.7204,21.4596
2215,20180405,38.2652,39.4731,38.2652,39.006,482140,1.3882,96.2939,23.735
2216,20180406,38.6966,39.4731,38.1789,38.4019,554220,1.3567,95.5108,25.7494
2217,20180409,38.6534,39.8182,38.4377,39.6963,649140,1.3917,95.0866,27.7479
2218,20180410,40.1202,40.1202,37.9632,38.8334,602970,1.3515,89.7048,29.0292
2219,20180411,38.826,38.8691,36.5396,36.5465,761480,1.2637,74.4531,28.7144
2220,20180412,36.4533,37.0573,35.8925,36.5897,462370,1.257,58.5712,27.8337
2221,20180413,37.1004,37.1004,34.9434,35.3384,632520,1.207,42.2817,26.2301
2222,20180416,35.1591,35.5474,34.512,34.95,568060,1.1871,22.7059,24.4081
2223,20180417,35.3748,35.4179,34.7277,35.1658,507810,1.1877,8.9045,22.7162
2224,20180418,35.1591,35.5474,34.7708,34.8637,428320,1.1714,4.9349,21.2527
2225,20180419,34.3394,34.512,33.2178,33.6987,608940,1.1268,0.8168,20.7714
