,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2462,20171204,11.2959,11.4312,11.0253,11.3307,245060,0.9892,32.1154,22.2556
2463,20171205,11.3297,11.3297,11.0253,11.1615,128170,0.973,19.5737,23.2601
2464,20171206,11.1606,11.1606,10.9577,11.0939,81340,0.9658,8.9477,24.3395
2465,20171207,11.093,11.1268,10.8224,11.0939,111770,0.9643,6.4537,25.6278
2466,20171208,11.093,11.093,10.9915,11.0939,60250,0.9629,3.9597,26.8241
2467,20171211,11.093,11.093,10.8224,11.0939,66590,0.9615,0.0,28.2892
2468,20171212,10.89,11.0591,10.5518,11.0262,241280,0.9545,0.0,30.1356
2469,20171213,10.9577,10.9577,10.8224,10.9586,211420,0.9478,0.0,31.8501
2470,20171214,10.9577,11.0253,10.7548,10.9586,238230,0.9474,0.0,33.5603
2471,20171215,10.9577,11.0253,10.8224,10.9586,135060,0.9471,0.0,35.1483
2472,20171218,10.9577,11.4988,10.7548,11.4321,732440,0.9876,20.0,34.1009
2473,20171219,11.4312,11.465,11.1606,11.2968,205620,0.9755,35.5863,33.1284
2474,20171220,11.2959,11.4988,11.2959,11.4998,528900,0.9924,55.5863,32.0668
2475,20171221,11.4988,11.4988,11.2282,11.2968,175670,0.9745,69.9455,31.3041
2476,20171222,11.2959,11.3635,10.9915,11.3645,356970,0.9801,86.0872,31.3021
2477,20171225,11.2959,11.4312,11.2959,11.3645,246380,0.9799,82.2289,30.9505
2478,20171226,11.3635,11.3635,11.1606,11.3645,419900,0.9797,82.7843,31.0148
2479,20171227,11.1606,11.5664,11.1606,11.4321,415080,0.985,80.9496,30.0654
2480,20171228,11.3635,11.3635,11.1606,11.1615,71540,0.9611,76.9188,29.1838
2481,20171229,11.2959,11.3297,11.0253,11.1277,198670,0.9579,70.2579,28.8149
2482,20180103,10.9239,11.0253,10.89,10.9248,71970,0.9403,58.9432,28.8855
2483,20180104,10.9239,10.9577,10.8224,10.8233,123790,0.9317,45.5922,29.1484
2484,20180105,10.9239,10.9239,10.5518,10.8233,130200,0.9318,30.2176,30.0911
2485,20180108,10.6871,10.8224,10.4842,10.5527,158850,0.9087,19.8892,31.1211
2486,20180109,10.6533,10.6533,10.0784,10.1469,482150,0.8744,10.4084,32.8518
2487,20180110,10.146,10.4842,9.9431,10.4851,343170,0.904,13.1585,34.6679
2488,20180111,10.4842,10.89,10.146,10.5866,379680,0.9137,20.5849,34.379
2489,20180112,10.5857,10.5857,10.3151,10.4174,51530,0.9001,25.9616,34.1108
2490,20180115,10.3151,10.3151,10.146,10.2483,132700,0.8866,32.2668,34.2476
2491,20180116,10.146,10.1798,9.9431,10.113,144230,0.8761,37.1931,34.7923
2492,20180117,10.1122,10.146,9.9769,9.9777,136540,0.8658,33.2449,35.2981
2493,20180118,9.9769,10.146,9.9431,10.1469,227390,0.8817,33.7524,35.8398
2494,20180119,10.2136,10.2813,9.9431,10.2821,175780,0.8945,41.1073,35.6324
2495,20180122,10.3151,10.3151,9.9431,10.1469,239630,0.8837,51.579,35.2653
2496,20180125,10.0107,10.2813,9.8754,10.113,436050,0.882,62.6306,35.1138
2497,20180126,10.0107,10.1122,9.9431,10.113,316710,0.8834,74.9794,34.9731
2498,20180129,10.146,10.146,9.8078,10.0116,317850,0.876,77.6642,35.2303
2499,20180130,9.9431,9.9769,9.6725,9.9439,128930,0.8716,73.8782,35.822
2500,20180131,9.8078,10.3489,9.8078,10.2483,506990,0.8993,77.1013,34.3997
2501,20180201,10.2475,10.2813,10.0445,10.2821,154890,0.9033,81.1235,33.079
2502,20180202,10.146,10.2813,10.0107,10.2821,118460,0.9041,85.1456,31.972
2503,20180205,10.2813,10.2813,9.6049,10.0116,198410,0.8814,83.3661,32.1472
2504,20180206,9.6049,9.8416,9.3343,9.6057,383330,0.8469,73.9691,32.9093
2505,20180207,9.6387,10.0107,9.5372,9.538,231850,0.8422,55.0078,32.808
2506,20180208,9.5372,9.5372,9.1314,9.1322,272130,0.808,35.0078,33.5462
2507,20180209,9.1314,9.1314,8.7256,9.1322,263190,0.8099,15.0078,34.8604
2508,20180212,9.2667,9.7402,9.1314,9.741,169060,0.8654,21.391,33.9093
2509,20180213,9.9431,10.0107,9.7402,9.8763,353340,0.8788,39.0516,32.2676
2510,20180221,10.146,10.146,9.7063,9.9439,99040,0.8862,58.013,30.3871
2511,20180222,9.8078,9.8754,9.5372,9.741,179440,0.8699,74.5918,29.0242
2512,20180223,9.7402,9.8754,9.5372,9.8086,439510,0.8779,92.6348,27.7586
2513,20180226,9.8078,9.8078,9.402,9.6733,157080,0.868,90.3614,26.9017
2514,20180227,9.5372,9.6049,9.2667,9.2675,140860,0.834,80.2145,26.415
2515,20180228,9.3343,9.402,9.2329,9.4028,334160,0.8485,73.1708,26.0409
2516,20180301,9.199,9.402,8.8608,9.3351,262270,0.8446,68.5804,26.4767
2517,20180302,8.9961,9.3681,8.9961,9.3351,142400,0.8464,62.5259,26.8814
2518,20180305,9.3343,9.3343,9.0976,9.0983,292250,0.8271,55.3535,27.2572
2519,20180306,8.8608,9.1314,8.8608,9.1322,139970,0.8324,54.9848,28.0887
