,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1908,20171204,16.527,16.527,16.1965,16.4353,162050,1.0792,66.1051,21.4113
1909,20171205,16.527,16.9992,16.4798,16.4826,118790,1.0813,53.2614,21.7153
1910,20171206,16.527,16.6214,16.1965,16.4826,242370,1.0803,45.3159,21.1813
1911,20171207,16.5034,16.527,16.1965,16.2464,110460,1.064,30.4429,20.6855
1912,20171208,16.2437,16.527,16.2437,16.5298,64940,1.0812,24.5876,20.2251
1913,20171211,16.4798,17.1409,16.4798,16.5298,215940,1.0798,28.5597,21.0075
1914,20171212,16.6214,16.6687,16.2909,16.6715,167280,1.0875,36.4423,21.1584
1915,20171213,16.527,16.7159,16.1965,16.3881,184710,1.068,30.8371,21.0171
1916,20171214,16.527,16.527,15.8659,15.8686,110150,1.0336,30.8371,19.969
1917,20171215,16.0076,16.2909,15.8659,16.2937,128900,1.0602,29.9166,18.9958
1918,20171218,16.2437,16.5034,16.0548,16.2937,82640,1.059,30.3649,18.5893
1919,20171219,16.2909,16.2909,15.9604,16.0575,48620,1.0426,21.1693,17.934
1920,20171220,16.0076,16.2909,16.0076,16.152,55900,1.0475,26.5331,17.3255
1921,20171221,16.0548,16.2437,16.0548,16.2464,51620,1.0525,34.634,16.7604
1922,20171222,16.0548,16.4326,16.0548,16.2937,1590,1.0543,36.1236,16.747
1923,20171225,16.2909,16.2909,16.0548,16.1047,30940,1.0411,31.3268,16.7346
1924,20171226,16.1965,16.2909,16.1492,16.2937,80580,1.0524,36.5782,16.7231
1925,20171227,16.2437,16.2909,16.0548,16.1992,30310,1.0453,37.1252,16.321
1926,20171228,16.1492,16.2909,16.1492,16.1992,18430,1.0443,35.5035,15.9476
1927,20171229,16.1492,16.2909,16.0548,16.1992,59970,1.0431,32.7686,15.1906
1928,20180103,16.2909,16.9992,16.2909,16.7659,49680,1.0781,48.472,16.4798
1929,20180104,16.9048,16.9048,16.527,16.5298,55910,1.0615,52.4468,17.6769
1930,20180105,16.527,16.527,16.2201,16.4353,26250,1.0542,54.1483,17.5611
1931,20180108,16.4326,16.6687,16.3381,16.6243,30260,1.0652,61.212,17.8149
1932,20180109,16.7631,17.7075,16.4326,17.7105,241000,1.1326,74.7328,19.8671
1933,20180110,17.7075,17.7075,17.0936,17.3799,88520,1.1095,68.6352,21.7727
1934,20180111,17.0464,17.377,16.9992,17.2854,80280,1.1016,67.8698,23.1983
1935,20180112,17.2825,17.2825,16.7631,16.7659,70510,1.0671,63.7163,23.6988
1936,20180115,17.3297,17.4242,16.8575,17.0021,88420,1.0807,57.0176,24.4125
1937,20180116,16.9992,17.3297,16.952,17.191,65850,1.0911,45.1108,25.0752
