,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1420,20171204,4.9,4.98,4.85,4.95,3095360,1.1281,75.6619,32.2177
1421,20171205,4.98,4.98,4.77,4.77,3313760,1.0875,71.697,33.6445
1422,20171206,4.78,4.84,4.7,4.72,1962320,1.0762,70.043,34.3503
1423,20171207,4.75,4.83,4.72,4.8,2025850,1.0948,70.1973,35.0057
1424,20171208,4.84,5.13,4.8,5.1,5401600,1.1632,69.378,36.5042
1425,20171211,5.1,5.45,5.0,5.4,6248230,1.2298,69.378,38.5313
1426,20171212,5.4,5.45,5.03,5.18,4244080,1.1777,70.6771,40.4136
1427,20171213,5.21,5.49,5.12,5.4,4063470,1.2253,76.4997,42.2329
1428,20171214,5.4,5.74,5.3,5.65,3628720,1.2789,84.0844,44.3142
1429,20171215,5.62,5.84,5.5,5.5,4386680,1.2419,77.7958,46.3793
1430,20171218,5.6,5.7,5.3,5.3,4201490,1.1945,62.4669,46.7816
1431,20171219,5.3,5.4,5.04,5.1,4650420,1.1476,50.113,45.566
1432,20171220,5.08,5.3,5.05,5.26,2165170,1.1815,38.9941,44.4372
1433,20171221,5.3,5.3,5.1,5.1,1511470,1.1439,20.4339,43.3891
1434,20171222,5.14,5.15,5.0,5.0,1797440,1.1206,8.1738,41.807
1435,20171225,4.94,5.02,4.75,4.76,3772610,1.0665,3.5026,39.0365
1436,20171226,4.8,4.92,4.77,4.88,1263980,1.0932,5.6221,36.4639
1437,20171227,4.96,4.96,4.8,4.83,918360,1.082,3.3849,34.263
1438,20171228,4.83,4.89,4.77,4.82,1124100,1.0794,4.4717,32.0575
1439,20171229,4.81,4.85,4.78,4.8,1139430,1.0745,5.2125,30.0095
1440,20180103,5.04,5.14,4.95,5.07,1880850,1.1337,11.395,29.4452
1441,20180104,5.09,5.39,5.06,5.36,4054040,1.1964,20.1298,29.7696
1442,20180105,5.39,5.39,5.2,5.22,2623280,1.1633,28.6166,30.0708
1443,20180108,5.22,5.27,5.15,5.2,1367370,1.1572,40.6892,30.0236
1444,20180109,5.2,5.53,5.2,5.41,2970810,1.2016,59.7549,30.7894
1445,20180110,5.43,5.5,5.3,5.3,2438370,1.1751,68.7712,31.5005
1446,20180111,5.33,5.55,5.31,5.47,2310780,1.2103,77.917,32.3072
