,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
599,20171204,9.21,9.3,9.21,9.25,1693300,0.9868,89.1184,20.5486
600,20171205,9.25,9.55,9.25,9.4,2442210,1.0036,86.3057,21.016
601,20171206,9.4,9.8,9.3,9.8,1904870,1.0464,88.1919,22.1356
602,20171207,9.99,10.15,9.91,10.1,2528470,1.0782,90.5019,23.9241
603,20171208,10.1,10.15,9.91,9.99,2019080,1.0664,89.9555,25.5849
604,20171211,9.91,9.91,9.7,9.7,1753080,1.0355,80.4343,26.0408
605,20171212,9.61,9.71,9.3,9.7,2274720,1.0356,68.8131,24.8155
606,20171213,9.3,9.71,9.3,9.5,917920,1.0145,48.8131,23.6777
607,20171214,9.51,9.58,9.4,9.56,1050070,1.0213,30.262,22.6212
608,20171215,9.58,9.65,9.5,9.6,1233250,1.026,16.2175,21.8798
609,20171218,10.2,10.2,9.79,9.83,1952930,1.051,17.1572,22.6804
610,20171219,9.8,9.83,9.61,9.62,1154120,1.0294,12.7061,22.6894
611,20171220,9.63,9.69,9.55,9.62,768900,1.0302,13.8212,22.4611
612,20171221,9.65,9.65,9.35,9.38,1720340,1.0054,12.3724,21.4953
613,20171222,9.39,9.5,9.33,9.46,829320,1.0147,11.6473,20.5252
614,20171225,9.47,9.5,9.3,9.35,623930,1.0036,3.9403,19.5088
615,20171226,9.4,9.64,9.35,9.57,1780140,1.0276,7.3185,19.0339
616,20171227,9.6,9.63,9.45,9.57,915870,1.0279,11.5398,18.593
617,20171228,9.49,9.58,9.49,9.56,424980,1.0269,19.4464,18.1836
618,20171229,9.56,9.56,9.4,9.56,1327380,1.027,25.643,17.3741
619,20180103,9.4,9.48,9.34,9.4,723790,1.0099,26.0715,16.3414
620,20180104,9.4,9.5,9.4,9.45,1053640,1.0153,24.3825,15.4729
621,20180105,9.57,9.92,9.46,9.55,2866020,1.026,26.4874,16.2258
622,20180108,9.55,9.56,9.36,9.38,1570430,1.0079,18.5807,16.4281
623,20180109,9.37,9.5,9.0,9.2,3706240,0.9887,10.6741,15.3924
624,20180110,9.1,9.29,9.0,9.22,1890040,0.9909,11.3714,14.4307
625,20180111,9.2,9.22,8.9,8.92,3557750,0.9592,8.5671,13.9141
626,20180112,8.92,9.09,8.78,8.85,2587870,0.9522,1.1258,13.8648
627,20180115,8.85,9.17,8.85,9.13,2191060,0.9824,11.3219,13.4588
628,20180116,9.14,9.76,9.1,9.65,5575500,1.0381,31.3219,13.9324
629,20180117,9.65,9.82,9.48,9.48,3676590,1.0198,46.4302,14.531
630,20180118,9.4,9.52,9.25,9.38,1926930,1.009,60.5579,14.1867
631,20180119,9.51,9.52,9.1,9.16,2320270,0.9858,70.3835,13.3382
632,20180122,9.16,9.39,8.97,9.01,1970800,0.9701,67.3506,12.6536
633,20180125,9.01,9.23,8.88,9.2,3167830,0.9907,58.7331,12.3087
634,20180126,9.4,9.48,9.15,9.15,2295500,0.9854,52.9237,11.7358
635,20180129,9.2,9.27,8.81,8.92,3977910,0.961,45.0601,11.6437
636,20180130,8.8,8.81,8.52,8.6,4608310,0.927,36.6473,12.2929
637,20180131,8.6,9.0,8.59,8.69,3680400,0.9371,33.0844,12.2492
638,20180201,8.75,8.8,8.38,8.4,2000190,0.9066,21.7019,12.7255
