,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2501,20171201,18.4928,18.74,18.4254,18.6541,4367480,1.1508,98.7693,21.0518
2502,20171204,18.6052,18.9197,18.5602,18.8789,4425610,1.162,98.7693,22.9453
2503,20171205,18.8748,18.9872,18.695,18.6991,5651430,1.1481,95.4104,24.7952
2504,20171206,18.8299,18.9872,18.2456,18.9912,7172100,1.1628,95.4916,24.9262
2505,20171207,18.9872,19.0096,18.695,18.8564,3948820,1.1513,91.8331,25.0894
2506,20171208,18.8299,18.8299,18.4703,18.5193,3524840,1.1278,81.9157,24.5225
2507,20171211,18.2456,18.4479,18.0659,18.0698,3778630,1.0978,61.9157,22.8841
2508,20171212,18.1108,18.3805,17.0772,17.845,6905750,1.0817,45.2747,23.0171
2509,20171213,18.1558,18.1558,17.8412,18.1147,4180040,1.0956,29.7045,23.1406
2510,20171214,18.1108,18.3355,18.0884,18.272,2181370,1.1028,18.4612,22.7937
2511,20171215,18.4029,18.8523,18.4029,18.744,5530560,1.1284,18.3657,21.3034
2512,20171218,18.9647,19.3242,18.7625,19.3283,5984320,1.1603,33.2077,20.5154
2513,20171219,19.504,19.9084,19.3916,19.598,7414140,1.1729,49.9716,20.6657
2514,20171220,19.4141,19.9983,19.4141,19.7778,4347600,1.1801,64.6824,20.9285
2515,20171221,19.6388,20.3129,19.6388,19.8228,6161690,1.179,77.8869,21.5914
2516,20171222,19.9084,20.1781,19.8185,19.9352,5883750,1.1819,87.8997,22.2069
2517,20171225,19.9309,19.9758,19.6837,19.7104,2345650,1.1649,88.7112,22.4335
2518,20171226,19.5489,19.9534,19.5264,19.7329,3717280,1.1626,87.8058,22.2451
2519,20171227,19.7287,20.4926,19.7287,20.4071,7613290,1.1982,89.8147,22.879
2520,20171228,20.4028,20.6724,20.1781,20.5869,3305010,1.2043,91.512,23.705
2521,20171229,20.6499,21.0769,20.605,21.0589,5114380,1.2271,91.512,24.9622
2522,20180103,21.5712,21.7959,21.2566,21.396,4828220,1.2419,95.8586,26.8294
2523,20180104,21.4813,21.751,21.3914,21.6657,4640280,1.2529,100.0,28.5633
2524,20180105,21.6161,21.7734,21.4139,21.5758,3660450,1.2431,97.9356,30.1943
2525,20180108,21.4364,22.2453,21.3465,22.2501,3702750,1.2769,97.9356,32.1244
2526,20180109,22.3801,23.7733,22.3352,23.7784,5702180,1.3578,97.9356,34.8168
2527,20180110,24.0429,24.2676,22.7396,23.239,6231980,1.3209,89.2606,37.5175
2528,20180111,23.1441,23.3239,22.6498,23.239,5284530,1.3147,80.5857,39.8048
2529,20180112,23.3688,23.7733,23.0093,23.4188,5393440,1.3185,74.7398,42.12
2530,20180115,23.3239,24.5372,23.189,24.5425,3408260,1.3745,70.8088,44.5449
2531,20180116,24.4024,25.1664,24.0878,25.1718,4328790,1.4018,68.574,46.9837
2532,20180117,24.8968,25.2563,24.0878,24.093,5028580,1.3352,57.2489,49.2735
2533,20180118,23.998,25.1664,23.7283,25.1718,5542350,1.3875,51.1777,50.5481
2534,20180119,25.1664,26.9191,24.9866,26.8349,7233090,1.47,50.2743,52.3401
2535,20180122,26.7393,28.6717,26.7393,28.588,6662390,1.555,49.7856,54.3837
2536,20180125,29.1661,29.211,27.4134,27.644,13773130,1.494,37.5705,56.3731
2537,20180126,27.8628,28.9863,27.4134,28.7228,4998360,1.5415,46.2515,58.2204
2538,20180129,28.9863,29.211,27.6381,27.644,5100130,1.4743,40.9977,59.9758
2539,20180130,27.1887,27.6381,26.2899,27.5541,10291630,1.4607,29.8115,59.3949
2540,20180131,27.5482,28.6717,27.4134,28.0036,5541660,1.4751,16.0262,59.2774
2541,20180201,27.9976,28.3122,27.1887,27.4193,2813090,1.4358,10.4761,58.8538
2542,20180202,27.4134,27.5932,26.8292,27.4642,3673050,1.4295,1.9745,57.9578
2543,20180205,26.9191,27.1438,25.6158,25.6213,7317220,1.3268,1.9745,55.6318
2544,20180206,26.0652,26.6944,23.8631,26.0708,14973300,1.3435,3.3205,51.8426
2545,20180207,27.1887,27.6381,26.5595,26.745,5682060,1.371,4.9579,48.988
2546,20180208,26.7393,27.3235,26.4247,26.8349,4633450,1.3685,8.6582,46.2217
2547,20180209,25.5259,26.6944,25.5259,26.2056,9028840,1.3301,9.3593,42.9284
2548,20180212,26.2,26.8292,26.0203,26.4304,6576890,1.3352,11.01,39.9609
2549,20180213,26.5146,27.4583,26.5146,27.2395,5281840,1.369,14.9685,37.6983
2550,20180221,27.6381,27.7729,26.8292,26.9698,8779720,1.3486,15.2185,35.8352
2551,20180222,26.7393,26.7842,26.3798,26.4753,4928900,1.3176,12.62,33.6833
2552,20180223,26.5146,27.8628,26.4247,27.689,10695740,1.3706,20.0531,32.4954
2553,20180226,28.2673,29.0312,27.9527,28.9476,8761510,1.4243,32.7766,32.1216
