,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1777,20171204,2.72,2.8,2.72,2.75,4928510,0.8891,74.8644,31.5
1778,20171205,2.75,2.76,2.69,2.69,6154550,0.8715,63.7064,30.044
1779,20171206,2.69,2.73,2.64,2.68,3443950,0.87,54.9599,28.1544
1780,20171207,2.69,2.71,2.6,2.68,6292200,0.8718,48.8339,26.295
1781,20171208,2.68,2.76,2.64,2.73,5910680,0.8896,49.0872,24.7692
1782,20171211,2.69,2.72,2.61,2.68,4070390,0.875,43.2689,23.032
1783,20171212,2.69,2.71,2.6,2.63,5055090,0.8604,38.2588,21.4632
1784,20171213,2.63,2.65,2.6,2.63,3316450,0.8623,29.9056,20.0065
1785,20171214,2.62,2.7,2.62,2.7,4686220,0.8872,28.5206,19.0827
1786,20171215,2.7,2.71,2.67,2.68,2221120,0.8823,22.9145,18.3381
1787,20171218,2.7,2.73,2.67,2.69,6018700,0.8873,24.9289,17.8779
1788,20171219,2.7,2.7,2.64,2.65,4717630,0.8758,27.0546,17.0178
1789,20171220,2.65,2.67,2.64,2.65,2686250,0.8773,33.2698,16.2192
1790,20171221,2.65,2.66,2.61,2.65,3004110,0.8789,32.5168,15.0904
1791,20171222,2.64,2.67,2.62,2.67,3639400,0.8872,40.3991,14.1318
1792,20171225,2.66,2.68,2.63,2.63,1585440,0.8756,33.6328,13.3953
1793,20171226,2.64,2.66,2.62,2.64,3133170,0.8808,33.3348,12.5407
1794,20171227,2.64,2.67,2.61,2.61,4181850,0.8728,27.1195,11.718
1795,20171228,2.62,2.65,2.6,2.64,4084510,0.8851,31.7493,11.1335
1796,20171229,2.64,2.65,2.61,2.61,3900120,0.877,21.0246,10.5908
1797,20180103,2.65,2.67,2.61,2.62,4987120,0.8822,25.0614,9.9931
1798,20180104,2.62,2.75,2.62,2.71,9080000,0.9143,39.4018,10.7878
1799,20180105,2.77,2.85,2.72,2.72,13209620,0.9194,59.4018,12.689
1800,20180108,2.71,2.72,2.66,2.68,4635790,0.9075,61.6887,13.2992
1801,20180109,2.7,2.73,2.65,2.69,6875400,0.9123,74.0952,13.6867
1802,20180110,2.69,2.76,2.69,2.74,9200630,0.9306,87.9218,14.4102
1803,20180111,2.74,2.86,2.71,2.84,12787930,0.9657,87.9218,16.0812
1804,20180112,2.82,2.88,2.74,2.74,9863450,0.9332,78.6037,17.8019
1805,20180115,2.74,2.75,2.7,2.72,4811940,0.9281,74.5339,18.6414
1806,20180116,2.7,2.73,2.66,2.68,6364030,0.9163,65.6681,18.7231
1807,20180117,2.68,2.71,2.64,2.64,8277530,0.9048,48.661,18.4651
1808,20180118,2.62,2.67,2.61,2.67,4686620,0.9176,33.6844,17.738
1809,20180119,2.66,2.68,2.61,2.62,4713440,0.903,24.2467,17.1994
1810,20180122,2.61,2.64,2.54,2.55,9934480,0.8813,15.1845,16.3112
1811,20180125,2.55,2.61,2.54,2.56,8830130,0.8873,10.0969,15.4865
1812,20180126,2.57,2.61,2.56,2.6,4605750,0.9036,11.2338,14.7207
1813,20180129,2.59,2.61,2.54,2.54,4322200,0.885,6.8533,14.324
1814,20180130,2.56,2.59,2.52,2.57,4377820,0.8977,8.7035,14.2632
1815,20180131,2.58,2.6,2.49,2.49,5682370,0.8723,8.7035,14.6464
1816,20180201,2.51,2.54,2.49,2.51,5016530,0.8817,9.4291,15.0022
1817,20180202,2.51,2.53,2.5,2.52,3838770,0.8874,9.166,15.3326
1818,20180205,2.5,2.5,2.35,2.35,5991210,0.8302,8.5231,17.4053
1819,20180206,2.26,2.32,2.19,2.26,13351880,0.8013,5.4288,20.3677
1820,20180207,2.31,2.38,2.3,2.33,7773580,0.8289,11.894,22.0361
1821,20180208,2.34,2.34,2.27,2.27,5134510,0.8103,14.2863,23.7817
1822,20180209,2.17,2.28,2.17,2.24,3705820,0.8027,13.8018,25.973
1823,20180212,2.24,2.29,2.24,2.27,2002310,0.8164,20.6271,27.8333
1824,20180213,2.31,2.39,2.26,2.38,3009980,0.8588,38.6123,27.9807
1825,20180221,2.4,2.45,2.38,2.4,1646900,0.8689,51.9541,27.3201
1826,20180222,2.4,2.4,2.33,2.35,1630230,0.8537,64.5046,27.1224
1827,20180223,2.39,2.4,2.35,2.39,2868870,0.871,81.1223,26.9388
1828,20180226,2.39,2.4,2.32,2.33,3310900,0.852,90.1257,27.0241
1829,20180227,2.33,2.36,2.29,2.33,3340640,0.855,87.9692,27.3529
1830,20180228,2.31,2.33,2.27,2.27,3631770,0.8359,79.9388,27.823
1831,20180301,2.27,2.3,2.24,2.28,4933050,0.8426,76.3275,28.5034
1832,20180302,2.26,2.28,2.25,2.27,3528270,0.8419,68.5102,29.1352
1833,20180305,2.27,2.3,2.26,2.28,3512580,0.8483,64.7839,29.3449
1834,20180306,2.28,2.31,2.27,2.31,5609130,0.8622,65.5564,29.3484
1835,20180307,2.31,2.47,2.29,2.43,9152460,0.9096,73.7797,27.5449
1836,20180308,2.43,2.47,2.35,2.38,5317270,0.8936,76.8323,25.8702
1837,20180309,2.38,2.39,2.34,2.36,3304000,0.8887,77.46,24.1782
1838,20180312,2.31,2.36,2.31,2.31,3545030,0.8728,73.374,22.7052
1839,20180313,2.31,2.33,2.28,2.31,5192010,0.8755,64.7893,21.7303
1840,20180314,2.31,2.33,2.29,2.31,4161180,0.8783,52.8058,20.825
1841,20180315,2.31,2.33,2.29,2.32,3278140,0.8847,46.3007,19.9844
1842,20180316,2.35,2.36,2.3,2.35,5483980,0.8987,47.1772,18.6859
1843,20180319,2.36,2.38,2.33,2.34,4645770,0.8978,51.5749,17.5536
1844,20180320,2.32,2.34,2.3,2.32,3184900,0.893,53.1663,16.6009
1845,20180321,2.34,2.39,2.33,2.35,7689020,0.9072,59.488,15.9296
1846,20180322,2.35,2.36,2.3,2.32,3645320,0.8985,59.4951,14.8
1847,20180323,2.29,2.29,2.24,2.25,7016470,0.8741,45.8082,14.6261
1848,20180326,2.25,2.27,2.23,2.25,3323670,0.8769,33.3941,14.6016
1849,20180327,2.29,2.32,2.25,2.25,4993360,0.88,23.7862,13.7183
1850,20180328,2.25,2.29,2.25,2.28,3381520,0.8944,18.5173,12.8981
1851,20180329,2.28,2.29,2.25,2.26,1643260,0.8894,13.7936,12.1365
1852,20180330,2.27,2.27,2.25,2.27,2808710,0.8957,21.6536,11.4293
1853,20180402,2.27,2.28,2.25,2.27,3189800,0.8973,29.5136,10.6546
1854,20180403,2.26,2.29,2.25,2.27,3867930,0.8983,37.3736,10.14
1855,20180404,2.28,2.31,2.26,2.28,3953900,0.9035,39.8659,10.0655
1856,20180405,2.28,2.29,2.27,2.29,3182340,0.9088,50.4453,9.9964
1857,20180406,2.29,2.36,2.29,2.33,6810790,0.9259,62.5853,11.1779
1858,20180409,2.34,2.38,2.31,2.31,4570720,0.9193,70.0872,12.5675
1859,20180410,2.31,2.32,2.26,2.29,3916670,0.9129,73.1865,12.6403
1860,20180411,2.3,2.3,2.23,2.23,3557030,0.8905,61.625,12.077
1861,20180412,2.23,2.25,2.22,2.25,3586540,0.8997,51.2939,11.3507
1862,20180413,2.26,2.27,2.24,2.25,2960820,0.9005,36.2666,11.0635
1863,20180416,2.23,2.26,2.23,2.25,2981930,0.9015,25.8775,10.5753
1864,20180417,2.24,2.26,2.23,2.26,2734240,0.9066,22.7227,10.1219
1865,20180418,2.27,2.27,2.22,2.25,3247200,0.9039,28.2964,9.9227
1866,20180419,2.25,2.26,2.22,2.23,3572410,0.8972,24.5882,9.7377
1867,20180420,2.22,2.24,2.21,2.23,1785510,0.8984,20.88,9.2881
1868,20180423,2.23,2.24,2.18,2.18,2733540,0.8797,15.9072,9.1532
1869,20180424,2.17,2.18,2.08,2.1,4795040,0.8492,8.1027,10.8362
1870,20180426,2.07,2.1,2.0,2.02,4924450,0.8188,2.529,13.3152
1871,20180427,2.03,2.05,2.01,2.05,3500010,0.8331,5.3085,15.6172
1872,20180502,2.02,2.07,2.0,2.02,2362370,0.8238,7.0773,17.2102
1873,20180503,2.02,2.04,1.97,2.02,2991900,0.8267,10.3991,19.0353
1874,20180504,2.02,2.04,2.0,2.03,1343960,0.8335,15.486,20.7301
1875,20180507,2.04,2.06,2.02,2.06,1239350,0.8483,25.6662,21.7238
1876,20180508,2.06,2.07,2.03,2.06,1358160,0.8505,31.8023,22.3606
1877,20180509,2.04,2.06,2.01,2.01,2522530,0.8324,35.2086,23.25
1878,20180510,2.03,2.03,2.0,2.02,1618850,0.8389,40.6414,24.222
1879,20180511,2.02,2.02,1.99,2.02,2321030,0.8412,45.6821,25.272
1880,20180514,2.02,2.03,1.99,2.01,1665610,0.8394,44.621,25.9096
1881,20180515,2.0,2.02,2.0,2.01,2173840,0.8419,48.4918,26.5016
1882,20180516,2.08,2.1,2.03,2.04,3999500,0.8568,62.0521,24.7524
1883,20180517,2.04,2.06,2.02,2.04,2549390,0.8589,73.2975,23.3471
1884,20180518,2.04,2.04,2.01,2.02,2271070,0.8527,78.7907,22.2631
1885,20180521,2.02,2.02,1.99,2.01,2022460,0.8509,83.1854,21.6866
1886,20180522,2.01,2.01,1.92,2.01,3268620,0.8534,82.6484,22.366
1887,20180523,1.98,2.0,1.95,2.0,1556900,0.8516,72.0492,22.9969
1888,20180524,1.98,2.0,1.96,1.99,970350,0.8497,56.1594,23.5827
1889,20180525,1.99,1.99,1.94,1.96,1568560,0.8394,40.5387,24.4513
1890,20180528,1.95,1.95,1.83,1.83,4061170,0.7865,27.0248,26.5486
1891,20180529,1.79,1.89,1.76,1.85,1787270,0.7979,18.3335,29.0291
1892,20180530,1.83,1.85,1.8,1.83,1251800,0.792,12.5013,31.3324
1893,20180531,1.84,1.86,1.82,1.84,909270,0.7991,14.4099,33.1709
1894,20180601,1.84,1.96,1.84,1.96,6344860,0.8536,34.4099,32.4185
1895,20180604,2.01,2.06,2.0,2.03,4328140,0.8865,54.4099,30.1591
1896,20180605,2.05,2.05,2.01,2.01,4079390,0.88,68.302,28.0611
