,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2244,20171204,18.7856,19.7479,18.4776,19.7496,8175010,0.9442,90.6957,27.9051
2245,20171205,20.0944,20.3639,19.4015,19.4031,7321840,0.9295,89.5852,28.3973
2246,20171206,19.3245,20.1329,19.132,19.9036,5645430,0.9549,95.082,28.3013
2247,20171207,20.1714,20.2869,19.44,19.5956,3290530,0.9415,93.1551,28.39
2248,20171208,19.5555,19.594,19.0935,19.1721,4580580,0.9229,85.7808,27.7654
2249,20171211,18.8626,19.0165,18.0927,18.0942,3669450,0.873,67.2492,26.02
2250,20171212,18.0927,18.4776,17.1688,18.1711,3971820,0.8785,53.1483,25.5062
2251,20171213,18.4776,18.6316,18.2466,18.3636,1323410,0.8898,37.4845,24.7917
2252,20171214,18.2851,18.4006,18.0927,18.4021,1599630,0.8937,24.2572,24.3046
2253,20171215,18.3236,18.8626,18.3236,18.8641,3051280,0.918,20.5823,23.1249
2254,20171218,19.0165,19.286,18.901,18.9411,2221170,0.9236,28.9363,21.5212
2255,20171219,19.0935,19.44,18.8241,18.9411,2698170,0.9248,36.4869,20.2437
2256,20171220,18.9395,19.0935,18.6316,18.7101,2637000,0.9148,38.8695,18.8238
2257,20171221,18.7086,19.0935,18.7086,18.7101,2306330,0.9156,42.0331,17.5053
2258,20171222,18.7856,18.8626,18.2466,18.2481,2817160,0.8942,33.6784,16.9716
2259,20171225,18.3621,18.4391,18.1696,18.3251,1295820,0.8993,25.6599,16.586
2260,20171226,18.4006,18.7086,18.1696,18.5946,1680740,0.9137,23.3165,15.7449
2261,20171227,18.4776,18.7856,18.4391,18.4791,1196990,0.9093,24.5387,14.8268
2262,20171228,18.7086,18.7086,18.4391,18.5561,1351510,0.9144,29.1538,13.9743
2263,20171229,18.4776,19.209,18.3236,18.8641,4322630,0.9307,48.5578,13.6608
2264,20180103,19.0935,19.594,19.055,19.4801,4963100,0.962,66.7539,13.9593
2265,20180104,19.6325,19.9019,19.4785,19.8266,3760710,0.9802,79.275,14.6643
2266,20180105,19.8249,19.8634,19.2475,19.4031,3887470,0.9605,84.7155,14.827
2267,20180108,19.1705,19.5555,18.8626,19.4801,3480500,0.9657,87.6305,14.22
2268,20180109,19.44,20.8258,19.44,20.8275,10399640,1.0331,87.6305,15.2882
2269,20180110,21.2492,21.7882,20.8258,21.2125,8334180,1.0526,87.6305,17.1197
2270,20180111,21.1723,21.4802,20.6333,21.2125,5405710,1.0529,87.6305,18.4729
2271,20180112,21.0953,21.7112,20.7873,21.097,6179350,1.0477,92.9016,19.9244
2272,20180115,21.0183,22.1346,20.7873,22.0595,7274990,1.0955,98.6526,21.6121
2273,20180116,21.9422,22.0576,21.0953,21.097,6895370,1.0483,89.5705,23.1793
2274,20180117,20.7873,20.9413,19.6325,19.6341,10745770,0.977,70.7412,22.1993
2275,20180118,18.978,19.6325,18.7086,19.6341,6730670,0.9786,51.1465,21.0253
2276,20180119,19.7864,20.0944,19.594,19.6726,4030390,0.982,32.7489,19.6381
2277,20180122,19.7864,20.1714,19.4015,20.0576,4869060,1.0026,15.5551,18.3408
2278,20180125,19.9789,20.0944,19.363,19.4031,6892610,0.9716,4.6371,17.1819
2279,20180126,19.4785,19.8634,19.4015,19.5956,2991920,0.9829,4.7074,16.1057
2280,20180129,19.6325,20.2484,19.6325,20.1731,4198060,1.0133,9.0506,15.3146
2281,20180130,20.1714,20.2484,19.6325,20.0191,3706960,1.0069,12.5122,14.58
2282,20180131,19.9404,20.5563,19.4015,20.0961,5734090,1.0118,13.9081,14.3113
2283,20180201,20.2484,20.2484,19.7094,19.7496,2051130,0.9955,15.6617,14.0618
2284,20180202,19.9019,20.0174,19.594,19.8651,1102880,1.0022,16.9909,13.6258
2285,20180205,19.517,19.6325,18.4776,18.4791,3586950,0.9339,12.2424,13.7182
2286,20180206,18.0927,18.4776,17.2073,18.0942,5970250,0.9163,8.5257,15.0567
2287,20180207,18.5546,19.1705,18.4776,18.6716,1702630,0.9473,11.2259,15.2777
2288,20180208,18.6316,18.6316,17.6692,17.6707,2743420,0.8988,9.4723,16.1815
2289,20180209,17.2073,17.4767,16.8608,17.4012,2236990,0.8875,6.9022,17.6077
2290,20180212,17.7077,18.0542,17.5152,17.7092,1445180,0.9055,10.2139,18.1478
2291,20180213,18.0542,18.4006,17.9772,18.2481,1833090,0.9352,18.9726,18.2066
2292,20180221,18.4776,18.7856,18.1696,18.6331,2421280,0.9568,24.4412,17.7858
2293,20180222,18.4391,19.3245,18.2851,18.9026,5358140,0.9723,39.2607,16.7711
2294,20180223,19.209,20.0174,19.209,19.9036,4652300,1.0249,59.2607,16.0367
2295,20180226,19.9404,20.2484,19.1705,19.1721,3523380,0.9888,70.4971,15.5801
2296,20180227,19.0935,19.3245,18.6701,19.0566,2058010,0.9843,75.4704,14.5848
2297,20180228,18.7086,18.9395,18.5931,18.7101,2848460,0.9681,74.3787,13.5739
2298,20180301,18.7086,19.4785,18.5161,19.1721,2109950,0.9934,74.327,13.2226
2299,20180302,18.8626,19.1705,18.8241,18.9411,1748460,0.983,67.3596,12.8964
2300,20180305,18.8626,18.8626,17.9772,18.0172,4759030,0.9368,59.6304,12.3723
2301,20180306,18.1696,18.9395,17.7077,18.9411,2667010,0.9864,59.6041,12.1751
2302,20180307,18.7856,19.6325,18.7086,19.1721,2924300,0.9997,63.5929,11.4505
2303,20180308,19.132,19.594,18.8626,18.8641,1730190,0.9851,60.7364,10.7776
2304,20180309,18.978,19.0165,18.6316,18.7101,2264000,0.9786,55.5525,10.1502
2305,20180312,18.1311,18.7086,18.0927,18.1326,3216990,0.9505,50.6188,10.1987
2306,20180313,18.0927,18.7856,17.8617,18.6716,3393420,0.9805,45.2959,10.4982
2307,20180314,18.5546,18.8626,18.2851,18.4021,1813010,0.9681,35.5497,10.6608
2308,20180315,18.3236,18.4776,17.9772,18.4791,2603250,0.9738,33.768,11.1694
2309,20180316,18.0542,18.4391,18.0542,18.0557,2980420,0.9533,28.7936,11.6416
2310,20180319,18.2851,18.4006,17.9772,18.0172,1377800,0.9529,29.127,12.1763
2311,20180320,17.9387,18.2466,17.9387,18.0172,1283160,0.9544,22.9626,12.7232
2312,20180321,18.0927,18.2466,17.9387,18.1711,1434570,0.9641,23.5015,13.2311
2313,20180322,18.1696,18.4006,18.0927,18.3251,1291230,0.9736,23.316,13.3692
2314,20180323,17.9387,18.2466,17.7847,18.2481,1856540,0.9707,27.1661,13.9666
2315,20180326,18.2466,18.2466,17.4767,17.4782,2749450,0.9311,24.9476,14.9516
2316,20180327,17.5537,17.7847,17.5537,17.6322,1752730,0.9401,26.623,15.8662
2317,20180328,17.5537,17.6307,17.3997,17.6322,869290,0.941,24.7899,16.936
2318,20180329,17.4382,17.6692,17.4382,17.6322,854510,0.9415,19.0732,17.8231
2319,20180330,17.7491,17.9459,17.6704,17.9464,916230,0.9581,26.2089,17.8994
2320,20180402,18.0246,18.1033,17.8278,17.9464,936690,0.958,42.396,17.5693
2321,20180403,17.7885,17.8672,17.3556,17.5135,1697120,0.9347,42.4147,18.0826
2322,20180404,17.4736,17.8672,17.4736,17.8677,1705620,0.9527,55.2641,18.5592
2323,20180405,17.8672,17.8672,17.631,17.789,1503610,0.9483,65.7598,19.0018
2324,20180406,17.7098,17.7885,17.513,17.6316,1589230,0.9401,61.8659,19.626
2325,20180409,17.5523,17.9459,17.5523,17.9464,2306000,0.9568,65.6788,19.7137
2326,20180410,18.0246,18.2214,17.7885,17.789,1398050,0.9486,77.0812,18.9988
2327,20180411,17.7885,17.8672,16.9227,17.1986,2148370,0.9173,60.0043,19.8695
2328,20180412,17.1588,17.3162,16.411,16.5296,3343250,0.8822,45.2812,21.3244
2329,20180413,16.5291,16.5291,15.5452,15.5457,4366250,0.8305,35.315,23.5006
2330,20180416,15.3878,15.4272,14.7581,14.9553,3015070,0.8004,15.315,26.0694
2331,20180417,14.9549,15.6633,14.9155,15.6638,1579220,0.8397,8.0323,27.8978
2332,20180418,15.3878,15.6633,15.3091,15.467,2323650,0.8305,15.0606,29.5956
2333,20180419,15.3091,15.3091,14.6401,14.6405,2656800,0.7876,18.3315,31.6501
2334,20180420,14.7188,14.9549,14.2465,14.6011,1754900,0.7869,21.4379,33.7977
2335,20180423,14.6007,14.6007,13.6168,13.6172,3939760,0.7355,21.4379,36.1255
2336,20180424,13.2233,13.6168,13.1052,13.1843,1858360,0.7141,13.4056,38.5185
2337,20180426,12.9872,13.3807,12.7904,12.8695,1835570,0.6989,6.3773,40.8709
2338,20180427,12.8297,13.3807,12.8297,13.1843,1947980,0.7179,6.245,43.0553
2339,20180502,12.2788,12.5936,12.2788,12.2791,4527520,0.6709,3.784,45.3052
2340,20180503,11.5704,11.8852,11.4523,11.4526,8392320,0.628,3.784,47.6659
2341,20180504,11.4523,11.7671,11.2162,11.2559,2290820,0.6196,3.784,49.9259
2342,20180507,11.3342,11.5704,11.2555,11.5707,2505440,0.6393,9.1401,52.0244
2343,20180508,11.6097,11.6491,11.1768,11.1771,2436590,0.62,9.5601,53.7592
2344,20180509,11.1375,11.9246,11.1375,11.9249,3990970,0.6644,24.3028,54.6243
2345,20180510,12.1213,12.2788,11.5704,11.7281,2921110,0.6562,39.6858,54.5297
2346,20180511,11.3342,11.5704,11.2555,11.4133,2003950,0.6417,55.626,54.6675
2347,20180514,11.6097,11.6097,11.2949,11.3739,1444660,0.6424,65.8942,54.6948
2348,20180515,11.3342,11.6491,11.2949,11.4133,2157990,0.6475,78.8657,54.6134
2349,20180516,11.413,11.5704,11.2555,11.2559,1725370,0.641,78.5813,54.5719
2350,20180517,11.2555,11.413,11.0194,11.1771,2152170,0.6391,77.5688,54.7374
2351,20180518,11.1375,11.2555,10.9407,11.0197,1503390,0.6328,74.4999,54.9583
2352,20180521,10.9013,10.98,10.311,10.3113,4675610,0.5948,65.715,55.6402
2353,20180522,10.311,10.3897,9.6026,9.6029,4421720,0.557,51.1782,56.6813
2354,20180523,9.2878,9.6026,8.9336,9.6029,6269800,0.56,38.0678,57.9473
2355,20180524,9.6026,9.642,8.9729,9.2487,2615430,0.5424,23.6973,59.0127
2356,20180525,9.2091,9.3665,9.0123,9.0913,2433050,0.5362,10.8261,60.002
2357,20180528,8.8942,9.2878,8.4613,8.4616,3918470,0.5021,3.9868,61.1637
2358,20180529,8.1071,8.9336,8.0678,8.8551,2782900,0.5284,11.5071,62.3916
2359,20180530,8.8155,9.091,8.54,8.7371,3661680,0.5243,19.0504,63.0666
2360,20180531,9.0909,9.3074,9.0043,9.1778,4622470,0.5539,39.0504,63.064
2361,20180601,9.2641,9.7835,9.2641,9.7838,4504890,0.5936,59.0504,61.7999
2362,20180604,10.2164,10.4329,10.1299,10.4332,2992410,0.6361,79.0504,59.2005
2363,20180605,11.1255,11.1255,10.9957,11.1259,7358480,0.6816,89.5367,55.5667
2364,20180606,11.2554,11.2554,10.8225,11.0393,5315440,0.6798,99.5503,52.4241
2365,20180607,11.039,11.0822,10.4762,10.6497,3312470,0.6595,97.1095,49.9532
2366,20180608,10.4762,11.3853,10.303,11.3856,4127630,0.7086,97.1095,47.1323
2367,20180611,11.0822,11.9048,10.9524,11.5155,3883520,0.7203,97.1095,43.8353
2368,20180612,11.2121,11.4719,10.9091,10.9094,3214330,0.6866,94.192,40.7074
2369,20180613,11.0822,11.2554,10.9091,11.0826,1652500,0.702,92.552,37.8029
2370,20180614,11.2987,11.6883,11.2554,11.4289,4463800,0.7285,94.5198,35.7945
2371,20180615,11.4286,11.5151,11.2554,11.3423,6385720,0.7275,93.4219,33.9296
2372,20180618,11.342,11.8182,10.9091,11.0826,4282870,0.7159,90.7003,31.5544
2373,20180619,10.9957,11.0822,10.3463,10.5631,4135960,0.687,86.3787,30.156
2374,20180620,10.8225,10.9957,10.5195,10.996,1610580,0.7192,82.9347,28.8575
2375,20180621,10.9091,10.9091,10.6926,10.7363,1432290,0.7063,68.9827,27.6517
2376,20180622,10.7359,10.9957,10.5628,10.9527,1398360,0.7247,59.309,26.7517
2377,20180625,11.1688,11.1688,10.8225,10.8228,1767770,0.7205,48.439,25.5233
2378,20180626,10.8225,11.0822,10.6493,10.8661,1379990,0.7275,43.155,24.699
2379,20180627,10.9091,11.3853,10.8225,10.9094,3262440,0.7347,37.2932,23.2458
2380,20180628,10.9091,10.9524,10.4762,10.4765,1565930,0.7102,31.7182,22.5397
2381,20180629,10.6493,10.6926,10.4762,10.4765,1151200,0.7148,22.4898,21.884
2382,20180702,10.3896,10.3896,9.7835,9.7838,5628190,0.6723,16.0814,22.3846
2383,20180703,9.7835,9.8268,9.1342,9.1345,4695600,0.6323,8.6045,23.6278
2384,20180704,9.1342,9.3506,8.8312,9.2211,1941420,0.643,1.284,25.0897
2385,20180705,9.3074,9.3074,8.658,8.7016,1761770,0.6109,1.284,26.6155
2386,20180706,8.658,9.1342,8.4848,9.0479,2759430,0.6393,6.5529,28.1985
2387,20180709,9.1775,9.2641,8.9177,9.0046,1751870,0.6406,11.4749,29.3082
2388,20180710,9.0043,9.1342,8.7013,8.7449,1542050,0.6261,14.3362,30.569
2389,20180711,8.6493,8.658,8.4416,8.4418,2244290,0.6083,13.598,32.0011
2390,20180712,8.6234,8.8745,8.2424,8.6236,1656310,0.6255,17.2894,32.7036
2391,20180713,8.6234,8.9177,8.6234,8.7016,1476510,0.6356,17.072,33.2305
2392,20180716,8.8312,8.9177,8.6234,8.6583,1551300,0.6371,16.7876,33.7198
2393,20180717,8.5714,8.7446,8.5714,8.7449,1452930,0.6483,22.382,34.2468
2394,20180718,8.8312,9.3506,8.7013,9.3509,3415310,0.6987,41.8362,32.9656
2395,20180719,10.0,10.0,9.9134,10.0003,3784160,0.7523,58.1449,30.8464
