,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
2503,20171204,14.1808,14.8521,13.5934,14.6847,1958770,1.1424,100.0,34.0067
2504,20171205,14.6843,15.2297,14.6843,15.0203,1897440,1.1699,100.0,36.6835
2505,20171206,14.6003,14.8521,13.971,13.9714,1159860,1.0902,88.6723,37.2271
2506,20171207,13.5934,14.1808,13.5095,14.0973,422740,1.1021,77.9657,36.7065
2507,20171208,14.0969,14.2647,13.5934,14.0973,287010,1.104,66.5418,36.3187
2508,20171211,14.0969,14.7682,13.7193,14.1812,567980,1.1117,55.6055,36.4981
2509,20171212,14.1808,14.2647,13.4256,13.9714,425450,1.0959,39.8536,36.0243
2510,20171213,13.971,14.2647,13.8871,13.8875,350600,1.0903,32.5043,35.5843
2511,20171214,13.8871,14.013,13.7193,13.8456,297280,1.0879,23.2109,34.7951
2512,20171215,14.013,14.013,13.6354,13.6358,312340,1.0723,14.6347,33.87
2513,20171218,13.7612,13.9291,13.6354,13.6777,345940,1.0762,6.0058,33.011
2514,20171219,13.6773,14.1388,13.6773,14.0553,688330,1.1065,5.8955,32.5425
2515,20171220,14.2227,14.5164,14.0969,14.1812,781250,1.1169,9.8471,32.6466
2516,20171221,13.8452,14.2647,13.7612,13.7616,272080,1.0841,9.8471,31.887
2517,20171222,13.7612,13.9291,13.6773,13.6777,153260,1.0782,9.8471,30.9767
2518,20171225,13.5934,13.5934,13.2997,13.3001,459250,1.0492,9.4124,29.2609
2519,20171226,13.1319,13.5934,13.1319,13.3421,282080,1.0533,6.0381,27.3111
2520,20171227,13.3417,13.5515,13.3417,13.426,179610,1.0606,3.1042,25.5005
2521,20171228,13.4256,13.5095,13.2997,13.426,163520,1.0608,5.445,23.7219
2522,20171229,13.3417,13.4256,13.048,13.0484,522660,1.0314,5.445,22.5553
2523,20180103,13.5095,13.5095,13.09,13.3421,274280,1.0547,10.9175,21.2594
2524,20180104,13.4676,13.4676,13.2578,13.3421,252990,1.055,15.6265,20.0561
2525,20180105,13.4256,14.0549,13.3417,13.9295,1002020,1.1013,28.1994,19.6783
2526,20180108,13.9291,14.3486,13.9291,14.1812,771040,1.1208,44.0761,19.8756
2527,20180109,14.2647,14.4325,14.013,14.3071,669630,1.1304,63.8725,20.2081
2528,20180110,14.2647,14.2647,13.8032,13.8036,677280,1.0907,68.6366,19.915
2529,20180111,13.8452,13.8452,13.4256,13.5938,546260,1.0743,70.0287,18.6813
2530,20180112,13.5095,13.9291,13.4256,13.7197,424900,1.0843,63.9565,17.7235
2531,20180115,13.8452,13.8452,13.5934,13.6358,189970,1.0776,53.1103,16.8341
2532,20180116,13.7612,13.7612,13.4256,13.468,368370,1.0637,37.7696,15.6982
2533,20180117,13.5095,14.013,13.4256,14.0134,840510,1.1048,40.6511,15.1372
2534,20180118,14.1808,14.6423,14.0969,14.4329,1419880,1.1358,52.2328,15.8645
2535,20180119,14.5164,14.5164,14.1808,14.2651,719700,1.1204,58.7332,16.5398
2536,20180122,14.4325,14.936,14.2647,14.4329,948270,1.1314,68.1081,17.8491
2537,20180125,13.6773,14.013,13.4256,13.426,2100290,1.051,63.6523,16.9846
2538,20180126,13.4256,13.8452,13.4256,13.5938,422730,1.0626,53.1554,16.1818
2539,20180129,13.7193,13.7612,13.4256,13.426,244610,1.0488,34.9046,15.4364
2540,20180130,13.1739,13.4256,13.0061,13.1743,573340,1.029,19.5628,14.8208
2541,20180131,13.1739,13.5934,13.1739,13.5938,268640,1.0612,9.2246,13.8777
2542,20180201,13.7612,13.7612,13.2578,13.3421,221620,1.041,12.2656,13.1325
2543,20180202,13.2578,13.4676,13.2578,13.2582,133880,1.0337,11.5778,12.4406
2544,20180205,13.2578,13.2578,12.4187,12.419,370200,0.9683,11.3823,12.9623
2545,20180206,11.5796,11.7474,11.5796,11.5799,724140,0.9037,11.3823,14.5615
2546,20180207,11.6635,12.3767,11.6635,12.3351,160480,0.9629,11.2908,14.7341
2547,20180208,12.5026,12.5026,11.4957,12.2512,101930,0.9567,14.1391,15.1169
2548,20180209,11.4957,12.125,11.4957,12.1254,176680,0.9473,17.5936,15.4723
2549,20180212,12.4187,12.4187,11.9572,12.1673,42580,0.9507,23.3586,15.1953
2550,20180213,12.167,12.6704,12.167,12.6288,73370,0.9866,39.0424,14.4494
2551,20180221,12.6285,12.7543,12.5026,12.6288,107920,0.9866,48.4098,13.5956
2552,20180222,12.6285,12.6704,12.2509,12.2512,50700,0.9573,54.094,13.2558
2553,20180223,12.2509,12.6285,12.2509,12.5869,91980,0.9835,65.0203,12.9403
2554,20180226,12.6704,12.7543,12.4187,12.5869,81920,0.9834,75.5692,12.3649
2555,20180227,12.5865,12.5865,12.4187,12.5869,63840,0.9833,79.3671,11.8306
2556,20180228,12.3767,13.2997,12.3767,13.2162,340310,1.0318,83.6832,12.0813
2557,20180301,13.0061,13.2997,12.9221,13.1743,167640,1.0278,91.6199,12.3141
2558,20180302,13.1739,13.1739,12.7124,12.7547,74780,0.9947,90.136,12.022
2559,20180305,12.7543,13.0061,12.5026,12.7547,177280,0.9942,85.9122,11.2689
2560,20180306,12.5445,12.5865,12.167,12.3351,299530,0.9615,71.8827,11.0612
2561,20180307,11.9152,12.5865,11.9152,12.503,144930,0.9744,60.6142,11.344
2562,20180308,12.7543,13.0061,12.3767,12.503,126550,0.9743,49.4012,10.6589
2563,20180309,12.7124,12.7124,12.083,12.3771,532000,0.9646,38.2263,10.5841
2564,20180312,12.167,12.4187,12.083,12.1673,86310,0.9485,26.1361,10.5146
2565,20180313,12.2928,12.6704,12.167,12.5869,115820,0.981,31.3734,9.8735
2566,20180314,12.3348,13.0061,12.3348,13.0064,392040,1.0132,42.3253,9.7522
2567,20180315,13.048,13.4256,12.9221,12.9225,278380,1.0061,51.7641,10.3877
2568,20180316,12.9221,13.09,12.5026,12.9225,208530,1.0056,65.8451,10.0507
2569,20180319,13.09,13.09,12.6285,12.6708,99280,0.9857,77.4732,9.7377
2570,20180320,12.5865,12.8382,12.4187,12.5869,440630,0.979,76.5965,9.0876
2571,20180321,12.5865,12.8802,12.5865,12.8386,141380,0.9984,73.2234,8.4844
2572,20180322,12.8382,12.8802,12.5865,12.7547,360110,0.9918,69.5948,7.9243
2573,20180323,12.3767,12.7543,12.3767,12.6288,317400,0.9818,62.6534,7.8051
2574,20180326,12.6285,12.8802,12.5026,12.8386,944880,0.9977,67.5939,7.3725
2575,20180327,12.8802,13.1739,12.5865,12.7547,474530,0.9906,71.9701,7.4208
2576,20180328,12.6704,12.8382,12.5865,12.5869,50550,0.9769,65.177,7.4657
2577,20180329,12.5865,12.5865,12.2509,12.3351,346400,0.9569,54.1255,7.2309
2578,20180330,12.5865,12.5865,12.3767,12.3771,84740,0.9595,44.9743,7.0129
2579,20180402,12.3767,12.4187,12.2089,12.2512,404290,0.9487,28.4057,7.2319
2580,20180403,12.2509,12.2509,12.0411,12.0834,402520,0.9348,14.2168,7.8347
2581,20180404,12.3348,12.3348,12.083,12.0834,196740,0.9341,4.6994,8.1268
2582,20180405,12.2509,12.3767,12.083,12.3771,90790,0.9558,12.8952,8.2611
2583,20180406,12.167,12.5026,12.167,12.3351,44850,0.9516,21.2231,7.9731
2584,20180409,12.2928,12.5026,12.083,12.1673,143010,0.9383,26.164,7.9544
2585,20180410,12.083,12.2928,11.9572,11.9995,156730,0.9251,26.4242,8.3022
2586,20180411,12.167,12.8382,11.9991,11.9995,141210,0.9249,26.6844,8.4492
2587,20180412,12.083,12.2089,11.7894,11.9995,140290,0.9246,15.6929,7.9676
2588,20180413,11.9572,12.125,11.6635,11.6638,173630,0.8984,5.7216,7.6271
2589,20180416,11.6635,11.9152,11.6215,11.6638,87150,0.8981,0.7806,7.4288
2590,20180417,11.7474,11.7474,10.8663,11.6638,240100,0.8976,0.5204,8.9309
2591,20180418,11.6215,11.6635,11.5796,11.6638,198060,0.8974,0.2602,10.3257
2592,20180419,11.4957,11.5796,11.3279,11.3282,230670,0.8721,0.0,12.068
2593,20180420,11.3279,11.4537,11.2439,11.3701,124430,0.8755,1.738,13.8281
2594,20180423,11.4537,11.4957,10.9922,11.3282,301520,0.8727,2.738,15.8674
2595,20180424,11.3279,11.3279,10.9922,11.0764,92280,0.8538,2.738,17.761
2596,20180426,11.0761,11.1181,10.7405,10.7828,210940,0.832,2.738,19.9067
2597,20180427,10.9083,11.2859,10.7824,11.0764,247520,0.8554,12.7614,21.231
2598,20180502,10.8244,11.16,10.6566,10.8247,230230,0.8372,18.845,22.6744
2599,20180503,10.8244,10.8244,10.5727,10.6569,217970,0.8257,23.3635,24.1559
2600,20180504,11.0342,11.0342,10.6566,10.8667,114340,0.8435,36.2656,24.6783
2601,20180507,10.8663,11.3279,10.8663,11.3282,97890,0.881,56.2656,24.1158
2602,20180508,11.4537,11.4537,11.0761,11.1604,92770,0.8698,63.7956,23.1851
