,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1607,20171204,7.7896,8.0293,7.7596,7.9103,3504100,1.6995,26.55,45.3661
1608,20171205,8.0892,8.0892,7.6997,7.9702,3423280,1.6975,34.1387,44.9205
1609,20171206,7.9094,8.0892,7.7896,7.9103,3350650,1.6701,44.0324,44.5067
1610,20171207,7.9094,7.9694,7.7297,7.9103,1917620,1.6557,49.8076,43.8512
1611,20171208,7.7896,7.9094,7.7297,7.7904,2228010,1.6173,48.672,43.2425
1612,20171211,7.7263,7.8213,7.4096,7.5367,1574660,1.5528,38.3332,41.2784
1613,20171212,7.5363,7.5363,7.1246,7.4734,1969740,1.5284,26.9565,38.4473
1614,20171213,7.4413,7.6313,7.4413,7.5684,1627820,1.5362,18.5622,36.1128
1615,20171214,7.6014,7.9747,7.6014,7.9413,3598480,1.5985,15.6742,34.8891
1616,20171215,7.839,7.9408,7.7711,7.8056,2671460,1.5587,14.172,33.7528
1617,20171218,7.8729,8.0765,7.839,7.9753,3332480,1.5794,23.4954,33.0472
1618,20171219,7.9408,8.0087,7.7032,7.8734,2342450,1.5465,29.1824,31.8513
1619,20171220,7.8051,7.8729,7.6014,7.7716,2631770,1.5148,29.3223,30.3502
1620,20171221,7.7711,7.7711,7.6354,7.7377,2555130,1.4967,22.5896,28.9563
1621,20171222,7.7372,7.839,7.4657,7.7038,3302830,1.4787,17.3963,27.0023
1622,20171225,7.6693,7.7032,7.5336,7.6019,2063510,1.4484,7.5992,25.1879
1623,20171226,7.6014,7.7032,7.5675,7.6359,2115760,1.4441,2.9501,23.5031
1624,20171227,7.6354,7.7372,7.4657,7.6359,2043930,1.4334,2.6487,22.1364
1625,20171228,7.6354,7.6354,7.4318,7.6359,1952330,1.4228,3.8013,21.0083
1626,20171229,7.5675,7.6354,7.33,7.5341,2076930,1.3938,3.8013,20.3793
1627,20180103,7.7032,7.7711,7.6693,7.7377,2080200,1.4206,11.9374,19.1347
1628,20180104,7.6693,7.8051,7.6354,7.7716,1989520,1.4158,20.2949,17.8191
1629,20180105,7.7711,7.8051,7.6693,7.7716,1940140,1.4054,29.1026,16.5974
1630,20180108,7.7711,7.8051,7.5336,7.7377,2150980,1.3891,35.6896,16.1118
1631,20180109,7.7372,8.2462,7.6354,8.2468,4746340,1.4683,55.6896,16.1634
1632,20180110,8.0765,8.8231,8.0765,8.4843,11557110,1.4975,67.5535,17.724
1633,20180111,8.4838,8.6874,8.4159,8.5182,5077260,1.4906,78.1581,19.1732
1634,20180112,8.348,8.5177,8.348,8.5182,3280660,1.4778,88.0124,20.1877
1635,20180115,8.4159,8.5516,8.2801,8.2807,5195100,1.4249,91.0476,20.7971
1636,20180116,8.2123,8.348,8.0765,8.0771,3730770,1.3792,75.6735,20.4315
1637,20180117,8.0087,8.1444,7.9069,8.0771,2654720,1.3687,60.2995,19.4035
1638,20180118,8.0087,8.2462,7.8729,8.2128,3180330,1.3807,48.021,18.792
1639,20180119,8.1783,8.3141,8.1105,8.2128,2167240,1.3698,35.7425,18.4496
1640,20180122,8.2123,8.3819,8.1105,8.1789,2541230,1.3536,27.1253,18.357
1641,20180125,8.2123,8.7213,8.2123,8.7219,7679270,1.431,38.6019,19.248
1642,20180126,8.5516,8.8231,8.5177,8.7219,4951920,1.4189,50.0786,20.3255
1643,20180129,8.6534,9.0946,8.5856,8.9934,5888030,1.45,62.357,21.9215
1644,20180130,8.9249,9.1285,8.6874,9.0612,4071090,1.4479,74.6355,23.4722
1645,20180131,9.0267,9.1625,8.6874,8.8576,4367300,1.4033,83.7152,24.9838
1646,20180201,8.7892,8.8231,8.5177,8.6879,2522720,1.3652,72.8604,25.4851
1647,20180202,8.6874,8.857,8.348,8.5522,3694660,1.333,57.4018,25.1399
1648,20180205,8.4838,8.4838,7.9747,8.2807,2599320,1.2809,37.4018,23.361
1649,20180206,7.7032,7.7372,7.7032,7.7038,2264680,1.1843,17.4018,22.5134
1650,20180207,7.7032,8.0087,7.4657,7.8395,4776100,1.1979,7.7167,20.9756
1651,20180208,7.8051,7.8051,7.5336,7.7377,1191480,1.1756,3.3189,19.5477
1652,20180209,7.7372,7.8051,7.33,7.8056,1707010,1.1792,4.4852,18.721
