,Date,Open,High,Low,Close,Volume,SMA100,Stoch RSI,ADX
1842,20171204,7.7943,7.8101,7.6996,7.7557,510700,0.9034,59.1256,23.6965
1843,20171205,7.8101,8.0155,7.7549,7.7794,461590,0.9053,56.8475,23.7873
1844,20171206,7.7706,7.818,7.6838,7.7083,167370,0.8963,54.9989,23.5056
1845,20171207,7.6996,7.818,7.6996,7.7636,107920,0.9019,54.9838,23.2441
1846,20171208,7.7628,7.818,7.6917,7.6925,300920,0.8929,53.4679,22.9562
1847,20171211,7.6206,7.6206,7.3442,7.345,527420,0.8522,44.3982,21.6415
1848,20171212,7.2968,7.3837,7.1073,7.2739,643620,0.8436,32.8995,21.2911
1849,20171213,7.2337,7.3995,7.2337,7.345,189160,0.8514,25.1262,20.89
1850,20171214,7.2652,7.4074,7.2652,7.3845,252120,0.856,17.2505,20.4773
1851,20171215,7.36,7.4627,7.3521,7.4635,209110,0.8656,16.9567,19.803
1852,20171218,7.4785,7.5416,7.4627,7.503,217850,0.8703,28.4747,18.7676
1853,20171219,7.5022,7.5732,7.3916,7.424,252850,0.8619,38.1179,18.1287
1854,20171220,7.4548,7.6206,7.4232,7.582,357760,0.8811,54.9606,17.2758
1855,20171221,7.5495,7.6443,7.5258,7.5267,151730,0.8756,67.6903,16.351
1856,20171222,7.5022,7.7154,7.439,7.7004,427570,0.8973,78.294,15.9337
1857,20171225,7.7312,7.7391,7.589,7.6214,175860,0.8903,81.475,15.3991
1858,20171226,7.6206,7.6996,7.5732,7.6925,388780,0.9005,91.4634,14.989
1859,20171227,7.6917,7.976,7.6838,7.8189,439800,0.9173,92.415,14.7891
1860,20171228,7.818,7.897,7.6996,7.7004,137340,0.9061,91.7841,14.6035
1861,20171229,7.818,7.818,7.6996,7.7873,296640,0.9186,90.2041,14.4311
1862,20180103,7.8259,7.897,7.6601,7.6688,500650,0.9066,86.7465,14.6875
1863,20180104,7.6601,7.818,7.6206,7.7399,373390,0.9177,82.7403,14.6346
1864,20180105,7.6838,7.7391,7.6206,7.653,391330,0.9102,73.1008,14.5855
1865,20180108,7.589,7.6601,7.5811,7.5899,170960,0.9055,64.6529,14.2266
1866,20180109,7.589,7.8575,7.589,7.7794,707790,0.9302,63.1805,15.002
1867,20180110,7.897,8.2919,7.7943,8.2533,1537150,0.9885,70.0298,17.2692
1868,20180111,8.2524,8.6077,8.1734,8.5297,1156150,1.0221,74.4044,20.0766
1869,20180112,8.4498,8.4893,8.1339,8.1348,767410,0.9753,73.4073,22.4121
1870,20180115,8.1339,8.4498,8.0549,8.3717,775590,1.0044,79.3829,24.0389
1871,20180116,8.3313,8.3313,8.1339,8.1348,819900,0.9768,70.1747,25.5495
1872,20180117,8.2129,8.2129,7.7391,7.7399,995410,0.9307,50.563,24.6346
1873,20180118,7.668,7.897,7.6206,7.8979,644650,0.9507,33.722,23.2425
1874,20180119,7.8259,8.0944,7.7391,7.7399,377720,0.9335,24.7873,22.6804
1875,20180122,7.7391,7.897,7.7391,7.8189,433220,0.9446,13.6035,22.1585
1876,20180125,7.976,8.0155,7.818,7.8189,764250,0.946,7.7521,22.096
1877,20180126,7.8575,7.8575,7.7549,7.7794,265970,0.9429,8.4644,21.7044
1878,20180129,7.897,7.976,7.7785,7.8426,364070,0.9526,7.7742,21.771
1879,20180130,7.8575,8.2129,7.7864,8.1743,857360,0.9945,15.9975,22.5767
1880,20180131,8.2129,8.2129,7.818,7.8189,560370,0.9531,15.339,23.3248
1881,20180201,7.897,7.897,7.5811,7.582,1011720,0.9258,13.451,22.7363
1882,20180202,7.5416,7.7391,7.5022,7.582,850700,0.9271,12.3503,21.8101
1883,20180205,7.4232,7.5653,7.1863,7.2108,764680,0.8838,9.8816,20.8567
1884,20180206,6.902,6.9494,6.7125,6.9027,1481150,0.8482,1.2296,21.3545
1885,20180207,7.1073,7.1231,6.8862,6.9501,761610,0.8561,1.0461,21.113
1886,20180208,6.9494,7.0283,6.7756,6.7922,338840,0.839,1.0461,21.1828
1887,20180209,6.3966,6.7914,6.3966,6.6737,511580,0.8272,1.0461,22.1174
1888,20180212,6.8704,6.9494,6.7914,6.9501,175940,0.864,6.7279,22.3564
1889,20180213,6.8783,7.0283,6.8704,6.958,323030,0.8674,12.5651,22.2731
1890,20180221,6.9573,7.1073,6.9573,7.0291,123120,0.8785,18.8105,21.8891
1891,20180222,7.0283,7.1626,7.0283,7.1239,354750,0.8926,28.0382,21.3153
1892,20180223,7.1073,7.2179,7.1073,7.1871,259640,0.9026,38.5565,20.5609
1893,20180226,7.2652,7.2652,7.1073,7.1081,216960,0.8948,46.2973,19.6667
1894,20180227,7.1863,7.1863,7.0362,7.1476,117560,0.9021,59.6215,19.0868
1895,20180228,7.1073,7.1468,6.9494,7.0607,501590,0.894,68.5321,18.8499
1896,20180301,7.0283,7.1389,6.9494,7.0923,319300,0.9007,76.9865,18.6299
1897,20180302,7.0283,7.2573,6.9652,7.2581,304680,0.9241,86.4682,17.845
1898,20180305,7.2573,7.2573,7.0678,7.0686,244230,0.9026,87.42,17.1162
1899,20180306,7.1073,7.3363,7.0599,7.2502,516970,0.9284,88.2586,16.0433
1900,20180307,7.2494,7.3758,7.2258,7.3055,269870,0.9382,92.0565,14.9446
1901,20180308,7.3442,7.3442,7.2337,7.2818,96300,0.9379,93.2142,13.9244
1902,20180309,7.2652,7.281,7.1863,7.2187,149460,0.9325,88.821,13.1429
1903,20180312,7.2179,7.2968,7.2021,7.2187,178490,0.9354,89.1925,12.3229
1904,20180313,7.2652,7.2652,7.1863,7.266,180480,0.9444,86.9537,11.6572
1905,20180314,7.2652,7.3047,7.1863,7.2423,157170,0.944,82.6675,10.8705
1906,20180315,7.2652,7.4074,7.2494,7.3687,224010,0.9631,83.8276,10.78
1907,20180316,7.3521,7.3916,7.3047,7.3529,253800,0.9636,87.0776,10.696
1908,20180319,7.3047,7.3995,7.3047,7.3371,205270,0.9641,89.9868,10.6695
1909,20180320,7.3837,7.6364,7.3047,7.6214,410970,1.0033,92.2256,11.9575
1910,20180321,7.6522,7.7154,7.5337,7.5425,288060,0.9948,92.7031,13.5026
